customer_id,total_purchase_value,total_orders,total_items_purchased,last_purchase_date,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,customer_segment
C0032,74116167.4,45,3056,2024-10-25,67,45,74116167.4,2,4,4,244,At-Risk High-Value
C0033,57806787.2,34,2412,2024-12-12,19,34,57806787.2,4,1,2,412,New / Potential Customers
C0034,42944978.2,33,1992,2024-10-06,86,33,42944978.2,2,1,1,211,Low-Value / Inactive
C0035,69432703.6,46,3072,2024-11-12,49,46,69432703.6,3,5,4,354,Loyal Customers
C0036,60321548.8,39,2544,2024-12-23,8,39,60321548.8,5,3,3,533,Loyal Customers
C0037,49170554.6,38,2071,2024-10-25,67,38,49170554.6,2,2,1,221,Low-Value / Inactive
C0038,66333798.6,41,2784,2024-11-29,32,41,66333798.6,4,3,3,433,Loyal Customers
C0039,68445013.6,40,3061,2024-11-28,33,40,68445013.6,3,3,4,334,Loyal Customers
C0040,55264046.6,45,2696,2024-12-21,10,45,55264046.6,5,4,2,542,Potential / Regular
C0041,77732741.0,42,3138,2024-06-11,203,42,77732741.0,1,4,5,145,At-Risk High-Value
C0042,78392790.0,44,3165,2024-10-13,79,44,78392790.0,2,4,5,245,At-Risk High-Value
C0043,50240542.8,37,2535,2024-06-14,200,37,50240542.8,1,2,1,121,Low-Value / Inactive
C0044,55873422.6,38,2372,2024-11-17,44,38,55873422.6,3,2,2,322,Potential / Regular
C0045,77675754.6,43,2991,2024-12-15,16,43,77675754.6,4,4,5,445,Champions
C0046,97081196.6,51,3471,2024-12-09,22,51,97081196.6,4,5,5,455,Champions
C0047,64303432.2,36,2568,2024-08-25,128,36,64303432.2,1,2,3,123,Potential / Regular
C0048,51356098.4,34,2181,2024-10-06,86,34,51356098.4,2,1,1,211,Low-Value / Inactive
C0049,84164002.6,42,3157,2024-12-25,6,42,84164002.6,5,4,5,545,Champions
C0050,63912172.0,30,2194,2024-12-14,17,30,63912172.0,4,1,3,413,New / Potential Customers
C0051,59958994.4,37,2634,2024-11-15,46,37,59958994.4,3,2,2,322,Potential / Regular
C0052,57455055.6,37,2379,2024-12-11,20,37,57455055.6,4,2,2,422,New / Potential Customers
C0053,48380645.8,31,2062,2024-09-18,104,31,48380645.8,1,1,1,111,Low-Value / Inactive
C0054,71503829.4,42,2612,2024-12-14,17,42,71503829.4,4,4,4,444,Champions
C0055,68815879.6,37,2941,2024-12-11,20,37,68815879.6,4,2,4,424,New / Potential Customers
C0056,65974292.4,38,2686,2024-11-10,51,38,65974292.4,3,2,3,323,Potential / Regular
C0057,52687167.2,35,2363,2024-12-04,27,35,52687167.2,4,1,1,411,New / Potential Customers
C0058,56841153.8,41,2554,2024-12-24,7,41,56841153.8,5,3,2,532,Potential / Regular
C0059,61020302.6,39,2659,2024-12-20,11,39,61020302.6,5,3,3,533,Loyal Customers
C0060,82033521.6,50,3565,2024-11-24,37,50,82033521.6,3,5,5,355,Loyal Customers
C0061,39850503.8,32,1620,2024-09-08,114,32,39850503.8,1,1,1,111,Low-Value / Inactive
C0062,81412848.2,38,3113,2024-10-31,61,38,81412848.2,2,2,5,225,Potential / Regular
C0063,77222513.2,43,2940,2024-12-19,12,43,77222513.2,5,4,5,545,Champions
C0064,66364513.6,39,2521,2024-12-14,17,39,66364513.6,4,3,3,433,Loyal Customers
C0065,75287487.6,41,2912,2024-12-12,19,41,75287487.6,4,3,4,434,Loyal Customers
C0066,60235825.4,38,2739,2024-10-11,81,38,60235825.4,2,2,3,223,Potential / Regular
C0067,56503395.6,33,2337,2024-12-30,1,33,56503395.6,5,1,2,512,New / Potential Customers
C0068,59659250.6,42,2597,2024-12-06,25,42,59659250.6,4,4,2,442,Potential / Regular
C0069,82661260.2,52,3746,2024-12-11,20,52,82661260.2,4,5,5,455,Champions
C0070,87747724.2,48,3393,2024-12-20,11,48,87747724.2,5,5,5,555,Champions
C0071,76936168.8,47,3399,2024-11-26,35,47,76936168.8,3,5,5,355,Loyal Customers
C0072,59941485.6,30,2183,2024-12-23,8,30,59941485.6,5,1,2,512,New / Potential Customers
C0073,62403573.6,36,2361,2024-11-12,49,36,62403573.6,3,2,3,323,Potential / Regular
C0074,59288601.6,45,2880,2024-12-31,0,45,59288601.6,5,4,2,542,Potential / Regular
C0075,55423341.4,35,2375,2024-10-20,72,35,55423341.4,2,1,2,212,Low-Value / Inactive
C0076,87221895.8,49,3370,2024-12-27,4,49,87221895.8,5,5,5,555,Champions
C0077,63409372.8,38,2610,2024-12-16,15,38,63409372.8,4,2,3,423,New / Potential Customers
C0078,44016970.2,33,2156,2024-10-08,84,33,44016970.2,2,1,1,211,Low-Value / Inactive
C0079,47715030.2,33,1990,2024-11-28,33,33,47715030.2,3,1,1,311,Potential / Regular
C0080,64442221.6,46,2978,2024-11-03,58,46,64442221.6,2,5,3,253,Potential / Regular
C0081,62552790.6,40,2922,2024-12-23,8,40,62552790.6,5,3,3,533,Loyal Customers
C0082,81249145.6,50,3363,2024-12-18,13,50,81249145.6,5,5,5,555,Champions
C0083,94364155.4,50,3739,2024-10-04,88,50,94364155.4,2,5,5,255,At-Risk High-Value
C0084,90726465.4,47,3136,2024-12-05,26,47,90726465.4,4,5,5,455,Champions
C0085,71008889.0,44,2714,2024-09-20,102,44,71008889.0,1,4,4,144,At-Risk High-Value
C0086,61140968.2,30,2141,2024-11-22,39,30,61140968.2,3,1,3,313,Potential / Regular
C0087,52685252.8,41,2659,2024-12-17,14,41,52685252.8,4,3,1,431,Potential / Regular
C0088,63615211.0,39,2536,2024-12-12,19,39,63615211.0,4,3,3,433,Loyal Customers
C0089,51004563.0,40,2383,2024-11-14,47,40,51004563.0,3,3,1,331,Potential / Regular
C0090,56056558.6,45,2830,2024-10-22,70,45,56056558.6,2,4,2,242,Potential / Regular
C0091,42545525.4,32,2175,2024-09-07,115,32,42545525.4,1,1,1,111,Low-Value / Inactive
C0092,49508865.6,41,2301,2024-07-30,154,41,49508865.6,1,3,1,131,Potential / Regular
C0093,63276812.2,41,2768,2024-12-01,30,41,63276812.2,4,3,3,433,Loyal Customers
C0094,50263933.0,33,2188,2024-09-20,102,33,50263933.0,1,1,1,111,Low-Value / Inactive
C0095,58809103.8,31,2419,2024-12-26,5,31,58809103.8,5,1,2,512,New / Potential Customers
C0096,60656339.0,40,2626,2024-12-30,1,40,60656339.0,5,3,3,533,Loyal Customers
C0097,54923549.4,30,2152,2024-12-16,15,30,54923549.4,4,1,2,412,New / Potential Customers
C0098,57357413.2,37,2478,2024-12-18,13,37,57357413.2,5,2,2,522,New / Potential Customers
C0099,66209370.0,52,3268,2024-12-26,5,52,66209370.0,5,5,3,553,Loyal Customers
C0100,50958417.2,42,2513,2024-11-10,51,42,50958417.2,3,4,1,341,Potential / Regular
C0101,67105356.8,43,3023,2024-10-10,82,43,67105356.8,2,4,4,244,At-Risk High-Value
C0102,80030261.4,38,2984,2024-10-24,68,38,80030261.4,2,2,5,225,Potential / Regular
C0103,79536298.4,42,3102,2024-08-29,124,42,79536298.4,1,4,5,145,At-Risk High-Value
C0104,44705340.8,36,2259,2024-12-30,1,36,44705340.8,5,2,1,521,New / Potential Customers
C0105,66903370.4,46,2885,2024-11-26,35,46,66903370.4,3,5,3,353,Loyal Customers
C0106,60639108.8,42,2876,2024-11-12,49,42,60639108.8,3,4,3,343,Loyal Customers
C0107,90133837.8,52,4068,2024-12-11,20,52,90133837.8,4,5,5,455,Champions
C0108,42738496.6,26,1870,2024-12-29,2,26,42738496.6,5,1,1,511,New / Potential Customers
C0109,73760844.8,48,3451,2024-12-09,22,48,73760844.8,4,5,4,454,Champions
C0110,94461957.2,44,3776,2024-06-21,193,44,94461957.2,1,4,5,145,At-Risk High-Value
C0111,59356912.0,39,2663,2024-12-16,15,39,59356912.0,4,3,2,432,Potential / Regular
C0112,59897509.0,40,2724,2024-12-01,30,40,59897509.0,4,3,2,432,Potential / Regular
C0113,83281862.4,42,2941,2024-12-23,8,42,83281862.4,5,4,5,545,Champions
C0114,55114526.0,36,2643,2024-09-27,95,36,55114526.0,1,2,2,122,Low-Value / Inactive
C0115,48843581.0,33,2177,2024-11-28,33,33,48843581.0,3,1,1,311,Potential / Regular
C0116,76668904.6,40,3001,2024-09-25,97,40,76668904.6,1,3,5,135,Potential / Regular
C0117,45754267.0,35,2207,2024-10-08,84,35,45754267.0,2,1,1,211,Low-Value / Inactive
C0118,54581290.4,39,2549,2024-12-30,1,39,54581290.4,5,3,2,532,Potential / Regular
C0119,83814433.4,58,3605,2024-11-23,38,58,83814433.4,3,5,5,355,Loyal Customers
C0120,52335040.0,36,2534,2024-11-15,46,36,52335040.0,3,2,1,321,Potential / Regular
C0121,49865297.8,36,1978,2024-12-01,30,36,49865297.8,4,2,1,421,New / Potential Customers
C0122,53915180.0,33,2233,2024-11-05,56,33,53915180.0,2,1,2,212,Low-Value / Inactive
C0123,70243447.0,37,2661,2024-11-04,57,37,70243447.0,2,2,4,224,Potential / Regular
C0124,65379588.0,47,3341,2024-12-22,9,47,65379588.0,5,5,3,553,Loyal Customers
C0125,49053869.4,36,2036,2024-12-09,22,36,49053869.4,4,2,1,421,New / Potential Customers
C0126,70535310.0,39,2621,2024-04-05,270,39,70535310.0,1,3,4,134,Potential / Regular
C0127,55495542.0,31,2386,2024-06-25,189,31,55495542.0,1,1,2,112,Low-Value / Inactive
C0128,73171694.8,39,2697,2024-12-18,13,39,73171694.8,5,3,4,534,Loyal Customers
C0129,82458307.6,40,3191,2024-12-18,13,40,82458307.6,5,3,5,535,Loyal Customers
C0130,60851805.0,41,2666,2024-11-16,45,41,60851805.0,3,3,3,333,Loyal Customers
C0131,73559256.8,39,2892,2024-06-14,200,39,73559256.8,1,3,4,134,Potential / Regular
C0132,50864051.6,39,2419,2024-10-01,91,39,50864051.6,1,3,1,131,Potential / Regular
C0133,54603955.0,31,2030,2024-04-07,268,31,54603955.0,1,1,2,112,Low-Value / Inactive
C0134,91565309.0,50,3863,2024-11-24,37,50,91565309.0,3,5,5,355,Loyal Customers
C0135,78383415.4,45,3145,2024-08-27,126,45,78383415.4,1,4,5,145,At-Risk High-Value
C0136,52373189.0,42,2411,2024-11-13,48,42,52373189.0,3,4,1,341,Potential / Regular
C0137,57221883.8,28,2094,2024-12-12,19,28,57221883.8,4,1,2,412,New / Potential Customers
C0138,69371199.4,41,2943,2024-12-25,6,41,69371199.4,5,3,4,534,Loyal Customers
C0139,48432694.2,36,2222,2024-11-10,51,36,48432694.2,3,2,1,321,Potential / Regular
C0140,74126515.8,44,3053,2024-11-24,37,44,74126515.8,3,4,4,344,Loyal Customers
C0141,76394196.6,40,2727,2024-11-15,46,40,76394196.6,3,3,4,334,Loyal Customers
C0142,87849122.2,48,3418,2024-12-08,23,48,87849122.2,4,5,5,455,Champions
C0143,49888789.6,29,2049,2024-08-02,151,29,49888789.6,1,1,1,111,Low-Value / Inactive
C0144,54049087.6,31,2282,2024-09-13,109,31,54049087.6,1,1,2,112,Low-Value / Inactive
C0145,37852475.0,37,1984,2024-12-29,2,37,37852475.0,5,2,1,521,New / Potential Customers
C0146,62762832.8,33,2579,2024-12-31,0,33,62762832.8,5,1,3,513,New / Potential Customers
C0147,57961759.4,36,2494,2024-12-22,9,36,57961759.4,5,2,2,522,New / Potential Customers
C0148,59828023.0,40,2357,2024-12-09,22,40,59828023.0,4,3,2,432,Potential / Regular
C0149,73287579.6,42,2828,2024-12-12,19,42,73287579.6,4,4,4,444,Champions
C0150,45150214.2,34,2121,2024-11-09,52,34,45150214.2,3,1,1,311,Potential / Regular
C0151,45382271.4,31,2127,2024-11-28,33,31,45382271.4,3,1,1,311,Potential / Regular
C0152,63322590.0,41,3018,2024-11-18,43,41,63322590.0,3,3,3,333,Loyal Customers
C0153,109360638.6,59,4256,2024-12-12,19,59,109360638.6,4,5,5,455,Champions
C0154,77981883.6,46,3157,2024-12-16,15,46,77981883.6,4,5,5,455,Champions
C0155,45589948.4,36,2002,2024-12-17,14,36,45589948.4,4,2,1,421,New / Potential Customers
C0156,67944702.4,36,2505,2024-09-17,105,36,67944702.4,1,2,4,124,Potential / Regular
C0157,66039594.4,38,2754,2024-12-30,1,38,66039594.4,5,2,3,523,New / Potential Customers
C0158,62074622.2,37,2445,2024-09-26,96,37,62074622.2,1,2,3,123,Potential / Regular
C0159,57251892.6,36,2691,2024-12-26,5,36,57251892.6,5,2,2,522,New / Potential Customers
C0160,76401059.6,49,3197,2024-11-23,38,49,76401059.6,3,5,4,354,Loyal Customers
C0161,69069391.0,43,3152,2024-11-17,44,43,69069391.0,3,4,4,344,Loyal Customers
C0162,68830756.4,30,2375,2024-10-14,78,30,68830756.4,2,1,4,214,Potential / Regular
C0163,51460399.4,40,2598,2024-08-05,148,40,51460399.4,1,3,1,131,Potential / Regular
C0164,59364706.6,39,2466,2024-11-13,48,39,59364706.6,3,3,2,332,Potential / Regular
C0165,80463427.2,51,3586,2024-12-24,7,51,80463427.2,5,5,5,555,Champions
C0166,74137215.4,34,2812,2024-12-08,23,34,74137215.4,4,1,4,414,New / Potential Customers
C0167,52892007.0,35,2402,2024-12-28,3,35,52892007.0,5,1,1,511,New / Potential Customers
C0168,77926391.0,38,3157,2024-12-18,13,38,77926391.0,5,2,5,525,New / Potential Customers
C0169,80772054.4,44,3130,2024-10-27,65,44,80772054.4,2,4,5,245,At-Risk High-Value
C0170,48302583.4,32,2167,2024-12-20,11,32,48302583.4,5,1,1,511,New / Potential Customers
C0171,68022564.0,36,2524,2024-12-05,26,36,68022564.0,4,2,4,424,New / Potential Customers
C0172,72288356.4,42,2786,2024-11-27,34,42,72288356.4,3,4,4,344,Loyal Customers
C0173,63791487.8,36,2876,2024-11-08,53,36,63791487.8,3,2,3,323,Potential / Regular
C0174,37034465.8,34,1916,2024-12-21,10,34,37034465.8,5,1,1,511,New / Potential Customers
C0175,67902256.2,41,2665,2024-11-04,57,41,67902256.2,2,3,4,234,Potential / Regular
C0176,68872893.2,44,2963,2024-08-07,146,44,68872893.2,1,4,4,144,At-Risk High-Value
C0177,40099837.2,30,2178,2024-12-25,6,30,40099837.2,5,1,1,511,New / Potential Customers
C0178,97309961.6,58,3957,2024-12-09,22,58,97309961.6,4,5,5,455,Champions
C0179,44818951.8,35,2354,2024-07-21,163,35,44818951.8,1,1,1,111,Low-Value / Inactive
C0180,33556847.4,31,2147,2024-12-10,21,31,33556847.4,4,1,1,411,New / Potential Customers
C0181,60094083.2,40,2681,2024-12-15,16,40,60094083.2,4,3,2,432,Potential / Regular
C0182,45656632.6,32,2103,2024-08-03,150,32,45656632.6,1,1,1,111,Low-Value / Inactive
C0183,41359486.8,32,2115,2024-12-05,26,32,41359486.8,4,1,1,411,New / Potential Customers
C0184,72655964.8,35,2846,2024-11-28,33,35,72655964.8,3,1,4,314,Potential / Regular
C0185,58416829.8,39,2520,2024-09-16,106,39,58416829.8,1,3,2,132,Potential / Regular
C0186,77458487.0,42,2994,2024-12-11,20,42,77458487.0,4,4,5,445,Champions
C0187,49675352.0,31,2049,2024-11-08,53,31,49675352.0,3,1,1,311,Potential / Regular
C0188,61533771.8,45,2764,2024-12-27,4,45,61533771.8,5,4,3,543,Loyal Customers
C0189,69544094.2,41,3262,2024-11-11,50,41,69544094.2,3,3,4,334,Loyal Customers
C0190,63609819.4,38,2539,2024-12-29,2,38,63609819.4,5,2,3,523,New / Potential Customers
C0191,71483715.2,31,2309,2024-12-12,19,31,71483715.2,4,1,4,414,New / Potential Customers
C0192,75785020.6,43,2799,2024-10-25,67,43,75785020.6,2,4,4,244,At-Risk High-Value
C0193,73624933.0,44,3001,2024-11-30,31,44,73624933.0,4,4,4,444,Champions
C0194,50090927.4,36,1845,2024-12-26,5,36,50090927.4,5,2,1,521,New / Potential Customers
C0195,59145431.2,33,2247,2024-12-28,3,33,59145431.2,5,1,2,512,New / Potential Customers
C0196,78120269.6,54,3483,2024-10-28,64,54,78120269.6,2,5,5,255,At-Risk High-Value
C0197,85162557.6,50,3431,2024-10-18,74,50,85162557.6,2,5,5,255,At-Risk High-Value
C0198,65200086.6,38,2497,2024-10-19,73,38,65200086.6,2,2,3,223,Potential / Regular
C0199,53138757.0,38,2572,2024-10-21,71,38,53138757.0,2,2,1,221,Low-Value / Inactive
C0200,93452113.6,52,3792,2024-11-25,36,52,93452113.6,3,5,5,355,Loyal Customers
C0201,84633831.6,49,3466,2024-12-13,18,49,84633831.6,4,5,5,455,Champions
C0202,58935549.4,35,2704,2024-09-21,101,35,58935549.4,1,1,2,112,Low-Value / Inactive
C0203,55254922.2,37,2453,2024-11-19,42,37,55254922.2,3,2,2,322,Potential / Regular
C0204,43385471.0,33,2029,2024-12-08,23,33,43385471.0,4,1,1,411,New / Potential Customers
C0205,68750922.6,39,2580,2024-11-15,46,39,68750922.6,3,3,4,334,Loyal Customers
C0206,96630874.4,46,3567,2024-12-11,20,46,96630874.4,4,5,5,455,Champions
C0207,101737768.4,51,3583,2024-10-13,79,51,101737768.4,2,5,5,255,At-Risk High-Value
C0208,51714962.2,34,2464,2024-12-30,1,34,51714962.2,5,1,1,511,New / Potential Customers
C0209,72304789.4,46,3052,2024-11-22,39,46,72304789.4,3,5,4,354,Loyal Customers
C0210,54645456.0,32,2125,2024-12-28,3,32,54645456.0,5,1,2,512,New / Potential Customers
C0211,63897083.2,45,3416,2024-11-20,41,45,63897083.2,3,4,3,343,Loyal Customers
C0212,48934838.0,35,2096,2024-11-15,46,35,48934838.0,3,1,1,311,Potential / Regular
C0213,68039047.6,32,2288,2024-08-31,122,32,68039047.6,1,1,4,114,Potential / Regular
C0214,54155736.6,35,2449,2024-12-26,5,35,54155736.6,5,1,2,512,New / Potential Customers
C0215,79956715.4,53,3911,2024-12-24,7,53,79956715.4,5,5,5,555,Champions
C0216,76597799.4,46,3001,2024-11-20,41,46,76597799.4,3,5,4,354,Loyal Customers
C0217,63312018.8,38,2466,2024-12-18,13,38,63312018.8,5,2,3,523,New / Potential Customers
C0218,55544090.8,45,2735,2024-10-16,76,45,55544090.8,2,4,2,242,Potential / Regular
C0219,79417300.6,48,3279,2024-12-21,10,48,79417300.6,5,5,5,555,Champions
C0220,54813895.4,47,2805,2024-11-06,55,47,54813895.4,2,5,2,252,Potential / Regular
C0221,82001959.0,44,2968,2024-09-05,117,44,82001959.0,1,4,5,145,At-Risk High-Value
C0222,61184396.6,44,2779,2024-12-13,18,44,61184396.6,4,4,3,443,Loyal Customers
C0223,54993118.6,34,2430,2024-10-15,77,34,54993118.6,2,1,2,212,Low-Value / Inactive
C0224,58349595.8,40,2639,2024-12-14,17,40,58349595.8,4,3,2,432,Potential / Regular
C0225,72456292.4,51,2972,2024-07-17,167,51,72456292.4,1,5,4,154,At-Risk High-Value
C0226,49907828.2,28,2327,2024-09-28,94,28,49907828.2,1,1,1,111,Low-Value / Inactive
C0227,65155178.8,39,2412,2024-10-24,68,39,65155178.8,2,3,3,233,Potential / Regular
C0228,65812402.2,36,2375,2024-09-10,112,36,65812402.2,1,2,3,123,Potential / Regular
C0229,46111656.0,29,1653,2024-11-29,32,29,46111656.0,4,1,1,411,New / Potential Customers
C0230,68274085.2,41,3170,2024-10-31,61,41,68274085.2,2,3,4,234,Potential / Regular
C0231,66737768.0,39,2916,2024-11-08,53,39,66737768.0,3,3,3,333,Loyal Customers
C0232,62766339.2,41,2856,2024-12-29,2,41,62766339.2,5,3,3,533,Loyal Customers
C0233,54215650.4,34,2463,2024-10-21,71,34,54215650.4,2,1,2,212,Low-Value / Inactive
C0234,80621425.6,33,2845,2024-12-26,5,33,80621425.6,5,1,5,515,New / Potential Customers
C0235,67658054.0,43,2933,2024-09-10,112,43,67658054.0,1,4,4,144,At-Risk High-Value
C0236,70995165.6,47,2825,2024-10-25,67,47,70995165.6,2,5,4,254,At-Risk High-Value
C0237,76179786.8,46,2776,2024-10-15,77,46,76179786.8,2,5,4,254,At-Risk High-Value
C0238,39369812.4,32,1995,2024-09-01,121,32,39369812.4,1,1,1,111,Low-Value / Inactive
C0239,55722404.6,38,2334,2024-10-27,65,38,55722404.6,2,2,2,222,Low-Value / Inactive
C0240,104286776.8,50,3799,2024-11-10,51,50,104286776.8,3,5,5,355,Loyal Customers
C0241,90825382.8,46,3441,2024-10-31,61,46,90825382.8,2,5,5,255,At-Risk High-Value
C0242,77418552.4,50,3189,2024-11-18,43,50,77418552.4,3,5,5,355,Loyal Customers
C0243,50637406.0,34,2421,2024-12-10,21,34,50637406.0,4,1,1,411,New / Potential Customers
C0244,82751848.8,48,3292,2024-12-09,22,48,82751848.8,4,5,5,455,Champions
C0245,59459217.6,37,2417,2024-11-30,31,37,59459217.6,4,2,2,422,New / Potential Customers
C0246,78316881.4,37,2548,2024-11-02,59,37,78316881.4,2,2,5,225,Potential / Regular
C0247,71151399.8,42,2998,2024-11-13,48,42,71151399.8,3,4,4,344,Loyal Customers
C0248,45208412.0,30,1809,2024-12-04,27,30,45208412.0,4,1,1,411,New / Potential Customers
C0249,67200206.8,40,2725,2024-10-01,91,40,67200206.8,1,3,4,134,Potential / Regular
C0250,80665961.2,45,3308,2024-12-20,11,45,80665961.2,5,4,5,545,Champions
C0251,63937240.8,39,2446,2024-07-06,178,39,63937240.8,1,3,3,133,Potential / Regular
C0252,50788059.0,38,2324,2024-11-07,54,38,50788059.0,2,2,1,221,Low-Value / Inactive
C0253,75155616.4,40,3155,2024-11-27,34,40,75155616.4,3,3,4,334,Loyal Customers
C0254,96361380.0,52,3634,2024-09-25,97,52,96361380.0,1,5,5,155,At-Risk High-Value
C0255,76546128.2,49,3492,2024-11-11,50,49,76546128.2,3,5,4,354,Loyal Customers
C0256,63561255.0,34,2639,2024-09-19,103,34,63561255.0,1,1,3,113,Potential / Regular
C0257,76640757.4,45,3363,2024-12-23,8,45,76640757.4,5,4,5,545,Champions
C0258,69315386.0,31,2559,2024-10-10,82,31,69315386.0,2,1,4,214,Potential / Regular
C0259,66515887.2,37,2602,2024-12-13,18,37,66515887.2,4,2,3,423,New / Potential Customers
C0260,66249877.0,38,2743,2024-09-05,117,38,66249877.0,1,2,3,123,Potential / Regular
C0261,73371667.4,40,3010,2024-12-06,25,40,73371667.4,4,3,4,434,Loyal Customers
C0262,48644883.2,30,2116,2024-12-04,27,30,48644883.2,4,1,1,411,New / Potential Customers
C0263,70309921.0,40,2906,2024-11-01,60,40,70309921.0,2,3,4,234,Potential / Regular
C0264,72106046.6,39,2551,2024-11-02,59,39,72106046.6,2,3,4,234,Potential / Regular
C0265,56239915.0,33,2390,2024-09-27,95,33,56239915.0,1,1,2,112,Low-Value / Inactive
C0266,59493819.2,37,2667,2024-09-24,98,37,59493819.2,1,2,2,122,Low-Value / Inactive
C0267,49252642.4,33,2205,2024-03-25,281,33,49252642.4,1,1,1,111,Low-Value / Inactive
C0268,69239445.0,37,2712,2024-10-07,85,37,69239445.0,2,2,4,224,Potential / Regular
C0269,74531970.2,48,3360,2024-11-22,39,48,74531970.2,3,5,4,354,Loyal Customers
C0270,73637293.4,46,3044,2024-12-20,11,46,73637293.4,5,5,4,554,Champions
C0271,43599972.6,28,1929,2024-11-26,35,28,43599972.6,3,1,1,311,Potential / Regular
C0272,82042535.4,43,3277,2024-12-13,18,43,82042535.4,4,4,5,445,Champions
C0273,64620418.2,40,2755,2024-12-31,0,40,64620418.2,5,3,3,533,Loyal Customers
C0274,64071466.6,42,2573,2024-06-27,187,42,64071466.6,1,4,3,143,Potential / Regular
C0275,66880783.6,47,2920,2024-11-09,52,47,66880783.6,3,5,3,353,Loyal Customers
C0276,79846720.4,49,3459,2024-12-29,2,49,79846720.4,5,5,5,555,Champions
C0277,45731394.2,38,2337,2024-09-14,108,38,45731394.2,1,2,1,121,Low-Value / Inactive
C0278,59961056.4,45,3072,2024-12-03,28,45,59961056.4,4,4,2,442,Potential / Regular
C0279,38851894.0,28,2104,2024-11-12,49,28,38851894.0,3,1,1,311,Potential / Regular
C0280,64583738.6,47,3026,2024-11-05,56,47,64583738.6,2,5,3,253,Potential / Regular
C0281,52632947.4,31,2247,2024-06-25,189,31,52632947.4,1,1,1,111,Low-Value / Inactive
C0282,78317730.4,51,3781,2024-12-24,7,51,78317730.4,5,5,5,555,Champions
C0283,46063181.6,33,2160,2024-09-04,118,33,46063181.6,1,1,1,111,Low-Value / Inactive
C0284,78191857.0,45,3369,2024-12-23,8,45,78191857.0,5,4,5,545,Champions
C0285,57166086.6,51,2931,2024-12-05,26,51,57166086.6,4,5,2,452,Potential / Regular
C0286,64515433.4,39,2975,2024-12-29,2,39,64515433.4,5,3,3,533,Loyal Customers
C0287,55179366.6,36,2332,2024-11-27,34,36,55179366.6,3,2,2,322,Potential / Regular
