operational_risk_rank,product_id,branch_id,stock_variance,shrinkage_pct,anomaly_event_count,high_frequency_events,operational_risk_score,operational_risk_class,primary_risk_driver
106,P020,CHN001,-336,-0.2957850628543258,32,27,100,High Risk,Stock Shrinkage
107,P006,KOL001,-332,-0.3031741973189173,27,21,100,High Risk,Stock Shrinkage
108,P027,HYD001,-332,-0.315955766192733,23,16,100,High Risk,Stock Shrinkage
109,P017,PUN001,-330,-0.3137568099489432,21,12,100,High Risk,Stock Shrinkage
110,P028,HYD001,-328,-0.3197629075027297,23,14,100,High Risk,Stock Shrinkage
111,P001,AHM001,-326,-0.304559043348281,26,13,100,High Risk,Stock Shrinkage
112,P009,AHM001,-320,-0.3331563440255697,26,19,100,High Risk,Stock Shrinkage
113,P026,DEL001,-320,-0.3076982249658647,25,18,100,High Risk,Stock Shrinkage
114,P007,CHN001,-316,-0.2898869807720534,40,31,100,High Risk,Stock Shrinkage
115,P011,DEL001,-312,-0.2770575071928391,30,22,100,High Risk,Stock Shrinkage
116,P011,AHM001,-312,-0.307077546922827,24,13,100,High Risk,Stock Shrinkage
117,P001,KOL001,-308,-0.2958238887394829,28,19,100,High Risk,Stock Shrinkage
118,P007,HYD001,-304,-0.2693912997244056,37,22,100,High Risk,Stock Shrinkage
119,P021,KOL001,-304,-0.3005942669553954,29,19,100,High Risk,Stock Shrinkage
120,P010,DEL001,-304,-0.2835847349322288,26,14,100,High Risk,Stock Shrinkage
121,P028,PUN001,-304,-0.2875928290998533,24,12,100,High Risk,Stock Shrinkage
122,P003,HYD001,-302,-0.2823485415108451,22,16,100,High Risk,Stock Shrinkage
123,P029,AHM001,-290,-0.296232736781891,24,19,100,High Risk,Stock Shrinkage
124,P002,DEL001,-290,-0.2662553480600084,20,12,100,High Risk,Stock Shrinkage
125,P030,CHN001,-288,-0.2723790608596964,36,27,100,High Risk,Stock Shrinkage
126,P030,PUN001,-288,-0.2556001278000639,24,18,100,High Risk,Stock Shrinkage
127,P003,AHM001,-286,-0.2782453033943981,31,22,100,High Risk,Stock Shrinkage
128,P017,HYD001,-284,-0.2420275775084795,30,17,100,High Risk,Stock Shrinkage
129,P015,KOL001,-284,-0.2932945027935268,28,22,100,High Risk,Stock Shrinkage
130,P011,HYD001,-278,-0.2572906736758322,24,14,100,High Risk,Stock Shrinkage
131,P012,PUN001,-276,-0.2445096076329521,28,18,100,High Risk,Stock Shrinkage
132,P021,PUN001,-270,-0.2555487198902087,29,13,100,High Risk,Stock Shrinkage
133,P024,CHN001,-270,-0.2511978415592873,22,12,100,High Risk,Stock Shrinkage
134,P019,CHN001,-268,-0.2661872647272077,35,26,100,High Risk,Stock Shrinkage
135,P011,CHN001,-258,-0.2325895875591616,29,22,100,High Risk,Stock Shrinkage
136,P008,PUN001,-254,-0.2555203460590513,24,18,100,High Risk,Stock Shrinkage
137,P025,PUN001,-252,-0.2283953414600988,28,15,100,High Risk,Stock Shrinkage
138,P023,DEL001,-252,-0.2211108186364832,24,21,100,High Risk,Stock Shrinkage
139,P019,DEL001,-250,-0.2110595187842971,26,18,100,High Risk,Stock Shrinkage
140,P018,CHN001,-246,-0.2166179423056602,40,27,100,High Risk,Stock Shrinkage
141,P016,PUN001,-244,-0.236319612590799,32,26,100,High Risk,Stock Shrinkage
142,P009,DEL001,-238,-0.23094688221709,20,13,100,High Risk,Stock Shrinkage
143,P017,DEL001,-234,-0.2067046508546442,34,20,100,High Risk,Stock Shrinkage
144,P005,PUN001,-234,-0.2152278287743051,28,20,100,High Risk,Stock Shrinkage
145,P010,KOL001,-232,-0.2292014502919354,40,29,100,High Risk,Stock Shrinkage
146,P020,DEL001,-232,-0.2218142878996481,30,21,100,High Risk,Stock Shrinkage
147,P024,DEL001,-232,-0.1988957854668907,30,15,100,High Risk,Stock Shrinkage
148,P003,PUN001,-232,-0.1959939512211606,23,15,100,High Risk,Stock Shrinkage
149,P004,AHM001,-230,-0.229680743766165,29,24,100,High Risk,Stock Shrinkage
150,P029,PUN001,-230,-0.2097411065211245,20,12,100,High Risk,Stock Shrinkage
151,P027,CHN001,-226,-0.2301449098259656,32,25,100,High Risk,Stock Shrinkage
152,P024,AHM001,-214,-0.1981041250092572,32,24,100,High Risk,Stock Shrinkage
153,P006,HYD001,-214,-0.1949388766419501,24,17,100,High Risk,Stock Shrinkage
154,P014,DEL001,-214,-0.1918680234903841,24,18,100,High Risk,Stock Shrinkage
155,P026,CHN001,-210,-0.1924751386279272,33,26,100,High Risk,Stock Shrinkage
156,P001,PUN001,-204,-0.1861432755741699,20,12,100,High Risk,Stock Shrinkage
157,P009,PUN001,-200,-0.1793400286944046,27,20,100,High Risk,Stock Shrinkage
158,P018,AHM001,-190,-0.1869894695403995,23,16,100,High Risk,Stock Shrinkage
159,P020,PUN001,-190,-0.1846022307722203,15,12,100,High Risk,Stock Shrinkage
160,P018,KOL001,-188,-0.1942249083113797,32,22,100,High Risk,Stock Shrinkage
161,P016,HYD001,-186,-0.1750983751623896,24,13,100,High Risk,Stock Shrinkage
162,P018,PUN001,-180,-0.1611315012084862,26,18,100,High Risk,Stock Shrinkage
163,P019,AHM001,-176,-0.1667250835993672,30,27,100,High Risk,Stock Shrinkage
164,P029,CHN001,-174,-0.1710140939201541,24,17,100,High Risk,Stock Shrinkage
165,P025,DEL001,-168,-0.1525830124246167,32,19,100,High Risk,Stock Shrinkage
166,P019,KOL001,-162,-0.1819917991349772,28,22,100,High Risk,Stock Shrinkage
167,P004,CHN001,-152,-0.1459629714988092,34,26,100,High Risk,Stock Shrinkage
168,P022,KOL001,-150,-0.1502403846153846,24,17,100,High Risk,Stock Shrinkage
169,P018,HYD001,-150,-0.1326224768573778,20,15,100,High Risk,Stock Shrinkage
170,P001,DEL001,-140,-0.1206189475135265,29,20,100,High Risk,Stock Shrinkage
171,P016,CHN001,-138,-0.1230593627665171,30,21,100,High Risk,Stock Shrinkage
172,P003,CHN001,-130,-0.12040381587478,35,25,100,High Risk,Stock Shrinkage
173,P024,KOL001,-130,-0.11573249768535,32,25,100,High Risk,Stock Shrinkage
174,P006,PUN001,-126,-0.1133684835615698,30,21,100,High Risk,Stock Shrinkage
175,P008,DEL001,-122,-0.1142439764395209,31,20,100,High Risk,Stock Shrinkage
176,P006,AHM001,-122,-0.1135084340488086,28,17,100,High Risk,Stock Shrinkage
177,P008,HYD001,-118,-0.1158327688939933,27,20,100,High Risk,Stock Shrinkage
178,P012,AHM001,-116,-0.1084345233087486,32,19,100,High Risk,Stock Shrinkage
179,P003,DEL001,-162,-0.1542181520476743,19,8,97,High Risk,Stock Shrinkage
180,P022,AHM001,-78,-0.0753092022052079,29,20,80,High Risk,Movement Anomaly
