month,product_id,total_quantity,total_orders,sales_value,product_name,category,previous_month_quantity,demand_change_pct
2020-10,P001,467,46,11441500,Hydraulic Pump HP-300,Hydraulic,545.0,-14.311926605504588
2020-11,P001,616,56,15092000,Hydraulic Pump HP-300,Hydraulic,467.0,31.905781584582442
2020-12,P001,558,54,13671000,Hydraulic Pump HP-300,Hydraulic,616.0,-9.415584415584416
2021-01,P001,541,47,13254500,Hydraulic Pump HP-300,Hydraulic,558.0,-3.046594982078853
2021-02,P001,538,50,13181000,Hydraulic Pump HP-300,Hydraulic,541.0,-0.5545286506469501
2021-03,P001,534,45,13083000,Hydraulic Pump HP-300,Hydraulic,538.0,-0.7434944237918215
2021-04,P001,712,63,17444000,Hydraulic Pump HP-300,Hydraulic,534.0,33.33333333333333
2021-05,P001,632,52,15484000,Hydraulic Pump HP-300,Hydraulic,712.0,-11.235955056179774
2021-06,P001,497,48,12176500,Hydraulic Pump HP-300,Hydraulic,632.0,-21.360759493670887
2021-07,P001,574,54,14063000,Hydraulic Pump HP-300,Hydraulic,497.0,15.492957746478872
2021-08,P001,727,62,17811500,Hydraulic Pump HP-300,Hydraulic,574.0,26.65505226480836
2021-09,P001,628,48,15386000,Hydraulic Pump HP-300,Hydraulic,727.0,-13.617606602475929
2021-10,P001,732,69,17934000,Hydraulic Pump HP-300,Hydraulic,628.0,16.560509554140125
2021-11,P001,643,54,15753500,Hydraulic Pump HP-300,Hydraulic,732.0,-12.158469945355192
2021-12,P001,743,60,18203500,Hydraulic Pump HP-300,Hydraulic,643.0,15.552099533437014
2022-01,P001,606,55,14847000,Hydraulic Pump HP-300,Hydraulic,743.0,-18.438761776581426
2022-02,P001,595,45,14577500,Hydraulic Pump HP-300,Hydraulic,606.0,-1.8151815181518154
2022-03,P001,688,62,16856000,Hydraulic Pump HP-300,Hydraulic,595.0,15.630252100840336
2022-04,P001,637,51,15606500,Hydraulic Pump HP-300,Hydraulic,688.0,-7.412790697674419
2022-05,P001,803,67,19673500,Hydraulic Pump HP-300,Hydraulic,637.0,26.059654631083202
2022-06,P001,634,53,15533000,Hydraulic Pump HP-300,Hydraulic,803.0,-21.046077210460773
2022-07,P001,635,53,15557500,Hydraulic Pump HP-300,Hydraulic,634.0,0.15772870662460567
2022-08,P001,662,57,16219000,Hydraulic Pump HP-300,Hydraulic,635.0,4.251968503937007
2022-09,P001,576,45,14112000,Hydraulic Pump HP-300,Hydraulic,662.0,-12.990936555891238
2022-10,P001,680,58,16660000,Hydraulic Pump HP-300,Hydraulic,576.0,18.055555555555554
2022-11,P001,492,42,12054000,Hydraulic Pump HP-300,Hydraulic,680.0,-27.647058823529413
2022-12,P001,710,54,17395000,Hydraulic Pump HP-300,Hydraulic,492.0,44.3089430894309
2023-01,P001,631,57,15459500,Hydraulic Pump HP-300,Hydraulic,710.0,-11.126760563380282
2023-02,P001,631,51,15459500,Hydraulic Pump HP-300,Hydraulic,631.0,0.0
2023-03,P001,791,63,19379500,Hydraulic Pump HP-300,Hydraulic,631.0,25.356576862123614
2023-04,P001,626,53,15337000,Hydraulic Pump HP-300,Hydraulic,791.0,-20.859671302149177
2023-05,P001,453,37,11098500,Hydraulic Pump HP-300,Hydraulic,626.0,-27.635782747603834
2023-06,P001,638,52,15631000,Hydraulic Pump HP-300,Hydraulic,453.0,40.83885209713024
2023-07,P001,640,54,15680000,Hydraulic Pump HP-300,Hydraulic,638.0,0.3134796238244514
2023-08,P001,570,47,13965000,Hydraulic Pump HP-300,Hydraulic,640.0,-10.9375
2023-09,P001,697,58,17076500,Hydraulic Pump HP-300,Hydraulic,570.0,22.280701754385966
2023-10,P001,652,54,15974000,Hydraulic Pump HP-300,Hydraulic,697.0,-6.456241032998565
2023-11,P001,647,55,15851500,Hydraulic Pump HP-300,Hydraulic,652.0,-0.7668711656441718
2023-12,P001,639,56,15655500,Hydraulic Pump HP-300,Hydraulic,647.0,-1.2364760432766615
2024-01,P001,600,47,14700000,Hydraulic Pump HP-300,Hydraulic,639.0,-6.103286384976526
2024-02,P001,636,48,15582000,Hydraulic Pump HP-300,Hydraulic,600.0,6.0
2024-03,P001,489,44,11980500,Hydraulic Pump HP-300,Hydraulic,636.0,-23.11320754716981
2024-04,P001,544,50,13328000,Hydraulic Pump HP-300,Hydraulic,489.0,11.247443762781186
2024-05,P001,592,50,14504000,Hydraulic Pump HP-300,Hydraulic,544.0,8.823529411764707
2024-06,P001,682,58,16709000,Hydraulic Pump HP-300,Hydraulic,592.0,15.202702702702704
2024-07,P001,534,49,13083000,Hydraulic Pump HP-300,Hydraulic,682.0,-21.700879765395893
2024-08,P001,612,48,14994000,Hydraulic Pump HP-300,Hydraulic,534.0,14.606741573033707
2024-09,P001,733,58,17958500,Hydraulic Pump HP-300,Hydraulic,612.0,19.77124183006536
2024-10,P001,712,60,17444000,Hydraulic Pump HP-300,Hydraulic,733.0,-2.8649386084583903
2024-11,P001,611,57,14969500,Hydraulic Pump HP-300,Hydraulic,712.0,-14.185393258426968
2024-12,P001,718,67,17591000,Hydraulic Pump HP-300,Hydraulic,611.0,17.51227495908347
2019-01,P002,513,53,369360,Engine Oil Filter OF-90,Filters,,
2019-02,P002,487,42,350640,Engine Oil Filter OF-90,Filters,513.0,-5.0682261208577
2019-03,P002,666,65,479520,Engine Oil Filter OF-90,Filters,487.0,36.75564681724846
2019-04,P002,657,53,473040,Engine Oil Filter OF-90,Filters,666.0,-1.3513513513513513
2019-05,P002,672,58,483840,Engine Oil Filter OF-90,Filters,657.0,2.28310502283105
2019-06,P002,597,53,429840,Engine Oil Filter OF-90,Filters,672.0,-11.160714285714286
2019-07,P002,662,55,476640,Engine Oil Filter OF-90,Filters,597.0,10.887772194304858
2019-08,P002,761,66,547920,Engine Oil Filter OF-90,Filters,662.0,14.954682779456194
2019-09,P002,523,43,376560,Engine Oil Filter OF-90,Filters,761.0,-31.274638633377133
2019-10,P002,590,64,424800,Engine Oil Filter OF-90,Filters,523.0,12.810707456978967
2019-11,P002,773,68,556560,Engine Oil Filter OF-90,Filters,590.0,31.016949152542374
2019-12,P002,698,52,502560,Engine Oil Filter OF-90,Filters,773.0,-9.702457956015524
2020-01,P002,678,53,488160,Engine Oil Filter OF-90,Filters,698.0,-2.865329512893983
2020-02,P002,560,48,403200,Engine Oil Filter OF-90,Filters,678.0,-17.404129793510325
2020-03,P002,615,58,442800,Engine Oil Filter OF-90,Filters,560.0,9.821428571428571
2020-04,P002,594,45,427680,Engine Oil Filter OF-90,Filters,615.0,-3.414634146341464
2020-05,P002,631,55,454320,Engine Oil Filter OF-90,Filters,594.0,6.228956228956229
2020-06,P002,585,55,421200,Engine Oil Filter OF-90,Filters,631.0,-7.290015847860539
2020-07,P002,730,60,525600,Engine Oil Filter OF-90,Filters,585.0,24.786324786324787
2020-08,P002,771,64,555120,Engine Oil Filter OF-90,Filters,730.0,5.616438356164384
2020-09,P002,587,58,422640,Engine Oil Filter OF-90,Filters,771.0,-23.865110246433204
2020-10,P002,506,50,364320,Engine Oil Filter OF-90,Filters,587.0,-13.798977853492334
2020-11,P002,762,57,548640,Engine Oil Filter OF-90,Filters,506.0,50.59288537549407
2020-12,P002,483,46,347760,Engine Oil Filter OF-90,Filters,762.0,-36.61417322834646
2021-01,P002,811,64,583920,Engine Oil Filter OF-90,Filters,483.0,67.90890269151139
2021-02,P002,747,53,537840,Engine Oil Filter OF-90,Filters,811.0,-7.891491985203452
2021-03,P002,706,53,508320,Engine Oil Filter OF-90,Filters,747.0,-5.4886211512717535
2021-04,P002,637,56,458640,Engine Oil Filter OF-90,Filters,706.0,-9.773371104815865
2021-05,P002,559,53,402480,Engine Oil Filter OF-90,Filters,637.0,-12.244897959183673
2021-06,P002,498,48,358560,Engine Oil Filter OF-90,Filters,559.0,-10.912343470483005
2021-07,P002,578,50,416160,Engine Oil Filter OF-90,Filters,498.0,16.06425702811245
2021-08,P002,547,48,393840,Engine Oil Filter OF-90,Filters,578.0,-5.3633217993079585
2021-09,P002,596,50,429120,Engine Oil Filter OF-90,Filters,547.0,8.957952468007313
2021-10,P002,892,76,642240,Engine Oil Filter OF-90,Filters,596.0,49.664429530201346
2021-11,P002,728,65,524160,Engine Oil Filter OF-90,Filters,892.0,-18.385650224215247
2021-12,P002,736,62,529920,Engine Oil Filter OF-90,Filters,728.0,1.098901098901099
2022-01,P002,736,54,529920,Engine Oil Filter OF-90,Filters,736.0,0.0
2022-02,P002,502,46,361440,Engine Oil Filter OF-90,Filters,736.0,-31.793478260869566
2022-03,P002,666,48,479520,Engine Oil Filter OF-90,Filters,502.0,32.669322709163346
2022-04,P002,582,47,419040,Engine Oil Filter OF-90,Filters,666.0,-12.612612612612612
2022-05,P002,606,55,436320,Engine Oil Filter OF-90,Filters,582.0,4.123711340206185
2022-06,P002,572,49,411840,Engine Oil Filter OF-90,Filters,606.0,-5.6105610561056105
2022-07,P002,488,41,351360,Engine Oil Filter OF-90,Filters,572.0,-14.685314685314685
2022-08,P002,715,56,514800,Engine Oil Filter OF-90,Filters,488.0,46.51639344262295
2022-09,P002,551,46,396720,Engine Oil Filter OF-90,Filters,715.0,-22.937062937062937
2022-10,P002,525,45,378000,Engine Oil Filter OF-90,Filters,551.0,-4.71869328493648
2022-11,P002,476,42,342720,Engine Oil Filter OF-90,Filters,525.0,-9.333333333333334
2022-12,P002,606,56,436320,Engine Oil Filter OF-90,Filters,476.0,27.310924369747898
2023-01,P002,462,45,332640,Engine Oil Filter OF-90,Filters,606.0,-23.762376237623762
2023-02,P002,544,46,391680,Engine Oil Filter OF-90,Filters,462.0,17.74891774891775
2023-03,P002,514,45,370080,Engine Oil Filter OF-90,Filters,544.0,-5.514705882352941
2023-04,P002,700,53,504000,Engine Oil Filter OF-90,Filters,514.0,36.18677042801556
2023-05,P002,537,46,386640,Engine Oil Filter OF-90,Filters,700.0,-23.285714285714285
2023-06,P002,607,50,437040,Engine Oil Filter OF-90,Filters,537.0,13.03538175046555
2023-07,P002,569,55,409680,Engine Oil Filter OF-90,Filters,607.0,-6.260296540362438
2023-08,P002,689,60,496080,Engine Oil Filter OF-90,Filters,569.0,21.0896309314587
2023-09,P002,820,62,590400,Engine Oil Filter OF-90,Filters,689.0,19.013062409288825
2023-10,P002,471,49,339120,Engine Oil Filter OF-90,Filters,820.0,-42.5609756097561
2023-11,P002,574,44,413280,Engine Oil Filter OF-90,Filters,471.0,21.86836518046709
2023-12,P002,572,49,411840,Engine Oil Filter OF-90,Filters,574.0,-0.34843205574912894
2024-01,P002,729,53,524880,Engine Oil Filter OF-90,Filters,572.0,27.447552447552447
2024-02,P002,691,54,497520,Engine Oil Filter OF-90,Filters,729.0,-5.212620027434842
2024-03,P002,675,54,486000,Engine Oil Filter OF-90,Filters,691.0,-2.3154848046309695
2024-04,P002,761,64,547920,Engine Oil Filter OF-90,Filters,675.0,12.74074074074074
2024-05,P002,562,54,404640,Engine Oil Filter OF-90,Filters,761.0,-26.149802890932982
2024-06,P002,679,62,488880,Engine Oil Filter OF-90,Filters,562.0,20.818505338078293
2024-07,P002,631,50,454320,Engine Oil Filter OF-90,Filters,679.0,-7.069219440353461
2024-08,P002,778,57,560160,Engine Oil Filter OF-90,Filters,631.0,23.296354992076072
2024-09,P002,584,57,420480,Engine Oil Filter OF-90,Filters,778.0,-24.93573264781491
2024-10,P002,607,58,437040,Engine Oil Filter OF-90,Filters,584.0,3.9383561643835616
2024-11,P002,715,61,514800,Engine Oil Filter OF-90,Filters,607.0,17.792421746293247
2024-12,P002,710,49,511200,Engine Oil Filter OF-90,Filters,715.0,-0.6993006993006993
2019-01,P003,537,53,671250,Air Filter AF-120,Filters,,
2019-02,P003,656,47,820000,Air Filter AF-120,Filters,537.0,22.160148975791433
2019-03,P003,601,53,751250,Air Filter AF-120,Filters,656.0,-8.384146341463415
2019-04,P003,646,55,807500,Air Filter AF-120,Filters,601.0,7.487520798668886
2019-05,P003,852,64,1065000,Air Filter AF-120,Filters,646.0,31.88854489164087
2019-06,P003,542,47,677500,Air Filter AF-120,Filters,852.0,-36.38497652582159
2019-07,P003,692,58,865000,Air Filter AF-120,Filters,542.0,27.67527675276753
2019-08,P003,578,51,722500,Air Filter AF-120,Filters,692.0,-16.473988439306357
2019-09,P003,584,56,730000,Air Filter AF-120,Filters,578.0,1.0380622837370241
2019-10,P003,561,48,701250,Air Filter AF-120,Filters,584.0,-3.9383561643835616
2019-11,P003,669,57,836250,Air Filter AF-120,Filters,561.0,19.25133689839572
2019-12,P003,561,45,701250,Air Filter AF-120,Filters,669.0,-16.143497757847534
2020-01,P003,476,41,595000,Air Filter AF-120,Filters,561.0,-15.151515151515152
2020-02,P003,679,60,848750,Air Filter AF-120,Filters,476.0,42.64705882352941
2020-03,P003,594,48,742500,Air Filter AF-120,Filters,679.0,-12.51840942562592
2020-04,P003,505,51,631250,Air Filter AF-120,Filters,594.0,-14.983164983164984
2020-05,P003,833,73,1041250,Air Filter AF-120,Filters,505.0,64.95049504950495
2020-06,P003,522,43,652500,Air Filter AF-120,Filters,833.0,-37.334933973589436
2020-07,P003,841,74,1051250,Air Filter AF-120,Filters,522.0,61.111111111111114
2020-08,P003,973,79,1216250,Air Filter AF-120,Filters,841.0,15.695600475624257
2020-09,P003,639,52,798750,Air Filter AF-120,Filters,973.0,-34.326824254881814
2020-10,P003,611,51,763750,Air Filter AF-120,Filters,639.0,-4.381846635367762
2020-11,P003,702,55,877500,Air Filter AF-120,Filters,611.0,14.893617021276595
2020-12,P003,512,54,640000,Air Filter AF-120,Filters,702.0,-27.065527065527068
2021-01,P003,527,48,658750,Air Filter AF-120,Filters,512.0,2.9296875
2021-02,P003,627,51,783750,Air Filter AF-120,Filters,527.0,18.975332068311197
2021-03,P003,573,44,716250,Air Filter AF-120,Filters,627.0,-8.61244019138756
2021-04,P003,566,52,707500,Air Filter AF-120,Filters,573.0,-1.2216404886561953
2021-05,P003,530,48,662500,Air Filter AF-120,Filters,566.0,-6.36042402826855
2021-06,P003,609,54,761250,Air Filter AF-120,Filters,530.0,14.90566037735849
2021-07,P003,424,40,530000,Air Filter AF-120,Filters,609.0,-30.377668308702795
2021-08,P003,747,57,933750,Air Filter AF-120,Filters,424.0,76.17924528301887
2021-09,P003,623,62,778750,Air Filter AF-120,Filters,747.0,-16.599732262382865
2021-10,P003,888,76,1110000,Air Filter AF-120,Filters,623.0,42.53611556982344
2021-11,P003,749,64,936250,Air Filter AF-120,Filters,888.0,-15.653153153153154
2021-12,P003,697,63,871250,Air Filter AF-120,Filters,749.0,-6.942590120160213
2022-01,P003,628,53,785000,Air Filter AF-120,Filters,697.0,-9.899569583931134
2022-02,P003,579,47,723750,Air Filter AF-120,Filters,628.0,-7.802547770700636
2022-03,P003,513,51,641250,Air Filter AF-120,Filters,579.0,-11.398963730569948
2022-04,P003,660,57,825000,Air Filter AF-120,Filters,513.0,28.654970760233915
2022-05,P003,703,63,878750,Air Filter AF-120,Filters,660.0,6.515151515151516
2022-06,P003,611,57,763750,Air Filter AF-120,Filters,703.0,-13.086770981507822
2022-07,P003,650,49,812500,Air Filter AF-120,Filters,611.0,6.382978723404255
2022-08,P003,676,57,845000,Air Filter AF-120,Filters,650.0,4.0
2022-09,P003,638,53,797500,Air Filter AF-120,Filters,676.0,-5.621301775147929
2022-10,P003,586,56,732500,Air Filter AF-120,Filters,638.0,-8.150470219435736
2022-11,P003,623,54,778750,Air Filter AF-120,Filters,586.0,6.313993174061433
2022-12,P003,546,48,682500,Air Filter AF-120,Filters,623.0,-12.359550561797752
2023-01,P003,613,51,766250,Air Filter AF-120,Filters,546.0,12.27106227106227
2023-02,P003,593,55,741250,Air Filter AF-120,Filters,613.0,-3.262642740619902
2023-03,P003,697,55,871250,Air Filter AF-120,Filters,593.0,17.537942664418214
2023-04,P003,674,53,842500,Air Filter AF-120,Filters,697.0,-3.2998565279770444
2023-05,P003,658,58,822500,Air Filter AF-120,Filters,674.0,-2.3738872403560833
2023-06,P003,577,52,721250,Air Filter AF-120,Filters,658.0,-12.310030395136778
2023-07,P003,638,58,797500,Air Filter AF-120,Filters,577.0,10.571923743500866
2023-08,P003,759,59,948750,Air Filter AF-120,Filters,638.0,18.96551724137931
2023-09,P003,619,57,773750,Air Filter AF-120,Filters,759.0,-18.44532279314888
2023-10,P003,742,56,927500,Air Filter AF-120,Filters,619.0,19.87075928917609
2023-11,P003,668,54,835000,Air Filter AF-120,Filters,742.0,-9.973045822102426
2023-12,P003,620,56,775000,Air Filter AF-120,Filters,668.0,-7.18562874251497
2024-01,P003,732,57,915000,Air Filter AF-120,Filters,620.0,18.064516129032256
2024-02,P003,696,54,870000,Air Filter AF-120,Filters,732.0,-4.918032786885246
2024-03,P003,682,56,852500,Air Filter AF-120,Filters,696.0,-2.0114942528735633
2024-04,P003,466,39,582500,Air Filter AF-120,Filters,682.0,-31.671554252199414
2024-05,P003,582,49,727500,Air Filter AF-120,Filters,466.0,24.892703862660944
2024-06,P003,575,51,718750,Air Filter AF-120,Filters,582.0,-1.202749140893471
2024-07,P003,567,45,708750,Air Filter AF-120,Filters,575.0,-1.391304347826087
2024-08,P003,469,45,586250,Air Filter AF-120,Filters,567.0,-17.28395061728395
2024-09,P003,805,61,1006250,Air Filter AF-120,Filters,469.0,71.64179104477611
2024-10,P003,701,59,876250,Air Filter AF-120,Filters,805.0,-12.919254658385093
2024-11,P003,653,51,816250,Air Filter AF-120,Filters,701.0,-6.847360912981455
2024-12,P003,559,45,698750,Air Filter AF-120,Filters,653.0,-14.39509954058193
2019-01,P004,865,67,34427000,Track Chain TC-45,Undercarriage,,
2019-02,P004,517,43,20576600,Track Chain TC-45,Undercarriage,865.0,-40.23121387283237
2019-03,P004,626,53,24914800,Track Chain TC-45,Undercarriage,517.0,21.08317214700193
2019-04,P004,770,58,30646000,Track Chain TC-45,Undercarriage,626.0,23.003194888178914
2019-05,P004,577,49,22964600,Track Chain TC-45,Undercarriage,770.0,-25.064935064935064
2019-06,P004,673,53,26785400,Track Chain TC-45,Undercarriage,577.0,16.63778162911612
2019-07,P004,657,58,26148600,Track Chain TC-45,Undercarriage,673.0,-2.37741456166419
2019-08,P004,808,63,32158400,Track Chain TC-45,Undercarriage,657.0,22.98325722983257
2019-09,P004,729,61,29014200,Track Chain TC-45,Undercarriage,808.0,-9.777227722772277
2019-10,P004,511,47,20337800,Track Chain TC-45,Undercarriage,729.0,-29.903978052126202
2019-11,P004,732,58,29133600,Track Chain TC-45,Undercarriage,511.0,43.24853228962818
2019-12,P004,539,43,21452200,Track Chain TC-45,Undercarriage,732.0,-26.366120218579237
2020-01,P004,782,61,31123600,Track Chain TC-45,Undercarriage,539.0,45.083487940630796
2020-02,P004,473,45,18825400,Track Chain TC-45,Undercarriage,782.0,-39.514066496163686
2020-03,P004,473,41,18825400,Track Chain TC-45,Undercarriage,473.0,0.0
2020-04,P004,490,43,19502000,Track Chain TC-45,Undercarriage,473.0,3.5940803382663846
2020-05,P004,619,56,24636200,Track Chain TC-45,Undercarriage,490.0,26.3265306122449
2020-06,P004,490,47,19502000,Track Chain TC-45,Undercarriage,619.0,-20.84006462035541
2020-07,P004,706,59,28098800,Track Chain TC-45,Undercarriage,490.0,44.08163265306123
2020-08,P004,739,57,29412200,Track Chain TC-45,Undercarriage,706.0,4.674220963172805
2020-09,P004,593,49,23601400,Track Chain TC-45,Undercarriage,739.0,-19.756427604871448
2020-10,P004,569,47,22646200,Track Chain TC-45,Undercarriage,593.0,-4.0472175379426645
2020-11,P004,444,41,17671200,Track Chain TC-45,Undercarriage,569.0,-21.968365553602812
2020-12,P004,729,60,29014200,Track Chain TC-45,Undercarriage,444.0,64.1891891891892
2021-01,P004,653,51,25989400,Track Chain TC-45,Undercarriage,729.0,-10.425240054869684
2021-02,P004,507,44,20178600,Track Chain TC-45,Undercarriage,653.0,-22.358346094946402
2021-03,P004,572,49,22765600,Track Chain TC-45,Undercarriage,507.0,12.82051282051282
2021-04,P004,691,57,27501800,Track Chain TC-45,Undercarriage,572.0,20.804195804195803
2021-05,P004,614,62,24437200,Track Chain TC-45,Undercarriage,691.0,-11.143270622286542
2021-06,P004,700,52,27860000,Track Chain TC-45,Undercarriage,614.0,14.006514657980457
2021-07,P004,730,63,29054000,Track Chain TC-45,Undercarriage,700.0,4.285714285714286
2021-08,P004,548,49,21810400,Track Chain TC-45,Undercarriage,730.0,-24.93150684931507
2021-09,P004,789,60,31402200,Track Chain TC-45,Undercarriage,548.0,43.97810218978102
2021-10,P004,743,60,29571400,Track Chain TC-45,Undercarriage,789.0,-5.830164765525982
2021-11,P004,532,46,21173600,Track Chain TC-45,Undercarriage,743.0,-28.398384925975773
2021-12,P004,654,49,26029200,Track Chain TC-45,Undercarriage,532.0,22.932330827067666
2022-01,P004,595,51,23681000,Track Chain TC-45,Undercarriage,654.0,-9.021406727828746
2022-02,P004,675,46,26865000,Track Chain TC-45,Undercarriage,595.0,13.445378151260504
2022-03,P004,566,47,22526800,Track Chain TC-45,Undercarriage,675.0,-16.14814814814815
2022-04,P004,481,45,19143800,Track Chain TC-45,Undercarriage,566.0,-15.01766784452297
2022-05,P004,543,50,21611400,Track Chain TC-45,Undercarriage,481.0,12.889812889812891
2022-06,P004,615,45,24477000,Track Chain TC-45,Undercarriage,543.0,13.259668508287293
2022-07,P004,649,53,25830200,Track Chain TC-45,Undercarriage,615.0,5.528455284552845
2022-08,P004,659,54,26228200,Track Chain TC-45,Undercarriage,649.0,1.5408320493066257
2022-09,P004,789,66,31402200,Track Chain TC-45,Undercarriage,659.0,19.726858877086496
2022-10,P004,594,50,23641200,Track Chain TC-45,Undercarriage,789.0,-24.714828897338403
2022-11,P004,700,56,27860000,Track Chain TC-45,Undercarriage,594.0,17.845117845117844
2022-12,P004,617,54,24556600,Track Chain TC-45,Undercarriage,700.0,-11.857142857142858
2023-01,P004,548,40,21810400,Track Chain TC-45,Undercarriage,617.0,-11.183144246353322
2023-02,P004,731,53,29093800,Track Chain TC-45,Undercarriage,548.0,33.394160583941606
2023-03,P004,646,55,25710800,Track Chain TC-45,Undercarriage,731.0,-11.627906976744185
2023-04,P004,656,57,26108800,Track Chain TC-45,Undercarriage,646.0,1.5479876160990713
2023-05,P004,595,44,23681000,Track Chain TC-45,Undercarriage,656.0,-9.298780487804878
2023-06,P004,628,53,24994400,Track Chain TC-45,Undercarriage,595.0,5.546218487394958
2023-07,P004,595,49,23681000,Track Chain TC-45,Undercarriage,628.0,-5.254777070063694
2023-08,P004,735,54,29253000,Track Chain TC-45,Undercarriage,595.0,23.52941176470588
2023-09,P004,721,57,28695800,Track Chain TC-45,Undercarriage,735.0,-1.9047619047619049
2023-10,P004,613,56,24397400,Track Chain TC-45,Undercarriage,721.0,-14.979195561719832
2023-11,P004,597,58,23760600,Track Chain TC-45,Undercarriage,613.0,-2.6101141924959217
2023-12,P004,533,48,21213400,Track Chain TC-45,Undercarriage,597.0,-10.720268006700168
2024-01,P004,706,64,28098800,Track Chain TC-45,Undercarriage,533.0,32.4577861163227
2024-02,P004,629,55,25034200,Track Chain TC-45,Undercarriage,706.0,-10.906515580736544
2024-03,P004,478,41,19024400,Track Chain TC-45,Undercarriage,629.0,-24.006359300476948
2024-04,P004,405,40,16119000,Track Chain TC-45,Undercarriage,478.0,-15.271966527196653
2024-05,P004,589,47,23442200,Track Chain TC-45,Undercarriage,405.0,45.4320987654321
2024-06,P004,606,49,24118800,Track Chain TC-45,Undercarriage,589.0,2.886247877758913
2024-07,P004,832,65,33113600,Track Chain TC-45,Undercarriage,606.0,37.29372937293729
2024-08,P004,526,44,20934800,Track Chain TC-45,Undercarriage,832.0,-36.77884615384615
2024-09,P004,704,54,28019200,Track Chain TC-45,Undercarriage,526.0,33.840304182509506
2024-10,P004,743,62,29571400,Track Chain TC-45,Undercarriage,704.0,5.5397727272727275
2024-11,P004,671,57,26705800,Track Chain TC-45,Undercarriage,743.0,-9.690444145356663
2024-12,P004,761,61,30287800,Track Chain TC-45,Undercarriage,671.0,13.412816691505217
2019-01,P005,607,58,5129150,Fuel Injector FI-220,Engine,,
2019-02,P005,566,49,4782700,Fuel Injector FI-220,Engine,607.0,-6.754530477759473
2019-03,P005,662,52,5593900,Fuel Injector FI-220,Engine,566.0,16.96113074204947
2019-04,P005,643,62,5433350,Fuel Injector FI-220,Engine,662.0,-2.8700906344410875
2019-05,P005,650,56,5492500,Fuel Injector FI-220,Engine,643.0,1.088646967340591
2019-06,P005,675,58,5703750,Fuel Injector FI-220,Engine,650.0,3.8461538461538463
2019-07,P005,776,72,6557200,Fuel Injector FI-220,Engine,675.0,14.962962962962964
2019-08,P005,622,55,5255900,Fuel Injector FI-220,Engine,776.0,-19.84536082474227
2019-09,P005,615,53,5196750,Fuel Injector FI-220,Engine,622.0,-1.1254019292604502
2019-10,P005,642,51,5424900,Fuel Injector FI-220,Engine,615.0,4.390243902439024
2019-11,P005,520,53,4394000,Fuel Injector FI-220,Engine,642.0,-19.003115264797508
2019-12,P005,623,53,5264350,Fuel Injector FI-220,Engine,520.0,19.807692307692307
2020-01,P005,598,50,5053100,Fuel Injector FI-220,Engine,623.0,-4.012841091492777
2020-02,P005,482,46,4072900,Fuel Injector FI-220,Engine,598.0,-19.39799331103679
2020-03,P005,515,42,4351750,Fuel Injector FI-220,Engine,482.0,6.846473029045644
2020-04,P005,544,49,4596800,Fuel Injector FI-220,Engine,515.0,5.631067961165048
2020-05,P005,892,71,7537400,Fuel Injector FI-220,Engine,544.0,63.970588235294116
2020-06,P005,660,52,5577000,Fuel Injector FI-220,Engine,892.0,-26.00896860986547
