product_id,product_name,category,total_current_stock,total_inventory_value,branches_affected,average_stock,average_max_stock,average_reorder_level,total_demand,average_monthly_demand,overall_demand_change_pct,demand_trend,stock_to_avg_monthly_demand,combined_risk
P028,Light Assembly LA-18,Electrical,624246,905156700,6,104041.0,346.1666666666667,70.83333333333333,46164,641.1666666666666,3.3846153846153846,Stable,973.609565895503,Monitor - Overstock + Stable/Moderate Demand
P007,Hydraulic Hose HH-60,Hydraulic,656823,643686540,6,109470.5,421.5,77.33333333333333,46468,645.3888888888889,15.473887814313347,Increasing,1017.7166221916157,Monitor - Overstock + Stable/Moderate Demand
P013,Seal Kit SK-15,Seals,634580,602851000,6,105763.33333333333,247.33333333333334,47.333333333333336,44081,612.2361111111111,23.978685612788635,Strongly Increasing,1036.4955422971348,Growth Opportunity - Overstock + Rising Demand
P003,Air Filter AF-120,Filters,650115,533094300,6,108352.5,366.1666666666667,72.5,45684,634.5,4.0968342644320295,Stable,1024.6099290780141,Monitor - Overstock + Stable/Moderate Demand
P020,Pivot Pin PP-12,Pins & Bushes,625266,468949500,6,104211.0,272.0,56.5,45340,629.7222222222222,-10.193321616871705,Decreasing,992.9235112483459,Medium Risk - Overstock + Demand Decline
P002,Engine Oil Filter OF-90,Filters,655012,294755400,6,109168.66666666667,329.8333333333333,69.83333333333333,45342,629.75,38.40155945419103,Strongly Increasing,1040.1143310837633,Growth Opportunity - Overstock + Rising Demand
P008,Bucket Tooth BT-10,Attachments,624694,212395960,6,104115.66666666667,392.5,79.0,45376,630.2222222222222,28.668941979522184,Strongly Increasing,991.2281382228491,Growth Opportunity - Overstock + Rising Demand
P017,Fan Belt FB-30,Belts,659066,210901120,6,109844.33333333333,361.3333333333333,68.66666666666667,45578,633.0277777777778,-31.296572280178836,Strongly Decreasing,1041.1328272412127,High Risk - Overstock + Strong Demand Decline
P027,O-Ring Set OR-50,Seals,630991,164057660,6,105165.16666666667,265.3333333333333,51.666666666666664,45678,634.4166666666666,20.973782771535582,Strongly Increasing,994.6002889793774,Growth Opportunity - Overstock + Rising Demand
P026,Grease Cartridge GC-5,Lubricants,631316,113636880,6,105219.33333333333,293.3333333333333,56.333333333333336,44844,622.8333333333334,21.32616487455197,Strongly Increasing,1013.6194808670056,Growth Opportunity - Overstock + Rising Demand
