product_id,branch_id,total_incoming,total_outgoing,total_adjustments,movement_count,opening_stock,current_stock,expected_stock,stock_variance,absolute_variance,shrinkage_pct,shrinkage_class,anomaly_event_count,total_anomaly_volume,max_daily_quantity,high_frequency_events,volume_anomaly_events,shrinkage_risk_points,anomaly_risk_points,frequency_risk_points,operational_risk_score,operational_risk_class,primary_risk_driver,operational_risk_rank
P011,PUN001,114492,5881,638,1299,86,108691,109335,-644,644,-0.5890154113504367,High Shrinkage,24,12015,794,11,15,50,40,10,100,High Risk,Stock Shrinkage,16
P012,KOL001,116167,6590,500,1372,188,109625,110265,-640,640,-0.5804198975196119,High Shrinkage,28,13781,904,21,16,50,40,10,100,High Risk,Stock Shrinkage,17
P029,KOL001,112947,7723,273,1419,150,105010,105647,-637,637,-0.6029513379461793,High Shrinkage,31,14075,912,22,15,50,40,10,100,High Risk,Stock Shrinkage,18
P005,HYD001,118054,5310,559,1262,178,112865,113481,-616,616,-0.5428221464386109,High Shrinkage,32,16357,809,19,20,50,40,10,100,High Risk,Stock Shrinkage,19
P006,DEL001,105092,5711,462,1202,131,99358,99974,-616,616,-0.6161602016524296,High Shrinkage,16,6378,667,11,6,50,40,10,100,High Risk,Stock Shrinkage,20
P012,HYD001,111323,5317,675,1243,128,106209,106809,-600,600,-0.5617504142909305,High Shrinkage,21,8278,793,13,10,50,40,10,100,High Risk,Stock Shrinkage,21
P013,DEL001,113508,5130,614,1226,126,108520,109118,-598,598,-0.548030572407852,High Shrinkage,30,13370,742,16,17,50,40,10,100,High Risk,Stock Shrinkage,22
P030,HYD001,109601,5060,494,1180,162,104611,105197,-586,586,-0.5570501059916158,High Shrinkage,27,12380,961,17,14,50,40,10,100,High Risk,Stock Shrinkage,23
P003,KOL001,117239,7307,513,1433,234,110093,110679,-586,586,-0.5294590663088752,High Shrinkage,25,13104,866,14,17,50,40,10,100,High Risk,Stock Shrinkage,24
P020,AHM001,108786,6276,626,1282,142,102706,103278,-572,572,-0.5538449621410174,High Shrinkage,31,13588,1017,25,14,50,40,10,100,High Risk,Stock Shrinkage,25
P010,AHM001,122118,6742,211,1400,128,115149,115715,-566,566,-0.4891327831309683,High Shrinkage,32,14964,1170,25,15,50,40,10,100,High Risk,Stock Shrinkage,26
P023,HYD001,110628,4601,252,1134,82,105798,106361,-563,563,-0.5293293594456615,High Shrinkage,19,9201,794,12,10,50,40,10,100,High Risk,Stock Shrinkage,27
P008,AHM001,115693,6546,431,1350,259,109281,109837,-556,556,-0.50620464870672,High Shrinkage,32,14077,934,24,15,50,40,10,100,High Risk,Stock Shrinkage,28
P027,DEL001,112284,5508,457,1265,98,106775,107331,-556,556,-0.5180236837446777,High Shrinkage,27,12578,746,14,16,50,40,10,100,High Risk,Stock Shrinkage,29
P014,HYD001,115985,4790,466,1209,200,111315,111861,-546,546,-0.4881057741303939,High Shrinkage,29,13740,879,19,15,50,40,10,100,High Risk,Stock Shrinkage,30
P021,CHN001,108420,7703,501,1414,189,100867,101407,-540,540,-0.5325076178173105,High Shrinkage,34,13421,682,26,10,50,40,10,100,High Risk,Stock Shrinkage,31
P006,CHN001,118323,7760,537,1516,119,110681,111219,-538,538,-0.4837302978807577,High Shrinkage,23,8480,825,18,7,50,40,10,100,High Risk,Stock Shrinkage,32
P008,CHN001,115951,7731,428,1486,265,108381,108913,-532,532,-0.4884632688476123,High Shrinkage,39,17906,937,30,17,50,40,10,100,High Risk,Stock Shrinkage,33
P023,KOL001,118592,6722,370,1386,141,111851,112381,-530,530,-0.4716099696567925,High Shrinkage,36,16519,888,27,19,50,40,10,100,High Risk,Stock Shrinkage,34
P010,CHN001,121003,7535,367,1484,120,113425,113955,-530,530,-0.465095871177219,High Shrinkage,28,11812,706,15,16,50,40,10,100,High Risk,Stock Shrinkage,35
P026,HYD001,113813,5486,348,1264,203,108348,108878,-530,530,-0.4867833722147724,High Shrinkage,20,9030,846,15,11,50,40,10,100,High Risk,Stock Shrinkage,36
P030,DEL001,109238,6133,368,1272,184,103131,103657,-526,526,-0.5074428162111579,High Shrinkage,31,13366,828,18,16,50,40,10,100,High Risk,Stock Shrinkage,37
P001,CHN001,107266,7965,411,1426,187,99373,99899,-526,526,-0.5265317971150862,High Shrinkage,25,12423,1118,14,17,50,40,10,100,High Risk,Stock Shrinkage,38
P026,PUN001,110278,5251,576,1230,112,105190,105715,-525,525,-0.4966182660927966,High Shrinkage,23,10396,856,16,10,50,40,10,100,High Risk,Stock Shrinkage,39
P030,KOL001,110216,6940,512,1366,199,103465,103987,-522,522,-0.5019858251512208,High Shrinkage,25,9562,833,17,11,50,40,10,100,High Risk,Stock Shrinkage,40
P005,KOL001,110698,6583,388,1349,215,104202,104718,-516,516,-0.4927519624133386,High Shrinkage,23,11208,857,13,11,50,40,10,100,High Risk,Stock Shrinkage,41
P020,KOL001,105855,6416,463,1306,182,99570,100084,-514,514,-0.5135686023740058,High Shrinkage,26,12437,831,15,16,50,40,10,100,High Risk,Stock Shrinkage,42
P002,KOL001,114510,7104,404,1389,288,107584,108098,-514,514,-0.4754944587318914,High Shrinkage,21,9111,793,17,8,50,40,10,100,High Risk,Stock Shrinkage,43
P001,HYD001,113622,5012,448,1220,226,108772,109284,-512,512,-0.468504081109769,High Shrinkage,22,11132,789,10,15,50,40,10,100,High Risk,Stock Shrinkage,44
P020,HYD001,108096,5638,521,1195,161,102636,103140,-504,504,-0.4886561954624782,High Shrinkage,25,12491,893,16,17,50,40,10,100,High Risk,Stock Shrinkage,45
P010,HYD001,115380,5222,398,1219,171,110225,110727,-502,502,-0.453367290724033,High Shrinkage,30,16113,953,19,21,50,40,10,100,High Risk,Stock Shrinkage,46
P019,HYD001,104671,4929,559,1127,209,100008,100510,-502,502,-0.4994527907670879,High Shrinkage,22,9827,714,13,12,50,40,10,100,High Risk,Stock Shrinkage,47
P016,DEL001,110136,6006,313,1292,242,104189,104685,-496,496,-0.4738023594593303,High Shrinkage,26,12483,809,18,15,50,40,10,100,High Risk,Stock Shrinkage,48
P009,CHN001,119192,7908,440,1488,226,111456,111950,-494,494,-0.4412684234033051,High Shrinkage,40,17853,1029,33,16,50,40,10,100,High Risk,Stock Shrinkage,49
P005,DEL001,116391,5706,429,1257,242,110862,111356,-494,494,-0.4436222565465713,High Shrinkage,24,13340,825,10,19,50,40,10,100,High Risk,Stock Shrinkage,50
P004,HYD001,114685,4818,377,1174,193,109943,110437,-494,494,-0.4473138531470431,High Shrinkage,23,12689,958,13,16,50,40,10,100,High Risk,Stock Shrinkage,51
P030,AHM001,109356,6071,309,1294,134,103248,103728,-480,480,-0.4627487274409995,High Shrinkage,31,14041,1131,23,15,50,40,10,100,High Risk,Stock Shrinkage,52
P028,KOL001,111465,6763,373,1355,254,104851,105329,-478,478,-0.4538161380056775,High Shrinkage,28,12812,832,23,13,50,40,10,100,High Risk,Stock Shrinkage,53
P025,KOL001,117532,7222,451,1414,290,110579,111051,-472,472,-0.4250299411981882,High Shrinkage,41,17642,806,26,21,50,40,10,100,High Risk,Stock Shrinkage,54
P008,KOL001,106041,6702,453,1350,135,99461,99927,-466,466,-0.4663404285128144,High Shrinkage,22,8354,762,18,8,50,40,10,100,High Risk,Stock Shrinkage,55
P023,CHN001,115170,8061,473,1499,149,107267,107731,-464,464,-0.4307023976385627,High Shrinkage,44,18926,783,29,21,50,40,10,100,High Risk,Stock Shrinkage,56
P016,KOL001,104428,6816,529,1338,148,97829,98289,-460,460,-0.4680076102107052,High Shrinkage,19,9361,955,11,12,50,40,10,100,High Risk,Stock Shrinkage,57
P004,KOL001,117063,7014,332,1391,115,110042,110496,-454,454,-0.4108746017955401,High Shrinkage,38,20184,740,24,26,50,40,10,100,High Risk,Stock Shrinkage,58
P014,CHN001,121977,7813,429,1519,157,114302,114750,-448,448,-0.3904139433551198,High Shrinkage,44,19830,1007,32,22,50,40,10,100,High Risk,Stock Shrinkage,59
P027,KOL001,107414,6993,292,1396,210,100477,100923,-446,446,-0.4419210685373997,High Shrinkage,26,12642,857,19,14,50,40,10,100,High Risk,Stock Shrinkage,60
P024,PUN001,115489,5081,461,1260,128,110555,110997,-442,442,-0.3982089606025388,High Shrinkage,28,14599,1150,20,14,50,40,10,100,High Risk,Stock Shrinkage,61
P009,HYD001,105112,5260,377,1183,282,100071,100511,-440,440,-0.4377630309120394,High Shrinkage,26,11801,931,19,13,50,40,10,100,High Risk,Stock Shrinkage,62
P014,PUN001,118748,5506,495,1291,87,113386,113824,-438,438,-0.3848046106269328,High Shrinkage,19,8451,742,15,9,50,40,10,100,High Risk,Stock Shrinkage,63
P015,DEL001,106565,5770,385,1234,223,100967,101403,-436,436,-0.4299675552005364,High Shrinkage,17,6827,872,13,7,50,40,10,100,High Risk,Stock Shrinkage,64
P017,CHN001,114144,7961,337,1462,178,106266,106698,-432,432,-0.4048810661868076,High Shrinkage,40,12256,877,31,12,50,40,10,100,High Risk,Stock Shrinkage,65
P016,AHM001,117404,6706,532,1370,95,110893,111325,-432,432,-0.3880529979788906,High Shrinkage,35,17558,897,25,19,50,40,10,100,High Risk,Stock Shrinkage,66
P023,AHM001,120274,6018,494,1313,238,114558,114988,-430,430,-0.3739520645632588,High Shrinkage,26,13324,948,22,14,50,40,10,100,High Risk,Stock Shrinkage,67
P025,AHM001,103661,6347,461,1276,165,97512,97940,-428,428,-0.4370022462732285,High Shrinkage,25,11917,884,17,15,50,40,10,100,High Risk,Stock Shrinkage,68
P012,CHN001,115023,7311,445,1424,155,107886,108312,-426,426,-0.3933082206957677,High Shrinkage,38,15391,971,28,15,50,40,10,100,High Risk,Stock Shrinkage,69
P026,KOL001,107788,6479,287,1326,240,101412,101836,-424,424,-0.416355709179465,High Shrinkage,30,13524,797,20,16,50,40,10,100,High Risk,Stock Shrinkage,70
P017,KOL001,114860,6900,259,1386,208,108003,108427,-424,424,-0.3910465105554889,High Shrinkage,28,13372,788,19,16,50,40,10,100,High Risk,Stock Shrinkage,71
P013,CHN001,113969,7540,313,1448,156,106476,106898,-422,422,-0.3947688450672604,High Shrinkage,38,17382,978,27,18,50,40,10,100,High Risk,Stock Shrinkage,72
P015,PUN001,111363,5398,365,1215,134,106048,106464,-416,416,-0.3907424105801022,High Shrinkage,26,12201,828,15,15,50,40,10,100,High Risk,Stock Shrinkage,73
P013,HYD001,115993,4956,441,1229,233,111295,111711,-416,416,-0.3723894692554896,High Shrinkage,22,11796,986,13,14,50,40,10,100,High Risk,Stock Shrinkage,74
P022,DEL001,116009,5441,411,1234,187,110752,111166,-414,414,-0.3724160264829174,High Shrinkage,32,17249,966,21,21,50,40,10,100,High Risk,Stock Shrinkage,75
P019,PUN001,114361,5144,467,1242,116,109388,109800,-412,412,-0.3752276867030965,High Shrinkage,29,14476,920,18,19,50,40,10,100,High Risk,Stock Shrinkage,76
P029,HYD001,118027,5453,381,1244,192,112739,113147,-408,408,-0.3605928570797281,High Shrinkage,23,10512,839,14,11,50,40,10,100,High Risk,Stock Shrinkage,77
P018,DEL001,119536,5247,458,1278,282,114627,115029,-402,402,-0.3494770883864069,High Shrinkage,30,13818,948,22,14,50,40,10,100,High Risk,Stock Shrinkage,78
P014,AHM001,111527,6248,360,1316,108,105345,105747,-402,402,-0.38015262844336,High Shrinkage,25,11951,1073,18,13,50,40,10,100,High Risk,Stock Shrinkage,79
P021,AHM001,114552,6598,317,1312,293,108168,108564,-396,396,-0.3647617994915441,High Shrinkage,33,14161,861,24,16,50,40,10,100,High Risk,Stock Shrinkage,80
P029,DEL001,113879,5257,290,1238,98,108622,109010,-388,388,-0.3559306485643518,High Shrinkage,23,12573,960,11,16,50,40,10,100,High Risk,Stock Shrinkage,81
P023,PUN001,113594,5433,438,1254,115,108328,108714,-386,386,-0.3550600658608827,High Shrinkage,32,13489,1197,26,12,50,40,10,100,High Risk,Stock Shrinkage,82
P007,KOL001,105995,6950,529,1344,273,99463,99847,-384,384,-0.3845884202830331,High Shrinkage,26,11975,865,19,12,50,40,10,100,High Risk,Stock Shrinkage,83
P028,AHM001,107865,6705,548,1331,212,101538,101920,-382,382,-0.3748037676609105,High Shrinkage,27,10992,715,22,8,50,40,10,100,High Risk,Stock Shrinkage,84
P024,HYD001,106640,4898,363,1158,273,101998,102378,-380,380,-0.3711734943054172,High Shrinkage,16,6107,744,10,7,50,40,10,100,High Risk,Stock Shrinkage,85
P027,PUN001,118257,5873,459,1302,214,112683,113057,-374,374,-0.3308065842893408,High Shrinkage,25,13294,919,17,16,50,40,10,100,High Risk,Stock Shrinkage,86
P015,AHM001,111678,6600,344,1356,85,105135,105507,-372,372,-0.3525832409224033,High Shrinkage,33,14933,994,24,14,50,40,10,100,High Risk,Stock Shrinkage,87
P017,AHM001,115889,6218,344,1373,276,109921,110291,-370,370,-0.335476149459158,High Shrinkage,25,11600,731,15,12,50,40,10,100,High Risk,Stock Shrinkage,88
P015,HYD001,114677,4855,434,1185,149,110035,110405,-370,370,-0.3351297495584439,High Shrinkage,15,6439,755,10,6,50,40,10,100,High Risk,Stock Shrinkage,89
P007,DEL001,124916,5617,301,1300,205,119439,119805,-366,366,-0.3054964317015149,High Shrinkage,31,15684,823,17,22,50,40,10,100,High Risk,Stock Shrinkage,90
P007,PUN001,116030,5837,404,1266,231,110464,110828,-364,364,-0.3284368571119211,High Shrinkage,29,13503,983,19,15,50,40,10,100,High Risk,Stock Shrinkage,91
P027,AHM001,114702,6461,307,1357,151,108337,108699,-362,362,-0.3330297426839253,High Shrinkage,22,10409,1055,19,8,50,40,10,100,High Risk,Stock Shrinkage,92
P002,PUN001,106927,5389,334,1206,113,101623,101985,-362,362,-0.3549541599254792,High Shrinkage,21,10236,1098,12,13,50,40,10,100,High Risk,Stock Shrinkage,93
P007,AHM001,112655,6579,360,1335,146,106222,106582,-360,360,-0.3377681034320992,High Shrinkage,34,15976,934,22,18,50,40,10,100,High Risk,Stock Shrinkage,94
P014,KOL001,112315,6610,377,1373,268,105994,106350,-356,356,-0.3347437705688763,High Shrinkage,34,16592,1072,22,22,50,40,10,100,High Risk,Stock Shrinkage,95
P004,DEL001,115584,5507,250,1237,172,110145,110499,-354,354,-0.3203648901800016,High Shrinkage,30,14293,874,20,18,50,40,10,100,High Risk,Stock Shrinkage,96
P022,PUN001,116717,5720,411,1296,299,111353,111707,-354,354,-0.3169004628179075,High Shrinkage,29,12387,937,18,15,50,40,10,100,High Risk,Stock Shrinkage,97
P022,HYD001,117860,4965,312,1168,140,112997,113347,-350,350,-0.3087862934175585,High Shrinkage,26,13700,905,14,19,50,40,10,100,High Risk,Stock Shrinkage,98
P002,HYD001,125818,4958,284,1244,219,121013,121363,-350,350,-0.2883910252712935,High Shrinkage,24,12358,834,15,15,50,40,10,100,High Risk,Stock Shrinkage,99
P022,CHN001,116585,7718,404,1482,138,109061,109409,-348,348,-0.318072553446243,High Shrinkage,38,15167,641,30,11,50,40,10,100,High Risk,Stock Shrinkage,100
P002,AHM001,116731,6483,277,1358,102,110279,110627,-348,348,-0.3145705840346389,High Shrinkage,33,14923,1050,27,13,50,40,10,100,High Risk,Stock Shrinkage,101
P021,HYD001,104630,5504,527,1211,153,99466,99806,-340,340,-0.3406608821112959,High Shrinkage,27,13707,762,19,15,50,40,10,100,High Risk,Stock Shrinkage,102
P010,PUN001,119944,5541,341,1278,159,114565,114903,-338,338,-0.2941611620236199,High Shrinkage,26,11655,855,17,16,50,40,10,100,High Risk,Stock Shrinkage,103
P005,AHM001,114428,6514,452,1354,106,108136,108472,-336,336,-0.3097573567372225,High Shrinkage,34,17071,898,18,23,50,40,10,100,High Risk,Stock Shrinkage,104
P009,KOL001,117102,6703,380,1394,104,110547,110883,-336,336,-0.3030221043802927,High Shrinkage,32,12443,748,26,13,50,40,10,100,High Risk,Stock Shrinkage,105
P020,CHN001,120279,7303,320,1468,300,113260,113596,-336,336,-0.2957850628543258,High Shrinkage,32,16072,1049,27,14,50,40,10,100,High Risk,Stock Shrinkage,106
P006,KOL001,116183,7281,501,1443,105,109176,109508,-332,332,-0.3031741973189173,High Shrinkage,27,10906,1018,21,9,50,40,10,100,High Risk,Stock Shrinkage,107
P027,HYD001,109373,4711,293,1180,123,104746,105078,-332,332,-0.315955766192733,High Shrinkage,23,11923,834,16,16,50,40,10,100,High Risk,Stock Shrinkage,108
P017,PUN001,110322,5743,392,1271,206,104847,105177,-330,330,-0.3137568099489432,High Shrinkage,21,9568,725,12,13,50,40,10,100,High Risk,Stock Shrinkage,109
P028,HYD001,107685,5567,329,1211,129,102248,102576,-328,328,-0.3197629075027297,High Shrinkage,23,12049,1014,14,13,50,40,10,100,High Risk,Stock Shrinkage,110
P001,AHM001,112918,6385,271,1292,236,106714,107040,-326,326,-0.304559043348281,High Shrinkage,26,13074,828,13,17,50,40,10,100,High Risk,Stock Shrinkage,111
P009,AHM001,102193,6625,300,1275,183,95731,96051,-320,320,-0.3331563440255697,High Shrinkage,26,10835,1009,19,10,50,40,10,100,High Risk,Stock Shrinkage,112
P026,DEL001,109044,5527,385,1233,96,103678,103998,-320,320,-0.3076982249658647,High Shrinkage,25,12889,904,18,14,50,40,10,100,High Risk,Stock Shrinkage,113
P007,CHN001,116327,7940,391,1503,230,108692,109008,-316,316,-0.2898869807720534,High Shrinkage,40,15481,796,31,14,50,40,10,100,High Risk,Stock Shrinkage,114
P011,DEL001,117882,5920,407,1302,243,112300,112612,-312,312,-0.2770575071928391,High Shrinkage,30,15705,909,22,17,50,40,10,100,High Risk,Stock Shrinkage,115
P011,AHM001,107747,6575,220,1319,211,101291,101603,-312,312,-0.307077546922827,High Shrinkage,24,11661,800,13,13,50,40,10,100,High Risk,Stock Shrinkage,116
P001,KOL001,110844,7210,219,1372,263,103808,104116,-308,308,-0.2958238887394829,High Shrinkage,28,13277,885,19,15,50,40,10,100,High Risk,Stock Shrinkage,117
P007,HYD001,117343,5175,381,1253,298,112543,112847,-304,304,-0.2693912997244056,High Shrinkage,37,18039,885,22,20,50,40,10,100,High Risk,Stock Shrinkage,118
P021,KOL001,107611,7105,347,1345,280,100829,101133,-304,304,-0.3005942669553954,High Shrinkage,29,11984,745,19,13,50,40,10,100,High Risk,Stock Shrinkage,119
P010,DEL001,112443,5710,333,1259,133,106895,107199,-304,304,-0.2835847349322288,High Shrinkage,26,12567,731,14,13,50,40,10,100,High Risk,Stock Shrinkage,120
P028,PUN001,110777,5601,250,1244,279,105401,105705,-304,304,-0.2875928290998533,High Shrinkage,24,10525,787,12,13,50,40,10,100,High Risk,Stock Shrinkage,121
P003,HYD001,111236,4818,270,1192,272,106658,106960,-302,302,-0.2823485415108451,High Shrinkage,22,11010,1016,16,13,50,40,10,100,High Risk,Stock Shrinkage,122
P029,AHM001,104224,6745,277,1309,140,97606,97896,-290,290,-0.296232736781891,High Shrinkage,24,10646,998,19,11,50,40,10,100,High Risk,Stock Shrinkage,123
P002,DEL001,114021,5640,371,1269,166,108628,108918,-290,290,-0.2662553480600084,High Shrinkage,20,10201,855,12,11,50,40,10,100,High Risk,Stock Shrinkage,124
P030,CHN001,113447,8099,262,1445,125,105447,105735,-288,288,-0.2723790608596964,High Shrinkage,36,15339,735,27,16,50,40,10,100,High Risk,Stock Shrinkage,125
P030,PUN001,117905,5743,367,1286,147,112388,112676,-288,288,-0.2556001278000639,High Shrinkage,24,10508,841,18,10,50,40,10,100,High Risk,Stock Shrinkage,126
P003,AHM001,109087,6798,260,1353,238,102501,102787,-286,286,-0.2782453033943981,High Shrinkage,31,13318,793,22,13,50,40,10,100,High Risk,Stock Shrinkage,127
P017,HYD001,121847,4963,370,1247,88,117058,117342,-284,284,-0.2420275775084795,High Shrinkage,30,14613,759,17,18,50,40,10,100,High Risk,Stock Shrinkage,128
P015,KOL001,103314,7138,363,1327,292,96547,96831,-284,284,-0.2932945027935268,High Shrinkage,28,12217,915,22,13,50,40,10,100,High Risk,Stock Shrinkage,129
P011,HYD001,112611,5153,443,1248,148,107771,108049,-278,278,-0.2572906736758322,High Shrinkage,24,12185,1078,14,14,50,40,10,100,High Risk,Stock Shrinkage,130
P012,PUN001,118076,5678,304,1315,177,112603,112879,-276,276,-0.2445096076329521,High Shrinkage,28,12094,834,18,15,50,40,10,100,High Risk,Stock Shrinkage,131
P021,PUN001,110918,5747,325,1263,159,105385,105655,-270,270,-0.2555487198902087,High Shrinkage,29,15489,938,13,22,50,40,10,100,High Risk,Stock Shrinkage,132
P024,CHN001,114753,7694,307,1430,119,107215,107485,-270,270,-0.2511978415592873,High Shrinkage,22,10839,862,12,12,50,40,10,100,High Risk,Stock Shrinkage,133
P019,CHN001,107706,7574,262,1427,287,100413,100681,-268,268,-0.2661872647272077,High Shrinkage,35,13823,861,26,13,50,40,10,100,High Risk,Stock Shrinkage,134
P011,CHN001,118274,7721,217,1463,155,110667,110925,-258,258,-0.2325895875591616,High Shrinkage,29,10418,704,22,10,50,40,10,100,High Risk,Stock Shrinkage,135
P008,PUN001,104148,5096,267,1179,86,99151,99405,-254,254,-0.2555203460590513,High Shrinkage,24,11145,1085,18,11,50,40,10,100,High Risk,Stock Shrinkage,136
P025,PUN001,115354,5502,292,1255,191,110083,110335,-252,252,-0.2283953414600988,High Shrinkage,28,13400,809,15,17,50,40,10,100,High Risk,Stock Shrinkage,137
P023,DEL001,119423,5898,259,1287,186,113718,113970,-252,252,-0.2211108186364832,High Shrinkage,24,11496,988,21,9,50,40,10,100,High Risk,Stock Shrinkage,138
P019,DEL001,124525,6407,207,1347,125,118200,118450,-250,250,-0.2110595187842971,High Shrinkage,26,12878,1186,18,13,50,40,10,100,High Risk,Stock Shrinkage,139
P018,CHN001,121127,8079,233,1503,283,113318,113564,-246,246,-0.2166179423056602,High Shrinkage,40,16435,781,27,18,50,40,10,100,High Risk,Stock Shrinkage,140
P016,PUN001,108562,5824,295,1287,217,103006,103250,-244,244,-0.236319612590799,High Shrinkage,32,10641,763,26,8,50,40,10,100,High Risk,Stock Shrinkage,141
P009,DEL001,107659,5211,459,1177,147,102816,103054,-238,238,-0.23094688221709,High Shrinkage,20,8710,732,13,11,50,40,10,100,High Risk,Stock Shrinkage,142
P017,DEL001,118103,5418,277,1284,243,112971,113205,-234,234,-0.2067046508546442,High Shrinkage,34,17152,758,20,22,50,40,10,100,High Risk,Stock Shrinkage,143
P005,PUN001,113357,5181,284,1240,262,108488,108722,-234,234,-0.2152278287743051,High Shrinkage,28,12321,752,20,14,50,40,10,100,High Risk,Stock Shrinkage,144
P010,KOL001,108509,7866,399,1432,179,100989,101221,-232,232,-0.2292014502919354,High Shrinkage,40,16686,1145,29,16,50,40,10,100,High Risk,Stock Shrinkage,145
P020,DEL001,110504,6196,193,1283,91,104360,104592,-232,232,-0.2218142878996481,High Shrinkage,30,15310,941,21,18,50,40,10,100,High Risk,Stock Shrinkage,146
P024,DEL001,120774,4796,386,1253,280,116412,116644,-232,232,-0.1988957854668907,High Shrinkage,30,15891,1054,15,21,50,40,10,100,High Risk,Stock Shrinkage,147
P003,PUN001,123172,5382,363,1265,218,118139,118371,-232,232,-0.1959939512211606,High Shrinkage,23,12695,885,15,14,50,40,10,100,High Risk,Stock Shrinkage,148
P004,AHM001,106281,6699,284,1325,273,99909,100139,-230,230,-0.229680743766165,High Shrinkage,29,11018,700,24,8,50,40,10,100,High Risk,Stock Shrinkage,149
P029,PUN001,115135,5803,212,1270,115,109429,109659,-230,230,-0.2097411065211245,High Shrinkage,20,9985,800,12,12,50,40,10,100,High Risk,Stock Shrinkage,150
P027,CHN001,105925,7971,161,1423,84,97973,98199,-226,226,-0.2301449098259656,High Shrinkage,32,14127,832,25,17,50,40,10,100,High Risk,Stock Shrinkage,151
P024,AHM001,113884,6293,165,1338,268,107810,108024,-214,214,-0.1981041250092572,High Shrinkage,32,14015,940,24,14,50,40,10,100,High Risk,Stock Shrinkage,152
P006,HYD001,114717,5646,432,1250,275,109564,109778,-214,214,-0.1949388766419501,High Shrinkage,24,12707,975,17,13,50,40,10,100,High Risk,Stock Shrinkage,153
P014,DEL001,116968,5894,258,1293,203,111321,111535,-214,214,-0.1918680234903841,High Shrinkage,24,12021,1042,18,12,50,40,10,100,High Risk,Stock Shrinkage,154
P026,CHN001,116230,7584,346,1478,113,108895,109105,-210,210,-0.1924751386279272,High Shrinkage,33,14241,973,26,14,50,40,10,100,High Risk,Stock Shrinkage,155
P001,PUN001,114283,5241,353,1273,198,109389,109593,-204,204,-0.1861432755741699,High Shrinkage,20,9675,809,12,11,50,40,10,100,High Risk,Stock Shrinkage,156
P009,PUN001,116504,5484,314,1263,186,111320,111520,-200,200,-0.1793400286944046,High Shrinkage,27,12647,1079,20,15,50,40,10,100,High Risk,Stock Shrinkage,157
P018,AHM001,107337,6203,214,1288,262,101420,101610,-190,190,-0.1869894695403995,High Shrinkage,23,11466,788,16,13,50,40,10,100,High Risk,Stock Shrinkage,158
