customer_id,delivered_order_count,total_purchase_value,first_order_date,last_order_date,recency_days,customer_tenure_days,customer_tenure_years,average_orders_per_year,average_order_value,customer_type,industry_segment,region,customer_rating,retention_status,customer_value_class,retention_priority_score,action_focus,retention_priority_rank
C0043,36,47644638.8,2019-04-04,2024-06-14,201,2099,5.75,6.26,1323462.19,Corporate,Construction,South,4,Churn Risk,Low Value,51.21,Win-back campaign and churn recovery strategy,21
C0344,28,48151864.0,2019-01-04,2024-06-17,198,2189,5.99,4.67,1719709.43,Fleet Owner,Mining,West,2,Churn Risk,Low Value,50.89,Win-back campaign and churn recovery strategy,22
C0405,32,50787823.0,2019-01-30,2024-06-25,190,2163,5.92,5.4,1587119.47,Corporate,Infrastructure,West,3,Churn Risk,Medium Value,50.53,Win-back campaign and churn recovery strategy,23
C0137,21,42806442.6,2019-06-13,2024-06-10,205,2029,5.56,3.78,2038402.03,Dealer,Infrastructure,South,5,Churn Risk,Low Value,50.09,Win-back campaign and churn recovery strategy,24
C0221,44,82001959.0,2019-01-17,2024-09-05,118,2176,5.96,7.39,1863680.89,Dealer,Logistics,North,5,High Churn Risk,High Value,50.04,Immediate retention intervention required,25
C0116,35,64081942.6,2019-01-08,2024-07-28,157,2185,5.98,5.85,1830912.65,Dealer,Construction,North,1,High Churn Risk,Medium Value,49.93,Immediate retention intervention required,26
C0127,28,48960650.8,2019-03-01,2024-06-25,190,2133,5.84,4.79,1748594.67,Government,Construction,East,1,Churn Risk,Medium Value,49.85,Win-back campaign and churn recovery strategy,27
C0154,45,74171590.6,2019-01-29,2024-08-21,133,2164,5.92,7.6,1648257.57,Fleet Owner,Logistics,North,5,High Churn Risk,High Value,49.65,Immediate retention intervention required,28
C0254,48,89556446.6,2019-07-01,2024-09-25,98,2011,5.51,8.72,1865759.3,Dealer,Mining,West,5,High Churn Risk,High Value,49.49,Immediate retention intervention required,29
C0176,42,66901722.8,2019-01-14,2024-08-07,147,2179,5.97,7.04,1592898.16,Dealer,Logistics,South,2,High Churn Risk,High Value,49.3,Immediate retention intervention required,30
C0198,36,63577917.2,2019-03-27,2024-08-01,153,2107,5.77,6.24,1766053.26,Government,Mining,West,2,High Churn Risk,Medium Value,49.07,Immediate retention intervention required,31
C0489,47,70625273.0,2019-04-14,2024-08-17,137,2089,5.72,8.22,1502665.38,Fleet Owner,Rental,South,5,High Churn Risk,High Value,49.01,Immediate retention intervention required,32
C0281,26,46282268.6,2019-07-26,2024-06-25,190,1986,5.44,4.78,1780087.25,Government,Logistics,South,4,Churn Risk,Low Value,48.86,Win-back campaign and churn recovery strategy,33
C0372,36,52822436.0,2019-02-15,2024-07-10,175,2147,5.88,6.12,1467289.89,Government,Logistics,South,4,High Churn Risk,Medium Value,48.78,Immediate retention intervention required,34
C0025,38,70349653.0,2019-01-29,2024-08-18,136,2164,5.92,6.41,1851306.66,Corporate,Infrastructure,West,2,High Churn Risk,High Value,48.74,Immediate retention intervention required,35
C0103,40,75304293.2,2019-02-21,2024-08-29,125,2141,5.86,6.82,1882607.33,Dealer,Infrastructure,South,4,High Churn Risk,High Value,48.73,Immediate retention intervention required,36
C0337,34,73457151.8,2019-04-15,2024-08-25,129,2088,5.72,5.95,2160504.46,Corporate,Manufacturing,North,2,High Churn Risk,High Value,48.72,Immediate retention intervention required,37
C0288,55,97218403.8,2019-02-21,2024-10-18,75,2141,5.86,9.38,1767607.34,Dealer,Infrastructure,North,3,At Risk,High Value,48.47,Prioritize retention outreach and personalized offers,38
C0451,37,49725150.4,2019-01-07,2024-07-06,179,2186,5.98,6.18,1343922.98,Government,Manufacturing,East,3,High Churn Risk,Medium Value,48.3,Immediate retention intervention required,39
C0083,45,89672688.2,2019-05-23,2024-10-04,89,2050,5.61,8.02,1992726.4,Dealer,Infrastructure,North,2,At Risk,High Value,48.03,Prioritize retention outreach and personalized offers,40
C0078,31,42565724.6,2019-01-31,2024-06-22,193,2162,5.92,5.24,1373087.89,Dealer,Rental,South,1,Churn Risk,Low Value,47.99,Win-back campaign and churn recovery strategy,41
C0431,28,45787279.2,2019-06-09,2024-07-05,180,2033,5.57,5.03,1635259.97,Government,Logistics,West,5,High Churn Risk,Low Value,47.01,Immediate retention intervention required,42
C0498,28,64864362.8,2019-03-01,2024-08-19,135,2133,5.84,4.79,2316584.39,Fleet Owner,Construction,East,3,High Churn Risk,Medium Value,46.54,Immediate retention intervention required,43
C0192,40,69269688.4,2019-01-19,2024-08-29,125,2174,5.95,6.72,1731742.21,Fleet Owner,Logistics,East,2,High Churn Risk,High Value,46.5,Immediate retention intervention required,44
C0008,34,48368868.0,2019-03-04,2024-07-16,169,2130,5.83,5.83,1422613.76,Corporate,Logistics,West,1,High Churn Risk,Low Value,46.13,Immediate retention intervention required,45
C0373,38,69753317.8,2019-04-03,2024-09-02,121,2100,5.75,6.61,1835613.63,Corporate,Manufacturing,South,3,High Churn Risk,High Value,46.01,Immediate retention intervention required,46
C0088,36,57330201.8,2019-01-26,2024-08-06,148,2167,5.93,6.07,1592505.61,Corporate,Infrastructure,West,1,High Churn Risk,Medium Value,45.93,Immediate retention intervention required,47
C0428,43,66337820.6,2019-01-25,2024-08-26,128,2168,5.94,7.24,1542740.01,Retail,Construction,North,4,High Churn Risk,Medium Value,45.92,Immediate retention intervention required,48
C0002,51,71712838.0,2019-01-24,2024-09-07,116,2169,5.94,8.59,1406134.08,Fleet Owner,Manufacturing,South,2,High Churn Risk,High Value,45.9,Immediate retention intervention required,49
C0384,39,72157498.2,2019-02-05,2024-09-09,114,2157,5.91,6.6,1850192.26,Retail,Construction,South,3,High Churn Risk,High Value,45.73,Immediate retention intervention required,50
C0207,45,87068691.0,2019-02-10,2024-10-13,80,2152,5.89,7.64,1934859.8,Corporate,Rental,East,1,At Risk,High Value,45.56,Prioritize retention outreach and personalized offers,51
C0213,30,66248437.6,2019-02-26,2024-08-31,123,2136,5.85,5.13,2208281.25,Fleet Owner,Rental,West,4,High Churn Risk,Medium Value,45.05,Immediate retention intervention required,52
C0402,35,43498305.2,2019-01-25,2024-07-12,173,2168,5.94,5.9,1242808.72,Fleet Owner,Rental,South,1,High Churn Risk,Low Value,44.99,Immediate retention intervention required,53
C0135,35,62791824.6,2019-03-09,2024-08-27,127,2125,5.82,6.02,1794052.13,Retail,Rental,South,2,High Churn Risk,Medium Value,44.44,Immediate retention intervention required,54
C0006,40,65482805.4,2019-06-05,2024-09-02,121,2037,5.58,7.17,1637070.14,Government,Construction,West,3,High Churn Risk,Medium Value,44.43,Immediate retention intervention required,55
C0330,38,54285450.6,2019-02-12,2024-08-10,144,2150,5.89,6.46,1428564.49,Retail,Infrastructure,East,3,High Churn Risk,Medium Value,44.14,Immediate retention intervention required,56
C0076,45,80026994.2,2019-01-12,2024-10-06,87,2181,5.97,7.54,1778377.65,Government,Mining,South,2,At Risk,High Value,44.13,Prioritize retention outreach and personalized offers,57
C0084,39,73317161.4,2019-04-29,2024-09-22,101,2074,5.68,6.87,1879927.22,Corporate,Logistics,West,3,High Churn Risk,High Value,43.98,Immediate retention intervention required,58
C0249,35,63391180.8,2019-01-16,2024-09-03,120,2177,5.96,5.87,1811176.59,Corporate,Construction,West,4,High Churn Risk,Medium Value,43.49,Immediate retention intervention required,59
C0179,32,43222736.0,2019-05-20,2024-07-21,164,2053,5.62,5.69,1350710.5,Government,Infrastructure,South,3,High Churn Risk,Low Value,43.39,Immediate retention intervention required,60
C0311,41,69331648.2,2019-02-03,2024-09-17,106,2159,5.91,6.94,1691015.81,Government,Infrastructure,North,4,High Churn Risk,High Value,43.35,Immediate retention intervention required,61
C0153,56,108200489.6,2019-01-17,2024-12-12,20,2176,5.96,9.4,1932151.6,Retail,Rental,East,4,Active,High Value,43.34,Maintain engagement and encourage repeat purchases,62
C0464,38,67405736.8,2019-01-18,2024-09-13,110,2175,5.95,6.38,1773835.18,Corporate,Infrastructure,North,1,High Churn Risk,High Value,43.3,Immediate retention intervention required,63
C0438,39,61720027.0,2019-06-17,2024-09-01,122,2025,5.54,7.03,1582564.79,Corporate,Rental,East,2,High Churn Risk,Medium Value,43.21,Immediate retention intervention required,64
C0092,36,46760586.8,2019-01-17,2024-07-30,155,2176,5.96,6.04,1298905.19,Fleet Owner,Logistics,West,2,High Churn Risk,Low Value,43.19,Immediate retention intervention required,65
C0240,46,92835709.4,2019-02-19,2024-11-10,52,2143,5.87,7.84,2018167.6,Corporate,Manufacturing,South,1,Recently At Risk,High Value,43.01,Run targeted re-engagement campaign,66
C0476,34,73746173.2,2019-01-13,2024-09-29,94,2180,5.97,5.7,2169005.09,Fleet Owner,Infrastructure,North,3,High Churn Risk,High Value,42.97,Immediate retention intervention required,67
C0047,30,57880918.0,2019-04-06,2024-08-25,129,2097,5.74,5.23,1929363.93,Corporate,Rental,West,5,High Churn Risk,Medium Value,42.96,Immediate retention intervention required,68
C0005,45,74996415.4,2019-02-28,2024-10-04,89,2134,5.84,7.7,1666587.01,Dealer,Construction,West,2,At Risk,High Value,42.6,Prioritize retention outreach and personalized offers,69
C0463,35,55370560.0,2019-01-10,2024-08-22,132,2183,5.98,5.86,1582016.0,Dealer,Mining,West,4,High Churn Risk,Medium Value,42.53,Immediate retention intervention required,70
C0156,33,67117436.4,2019-01-14,2024-09-17,106,2179,5.97,5.53,2033861.71,Government,Manufacturing,South,5,High Churn Risk,High Value,42.53,Immediate retention intervention required,71
C0440,44,82426773.6,2019-01-29,2024-10-21,72,2164,5.92,7.43,1873335.76,Retail,Manufacturing,South,5,At Risk,High Value,42.51,Prioritize retention outreach and personalized offers,72
C0031,34,50500841.8,2019-04-11,2024-08-13,141,2092,5.73,5.94,1485318.88,Government,Mining,East,4,High Churn Risk,Medium Value,42.23,Immediate retention intervention required,73
C0163,38,46377823.0,2019-06-02,2024-08-05,149,2040,5.59,6.8,1220469.03,Dealer,Logistics,West,5,High Churn Risk,Low Value,42.05,Immediate retention intervention required,74
C0143,27,44644618.2,2019-01-11,2024-08-02,152,2182,5.97,4.52,1653504.38,Corporate,Infrastructure,South,3,High Churn Risk,Low Value,41.91,Immediate retention intervention required,75
C0030,32,58263942.8,2019-01-30,2024-09-02,121,2163,5.92,5.4,1820748.21,Corporate,Construction,South,5,High Churn Risk,Medium Value,41.76,Immediate retention intervention required,76
C0385,37,67435700.6,2019-07-27,2024-09-23,100,1985,5.43,6.81,1822586.5,Corporate,Manufacturing,West,2,High Churn Risk,High Value,41.64,Immediate retention intervention required,77
C0228,34,61132479.4,2019-03-27,2024-09-10,113,2107,5.77,5.89,1798014.1,Government,Construction,South,3,High Churn Risk,Medium Value,41.49,Immediate retention intervention required,78
C0235,38,60478356.4,2019-05-08,2024-09-10,113,2065,5.65,6.72,1591535.69,Fleet Owner,Mining,East,5,High Churn Risk,Medium Value,41.24,Immediate retention intervention required,79
C0197,47,77464617.6,2019-02-22,2024-10-18,75,2140,5.86,8.02,1648183.35,Government,Manufacturing,West,2,At Risk,High Value,41.17,Prioritize retention outreach and personalized offers,80
C0495,48,94540537.6,2019-01-28,2024-11-25,37,2165,5.93,8.1,1969594.53,Fleet Owner,Infrastructure,North,2,Recently At Risk,High Value,41.13,Run targeted re-engagement campaign,81
C0293,36,66815451.4,2019-01-19,2024-09-25,98,2174,5.95,6.05,1855984.76,Dealer,Logistics,West,3,High Churn Risk,Medium Value,41.08,Immediate retention intervention required,82
C0324,35,52335374.8,2019-01-24,2024-08-24,130,2169,5.94,5.89,1495296.42,Corporate,Mining,South,5,High Churn Risk,Medium Value,41.07,Immediate retention intervention required,83
C0342,36,72821567.8,2019-12-04,2024-10-09,84,1855,5.08,7.09,2022821.33,Dealer,Infrastructure,North,5,At Risk,High Value,40.96,Prioritize retention outreach and personalized offers,84
C0420,46,92482888.8,2019-01-10,2024-11-22,40,2183,5.98,7.7,2010497.58,Retail,Rental,South,3,Recently At Risk,High Value,40.87,Run targeted re-engagement campaign,85
C0237,44,74820743.4,2019-01-28,2024-10-15,78,2165,5.93,7.42,1700471.44,Dealer,Infrastructure,South,5,At Risk,High Value,40.7,Prioritize retention outreach and personalized offers,86
C0042,41,73882726.2,2019-01-25,2024-10-13,80,2168,5.94,6.91,1802017.71,Fleet Owner,Rental,South,4,At Risk,High Value,40.68,Prioritize retention outreach and personalized offers,87
C0371,47,82052808.0,2019-01-03,2024-11-02,60,2190,6.0,7.84,1745804.43,Retail,Rental,South,3,Recently At Risk,High Value,40.36,Run targeted re-engagement campaign,88
C0365,39,60336743.2,2019-01-04,2024-09-15,108,2189,5.99,6.51,1547095.98,Government,Manufacturing,East,1,High Churn Risk,Medium Value,40.36,Immediate retention intervention required,89
C0182,29,40856091.0,2019-03-03,2024-08-03,151,2131,5.83,4.97,1408830.72,Dealer,Infrastructure,East,5,High Churn Risk,Low Value,40.34,Immediate retention intervention required,90
C0260,32,55524668.6,2019-08-24,2024-09-05,118,1957,5.36,5.97,1735145.89,Dealer,Logistics,South,5,High Churn Risk,Medium Value,40.25,Immediate retention intervention required,91
C0024,44,60658309.2,2019-01-22,2024-09-17,106,2171,5.94,7.4,1378597.94,Dealer,Rental,South,4,High Churn Risk,Medium Value,40.14,Immediate retention intervention required,92
C0375,42,81286325.6,2019-02-20,2024-11-03,59,2142,5.86,7.16,1935388.7,Fleet Owner,Mining,West,1,Recently At Risk,High Value,39.91,Run targeted re-engagement campaign,93
C0085,37,60463527.2,2019-01-01,2024-09-20,103,2192,6.0,6.17,1634149.38,Retail,Mining,South,4,High Churn Risk,Medium Value,39.57,Immediate retention intervention required,94
C0062,36,78963082.0,2019-03-18,2024-10-31,62,2116,5.79,6.21,2193418.94,Dealer,Construction,South,1,At Risk,High Value,39.55,Prioritize retention outreach and personalized offers,95
C0013,44,76843692.4,2019-01-02,2024-10-27,66,2191,6.0,7.34,1746447.55,Dealer,Construction,West,2,At Risk,High Value,39.44,Prioritize retention outreach and personalized offers,96
C0256,30,58794725.4,2019-01-03,2024-09-19,104,2190,6.0,5.0,1959824.18,Corporate,Infrastructure,North East,4,High Churn Risk,Medium Value,39.12,Immediate retention intervention required,97
C0341,36,66838579.4,2019-03-10,2024-10-07,86,2124,5.82,6.19,1856627.21,Fleet Owner,Mining,North,5,At Risk,High Value,39.08,Prioritize retention outreach and personalized offers,98
C0415,33,68592455.6,2019-03-21,2024-10-11,82,2113,5.79,5.7,2078559.26,Government,Infrastructure,North East,1,At Risk,High Value,39.06,Prioritize retention outreach and personalized offers,99
C0450,38,55345960.4,2019-01-15,2024-09-12,111,2178,5.96,6.37,1456472.64,Fleet Owner,Construction,East,5,High Churn Risk,Medium Value,39.01,Immediate retention intervention required,100
C0462,49,82777824.6,2019-01-06,2024-11-13,49,2187,5.99,8.18,1689343.36,Retail,Logistics,South,5,Recently At Risk,High Value,38.79,Run targeted re-engagement campaign,101
C0380,50,77887431.8,2019-01-29,2024-11-03,59,2164,5.92,8.44,1557748.64,Fleet Owner,Manufacturing,South,5,Recently At Risk,High Value,38.65,Run targeted re-engagement campaign,102
C0212,31,45262151.0,2019-02-01,2024-08-23,131,2161,5.92,5.24,1460069.39,Retail,Infrastructure,North East,4,High Churn Risk,Low Value,38.63,Immediate retention intervention required,103
C0129,36,76393252.6,2019-01-06,2024-10-31,62,2187,5.99,6.01,2122034.79,Corporate,Mining,North,5,At Risk,High Value,38.6,Prioritize retention outreach and personalized offers,104
C0246,35,77080113.6,2019-01-26,2024-11-02,60,2167,5.93,5.9,2202288.96,Retail,Manufacturing,North,2,Recently At Risk,High Value,38.52,Run targeted re-engagement campaign,105
C0299,34,48095055.8,2019-01-24,2024-08-30,124,2169,5.94,5.73,1414560.46,Retail,Logistics,South,1,High Churn Risk,Low Value,38.5,Immediate retention intervention required,106
C0419,31,61514207.2,2019-03-05,2024-09-30,93,2129,5.83,5.32,1984329.26,Fleet Owner,Logistics,West,1,High Churn Risk,Medium Value,38.28,Immediate retention intervention required,107
C0424,35,58183379.4,2019-03-22,2024-09-23,100,2112,5.78,6.05,1662382.27,Retail,Construction,West,4,High Churn Risk,Medium Value,38.22,Immediate retention intervention required,108
C0295,38,65390145.6,2019-03-07,2024-10-09,84,2127,5.82,6.53,1720793.31,Corporate,Mining,East,5,At Risk,Medium Value,38.21,Prioritize retention outreach and personalized offers,109
C0117,31,38951277.4,2019-01-01,2024-08-12,142,2192,6.0,5.17,1256492.82,Government,Mining,North East,3,High Churn Risk,Low Value,38.13,Immediate retention intervention required,110
C0102,34,71864051.2,2019-03-11,2024-10-24,69,2123,5.81,5.85,2113648.56,Government,Infrastructure,East,4,At Risk,High Value,38.1,Prioritize retention outreach and personalized offers,111
C0313,30,48205237.4,2019-05-28,2024-09-02,121,2045,5.6,5.36,1606841.25,Corporate,Mining,West,1,High Churn Risk,Low Value,38.04,Immediate retention intervention required,112
C0032,44,71991263.0,2019-01-23,2024-10-25,68,2170,5.94,7.41,1636165.07,Government,Logistics,West,5,At Risk,High Value,37.98,Prioritize retention outreach and personalized offers,113
C0158,36,58875735.2,2019-03-03,2024-09-26,97,2131,5.83,6.17,1635437.09,Corporate,Infrastructure,East,2,High Churn Risk,Medium Value,37.98,Immediate retention intervention required,114
C0417,32,51984530.4,2019-12-18,2024-09-11,112,1841,5.04,6.35,1624516.58,Fleet Owner,Mining,East,3,High Churn Risk,Medium Value,37.94,Immediate retention intervention required,115
C0268,32,63709103.6,2019-01-21,2024-10-07,86,2172,5.95,5.38,1990909.49,Government,Mining,West,3,At Risk,Medium Value,37.93,Prioritize retention outreach and personalized offers,116
C0339,24,40193008.4,2019-05-01,2024-08-16,138,2072,5.67,4.23,1674708.68,Fleet Owner,Logistics,South,2,High Churn Risk,Low Value,37.92,Immediate retention intervention required,117
C0314,36,58625243.8,2019-01-22,2024-09-26,97,2171,5.94,6.06,1628478.99,Retail,Logistics,East,1,High Churn Risk,Medium Value,37.88,Immediate retention intervention required,118
C0483,47,96130859.2,2019-02-20,2024-12-18,14,2142,5.86,8.01,2045337.43,Corporate,Rental,North,1,Active,High Value,37.88,Maintain engagement and encourage repeat purchases,119
C0134,48,85243025.2,2019-03-03,2024-11-24,38,2131,5.83,8.23,1775896.36,Fleet Owner,Infrastructure,West,5,Recently At Risk,High Value,37.86,Run targeted re-engagement campaign,120
C0429,42,69444114.2,2019-02-08,2024-10-21,72,2154,5.9,7.12,1653431.29,Fleet Owner,Logistics,West,3,At Risk,High Value,37.71,Prioritize retention outreach and personalized offers,121
C0406,32,64818334.4,2019-02-25,2024-10-11,82,2137,5.85,5.47,2025572.95,Dealer,Logistics,West,3,At Risk,Medium Value,37.67,Prioritize retention outreach and personalized offers,122
C0021,45,59956738.4,2019-01-16,2024-10-01,92,2177,5.96,7.55,1332371.96,Corporate,Mining,South,5,High Churn Risk,Medium Value,37.54,Immediate retention intervention required,123
C0435,50,73908258.2,2019-10-11,2024-11-01,61,1909,5.23,9.57,1478165.16,Dealer,Manufacturing,South,4,At Risk,High Value,37.52,Prioritize retention outreach and personalized offers,124
C0241,39,73396972.0,2019-02-01,2024-10-31,62,2161,5.92,6.59,1881973.64,Government,Construction,West,1,At Risk,High Value,37.5,Prioritize retention outreach and personalized offers,125
C0475,55,94883375.2,2019-01-19,2024-12-18,14,2174,5.95,9.24,1725152.28,Fleet Owner,Construction,East,3,Active,High Value,37.42,Maintain engagement and encourage repeat purchases,126
C0200,47,84469856.6,2019-02-09,2024-11-25,37,2153,5.89,7.97,1797230.99,Retail,Logistics,East,2,Recently At Risk,High Value,37.41,Run targeted re-engagement campaign,127
C0358,36,59405501.6,2019-04-17,2024-10-01,92,2086,5.71,6.3,1650152.82,Government,Infrastructure,West,4,High Churn Risk,Medium Value,37.34,Immediate retention intervention required,128
C0359,46,85617784.0,2019-02-12,2024-11-28,34,2150,5.89,7.81,1861256.17,Fleet Owner,Mining,South,3,Recently At Risk,High Value,37.33,Run targeted re-engagement campaign,129
C0485,28,59146123.8,2019-01-14,2024-10-01,92,2179,5.97,4.69,2112361.56,Fleet Owner,Rental,West,1,High Churn Risk,Medium Value,37.24,Immediate retention intervention required,130
C0196,48,71291851.6,2019-01-09,2024-10-28,65,2184,5.98,8.03,1485246.91,Fleet Owner,Rental,North East,3,At Risk,High Value,37.22,Prioritize retention outreach and personalized offers,131
C0101,38,62629058.6,2019-02-26,2024-10-10,83,2136,5.85,6.5,1648133.12,Corporate,Logistics,South,5,At Risk,Medium Value,37.02,Prioritize retention outreach and personalized offers,132
C0178,54,89493824.6,2019-01-22,2024-12-09,23,2171,5.94,9.08,1657293.05,Dealer,Logistics,East,1,Active,High Value,36.93,Maintain engagement and encourage repeat purchases,133
C0258,28,62250978.4,2019-02-04,2024-10-10,83,2158,5.91,4.74,2223249.23,Corporate,Mining,South,2,At Risk,Medium Value,36.89,Prioritize retention outreach and personalized offers,134
C0048,31,49413459.2,2019-04-05,2024-09-12,111,2098,5.74,5.4,1593982.55,Dealer,Mining,South,3,High Churn Risk,Medium Value,36.82,Immediate retention intervention required,135
C0100,38,48373950.0,2019-01-25,2024-09-10,113,2168,5.94,6.4,1272998.68,Government,Construction,North,3,High Churn Risk,Low Value,36.77,Immediate retention intervention required,136
C0169,40,69450095.6,2019-03-25,2024-10-27,66,2109,5.77,6.93,1736252.39,Fleet Owner,Construction,West,4,At Risk,High Value,36.71,Prioritize retention outreach and personalized offers,137
C0206,40,89674652.2,2019-01-08,2024-12-11,21,2185,5.98,6.69,2241866.31,Retail,Construction,West,3,Active,High Value,36.66,Maintain engagement and encourage repeat purchases,138
C0144,25,39589546.2,2019-04-02,2024-08-23,131,2101,5.75,4.35,1583581.85,Fleet Owner,Construction,West,2,High Churn Risk,Low Value,36.53,Immediate retention intervention required,139
C0409,45,60821412.6,2019-01-19,2024-10-09,84,2174,5.95,7.56,1351586.95,Government,Logistics,West,1,At Risk,Medium Value,36.52,Prioritize retention outreach and personalized offers,140
C0468,49,75254807.6,2019-05-10,2024-11-10,52,2063,5.65,8.68,1535812.4,Fleet Owner,Rental,South,1,Recently At Risk,High Value,36.51,Run targeted re-engagement campaign,141
C0283,31,44490975.8,2019-04-14,2024-09-04,119,2089,5.72,5.42,1435192.77,Retail,Logistics,North,1,High Churn Risk,Low Value,36.34,Immediate retention intervention required,142
C0162,28,62233145.6,2019-07-05,2024-10-14,79,2007,5.49,5.1,2222612.34,Retail,Mining,East,4,At Risk,Medium Value,36.21,Prioritize retention outreach and personalized offers,143
C0046,46,87078641.0,2019-02-03,2024-12-09,23,2159,5.91,7.78,1893013.93,Retail,Rental,West,3,Active,High Value,36.04,Maintain engagement and encourage repeat purchases,144
C0119,51,67143205.2,2019-01-07,2024-10-26,67,2186,5.98,8.52,1316533.44,Government,Manufacturing,West,4,At Risk,High Value,36.02,Prioritize retention outreach and personalized offers,145
C0466,47,88329161.4,2019-03-19,2024-12-13,19,2115,5.79,8.12,1879343.86,Retail,Manufacturing,South,3,Active,High Value,35.83,Maintain engagement and encourage repeat purchases,146
C0318,36,62202116.0,2019-01-08,2024-10-17,76,2185,5.98,6.02,1727836.56,Corporate,Logistics,North,3,At Risk,Medium Value,35.7,Prioritize retention outreach and personalized offers,147
C0202,28,50389917.2,2019-09-19,2024-09-21,102,1931,5.29,5.3,1799639.9,Government,Logistics,North,4,High Churn Risk,Medium Value,35.68,Immediate retention intervention required,148
C0361,32,52532617.8,2019-01-15,2024-09-26,97,2178,5.96,5.37,1641644.31,Government,Logistics,South,5,High Churn Risk,Medium Value,35.63,Immediate retention intervention required,149
C0334,33,37526956.6,2019-01-03,2024-08-24,130,2190,6.0,5.5,1137180.5,Corporate,Mining,South,5,High Churn Risk,Low Value,35.6,Immediate retention intervention required,150
C0123,36,70019319.0,2019-01-16,2024-11-04,58,2177,5.96,6.04,1944981.08,Corporate,Infrastructure,East,3,Recently At Risk,High Value,35.58,Run targeted re-engagement campaign,151
