customer_id,customer_type,industry_segment,region,unique_products_purchased,total_product_units,total_product_revenue,total_product_gross_value,avg_revenue_per_product,product_diversification_class,cross_sell_opportunity_score,cross_sell_opportunity_class,cross_sell_priority_rank,action_focus
C0103,Dealer,Infrastructure,South,30,2899,59164240,75304293.2,1972141.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,60,Maintain product engagement and monitor purchasing breadth
C0045,Corporate,Rental,East,30,2924,59085670,75275350.6,1969522.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,61,Maintain product engagement and monitor purchasing breadth
C0468,Fleet Owner,Rental,South,30,3438,59022070,75254807.6,1967402.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,62,Maintain product engagement and monitor purchasing breadth
C0005,Dealer,Construction,West,30,3231,58882280,74996415.4,1962742.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,63,Maintain product engagement and monitor purchasing breadth
C0237,Dealer,Infrastructure,South,30,2630,58676380,74820743.4,1955879.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,64,Maintain product engagement and monitor purchasing breadth
C0250,Government,Infrastructure,East,30,3065,58330380,74416923.4,1944346.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,65,Maintain product engagement and monitor purchasing breadth
C0154,Fleet Owner,Logistics,North,30,3072,58187170,74171590.6,1939572.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,66,Maintain product engagement and monitor purchasing breadth
C0215,Corporate,Rental,South,30,3690,58120530,73940925.4,1937351.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,67,Maintain product engagement and monitor purchasing breadth
C0435,Dealer,Manufacturing,South,30,3145,57957990,73908258.2,1931933.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,68,Maintain product engagement and monitor purchasing breadth
C0042,Fleet Owner,Rental,South,30,2976,57941340,73882726.2,1931378.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,69,Maintain product engagement and monitor purchasing breadth
C0482,Fleet Owner,Logistics,East,30,2461,57846740,73762403.2,1928224.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,70,Maintain product engagement and monitor purchasing breadth
C0476,Fleet Owner,Infrastructure,North,30,2297,57777740,73746173.2,1925924.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,71,Maintain product engagement and monitor purchasing breadth
C0307,Dealer,Manufacturing,West,30,2971,57776220,73655534.6,1925874.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,72,Maintain product engagement and monitor purchasing breadth
C0241,Government,Construction,West,30,2954,57604400,73396972.0,1920146.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,73,Maintain product engagement and monitor purchasing breadth
C0337,Corporate,Manufacturing,North,30,2707,57585510,73457151.8,1919517.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,74,Maintain product engagement and monitor purchasing breadth
C0084,Corporate,Logistics,West,30,2567,57484480,73317161.4,1916149.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,75,Maintain product engagement and monitor purchasing breadth
C0242,Government,Construction,South,30,2958,57416320,73225487.6,1913877.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,76,Maintain product engagement and monitor purchasing breadth
C0297,Fleet Owner,Rental,South,30,2775,57279920,73065015.6,1909330.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,77,Maintain product engagement and monitor purchasing breadth
C0253,Retail,Rental,West,30,3074,57279120,72946151.6,1909304.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,78,Maintain product engagement and monitor purchasing breadth
C0342,Dealer,Infrastructure,North,30,3037,57066210,72821567.8,1902207.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,79,Maintain product engagement and monitor purchasing breadth
C0300,Dealer,Mining,North,30,2801,57051500,72746205.0,1901716.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,80,Maintain product engagement and monitor purchasing breadth
C0234,Corporate,Infrastructure,West,30,2492,56717930,72295152.4,1890597.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,81,Maintain product engagement and monitor purchasing breadth
C0384,Retail,Construction,South,30,3025,56692240,72157498.2,1889741.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,82,Maintain product engagement and monitor purchasing breadth
C0411,Corporate,Mining,South,30,2748,56645350,72229183.0,1888178.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,83,Maintain product engagement and monitor purchasing breadth
C0071,Corporate,Rental,North,30,3085,56572600,72076738.0,1885753.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,84,Maintain product engagement and monitor purchasing breadth
C0063,Retail,Rental,North,30,2571,56519080,72065344.4,1883969.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,85,Maintain product engagement and monitor purchasing breadth
C0032,Government,Logistics,West,30,3015,56493850,71991263.0,1883128.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,86,Maintain product engagement and monitor purchasing breadth
C0102,Government,Infrastructure,East,30,2736,56370590,71864051.2,1879019.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,87,Maintain product engagement and monitor purchasing breadth
C0459,Retail,Logistics,East,30,2849,56361360,71816909.8,1878712.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,88,Maintain product engagement and monitor purchasing breadth
C0002,Fleet Owner,Manufacturing,South,30,3253,56261100,71712838.0,1875370.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,89,Maintain product engagement and monitor purchasing breadth
C0196,Fleet Owner,Rental,North East,30,3059,55921870,71291851.6,1864062.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,90,Maintain product engagement and monitor purchasing breadth
C0255,Retail,Infrastructure,South,30,3237,55876690,71144094.2,1862556.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,91,Maintain product engagement and monitor purchasing breadth
C0016,Government,Rental,East,30,2646,55572340,70872336.2,1852411.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,92,Maintain product engagement and monitor purchasing breadth
C0160,Retail,Rental,West,30,2817,55534390,70762190.2,1851146.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,93,Maintain product engagement and monitor purchasing breadth
C0186,Fleet Owner,Infrastructure,East,30,2815,55408900,70676837.0,1846963.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,94,Maintain product engagement and monitor purchasing breadth
C0489,Fleet Owner,Rental,South,30,3064,55400350,70625273.0,1846678.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,95,Maintain product engagement and monitor purchasing breadth
C0025,Corporate,Infrastructure,West,30,2887,55220350,70349653.0,1840678.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,96,Maintain product engagement and monitor purchasing breadth
C0123,Corporate,Infrastructure,East,30,2644,54900300,70019319.0,1830010.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,97,Maintain product engagement and monitor purchasing breadth
C0394,Government,Construction,South,30,2924,54868190,69936379.2,1828939.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,98,Maintain product engagement and monitor purchasing breadth
C0306,Fleet Owner,Manufacturing,East,30,2649,54784400,69813587.0,1826146.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,99,Maintain product engagement and monitor purchasing breadth
C0373,Corporate,Manufacturing,South,30,2794,54767460,69753317.8,1825582.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,100,Maintain product engagement and monitor purchasing breadth
C0284,Corporate,Manufacturing,East,30,3035,54612880,69641823.4,1820429.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,101,Maintain product engagement and monitor purchasing breadth
C0109,Retail,Mining,South,30,3308,54539050,69451949.0,1817968.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,102,Maintain product engagement and monitor purchasing breadth
C0429,Fleet Owner,Logistics,West,30,2699,54510440,69444114.2,1817014.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,103,Maintain product engagement and monitor purchasing breadth
C0169,Fleet Owner,Construction,West,30,2751,54509920,69450095.6,1816997.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,104,Maintain product engagement and monitor purchasing breadth
C0421,Retail,Construction,South,30,2798,54492210,69466242.8,1816407.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,105,Maintain product engagement and monitor purchasing breadth
C0166,Fleet Owner,Manufacturing,West,30,2613,54482720,69504759.6,1816090.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,106,Maintain product engagement and monitor purchasing breadth
C0282,Government,Logistics,East,30,3200,54475470,69381309.60000001,1815849.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,107,Maintain product engagement and monitor purchasing breadth
C0311,Government,Infrastructure,North,30,2780,54370990,69331648.2,1812366.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,108,Maintain product engagement and monitor purchasing breadth
C0225,Fleet Owner,Logistics,North,30,2791,54324600,69254158.0,1810820.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,109,Maintain product engagement and monitor purchasing breadth
C0192,Fleet Owner,Logistics,East,30,2569,54295880,69269688.4,1809862.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,110,Maintain product engagement and monitor purchasing breadth
C0128,Retail,Mining,West,30,2377,54226840,69172996.2,1807561.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,111,Maintain product engagement and monitor purchasing breadth
C0009,Corporate,Rental,West,30,2677,54041610,68836324.8,1801387.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,112,Maintain product engagement and monitor purchasing breadth
C0415,Government,Infrastructure,North East,30,2815,53841670,68592455.6,1794722.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,113,Maintain product engagement and monitor purchasing breadth
C0377,Dealer,Logistics,West,30,2676,53755340,68519191.2,1791844.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,114,Maintain product engagement and monitor purchasing breadth
C0469,Government,Manufacturing,North,30,2820,53714930,68502617.4,1790497.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,115,Maintain product engagement and monitor purchasing breadth
C0448,Fleet Owner,Logistics,East,30,2526,53706280,68495840.4,1790209.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,116,Maintain product engagement and monitor purchasing breadth
C0374,Corporate,Manufacturing,West,30,2948,53669570,68389697.6,1788985.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,117,Maintain product engagement and monitor purchasing breadth
C0343,Corporate,Construction,West,30,2672,53611870,68419201.6,1787062.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,118,Maintain product engagement and monitor purchasing breadth
C0383,Fleet Owner,Infrastructure,North,30,2781,53480050,68192154.0,1782668.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,119,Maintain product engagement and monitor purchasing breadth
C0270,Corporate,Manufacturing,North,30,2811,53374960,68114112.8,1779165.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,120,Maintain product engagement and monitor purchasing breadth
C0041,Government,Rental,South,30,2815,53358620,68044561.6,1778620.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,121,Maintain product engagement and monitor purchasing breadth
C0331,Dealer,Logistics,North,30,3332,53327060,67826105.8,1777568.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,122,Maintain product engagement and monitor purchasing breadth
C0425,Dealer,Manufacturing,South,30,2543,53232320,67882732.6,1774410.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,123,Maintain product engagement and monitor purchasing breadth
C0193,Dealer,Infrastructure,West,30,2665,53179600,67795348.0,1772653.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,124,Maintain product engagement and monitor purchasing breadth
C0247,Corporate,Logistics,East,30,2862,53174220,67759559.6,1772474.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,125,Maintain product engagement and monitor purchasing breadth
C0464,Corporate,Infrastructure,North,30,2841,52908510,67405736.8,1763617.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,126,Maintain product engagement and monitor purchasing breadth
C0385,Corporate,Manufacturing,West,30,2706,52865670,67435700.6,1762189.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,127,Maintain product engagement and monitor purchasing breadth
C0488,Government,Construction,South,30,2909,52826960,67251532.8,1760898.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,128,Maintain product engagement and monitor purchasing breadth
C0276,Dealer,Manufacturing,Central,30,2840,52803770,67350598.6,1760125.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,129,Maintain product engagement and monitor purchasing breadth
C0264,Retail,Infrastructure,West,30,2396,52753710,67321592.8,1758457.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,130,Maintain product engagement and monitor purchasing breadth
C0119,Government,Manufacturing,West,30,2990,52748640,67143205.2,1758288.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,131,Maintain product engagement and monitor purchasing breadth
C0156,Government,Manufacturing,South,30,2408,52631480,67117436.4,1754382.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,132,Maintain product engagement and monitor purchasing breadth
C0176,Dealer,Logistics,South,30,2872,52504460,66901722.8,1750148.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,133,Maintain product engagement and monitor purchasing breadth
C0341,Fleet Owner,Mining,North,30,2657,52480080,66838579.4,1749336.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,134,Maintain product engagement and monitor purchasing breadth
C0293,Dealer,Logistics,West,30,2816,52424230,66815451.4,1747474.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,135,Maintain product engagement and monitor purchasing breadth
C0428,Retail,Construction,North,30,2922,52052170,66337820.6,1735072.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,136,Maintain product engagement and monitor purchasing breadth
C0414,Dealer,Construction,South,30,2477,52044170,66316815.6,1734805.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,137,Maintain product engagement and monitor purchasing breadth
C0141,Corporate,Rental,West,30,2432,51926540,66220737.2,1730884.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,138,Maintain product engagement and monitor purchasing breadth
C0326,Government,Mining,East,30,2853,51922180,66177447.4,1730739.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,139,Maintain product engagement and monitor purchasing breadth
C0213,Fleet Owner,Rental,West,30,2213,51921070,66248437.6,1730702.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,140,Maintain product engagement and monitor purchasing breadth
C0422,Government,Construction,South,30,2655,51607190,65678984.2,1720239.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,141,Maintain product engagement and monitor purchasing breadth
C0191,Corporate,Manufacturing,South,30,2165,51572860,65787839.8,1719095.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,142,Maintain product engagement and monitor purchasing breadth
C0006,Government,Construction,West,30,2737,51412280,65482805.4,1713742.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,143,Maintain product engagement and monitor purchasing breadth
C0471,Fleet Owner,Logistics,West,30,2635,51389940,65501994.199999996,1712998.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,144,Maintain product engagement and monitor purchasing breadth
C0209,Corporate,Infrastructure,East,30,2910,51373630,65445658.4,1712454.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,145,Maintain product engagement and monitor purchasing breadth
C0295,Corporate,Mining,East,30,2729,51330170,65390145.6,1711005.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,146,Maintain product engagement and monitor purchasing breadth
C0312,Government,Construction,West,30,2689,51311620,65437706.6,1710387.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,147,Maintain product engagement and monitor purchasing breadth
C0149,Government,Manufacturing,West,30,2566,51241680,65235052.4,1708056.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,148,Maintain product engagement and monitor purchasing breadth
C0491,Dealer,Infrastructure,South,30,2384,51140830,65215944.4,1704694.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,149,Maintain product engagement and monitor purchasing breadth
C0443,Dealer,Infrastructure,East,30,2766,50982660,64951558.800000004,1699422.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,150,Maintain product engagement and monitor purchasing breadth
C0498,Fleet Owner,Construction,East,30,2120,50845460,64864362.8,1694848.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,151,Maintain product engagement and monitor purchasing breadth
C0406,Dealer,Logistics,West,30,2312,50826330,64818334.4,1694211.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,152,Maintain product engagement and monitor purchasing breadth
C0369,Government,Manufacturing,West,30,2597,50690940,64656844.2,1689698.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,153,Maintain product engagement and monitor purchasing breadth
C0396,Government,Manufacturing,West,30,2731,50680080,64506474.4,1689336.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,154,Maintain product engagement and monitor purchasing breadth
C0460,Dealer,Logistics,South,30,2571,50664330,64634814.4,1688811.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,155,Maintain product engagement and monitor purchasing breadth
