customer_id,customer_type,industry_segment,region,credit_limit,customer_rating,first_purchase_date,last_purchase_date,customer_tenure_days,recency_days,delivered_order_count,total_revenue,average_order_value,recency_segment,frequency_segment,monetary_segment,recency_score,frequency_score,monetary_score,retention_score,churn_risk_score,churn_risk_class,retention_class,retention_priority_score,retention_priority_rank
C0412,Corporate,Infrastructure,East,699539,3,2019-04-20,2024-05-28,2083,218,32,43246987.6,1351468.3625,Churning Customer,High Frequency,Low Value,30,27.1,11.0,24.52,75.48,High Churn Risk,Weakly Retained,30.17,19
C0498,Fleet Owner,Construction,East,502514,3,2019-03-01,2024-08-19,2133,135,28,64864362.8,2316584.3857142855,At Risk Customer,Medium Frequency,Medium-High Value,60,8.4,71.8,50.05,49.95,Low Churn Risk,Moderately Retained,29.94,20
C0029,Dealer,Construction,South,403949,1,2019-01-16,2024-06-30,2177,185,38,58176890.6,1530970.805263158,Churning Customer,High Frequency,Medium-High Value,30,66.10000000000001,52.2,44.58,55.42,Medium Churn Risk,Moderately Retained,29.8,21
C0485,Fleet Owner,Rental,West,581553,1,2019-01-14,2024-10-01,2179,92,28,59146123.8,2112361.564285714,At Risk Customer,Medium Frequency,Medium-High Value,60,8.4,55.00000000000001,45.85,54.15,Medium Churn Risk,Moderately Retained,29.6,22
C0321,Retail,Logistics,South,33291,2,2019-01-04,2024-06-28,2189,187,38,54558976.4,1435762.5368421052,Churning Customer,High Frequency,Medium-Low Value,30,66.10000000000001,39.2,41.32,58.68,Medium Churn Risk,Moderately Retained,29.59,23
C0043,Corporate,Construction,South,387054,4,2019-04-04,2024-06-14,2099,201,36,47644638.800000004,1323462.188888889,Churning Customer,High Frequency,Low Value,30,53.300000000000004,21.2,33.62,66.38,Medium Churn Risk,Weakly Retained,29.23,24
C0213,Fleet Owner,Rental,West,192184,4,2019-02-26,2024-08-31,2136,123,30,66248437.6,2208281.2533333334,At Risk Customer,High Frequency,Medium-High Value,60,15.6,74.4,52.5,47.5,Low Churn Risk,Moderately Retained,29.08,25
C0274,Dealer,Mining,North,463140,3,2019-01-08,2024-06-27,2185,188,39,54639688.2,1401017.6461538463,Churning Customer,High Frequency,Medium-Low Value,30,71.7,39.800000000000004,42.88,57.12,Medium Churn Risk,Moderately Retained,28.84,26
C0256,Corporate,Infrastructure,North East,930018,4,2019-01-03,2024-09-19,2190,104,30,58794725.4,1959824.18,At Risk Customer,High Frequency,Medium-High Value,60,15.6,53.6,47.3,52.7,Medium Churn Risk,Moderately Retained,28.64,27
C0047,Corporate,Rental,West,425838,5,2019-04-06,2024-08-25,2097,129,30,57880918.0,1929363.9333333333,At Risk Customer,High Frequency,Medium-High Value,60,15.6,51.2,46.7,53.3,Medium Churn Risk,Moderately Retained,28.51,28
C0202,Government,Logistics,North,1402130,4,2019-09-19,2024-09-21,1931,102,28,50389917.2,1799639.9000000001,At Risk Customer,Medium Frequency,Medium-Low Value,60,8.4,29.2,39.4,60.6,Medium Churn Risk,Weakly Retained,28.22,29
C0226,Dealer,Logistics,West,400547,5,2019-01-22,2024-09-28,2171,95,26,47025541.0,1808674.6538461538,At Risk Customer,Medium Frequency,Low Value,60,2.3,18.8,35.28,64.72,Medium Churn Risk,Weakly Retained,28.13,30
C0419,Fleet Owner,Logistics,West,344338,1,2019-03-05,2024-09-30,2129,93,31,61514207.2,1984329.2645161292,At Risk Customer,High Frequency,Medium-High Value,60,21.0,63.2,51.05,48.95,Low Churn Risk,Moderately Retained,27.83,31
C0265,Retail,Mining,West,18495,1,2019-02-19,2024-09-27,2143,96,29,47931619.6,1652814.4689655174,At Risk Customer,Medium Frequency,Low Value,60,11.5,21.4,38.22,61.78,Medium Churn Risk,Weakly Retained,27.37,32
C0238,Corporate,Construction,South,299342,5,2019-01-22,2024-03-25,2171,282,30,36717219.2,1223907.3066666669,Churning Customer,High Frequency,Low Value,30,15.6,3.4000000000000004,19.75,80.25,High Churn Risk,Weakly Retained,27.23,33
C0053,Fleet Owner,Construction,North,406292,5,2019-05-16,2024-09-18,2057,105,27,45016037.4,1667260.6444444444,At Risk Customer,Medium Frequency,Low Value,60,5.1,14.399999999999999,34.88,65.12,Medium Churn Risk,Weakly Retained,27.09,34
C0431,Government,Logistics,West,1284393,5,2019-06-09,2024-07-05,2033,180,28,45787279.2,1635259.9714285715,At Risk Customer,Medium Frequency,Low Value,60,8.4,16.0,36.1,63.9,Medium Churn Risk,Weakly Retained,27.04,35
C0260,Dealer,Logistics,South,127019,5,2019-08-24,2024-09-05,1957,118,32,55524668.6,1735145.89375,At Risk Customer,High Frequency,Medium-Low Value,60,27.1,42.4,47.38,52.62,Medium Churn Risk,Moderately Retained,27.0,36
C0143,Corporate,Infrastructure,South,915191,3,2019-01-11,2024-08-02,2182,152,27,44644618.2,1653504.3777777778,At Risk Customer,Medium Frequency,Low Value,60,5.1,13.4,34.62,65.38,Medium Churn Risk,Weakly Retained,26.98,37
C0030,Corporate,Construction,South,501072,5,2019-01-30,2024-09-02,2163,121,32,58263942.8,1820748.2125,At Risk Customer,High Frequency,Medium-High Value,60,27.1,53.0,50.02,49.98,Low Churn Risk,Moderately Retained,26.91,38
C0313,Corporate,Mining,West,821603,1,2019-05-28,2024-09-02,2045,121,30,48205237.4,1606841.2466666666,At Risk Customer,High Frequency,Low Value,60,15.6,23.0,39.65,60.35,Medium Churn Risk,Weakly Retained,26.89,39
C0361,Government,Logistics,South,623046,5,2019-01-15,2024-09-26,2178,97,32,52532617.8,1641644.30625,At Risk Customer,High Frequency,Medium-Low Value,60,27.1,34.2,45.32,54.68,Medium Churn Risk,Moderately Retained,26.55,40
C0048,Dealer,Mining,South,424609,3,2019-04-05,2024-09-12,2098,111,31,49413459.2,1593982.5548387098,At Risk Customer,High Frequency,Medium-Low Value,60,21.0,26.6,41.9,58.1,Medium Churn Risk,Moderately Retained,26.53,41
C0156,Government,Manufacturing,South,1032586,5,2019-01-14,2024-09-17,2179,106,33,67117436.4,2033861.7090909092,At Risk Customer,High Frequency,High Value,60,33.5,75.6,57.28,42.72,Low Churn Risk,Moderately Retained,26.5,42
C0417,Fleet Owner,Mining,East,587793,3,2019-12-18,2024-09-11,1841,112,32,51984530.4,1624516.575,At Risk Customer,High Frequency,Medium-Low Value,60,27.1,33.0,45.02,54.98,Medium Churn Risk,Moderately Retained,26.41,43
C0476,Fleet Owner,Infrastructure,North,209985,3,2019-01-13,2024-09-29,2180,94,34,73746173.2,2169005.094117647,At Risk Customer,High Frequency,High Value,60,39.900000000000006,87.8,61.92,38.08,Low Churn Risk,Strongly Retained,25.95,44
C0337,Corporate,Manufacturing,North,713111,2,2019-04-15,2024-08-25,2088,129,34,73457151.8,2160504.464705882,At Risk Customer,High Frequency,High Value,60,39.900000000000006,87.4,61.82,38.18,Low Churn Risk,Strongly Retained,25.92,45
C0094,Corporate,Logistics,West,206889,4,2019-01-18,2024-09-20,2175,103,31,46343009.2,1494935.7806451614,At Risk Customer,High Frequency,Low Value,60,21.0,17.2,39.55,60.45,Medium Churn Risk,Weakly Retained,25.89,46
C0212,Retail,Infrastructure,North East,24433,4,2019-02-01,2024-08-23,2161,131,31,45262151.0,1460069.3870967743,At Risk Customer,High Frequency,Low Value,60,21.0,14.799999999999999,38.95,61.05,Medium Churn Risk,Weakly Retained,25.54,47
C0283,Retail,Logistics,North,11744,1,2019-04-14,2024-09-04,2089,119,31,44490975.8,1435192.7677419353,At Risk Customer,High Frequency,Low Value,60,21.0,13.0,38.5,61.5,Medium Churn Risk,Weakly Retained,25.29,48
C0339,Fleet Owner,Logistics,South,121781,2,2019-05-01,2024-08-16,2072,138,24,40193008.4,1674708.6833333333,At Risk Customer,Medium Frequency,Low Value,60,0.7000000000000001,7.000000000000001,31.92,68.08,Medium Churn Risk,Weakly Retained,25.29,49
C0228,Government,Construction,South,1026411,3,2019-03-27,2024-09-10,2107,113,34,61132479.4,1798014.0999999999,At Risk Customer,High Frequency,Medium-High Value,60,39.900000000000006,62.0,55.48,44.52,Low Churn Risk,Moderately Retained,25.15,50
C0114,Retail,Mining,East,42285,4,2019-02-09,2024-09-27,2153,96,33,48515792.8,1470175.5393939393,At Risk Customer,High Frequency,Low Value,60,33.5,24.2,44.42,55.58,Medium Churn Risk,Moderately Retained,24.92,51
C0144,Fleet Owner,Construction,West,578368,2,2019-04-02,2024-08-23,2101,131,25,39589546.2,1583581.8480000002,At Risk Customer,Medium Frequency,Low Value,60,1.2,6.4,31.9,68.1,Medium Churn Risk,Weakly Retained,24.92,52
C0185,Dealer,Logistics,West,210864,5,2019-03-25,2024-09-16,2109,107,33,47500335.2,1439404.0969696972,At Risk Customer,High Frequency,Low Value,60,33.5,20.8,43.58,56.42,Medium Churn Risk,Moderately Retained,24.77,53
C0367,Fleet Owner,Logistics,South,747445,2,2019-02-28,2024-11-04,2134,58,27,57592654.8,2133061.288888889,Recent Customer,Medium Frequency,Medium-Low Value,80,5.1,49.6,53.68,46.32,Low Churn Risk,Moderately Retained,24.66,54
C0182,Dealer,Infrastructure,East,298476,5,2019-03-03,2024-08-03,2131,151,29,40856091.0,1408830.7241379311,At Risk Customer,Medium Frequency,Low Value,60,11.5,7.3999999999999995,34.72,65.28,Medium Churn Risk,Weakly Retained,24.65,55
C0463,Dealer,Mining,West,325255,4,2019-01-10,2024-08-22,2183,132,35,55370560.0,1582016.0,At Risk Customer,High Frequency,Medium-Low Value,60,45.9,42.199999999999996,52.02,47.98,Low Churn Risk,Moderately Retained,24.55,56
C0031,Government,Mining,East,661950,4,2019-04-11,2024-08-13,2092,141,34,50500841.8,1485318.8764705881,At Risk Customer,High Frequency,Medium-Low Value,60,39.900000000000006,29.799999999999997,47.42,52.58,Medium Churn Risk,Moderately Retained,24.54,57
C0424,Retail,Construction,West,28345,4,2019-03-22,2024-09-23,2112,100,35,58183379.4,1662382.2685714285,At Risk Customer,High Frequency,Medium-High Value,60,45.9,52.400000000000006,54.58,45.42,Low Churn Risk,Moderately Retained,24.42,58
C0116,Dealer,Construction,North,480944,1,2019-01-08,2024-07-28,2185,157,35,64081942.6,1830912.6457142858,At Risk Customer,High Frequency,Medium-High Value,60,45.9,69.8,58.92,41.08,Low Churn Risk,Moderately Retained,24.33,59
C0249,Corporate,Construction,West,817572,4,2019-01-16,2024-09-03,2177,120,35,63391180.8,1811176.5942857142,At Risk Customer,High Frequency,Medium-High Value,60,45.9,68.0,58.48,41.52,Low Churn Risk,Moderately Retained,24.33,60
C0135,Retail,Rental,South,21372,2,2019-03-09,2024-08-27,2125,127,35,62791824.6,1794052.1314285714,At Risk Customer,High Frequency,Medium-High Value,60,45.9,66.8,58.18,41.82,Low Churn Risk,Moderately Retained,24.27,61
C0316,Dealer,Manufacturing,East,254996,4,2019-03-08,2024-09-22,2126,101,33,45390754.0,1375477.393939394,At Risk Customer,High Frequency,Low Value,60,33.5,15.2,42.18,57.82,Medium Churn Risk,Moderately Retained,24.26,62
C0357,Corporate,Mining,West,573217,2,2019-01-05,2024-11-17,2188,45,28,57734552.2,2061948.2928571429,Recent Customer,Medium Frequency,Medium-Low Value,80,8.4,49.8,54.55,45.45,Low Churn Risk,Moderately Retained,24.25,63
C0299,Retail,Logistics,South,36717,1,2019-01-24,2024-08-30,2169,124,34,48095055.8,1414560.4647058824,At Risk Customer,High Frequency,Low Value,60,39.900000000000006,22.0,45.48,54.52,Medium Churn Risk,Moderately Retained,24.23,64
C0324,Corporate,Mining,South,384819,5,2019-01-24,2024-08-24,2169,130,35,52335374.8,1495296.4228571428,At Risk Customer,High Frequency,Medium-Low Value,60,45.9,34.0,49.98,50.02,Medium Churn Risk,Moderately Retained,24.19,65
C0008,Corporate,Logistics,West,941092,1,2019-03-04,2024-07-16,2130,169,34,48368868.0,1422613.7647058824,At Risk Customer,High Frequency,Low Value,60,39.900000000000006,23.799999999999997,45.92,54.08,Medium Churn Risk,Moderately Retained,24.18,66
C0179,Government,Infrastructure,South,630635,3,2019-05-20,2024-07-21,2053,164,32,43222736.0,1350710.5,At Risk Customer,High Frequency,Low Value,60,27.1,10.8,39.48,60.52,Medium Churn Risk,Weakly Retained,24.18,67
C0162,Retail,Mining,East,21937,4,2019-07-05,2024-10-14,2007,79,28,62233145.6,2222612.342857143,Recent Customer,Medium Frequency,Medium-High Value,80,8.4,65.0,58.35,41.65,Low Churn Risk,Moderately Retained,23.96,68
C0292,Corporate,Rental,Central,627266,2,2019-01-11,2024-04-28,2182,248,27,30979627.8,1147393.6222222222,Churning Customer,Medium Frequency,Low Value,30,5.1,0.8,16.47,83.53,High Churn Risk,Weakly Retained,23.92,69
C0258,Corporate,Mining,South,299133,2,2019-02-04,2024-10-10,2158,83,28,62250978.4,2223249.2285714285,Recent Customer,Medium Frequency,Medium-High Value,80,8.4,65.4,58.45,41.55,Low Churn Risk,Moderately Retained,23.9,70
C0266,Fleet Owner,Rental,South,196336,4,2019-01-22,2024-09-24,2171,99,35,50717014.0,1449057.5428571429,At Risk Customer,High Frequency,Medium-Low Value,60,45.9,30.4,49.08,50.92,Medium Churn Risk,Moderately Retained,23.87,71
C0086,Retail,Construction,West,32547,3,2019-01-12,2024-11-22,2181,40,29,59655682.6,2057092.5034482758,Recent Customer,Medium Frequency,Medium-High Value,80,11.5,56.599999999999994,57.02,42.98,Low Churn Risk,Moderately Retained,23.7,72
C0484,Fleet Owner,Mining,West,773172,1,2019-01-30,2024-11-10,2163,52,27,48200851.6,1785216.725925926,Recent Customer,Medium Frequency,Low Value,80,5.1,22.6,46.92,53.08,Medium Churn Risk,Moderately Retained,23.65,73
C0088,Corporate,Infrastructure,West,516553,1,2019-01-26,2024-08-06,2167,148,36,57330201.8,1592505.6055555556,At Risk Customer,High Frequency,Medium-Low Value,60,53.300000000000004,48.8,55.53,44.47,Low Churn Risk,Moderately Retained,23.56,74
C0233,Government,Logistics,East,1146772,3,2019-05-29,2024-10-21,2044,72,28,49889164.0,1781755.857142857,Recent Customer,Medium Frequency,Medium-Low Value,80,8.4,27.400000000000002,48.95,51.05,Medium Churn Risk,Moderately Retained,23.54,75
C0158,Corporate,Infrastructure,East,516521,2,2019-03-03,2024-09-26,2131,97,36,58875735.2,1635437.088888889,At Risk Customer,High Frequency,Medium-High Value,60,53.300000000000004,53.800000000000004,56.78,43.22,Low Churn Risk,Moderately Retained,23.52,76
C0381,Corporate,Mining,South,571520,4,2019-07-06,2024-11-17,2006,45,29,62038399.0,2139255.1379310344,Recent Customer,Medium Frequency,Medium-High Value,80,11.5,64.4,58.98,41.02,Low Churn Risk,Moderately Retained,23.52,77
C0184,Retail,Rental,South,47652,3,2019-03-12,2024-11-28,2122,34,29,61479056.4,2119967.4620689657,Recent Customer,Medium Frequency,Medium-High Value,80,11.5,63.0,58.62,41.38,Low Churn Risk,Moderately Retained,23.51,78
C0314,Retail,Logistics,East,10952,1,2019-01-22,2024-09-26,2171,97,36,58625243.800000004,1628478.9944444445,At Risk Customer,High Frequency,Medium-High Value,60,53.300000000000004,53.400000000000006,56.68,43.32,Low Churn Risk,Moderately Retained,23.47,79
C0376,Retail,Construction,North,37739,5,2019-07-01,2024-11-24,2011,38,29,52106248.6,1796767.1931034483,Recent Customer,Medium Frequency,Medium-Low Value,80,11.5,33.6,51.28,48.72,Low Churn Risk,Moderately Retained,23.46,80
C0372,Government,Logistics,South,778200,4,2019-02-15,2024-07-10,2147,175,36,52822436.0,1467289.888888889,At Risk Customer,High Frequency,Medium-Low Value,60,53.300000000000004,34.599999999999994,51.98,48.02,Low Churn Risk,Moderately Retained,23.44,81
C0358,Government,Infrastructure,West,1086668,4,2019-04-17,2024-10-01,2086,92,36,59405501.6,1650152.8222222223,At Risk Customer,High Frequency,Medium-High Value,60,53.300000000000004,56.00000000000001,57.32,42.68,Low Churn Risk,Moderately Retained,23.43,82
C0293,Dealer,Logistics,West,304956,3,2019-01-19,2024-09-25,2174,98,36,66815451.4,1855984.7611111111,At Risk Customer,High Frequency,Medium-High Value,60,53.300000000000004,75.0,62.08,37.92,Low Churn Risk,Strongly Retained,23.42,83
C0351,Corporate,Rental,East,483031,1,2019-03-29,2024-09-12,2105,111,34,44776790.6,1316964.4294117647,At Risk Customer,High Frequency,Low Value,60,39.900000000000006,13.8,43.42,56.58,Medium Churn Risk,Moderately Retained,23.41,84
C0091,Retail,Construction,South,48920,2,2019-01-09,2024-09-07,2184,116,30,39090471.8,1303015.7266666666,At Risk Customer,High Frequency,Low Value,60,15.6,5.4,35.25,64.75,Medium Churn Risk,Weakly Retained,23.39,85
C0171,Fleet Owner,Construction,South,687863,3,2019-04-27,2024-10-19,2076,74,30,55348450.2,1844948.34,Recent Customer,High Frequency,Medium-Low Value,80,15.6,41.8,54.35,45.65,Low Churn Risk,Moderately Retained,23.35,86
C0251,Dealer,Mining,North,325375,4,2019-01-09,2024-07-06,2184,179,36,60544705.8,1681797.3833333333,At Risk Customer,High Frequency,Medium-High Value,60,53.300000000000004,59.8,58.28,41.72,Low Churn Risk,Moderately Retained,23.34,87
C0210,Retail,Infrastructure,West,11789,2,2019-02-20,2024-11-26,2142,36,30,53509817.8,1783660.5933333333,Recent Customer,High Frequency,Medium-Low Value,80,15.6,36.199999999999996,52.95,47.05,Low Churn Risk,Moderately Retained,23.27,88
C0198,Government,Mining,West,1493816,2,2019-03-27,2024-08-01,2107,153,36,63577917.2,1766053.2555555557,At Risk Customer,High Frequency,Medium-High Value,60,53.300000000000004,68.60000000000001,60.48,39.52,Low Churn Risk,Strongly Retained,23.22,89
C0325,Corporate,Rental,East,811959,3,2019-03-03,2024-11-09,2131,53,30,52920013.4,1764000.4466666665,Recent Customer,High Frequency,Medium-Low Value,80,15.6,34.8,52.6,47.4,Low Churn Risk,Moderately Retained,23.18,90
C0430,Retail,Manufacturing,West,10552,5,2019-03-08,2024-10-11,2126,82,27,44879330.8,1662197.437037037,Recent Customer,Medium Frequency,Low Value,80,5.1,14.000000000000002,44.78,55.22,Medium Churn Risk,Moderately Retained,22.9,91
C0497,Government,Logistics,South,764082,3,2019-06-12,2024-11-02,2030,60,30,51439335.2,1714644.5066666668,Recent Customer,High Frequency,Medium-Low Value,80,15.6,31.8,51.85,48.15,Low Churn Risk,Moderately Retained,22.89,92
C0117,Government,Mining,North East,856033,3,2019-01-01,2024-08-12,2192,142,31,38951277.4,1256492.8193548387,At Risk Customer,High Frequency,Low Value,60,21.0,5.2,36.55,63.45,Medium Churn Risk,Weakly Retained,22.84,93
C0470,Government,Mining,South,1219925,1,2019-01-25,2024-09-27,2168,96,36,49194933.2,1366525.9222222222,At Risk Customer,High Frequency,Medium-Low Value,60,53.300000000000004,25.8,49.78,50.22,Medium Churn Risk,Moderately Retained,22.83,94
C0366,Corporate,Logistics,East,429866,4,2019-03-09,2024-10-26,2125,67,26,43711261.800000004,1681202.376923077,Recent Customer,Medium Frequency,Low Value,80,2.3,11.799999999999999,43.53,56.47,Medium Churn Risk,Moderately Retained,22.81,95
C0360,Dealer,Construction,West,433677,5,2019-05-25,2024-11-17,2048,45,31,54662201.0,1763296.8064516129,Recent Customer,High Frequency,Medium-Low Value,80,21.0,40.0,55.25,44.75,Low Churn Risk,Moderately Retained,22.61,96
C0092,Fleet Owner,Logistics,West,532908,2,2019-01-17,2024-07-30,2176,155,36,46760586.8,1298905.1888888888,At Risk Customer,High Frequency,Low Value,60,53.300000000000004,17.8,47.78,52.22,Medium Churn Risk,Moderately Retained,22.57,97
C0389,Retail,Mining,West,34342,5,2019-04-04,2024-11-25,2099,37,30,48796477.0,1626549.2333333334,Recent Customer,High Frequency,Low Value,80,15.6,24.6,50.05,49.95,Low Churn Risk,Moderately Retained,22.53,98
C0229,Government,Mining,East,543686,3,2019-05-15,2024-11-29,2058,33,28,44419985.8,1586428.0642857142,Recent Customer,Medium Frequency,Low Value,80,8.4,12.6,45.25,54.75,Medium Churn Risk,Moderately Retained,22.48,99
C0474,Government,Logistics,West,697497,3,2019-01-11,2024-11-07,2182,55,30,48230361.0,1607678.7,Recent Customer,High Frequency,Low Value,80,15.6,23.200000000000003,49.7,50.3,Medium Churn Risk,Moderately Retained,22.42,100
C0453,Dealer,Mining,East,158610,3,2019-05-25,2024-12-01,2048,31,31,59284873.8,1912415.2838709676,Recent Customer,High Frequency,Medium-High Value,80,21.0,55.400000000000006,59.1,40.9,Low Churn Risk,Moderately Retained,22.41,101
C0173,Retail,Logistics,South,22198,1,2019-03-29,2024-10-18,2105,75,31,57999777.4,1870960.5612903226,Recent Customer,High Frequency,Medium-High Value,80,21.0,52.0,58.25,41.75,Low Churn Risk,Moderately Retained,22.38,102
C0402,Fleet Owner,Rental,South,599112,1,2019-01-25,2024-07-12,2168,173,35,43498305.199999996,1242808.72,At Risk Customer,High Frequency,Low Value,60,45.9,11.4,44.32,55.68,Medium Churn Risk,Moderately Retained,22.38,103
C0085,Retail,Mining,South,18145,4,2019-01-01,2024-09-20,2192,103,37,60463527.2,1634149.3837837838,At Risk Customer,High Frequency,Medium-High Value,60,60.6,59.4,60.0,40.0,Low Churn Risk,Strongly Retained,22.35,104
C0368,Fleet Owner,Construction,South,234723,1,2019-02-17,2024-11-01,2145,61,31,51837532.8,1672178.4774193547,Recent Customer,High Frequency,Medium-Low Value,80,21.0,32.4,53.35,46.65,Low Churn Risk,Moderately Retained,22.35,105
C0423,Dealer,Infrastructure,South,234222,3,2019-02-25,2024-11-09,2137,53,30,46894840.4,1563161.3466666667,Recent Customer,High Frequency,Low Value,80,15.6,18.2,48.45,51.55,Medium Churn Risk,Moderately Retained,22.34,106
C0187,Retail,Rental,North,42105,1,2019-05-02,2024-11-08,2071,54,30,46901016.0,1563367.2,Recent Customer,High Frequency,Low Value,80,15.6,18.4,48.5,51.5,Medium Churn Risk,Moderately Retained,22.32,107
C0418,Government,Mining,West,1185942,4,2019-03-18,2024-11-14,2116,48,30,47167025.6,1572234.1866666668,Recent Customer,High Frequency,Low Value,80,15.6,20.200000000000003,48.95,51.05,Medium Churn Risk,Moderately Retained,22.25,108
C0385,Corporate,Manufacturing,West,406137,2,2019-07-27,2024-09-23,1985,100,37,67435700.6,1822586.5027027025,At Risk Customer,High Frequency,High Value,60,60.6,76.8,64.35,35.65,Low Churn Risk,Strongly Retained,22.22,109
C0473,Government,Rental,South,1339337,3,2019-03-04,2024-11-15,2130,47,26,42018356.8,1616090.646153846,Recent Customer,Medium Frequency,Low Value,80,2.3,9.0,42.82,57.18,Medium Churn Risk,Moderately Retained,22.21,110
C0115,Fleet Owner,Mining,South,666395,5,2019-05-07,2024-11-28,2066,34,29,44357793.6,1529579.0896551725,Recent Customer,Medium Frequency,Low Value,80,11.5,12.4,45.98,54.02,Medium Churn Risk,Moderately Retained,22.15,111
C0451,Government,Manufacturing,East,1083798,3,2019-01-07,2024-07-06,2186,179,37,49725150.4,1343922.9837837839,At Risk Customer,High Frequency,Medium-Low Value,60,60.6,27.200000000000003,51.95,48.05,Low Churn Risk,Moderately Retained,22.08,112
C0450,Fleet Owner,Construction,East,139226,5,2019-01-15,2024-09-12,2178,111,38,55345960.4,1456472.6421052632,At Risk Customer,High Frequency,Medium-Low Value,60,66.10000000000001,41.6,56.92,43.08,Low Churn Risk,Moderately Retained,22.04,113
