customer_id,customer_type,industry_segment,region,delivered_order_count,total_revenue,average_order_value,first_purchase_date,last_purchase_date,purchase_frequency_class,purchase_frequency_score,customer_value_class,purchase_behaviour_segment,order_share_pct,revenue_share_pct,purchase_behaviour_priority_score,purchase_behaviour_priority_class,purchase_behaviour_priority_rank
C0374,Corporate,Manufacturing,West,41,68389697.6,1668041.4,2019-03-07,2024-12-10,High Frequency,80,Very High Value,High Frequency Valuable,0.2274,0.2338,71.6,High Priority,90
C0383,Fleet Owner,Infrastructure,North,41,68192154.0,1663223.27,2019-02-18,2024-11-19,High Frequency,80,Very High Value,High Frequency Valuable,0.2274,0.2331,71.51,High Priority,91
C0270,Corporate,Manufacturing,North,43,68114112.8,1584049.13,2019-03-27,2024-12-20,High Frequency,80,Very High Value,High Frequency Valuable,0.2385,0.2328,71.48,High Priority,92
C0425,Dealer,Manufacturing,South,41,67882732.6,1655676.4,2019-01-17,2024-12-09,High Frequency,80,Very High Value,High Frequency Valuable,0.2274,0.232,71.37,High Priority,93
C0331,Dealer,Logistics,North,42,67826105.8,1614907.28,2019-04-12,2024-12-15,High Frequency,80,Very High Value,High Frequency Valuable,0.2329,0.2319,71.34,High Priority,94
C0276,Dealer,Manufacturing,Central,44,67350598.6,1530695.42,2019-01-08,2024-12-29,High Frequency,80,Very High Value,High Frequency Valuable,0.244,0.2302,71.12,High Priority,95
C0176,Dealer,Logistics,South,42,66901722.8,1592898.16,2019-01-14,2024-08-07,High Frequency,80,Very High Value,High Frequency Valuable,0.2329,0.2287,70.92,High Priority,96
C0428,Retail,Construction,North,43,66337820.6,1542740.01,2019-01-25,2024-08-26,High Frequency,80,High Value,High Frequency Valuable,0.2385,0.2268,70.66,High Priority,97
C0414,Dealer,Construction,South,40,66316815.6,1657920.39,2019-02-16,2024-12-31,High Frequency,80,High Value,High Frequency Valuable,0.2218,0.2267,70.65,High Priority,98
C0326,Government,Mining,East,42,66177447.4,1575653.51,2019-03-14,2024-12-30,High Frequency,80,High Value,High Frequency Valuable,0.2329,0.2262,70.58,High Priority,99
C0006,Government,Construction,West,40,65482805.4,1637070.14,2019-06-05,2024-09-02,High Frequency,80,High Value,High Frequency Valuable,0.2218,0.2238,70.26,High Priority,100
C0209,Corporate,Infrastructure,East,44,65445658.4,1487401.33,2019-10-18,2024-11-22,High Frequency,80,High Value,High Frequency Valuable,0.244,0.2237,70.24,High Priority,101
C0443,Dealer,Infrastructure,East,40,64951558.8,1623788.97,2019-03-27,2024-11-18,High Frequency,80,High Value,High Frequency Valuable,0.2218,0.222,70.01,High Priority,102
C0369,Government,Manufacturing,West,40,64656844.2,1616421.1,2019-01-26,2024-12-13,High Frequency,80,High Value,High Frequency Valuable,0.2218,0.221,69.88,High Priority,103
C0395,Corporate,Manufacturing,East,44,64514679.8,1466242.72,2019-02-21,2024-12-20,High Frequency,80,High Value,High Frequency Valuable,0.244,0.2205,69.81,High Priority,104
C0379,Retail,Mining,West,41,64194052.6,1565708.6,2019-03-29,2024-12-15,High Frequency,80,High Value,High Frequency Valuable,0.2274,0.2194,69.66,High Priority,105
C0413,Fleet Owner,Manufacturing,South,41,62380011.4,1521463.69,2019-02-06,2024-11-08,High Frequency,80,High Value,High Frequency Valuable,0.2274,0.2132,68.83,High Priority,106
C0152,Corporate,Manufacturing,South,40,62249804.2,1556245.1,2019-03-10,2024-11-18,High Frequency,80,High Value,High Frequency Valuable,0.2218,0.2128,68.77,High Priority,107
C0269,Government,Mining,South,41,61642030.4,1503464.16,2019-01-12,2024-11-22,High Frequency,80,High Value,High Frequency Valuable,0.2274,0.2107,68.49,High Priority,108
C0315,Dealer,Rental,West,40,61457629.4,1536440.74,2019-01-09,2024-12-17,High Frequency,80,High Value,High Frequency Valuable,0.2218,0.2101,68.4,High Priority,109
C0327,Retail,Mining,West,43,61017008.6,1419000.2,2019-02-01,2024-12-06,High Frequency,80,High Value,High Frequency Valuable,0.2385,0.2086,68.2,High Priority,110
C0049,Dealer,Manufacturing,South,39,82316206.2,2110671.95,2019-01-25,2024-12-25,Medium Frequency,60,Very High Value,Low Frequency High Value,0.2163,0.2814,68.04,High Priority,111
C0024,Dealer,Rental,South,44,60658309.2,1378597.94,2019-01-22,2024-09-17,High Frequency,80,High Value,High Frequency Valuable,0.244,0.2074,68.03,High Priority,112
C0211,Fleet Owner,Manufacturing,South,42,59389779.2,1414042.36,2019-03-06,2024-11-20,High Frequency,80,High Value,High Frequency Valuable,0.2329,0.203,67.44,High Priority,113
C0280,Corporate,Construction,West,42,59078520.8,1406631.45,2019-01-12,2024-11-05,High Frequency,80,High Value,High Frequency Valuable,0.2329,0.202,67.3,High Priority,114
C0236,Corporate,Mining,West,41,57861179.0,1411248.27,2019-03-21,2024-10-25,High Frequency,80,High Value,High Frequency Valuable,0.2274,0.1978,66.74,High Priority,115
C0290,Corporate,Construction,West,40,57372288.2,1434307.2,2019-03-04,2024-11-15,High Frequency,80,Medium Value,Frequent Low Value,0.2218,0.1961,66.51,High Priority,116
C0062,Dealer,Construction,South,36,78963082.0,2193418.94,2019-03-18,2024-10-31,Medium Frequency,60,Very High Value,Low Frequency High Value,0.1996,0.2699,66.49,High Priority,117
C0105,Government,Logistics,North,41,57202879.8,1395192.19,2019-05-25,2024-11-26,High Frequency,80,Medium Value,Frequent Low Value,0.2274,0.1955,66.43,High Priority,118
C0011,Retail,Infrastructure,West,41,57187490.8,1394816.85,2019-01-03,2024-11-22,High Frequency,80,Medium Value,Frequent Low Value,0.2274,0.1955,66.43,High Priority,119
C0222,Fleet Owner,Logistics,North,41,57177978.6,1394584.84,2019-01-30,2024-12-13,High Frequency,80,Medium Value,Frequent Low Value,0.2274,0.1955,66.42,High Priority,120
C0296,Corporate,Manufacturing,East,40,56944680.8,1423617.02,2019-01-02,2024-11-07,High Frequency,80,Medium Value,Frequent Low Value,0.2218,0.1947,66.31,High Priority,121
C0058,Retail,Infrastructure,West,40,56831525.0,1420788.12,2019-01-23,2024-12-24,High Frequency,80,Medium Value,Frequent Low Value,0.2218,0.1943,66.26,High Priority,122
C0080,Retail,Mining,South,42,56541324.2,1346222.0,2019-02-20,2024-11-03,High Frequency,80,Medium Value,Frequent Low Value,0.2329,0.1933,66.13,High Priority,123
C0099,Fleet Owner,Rental,South,44,56469516.0,1283398.09,2019-01-10,2024-12-26,High Frequency,80,Medium Value,Frequent Low Value,0.244,0.193,66.09,High Priority,124
C0246,Retail,Manufacturing,North,35,77080113.6,2202288.96,2019-01-26,2024-11-02,Medium Frequency,60,Very High Value,Low Frequency High Value,0.1941,0.2635,65.62,High Priority,125
C0124,Dealer,Construction,West,42,54870405.8,1306438.23,2019-01-11,2024-11-04,High Frequency,80,Medium Value,Frequent Low Value,0.2329,0.1876,65.36,High Priority,126
C0129,Corporate,Mining,North,36,76393252.6,2122034.79,2019-01-06,2024-10-31,Medium Frequency,60,Very High Value,Low Frequency High Value,0.1996,0.2611,65.3,High Priority,127
C0272,Government,Construction,North,39,75550922.6,1937203.14,2019-09-01,2024-12-13,Medium Frequency,60,Very High Value,Low Frequency High Value,0.2163,0.2583,64.91,High Priority,128
C0040,Government,Logistics,North,43,53757984.6,1250185.69,2019-02-23,2024-12-21,High Frequency,80,Medium Value,Frequent Low Value,0.2385,0.1838,64.84,High Priority,129
C0220,Government,Infrastructure,Central,43,53467975.0,1243441.28,2019-01-19,2024-11-06,High Frequency,80,Medium Value,Frequent Low Value,0.2385,0.1828,64.71,High Priority,130
C0427,Corporate,Mining,West,41,53149424.2,1296327.42,2019-02-07,2024-11-26,High Frequency,80,Medium Value,Frequent Low Value,0.2274,0.1817,64.56,High Priority,131
C0482,Fleet Owner,Logistics,East,31,73762403.2,2379432.36,2019-12-15,2024-12-03,Medium Frequency,60,Very High Value,Low Frequency High Value,0.1719,0.2521,64.09,High Priority,132
C0476,Fleet Owner,Infrastructure,North,34,73746173.2,2169005.09,2019-01-13,2024-09-29,Medium Frequency,60,Very High Value,Low Frequency High Value,0.1885,0.2521,64.08,High Priority,133
C0090,Government,Infrastructure,North,43,51915256.6,1207331.55,2019-03-16,2024-10-22,High Frequency,80,Medium Value,Frequent Low Value,0.2385,0.1775,63.99,High Priority,134
C0337,Corporate,Manufacturing,North,34,73457151.8,2160504.46,2019-04-15,2024-08-25,Medium Frequency,60,Very High Value,Low Frequency High Value,0.1885,0.2511,63.94,High Priority,135
C0241,Government,Construction,West,39,73396972.0,1881973.64,2019-02-01,2024-10-31,Medium Frequency,60,Very High Value,Low Frequency High Value,0.2163,0.2509,63.92,High Priority,136
C0084,Corporate,Logistics,West,39,73317161.4,1879927.22,2019-04-29,2024-09-22,Medium Frequency,60,Very High Value,Low Frequency High Value,0.2163,0.2506,63.88,High Priority,137
C0297,Fleet Owner,Rental,South,34,73065015.6,2148971.05,2019-02-13,2024-07-01,Medium Frequency,60,Very High Value,Low Frequency High Value,0.1885,0.2498,63.76,High Priority,138
C0253,Retail,Rental,West,39,72946151.6,1870414.14,2019-03-28,2024-11-27,Medium Frequency,60,Very High Value,Low Frequency High Value,0.2163,0.2494,63.71,High Priority,139
C0342,Dealer,Infrastructure,North,36,72821567.8,2022821.33,2019-12-04,2024-10-09,Medium Frequency,60,Very High Value,Low Frequency High Value,0.1996,0.2489,63.65,High Priority,140
C0384,Retail,Construction,South,39,72157498.2,1850192.26,2019-02-05,2024-09-09,Medium Frequency,60,Very High Value,Low Frequency High Value,0.2163,0.2467,63.34,High Priority,141
C0345,Retail,Infrastructure,West,40,50444735.6,1261118.39,2019-02-21,2024-11-20,High Frequency,80,Medium Value,Frequent Low Value,0.2218,0.1724,63.31,High Priority,142
C0063,Retail,Rental,North,38,72065344.4,1896456.43,2019-02-28,2024-12-19,Medium Frequency,60,Very High Value,Low Frequency High Value,0.2107,0.2463,63.3,High Priority,143
C0102,Government,Infrastructure,East,34,71864051.2,2113648.56,2019-03-11,2024-10-24,Medium Frequency,60,Very High Value,Low Frequency High Value,0.1885,0.2457,63.21,High Priority,144
C0016,Government,Rental,East,35,70872336.2,2024923.89,2019-01-18,2024-12-18,Medium Frequency,60,Very High Value,Low Frequency High Value,0.1941,0.2423,62.75,High Priority,145
C0025,Corporate,Infrastructure,West,38,70349653.0,1851306.66,2019-01-29,2024-08-18,Medium Frequency,60,Very High Value,Low Frequency High Value,0.2107,0.2405,62.51,High Priority,146
C0123,Corporate,Infrastructure,East,36,70019319.0,1944981.08,2019-01-16,2024-11-04,Medium Frequency,60,Very High Value,Low Frequency High Value,0.1996,0.2393,62.36,High Priority,147
C0373,Corporate,Manufacturing,South,38,69753317.8,1835613.63,2019-04-03,2024-09-02,Medium Frequency,60,Very High Value,Low Frequency High Value,0.2107,0.2384,62.23,High Priority,148
C0166,Fleet Owner,Manufacturing,West,32,69504759.6,2172023.74,2019-01-18,2024-12-08,Medium Frequency,60,Very High Value,Low Frequency High Value,0.1775,0.2376,62.12,High Priority,149
C0421,Retail,Construction,South,38,69466242.8,1828059.02,2019-04-06,2024-06-21,Medium Frequency,60,Very High Value,Low Frequency High Value,0.2107,0.2375,62.1,High Priority,150
C0128,Retail,Mining,West,33,69172996.2,2096151.4,2019-01-02,2024-12-18,Medium Frequency,60,Very High Value,Low Frequency High Value,0.183,0.2365,61.97,High Priority,151
C0009,Corporate,Rental,West,34,68836324.8,2024597.79,2019-04-14,2024-11-04,Medium Frequency,60,Very High Value,Low Frequency High Value,0.1885,0.2353,61.81,High Priority,152
