customer_id,customer_type,industry_segment,region,delivered_order_count,total_revenue,average_order_value,median_order_value,minimum_order_value,maximum_order_value,average_products_per_order,average_units_per_order,total_units_purchased,total_product_revenue,order_value_std,order_value_cv_pct,basket_size_class,order_value_segment,basket_frequency_segment,basket_value_score,basket_behaviour_class,action_focus,basket_behaviour_rank
C0207,Corporate,Rental,East,45,87068691.0,1934859.8,1733907.0,31327.0,6042190.4,6.27,69.98,3149,68312200,1458929.13,75.4,Small Basket,High Order Value,Very High Frequency,87.73,Premium Basket Customer,Protect relationship and promote premium/high-margin products,11
C0495,Fleet Owner,Infrastructure,North,48,94540537.6,1969594.53,1692957.7,1097.4,6258172.0,6.17,73.6,3533,74165320,1583258.6,80.39,Small Basket,High Order Value,Very High Frequency,87.72,Premium Basket Customer,Protect relationship and promote premium/high-margin products,12
C0375,Fleet Owner,Mining,West,42,81286325.6,1935388.7,1657604.9,69915.0,4917113.8,6.33,72.21,3033,63738420,1265522.54,65.39,Small Basket,High Order Value,High Frequency,87.42,Premium Basket Customer,Protect relationship and promote premium/high-margin products,13
C0253,Retail,Rental,West,39,72946151.6,1870414.14,1678677.6,133163.0,4848689.6,6.9,78.82,3074,57279120,1202843.42,64.31,Small Basket,High Order Value,High Frequency,86.88,Premium Basket Customer,Protect relationship and promote premium/high-margin products,14
C0342,Dealer,Infrastructure,North,36,72821567.8,2022821.33,1782723.9,33040.0,4604780.8,6.97,84.36,3037,57066210,1330410.83,65.77,Small Basket,High Order Value,High Frequency,86.78,Premium Basket Customer,Protect relationship and promote premium/high-margin products,15
C0129,Corporate,Mining,North,36,76393252.6,2122034.79,1539725.7,13275.0,7297478.0,6.5,81.64,2939,59941820,1853898.59,87.36,Small Basket,High Order Value,High Frequency,86.12,Premium Basket Customer,Protect relationship and promote premium/high-margin products,16
C0337,Corporate,Manufacturing,North,34,73457151.8,2160504.46,1953453.6,47030.0,7078546.8,6.74,79.62,2707,57585510,1561705.96,72.28,Small Basket,High Order Value,Medium Frequency,85.8,Premium Basket Customer,Protect relationship and promote premium/high-margin products,17
C0153,Retail,Rental,East,56,108200489.6,1932151.6,1406772.4,1357.0,8586100.0,6.04,74.25,4158,84966970,1739404.33,90.02,Small Basket,High Order Value,Very High Frequency,85.38,Premium Basket Customer,Protect relationship and promote premium/high-margin products,18
C0142,Retail,Manufacturing,West,45,84828043.0,1885067.62,1863412.6,3068.0,4705664.0,6.18,72.33,3255,66580100,1268414.35,67.29,Small Basket,High Order Value,Very High Frequency,85.04,Premium Basket Customer,Protect relationship and promote premium/high-margin products,19
C0134,Fleet Owner,Infrastructure,West,48,85243025.2,1775896.36,1479264.2,60687.0,4774446.0,6.58,75.48,3623,66943890,1234575.62,69.52,Small Basket,Medium-High Order Value,Very High Frequency,84.98,Premium Basket Customer,Protect relationship and promote premium/high-margin products,20
C0297,Fleet Owner,Rental,South,34,73065015.6,2148971.05,1789781.4,11894.4,6159083.2,6.56,81.62,2775,57279920,1404527.25,65.36,Small Basket,High Order Value,Medium Frequency,84.5,Premium Basket Customer,Protect relationship and promote premium/high-margin products,21
C0025,Corporate,Infrastructure,West,38,70349653.0,1851306.66,1282542.9,6844.0,6134164.8,6.58,75.97,2887,55220350,1636292.44,88.39,Small Basket,High Order Value,High Frequency,83.48,Premium Basket Customer,Protect relationship and promote premium/high-margin products,22
C0483,Corporate,Rental,North,47,96130859.2,2045337.43,1594272.0,3398.4,6141233.0,5.87,73.49,3454,75352940,1613034.35,78.86,Small Basket,High Order Value,Very High Frequency,83.25,Premium Basket Customer,Protect relationship and promote premium/high-margin products,23
C0294,Government,Infrastructure,South,45,79772077.0,1772712.82,1396243.2,15399.0,5879338.0,6.56,81.2,3654,62587650,1404034.51,79.2,Small Basket,Medium-High Order Value,Very High Frequency,83.16,Premium Basket Customer,Protect relationship and promote premium/high-margin products,24
C0415,Government,Infrastructure,North East,33,68592455.6,2078559.26,1488795.4,10620.0,5670540.0,6.67,85.3,2815,53841670,1611964.03,77.55,Small Basket,High Order Value,Medium Frequency,83.11,Premium Basket Customer,Protect relationship and promote premium/high-margin products,25
C0359,Fleet Owner,Mining,South,46,85617784.0,1861256.17,1356017.4,10266.0,9905439.6,6.11,73.67,3389,67221300,1939327.61,104.19,Small Basket,High Order Value,Very High Frequency,83.1,Premium Basket Customer,Protect relationship and promote premium/high-margin products,26
C0113,Corporate,Logistics,South,41,78713400.0,1919839.02,2014363.6,8850.0,5062128.6,6.15,68.83,2822,61701750,1405189.57,73.19,Small Basket,High Order Value,High Frequency,82.97,Premium Basket Customer,Protect relationship and promote premium/high-margin products,27
C0166,Fleet Owner,Manufacturing,West,32,69504759.6,2172023.74,1710249.2,86144.0,6572959.2,6.62,81.66,2613,54482720,1681176.03,77.4,Small Basket,High Order Value,Medium Frequency,82.94,Premium Basket Customer,Protect relationship and promote premium/high-margin products,28
C0288,Dealer,Infrastructure,North,55,97218403.8,1767607.34,1353536.6,7717.2,5800917.8,6.38,74.84,4116,76291160,1492995.81,84.46,Small Basket,Medium-High Order Value,Very High Frequency,82.9,Premium Basket Customer,Protect relationship and promote premium/high-margin products,29
C0403,Government,Construction,East,45,80523517.0,1789411.49,1734014.0,6844.0,4341199.8,6.38,76.87,3459,63236900,1277347.78,71.38,Small Basket,High Order Value,Very High Frequency,82.87,Premium Basket Customer,Protect relationship and promote premium/high-margin products,30
C0384,Retail,Construction,South,39,72157498.2,1850192.26,1450374.8,28224.0,6232052.0,6.36,77.56,3025,56692240,1478651.52,79.92,Small Basket,High Order Value,High Frequency,82.4,Premium Basket Customer,Protect relationship and promote premium/high-margin products,31
C0102,Government,Infrastructure,East,34,71864051.2,2113648.56,1675721.1,7363.2,9970301.0,6.35,80.47,2736,56370590,1986843.3,94.0,Small Basket,High Order Value,Medium Frequency,81.92,Premium Basket Customer,Protect relationship and promote premium/high-margin products,32
C0482,Fleet Owner,Logistics,East,31,73762403.2,2379432.36,1997371.8,344029.6,7018928.4,6.52,79.39,2461,57846740,1505816.44,63.28,Small Basket,High Order Value,Medium Frequency,81.54,Premium Basket Customer,Protect relationship and promote premium/high-margin products,33
C0042,Fleet Owner,Rental,South,41,73882726.2,1802017.71,1520550.2,10325.0,4680694.8,6.34,72.59,2976,57941340,1244427.13,69.06,Small Basket,High Order Value,High Frequency,81.32,Premium Basket Customer,Protect relationship and promote premium/high-margin products,34
C0491,Dealer,Infrastructure,South,27,65215944.4,2415405.35,1737817.0,11965.2,5961683.4,7.15,88.3,2384,51140830,1738830.36,71.99,Small Basket,High Order Value,Medium Frequency,80.86,Premium Basket Customer,Protect relationship and promote premium/high-margin products,35
C0123,Corporate,Infrastructure,East,36,70019319.0,1944981.08,1549690.9,6844.0,5421238.4,6.28,73.44,2644,54900300,1597441.62,82.13,Small Basket,High Order Value,High Frequency,80.77,Premium Basket Customer,Protect relationship and promote premium/high-margin products,36
C0234,Corporate,Infrastructure,West,29,72295152.4,2492936.29,1642877.0,16225.0,8867456.0,6.59,85.93,2492,56717930,2460226.31,98.69,Small Basket,High Order Value,Medium Frequency,80.68,Premium Basket Customer,Protect relationship and promote premium/high-margin products,37
C0016,Government,Rental,East,35,70872336.2,2024923.89,1312305.8,10816.0,6531599.0,6.29,75.6,2646,55572340,1969283.66,97.25,Small Basket,High Order Value,High Frequency,80.67,Premium Basket Customer,Protect relationship and promote premium/high-margin products,38
C0258,Corporate,Mining,South,28,62250978.4,2223249.23,1987089.7,4389.6,5283641.8,6.79,82.0,2296,48830880,1590805.85,71.55,Small Basket,High Order Value,Medium Frequency,80.54,Premium Basket Customer,Protect relationship and promote premium/high-margin products,39
C0168,Dealer,Infrastructure,West,34,64028787.0,1883199.62,1467569.1,6159.6,4441811.0,6.65,83.65,2844,50309900,1369290.41,72.71,Small Basket,High Order Value,Medium Frequency,80.48,Premium Basket Customer,Protect relationship and promote premium/high-margin products,40
C0272,Government,Construction,North,39,75550922.6,1937203.14,1600137.8,1132.8,5120711.4,6.05,74.08,2889,59253070,1510893.2,77.99,Small Basket,High Order Value,High Frequency,80.38,Premium Basket Customer,Protect relationship and promote premium/high-margin products,41
C0184,Retail,Rental,South,29,61479056.4,2119967.46,1589089.0,31360.0,6890407.0,6.9,80.21,2326,48287230,1861531.73,87.81,Small Basket,High Order Value,Medium Frequency,79.88,Premium Basket Customer,Protect relationship and promote premium/high-margin products,42
C0107,Fleet Owner,Construction,North,49,85196217.6,1738698.32,1576576.0,8897.2,5120619.2,6.33,78.71,3857,66825070,1225612.52,70.49,Small Basket,Medium-High Order Value,Very High Frequency,79.86,Premium Basket Customer,Protect relationship and promote premium/high-margin products,43
C0373,Corporate,Manufacturing,South,38,69753317.8,1835613.63,1759838.6,7528.4,4485659.0,6.32,73.53,2794,54767460,1248878.97,68.04,Small Basket,High Order Value,High Frequency,79.82,Premium Basket Customer,Protect relationship and promote premium/high-margin products,44
C0146,Retail,Mining,West,30,61245406.2,2041513.54,1901972.8,49678.0,5760915.2,6.9,80.23,2407,48058590,1513746.16,74.15,Small Basket,High Order Value,Medium Frequency,79.72,Premium Basket Customer,Protect relationship and promote premium/high-margin products,45
C0475,Fleet Owner,Construction,East,55,94883375.2,1725152.28,1212341.6,7316.0,6320448.0,6.33,75.67,4162,74442140,1623979.17,94.14,Small Basket,Medium-High Order Value,Very High Frequency,79.58,Premium Basket Customer,Protect relationship and promote premium/high-margin products,46
C0246,Retail,Manufacturing,North,35,77080113.6,2202288.96,1658974.6,1097.4,5674611.0,6.06,70.54,2469,60399770,1790474.58,81.3,Small Basket,High Order Value,High Frequency,79.46,Premium Basket Customer,Protect relationship and promote premium/high-margin products,47
C0390,Fleet Owner,Construction,North,32,64132451.0,2004139.09,1549312.8,46610.0,7242225.4,6.56,77.31,2474,50314950,1680050.37,83.83,Small Basket,High Order Value,Medium Frequency,79.4,Premium Basket Customer,Protect relationship and promote premium/high-margin products,48
C0261,Dealer,Manufacturing,North,33,62999554.6,1909077.41,1752576.0,88559.0,5886016.0,6.55,77.36,2553,49449470,1307032.72,68.46,Small Basket,High Order Value,Medium Frequency,78.8,Premium Basket Customer,Protect relationship and promote premium/high-margin products,49
C0221,Dealer,Logistics,North,44,82001959.0,1863680.89,1325081.1,33736.2,7306672.6,5.91,67.45,2968,64336800,1788197.02,95.95,Small Basket,High Order Value,High Frequency,78.41,Premium Basket Customer,Protect relationship and promote premium/high-margin products,50
C0293,Dealer,Logistics,West,36,66815451.4,1855984.76,1547973.5,14089.2,6002288.8,6.31,78.22,2816,52424230,1492345.68,80.41,Small Basket,High Order Value,High Frequency,78.27,Premium Basket Customer,Protect relationship and promote premium/high-margin products,51
C0421,Retail,Construction,South,38,69466242.8,1828059.02,1351586.0,258048.0,6384691.8,6.24,73.63,2798,54492210,1391008.96,76.09,Small Basket,High Order Value,High Frequency,78.1,Premium Basket Customer,Protect relationship and promote premium/high-margin products,52
C0304,Dealer,Construction,North,48,86460648.4,1801263.51,1572055.2,8720.2,4773904.0,5.96,74.29,3566,67903880,1347192.39,74.79,Small Basket,High Order Value,Very High Frequency,78.04,Premium Basket Customer,Protect relationship and promote premium/high-margin products,53
C0367,Fleet Owner,Logistics,South,27,57592654.8,2133061.29,1771552.0,28461.6,6458274.2,6.63,80.3,2168,45173860,1721985.05,80.73,Small Basket,High Order Value,Medium Frequency,78.0,Premium Basket Customer,Protect relationship and promote premium/high-margin products,54
C0257,Corporate,Logistics,North,43,76189558.0,1771850.19,1387416.2,25783.0,5950376.2,6.21,75.91,3264,59812600,1373965.22,77.54,Small Basket,Medium-High Order Value,High Frequency,77.8,Premium Basket Customer,Protect relationship and promote premium/high-margin products,55
C0076,Government,Mining,South,45,80026994.2,1778377.65,1592209.0,4425.0,6294363.0,6.11,68.16,3067,62759940,1329024.16,74.73,Small Basket,Medium-High Order Value,Very High Frequency,77.75,Premium Basket Customer,Protect relationship and promote premium/high-margin products,56
C0385,Corporate,Manufacturing,West,37,67435700.6,1822586.5,1726660.6,68322.0,6138561.8,6.3,73.14,2706,52865670,1314846.11,72.14,Small Basket,High Order Value,High Frequency,77.75,Premium Basket Customer,Protect relationship and promote premium/high-margin products,57
C0013,Dealer,Construction,West,44,76843692.4,1746447.55,1176866.1,15115.8,6451457.2,6.3,75.25,3311,60328180,1633755.07,93.55,Small Basket,Medium-High Order Value,High Frequency,77.74,Premium Basket Customer,Protect relationship and promote premium/high-margin products,58
C0485,Fleet Owner,Rental,West,28,59146123.8,2112361.56,2065374.7,67968.0,5864065.2,6.54,81.75,2289,46389160,1718692.01,81.36,Small Basket,High Order Value,Medium Frequency,77.26,Premium Basket Customer,Protect relationship and promote premium/high-margin products,59
C0200,Retail,Logistics,East,47,84469856.6,1797230.99,1411314.0,29087.0,8955435.0,5.94,74.38,3496,66268870,1648614.21,91.73,Small Basket,High Order Value,Very High Frequency,77.1,Premium Basket Customer,Protect relationship and promote premium/high-margin products,60
C0060,Dealer,Mining,South,44,77163010.4,1753704.78,1647152.4,69915.0,4874240.0,6.2,72.5,3190,60575030,1155317.13,65.88,Small Basket,Medium-High Order Value,High Frequency,76.86,Premium Basket Customer,Protect relationship and promote premium/high-margin products,61
C0138,Corporate,Mining,South,34,62582651.4,1840666.22,1484337.6,104647.2,5561407.8,6.5,74.32,2527,49111730,1246880.1,67.74,Small Basket,High Order Value,Medium Frequency,76.74,Premium Basket Customer,Protect relationship and promote premium/high-margin products,62
C0046,Retail,Rental,West,46,87078641.0,1893013.93,1681789.7,10266.0,5553091.0,5.76,67.59,3109,68236200,1566404.67,82.75,Small Basket,High Order Value,Very High Frequency,76.7,Premium Basket Customer,Protect relationship and promote premium/high-margin products,63
C0070,Government,Logistics,West,41,76883391.4,1875204.67,1379122.2,34998.8,6524567.2,5.88,70.34,2884,60254230,1604047.76,85.54,Small Basket,High Order Value,High Frequency,76.66,Premium Basket Customer,Protect relationship and promote premium/high-margin products,64
C0341,Fleet Owner,Mining,North,36,66838579.4,1856627.21,1784365.9,25937.6,4857331.0,6.19,73.81,2657,52480080,1353732.99,72.91,Small Basket,High Order Value,High Frequency,76.51,Premium Basket Customer,Protect relationship and promote premium/high-margin products,65
C0041,Government,Rental,South,38,68044561.6,1790646.36,1567622.9,38581.0,6516391.0,6.26,74.08,2815,53358620,1349820.84,75.38,Small Basket,High Order Value,High Frequency,76.16,Premium Basket Customer,Protect relationship and promote premium/high-margin products,66
C0055,Dealer,Construction,North,32,59056095.2,1845502.98,1562088.4,105659.6,6459717.2,6.66,82.09,2627,46311140,1420584.77,76.98,Small Basket,High Order Value,Medium Frequency,76.08,Premium Basket Customer,Protect relationship and promote premium/high-margin products,67
C0319,Dealer,Mining,South,33,60426895.0,1831118.03,1730865.4,731.6,4991465.4,6.61,78.42,2588,47364750,1206237.37,65.87,Small Basket,High Order Value,Medium Frequency,76.07,Premium Basket Customer,Protect relationship and promote premium/high-margin products,68
C0009,Corporate,Rental,West,34,68836324.8,2024597.79,1961171.9,212845.0,5024999.0,6.09,78.74,2677,54041610,1403938.54,69.34,Small Basket,High Order Value,Medium Frequency,76.01,Premium Basket Customer,Protect relationship and promote premium/high-margin products,69
C0460,Dealer,Logistics,South,32,64634814.4,2019837.95,1809790.1,23305.0,6338322.0,6.25,80.34,2571,50664330,1457616.54,72.17,Small Basket,High Order Value,Medium Frequency,76.01,Premium Basket Customer,Protect relationship and promote premium/high-margin products,70
C0045,Corporate,Rental,East,42,75275350.6,1792270.25,1349829.7,7363.2,5690555.2,6.05,69.62,2924,59085670,1414965.05,78.95,Small Basket,High Order Value,High Frequency,76.0,Premium Basket Customer,Protect relationship and promote premium/high-margin products,71
C0162,Retail,Mining,East,28,62233145.6,2222612.34,1869235.0,138731.0,8946175.4,6.29,78.86,2208,48770920,1815973.88,81.7,Small Basket,High Order Value,Medium Frequency,75.97,Premium Basket Customer,Protect relationship and promote premium/high-margin products,72
C0128,Retail,Mining,West,33,69172996.2,2096151.4,1844003.0,12791.2,8099458.2,6.06,72.03,2377,54226840,1642850.12,78.37,Small Basket,High Order Value,Medium Frequency,75.57,Premium Basket Customer,Protect relationship and promote premium/high-margin products,73
C0268,Government,Mining,West,32,63709103.6,1990909.49,1749853.7,47908.0,10451981.8,6.25,75.16,2405,49962270,1949875.33,97.94,Small Basket,High Order Value,Medium Frequency,75.51,Premium Basket Customer,Protect relationship and promote premium/high-margin products,74
C0488,Government,Construction,South,37,67251532.8,1817608.99,1160223.0,62720.0,6432144.2,6.19,78.62,2909,52826960,1724289.82,94.87,Small Basket,High Order Value,High Frequency,75.46,Premium Basket Customer,Protect relationship and promote premium/high-margin products,75
C0256,Corporate,Infrastructure,North East,30,58794725.4,1959824.18,1588466.3,15680.0,7253585.6,6.43,79.63,2389,46110780,1813080.78,92.51,Small Basket,High Order Value,Medium Frequency,75.4,Premium Basket Customer,Protect relationship and promote premium/high-margin products,76
C0394,Government,Construction,South,40,69936379.2,1748409.48,1661440.0,14561.2,4494013.4,6.28,73.1,2924,54868190,1238064.41,70.81,Small Basket,Medium-High Order Value,High Frequency,75.1,Premium Basket Customer,Protect relationship and promote premium/high-margin products,77
C0072,Government,Logistics,West,26,55369763.0,2129606.27,1574945.4,16225.0,6264067.2,6.35,76.85,1998,43449850,1792449.37,84.17,Small Basket,High Order Value,Medium Frequency,74.64,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,78
C0453,Dealer,Mining,East,31,59284873.8,1912415.28,1593808.8,19072.0,6065264.0,6.35,81.52,2527,46607160,1484875.11,77.64,Small Basket,High Order Value,Medium Frequency,74.6,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,79
C0433,Dealer,Infrastructure,North,31,57020323.4,1839365.27,1311278.0,24638.4,5283005.4,6.68,81.32,2521,44764880,1606533.04,87.34,Small Basket,High Order Value,Medium Frequency,74.5,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,80
C0284,Corporate,Manufacturing,East,41,69641823.4,1698581.06,1425865.0,5664.0,5006152.8,6.39,74.02,3035,54612880,1195052.91,70.36,Small Basket,Medium-High Order Value,High Frequency,74.38,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,81
C0103,Dealer,Infrastructure,South,40,75304293.2,1882607.33,1650520.8,6796.8,6541864.4,5.8,72.47,2899,59164240,1646221.64,87.44,Small Basket,High Order Value,High Frequency,74.33,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,82
C0445,Government,Mining,East,28,57177744.4,2042062.3,2010426.8,9408.0,6626154.6,6.32,73.75,2065,44860580,1515358.06,74.21,Small Basket,High Order Value,Medium Frequency,74.24,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,83
C0478,Retail,Rental,North,44,75901402.2,1725031.87,1347916.1,50944.0,6056371.4,6.16,71.39,3141,59528290,1426219.28,82.68,Small Basket,Medium-High Order Value,High Frequency,74.14,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,84
C0084,Corporate,Logistics,West,39,73317161.4,1879927.22,1686336.0,32509.0,6879455.0,5.85,65.82,2567,57484480,1492059.54,79.37,Small Basket,High Order Value,High Frequency,74.12,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,85
C0471,Fleet Owner,Logistics,West,37,65501994.2,1770324.17,1421933.0,9499.0,6026997.0,6.3,71.22,2635,51389940,1448969.8,81.85,Small Basket,Medium-High Order Value,High Frequency,74.05,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,86
C0173,Retail,Logistics,South,31,57999777.4,1870960.56,1342102.0,3658.0,6336837.2,6.39,80.71,2502,45510430,1554342.83,83.08,Small Basket,High Order Value,Medium Frequency,73.72,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,87
C0095,Fleet Owner,Logistics,West,29,55610118.2,1917590.28,1671636.2,61242.0,5545179.0,6.41,79.66,2310,43640740,1430320.15,74.59,Small Basket,High Order Value,Medium Frequency,73.46,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,88
C0254,Dealer,Mining,West,48,89556446.6,1865759.3,1545251.7,14750.0,5166005.2,5.6,71.35,3425,70227620,1409782.58,75.56,Small Basket,High Order Value,Very High Frequency,73.1,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,89
C0377,Dealer,Logistics,West,37,68519191.2,1851870.03,1735062.6,2950.0,4680418.0,5.92,72.32,2676,53755340,1356040.25,73.23,Small Basket,High Order Value,High Frequency,72.7,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,90
C0241,Government,Construction,West,39,73396972.0,1881973.64,1241208.0,6844.0,7746595.0,5.77,75.74,2954,57604400,2008528.47,106.72,Small Basket,High Order Value,High Frequency,72.27,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,91
C0116,Dealer,Construction,North,35,64081942.6,1830912.65,1404246.4,7965.0,6406221.6,6.11,71.89,2516,50227070,1482317.96,80.96,Small Basket,High Order Value,High Frequency,72.12,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,92
C0356,Dealer,Mining,East,45,79690881.0,1770908.47,1635004.0,15068.6,5479242.0,5.87,71.51,3218,62479450,1296206.86,73.19,Small Basket,Medium-High Order Value,Very High Frequency,71.92,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,93
C0300,Dealer,Mining,North,40,72746205.0,1818655.12,1669317.0,16425.6,4315433.8,5.85,70.03,2801,57051500,1320225.81,72.59,Small Basket,High Order Value,High Frequency,71.82,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,94
C0419,Fleet Owner,Logistics,West,31,61514207.2,1984329.26,1825716.8,21632.0,5162039.6,6.1,70.9,2198,48221790,1300375.7,65.53,Small Basket,High Order Value,Medium Frequency,71.58,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,95
C0047,Corporate,Rental,West,30,57880918.0,1929363.93,1994118.9,255464.0,6105278.2,6.2,75.73,2272,45416100,1349327.6,69.94,Small Basket,High Order Value,Medium Frequency,71.49,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,96
C0396,Government,Manufacturing,West,38,64506474.4,1697538.8,1423584.6,164506.0,5585847.6,6.39,71.87,2731,50680080,1338645.34,78.86,Small Basket,Medium-High Order Value,High Frequency,71.46,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,97
C0250,Government,Infrastructure,East,43,74416923.4,1730626.13,1615518.0,849.6,6562757.0,6.02,71.28,3065,58330380,1548862.29,89.5,Small Basket,Medium-High Order Value,High Frequency,71.22,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,98
C0259,Fleet Owner,Logistics,South,33,60202150.6,1824307.59,1400832.0,9499.0,5093307.0,6.21,69.52,2294,47259670,1371367.36,75.17,Small Basket,High Order Value,Medium Frequency,71.08,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,99
C0476,Fleet Owner,Infrastructure,North,34,73746173.2,2169005.09,1689117.2,13184.0,7369705.6,5.76,67.56,2297,57777740,1745262.06,80.46,Small Basket,High Order Value,Medium Frequency,71.06,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,100
C0082,Fleet Owner,Manufacturing,West,46,77500928.6,1684802.8,1045413.0,9204.0,6150494.0,6.07,69.7,3206,60929520,1583402.93,93.98,Small Basket,Medium-High Order Value,Very High Frequency,70.96,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,101
C0307,Dealer,Manufacturing,West,42,73655534.6,1753703.2,1800114.0,2926.4,3804006.8,5.93,70.74,2971,57776220,1149015.84,65.52,Small Basket,Medium-High Order Value,High Frequency,70.95,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,102
C0015,Government,Rental,West,34,61028370.8,1794952.08,1501686.3,6867.6,5279340.2,6.24,69.12,2350,47922560,1413549.38,78.75,Small Basket,High Order Value,Medium Frequency,70.87,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,103
C0189,Government,Manufacturing,South,35,61121980.8,1746342.31,1649904.0,1829.0,6043003.2,6.4,78.63,2752,47996060,1377427.95,78.88,Small Basket,Medium-High Order Value,High Frequency,70.78,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,104
C0376,Retail,Construction,North,29,52106248.6,1796767.19,1258261.4,19765.0,7187450.0,6.79,80.59,2337,40903770,1810146.06,100.74,Small Basket,High Order Value,Medium Frequency,70.72,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,105
C0447,Fleet Owner,Rental,East,33,61334243.8,1858613.45,1502976.8,46315.0,5105725.6,6.06,76.48,2524,48124660,1529316.55,82.28,Small Basket,High Order Value,Medium Frequency,70.37,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,106
C0141,Corporate,Rental,West,36,66220737.2,1839464.92,1216413.4,9062.4,5640418.8,5.92,67.56,2432,51926540,1627481.53,88.48,Small Basket,High Order Value,High Frequency,70.29,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,107
C0213,Fleet Owner,Rental,West,30,66248437.6,2208281.25,2079297.2,5640.4,6383120.0,5.9,73.77,2213,51921070,1682883.59,76.21,Small Basket,High Order Value,Medium Frequency,70.2,Strong Basket Customer,Increase basket breadth through complementary-product recommendations,108
