customer_id,customer_type,industry_segment,region,first_purchase_date,last_purchase_date,delivered_order_count,total_revenue,average_order_value,customer_lifetime_days,customer_lifetime_years,orders_per_year,days_since_last_purchase,churn_status,churn_risk_score,churn_risk_class,revenue_at_risk,churn_priority_score,churn_priority_class
C0022,Retail,Infrastructure,South,2019-01-13,2024-11-06,38,56759064.0,1493659.5789473683,2124,5.815195071868583,6.534604519774011,56,Active Customer,0,Low Churn Risk,0.0,21.47,Low Retention Priority
C0023,Corporate,Mining,South,2019-01-05,2024-12-27,32,58217713.2,1819303.5375,2183,5.976728268309377,5.354099862574439,5,Active Customer,0,Low Churn Risk,0.0,17.22,Low Retention Priority
C0024,Dealer,Rental,South,2019-01-22,2024-09-17,44,60658309.2,1378597.9363636365,2065,5.653661875427789,7.782566585956416,106,At Risk,40,Moderate Churn Risk,60658309.2,52.25,Medium Retention Priority
C0025,Corporate,Infrastructure,West,2019-01-29,2024-08-18,38,70349653.0,1851306.6578947369,2028,5.552361396303901,6.843934911242604,136,Churn Risk,70,High Churn Risk,70349653.0,72.62,Critical Retention Priority
C0026,Fleet Owner,Mining,North,2019-01-09,2024-12-29,36,60554977.0,1682082.6944444445,2181,5.971252566735113,6.02888583218707,3,Active Customer,0,Low Churn Risk,0.0,23.0,Low Retention Priority
C0027,Fleet Owner,Logistics,West,2019-03-25,2024-12-26,39,54309976.4,1392563.4974358974,2103,5.757700205338809,6.773537803138374,6,Active Customer,0,Low Churn Risk,0.0,20.4,Low Retention Priority
C0028,Retail,Infrastructure,South,2019-01-22,2024-11-13,29,38208624.0,1317538.7586206896,2122,5.809719370294319,4.991635249764373,49,Active Customer,0,Low Churn Risk,0.0,2.88,Low Retention Priority
C0029,Dealer,Construction,South,2019-01-16,2024-06-30,38,58176890.6,1530970.805263158,1992,5.453798767967146,6.967620481927711,185,Churned Customer,100,Critical Churn Risk,58176890.6,82.96,High Retention Priority
C0030,Corporate,Construction,South,2019-01-30,2024-09-02,32,58263942.8,1820748.2125,2042,5.590691307323751,5.723800195886386,121,Churn Risk,70,High Churn Risk,58263942.8,59.32,High Retention Priority
C0031,Government,Mining,East,2019-04-11,2024-08-13,34,50500841.8,1485318.8764705881,1951,5.341546885694729,6.365197334700154,141,Churn Risk,70,High Churn Risk,50500841.8,55.44,High Retention Priority
C0032,Government,Logistics,West,2019-01-23,2024-10-25,44,71991263.0,1636165.0681818181,2102,5.754962354551677,7.645575642245481,68,At Risk,40,Moderate Churn Risk,71991263.0,58.4,High Retention Priority
C0033,Government,Mining,South,2019-03-05,2024-12-12,30,49354094.2,1645136.4733333334,2109,5.774127310061601,5.195590327169275,20,Active Customer,0,Low Churn Risk,0.0,8.94,Low Retention Priority
C0034,Government,Construction,West,2019-01-05,2024-10-06,32,42477752.2,1327429.75625,2101,5.752224503764545,5.563065207044264,87,At Risk,40,Moderate Churn Risk,42477752.2,30.46,Medium Retention Priority
C0035,Dealer,Infrastructure,Central,2019-01-07,2024-11-12,38,53340276.800000004,1403691.494736842,2136,5.848049281314168,6.497893258426966,50,Active Customer,0,Low Churn Risk,0.0,18.76,Low Retention Priority
C0036,Fleet Owner,Construction,East,2019-06-26,2024-12-18,31,48929201.8,1578361.3483870968,2002,5.4811772758384665,5.655719280719281,14,Active Customer,0,Low Churn Risk,0.0,9.4,Low Retention Priority
C0037,Corporate,Construction,West,2019-06-12,2024-10-25,36,45505928.0,1264053.5555555555,1962,5.371663244353183,6.701834862385321,68,At Risk,40,Moderate Churn Risk,45505928.0,35.84,Medium Retention Priority
C0038,Fleet Owner,Rental,North,2019-01-08,2024-11-29,36,57808311.2,1605786.4222222222,2152,5.891854893908282,6.110130111524164,33,Active Customer,0,Low Churn Risk,0.0,20.6,Low Retention Priority
C0039,Fleet Owner,Rental,South,2019-04-17,2024-11-28,38,62706510.2,1650171.3210526316,2052,5.618069815195072,6.763888888888889,34,Active Customer,0,Low Churn Risk,0.0,26.52,Low Retention Priority
C0040,Government,Logistics,North,2019-02-23,2024-12-21,43,53757984.6,1250185.688372093,2128,5.8261464750171115,7.380521616541354,11,Active Customer,0,Low Churn Risk,0.0,22.06,Low Retention Priority
C0041,Government,Rental,South,2019-01-11,2024-06-11,38,68044561.6,1790646.3578947366,1978,5.415468856947296,7.016936299292215,204,Churned Customer,100,Critical Churn Risk,68044561.6,89.36,Critical Retention Priority
C0042,Fleet Owner,Rental,South,2019-01-25,2024-10-13,41,73882726.2,1802017.712195122,2088,5.716632443531828,7.172054597701149,80,At Risk,40,Moderate Churn Risk,73882726.2,58.05,High Retention Priority
C0043,Corporate,Construction,South,2019-04-04,2024-06-14,36,47644638.800000004,1323462.188888889,1898,5.196440793976728,6.92781875658588,201,Churned Customer,100,Critical Churn Risk,47644638.800000004,73.3,High Retention Priority
C0044,Government,Mining,West,2019-01-05,2024-11-17,34,49589458.0,1458513.4705882352,2143,5.867214236824093,5.794913672421838,45,Active Customer,0,Low Churn Risk,0.0,12.68,Low Retention Priority
C0045,Corporate,Rental,East,2019-02-02,2024-12-15,42,75275350.60000001,1792270.2523809527,2143,5.867214236824093,7.158422771815212,17,Active Customer,0,Low Churn Risk,0.0,34.92,Low Retention Priority
C0046,Retail,Rental,West,2019-02-03,2024-12-09,46,87078641.0,1893013.9347826086,2136,5.848049281314168,7.8658707865168545,23,Active Customer,0,Low Churn Risk,0.0,38.33,Low Retention Priority
C0047,Corporate,Rental,West,2019-04-06,2024-08-25,30,57880918.0,1929363.9333333333,1968,5.388090349075975,5.567835365853659,129,Churn Risk,70,High Churn Risk,57880918.0,57.14,High Retention Priority
C0048,Dealer,Mining,South,2019-04-05,2024-09-12,31,49413459.2,1593982.5548387098,1987,5.4401095140314855,5.698414695520886,111,At Risk,40,Moderate Churn Risk,49413459.2,33.8,Medium Retention Priority
C0049,Dealer,Manufacturing,South,2019-01-25,2024-12-25,39,82316206.2,2110671.953846154,2161,5.916495550992471,6.591739935215179,7,Active Customer,0,Low Churn Risk,0.0,34.56,Low Retention Priority
C0050,Dealer,Mining,East,2019-01-11,2024-12-14,27,56151044.8,2079668.3259259257,2164,5.924709103353867,4.557185767097967,18,Active Customer,0,Low Churn Risk,0.0,11.72,Low Retention Priority
C0051,Retail,Infrastructure,North,2019-02-15,2024-11-15,36,59420710.4,1650575.288888889,2100,5.749486652977413,6.261428571428572,47,Active Customer,0,Low Churn Risk,0.0,22.04,Low Retention Priority
C0052,Government,Manufacturing,North East,2019-02-12,2024-12-11,35,56612172.2,1617490.6342857145,2129,5.8288843258042435,6.004579614842649,21,Active Customer,0,Low Churn Risk,0.0,18.24,Low Retention Priority
C0053,Fleet Owner,Construction,North,2019-05-16,2024-09-18,27,45016037.4,1667260.6444444444,1952,5.344284736481861,5.052126024590164,105,At Risk,40,Moderate Churn Risk,45016037.4,28.36,Medium Retention Priority
C0054,Fleet Owner,Manufacturing,South,2019-01-31,2024-12-14,37,63424926.8,1714187.2108108108,2144,5.8699520876112254,6.303288246268656,18,Active Customer,0,Low Churn Risk,0.0,26.14,Low Retention Priority
C0055,Dealer,Construction,North,2019-04-01,2024-12-11,32,59056095.2,1845502.975,2081,5.6974674880219025,5.616530514175877,21,Active Customer,0,Low Churn Risk,0.0,17.67,Low Retention Priority
C0056,Dealer,Mining,North,2019-01-08,2024-11-10,36,60885469.8,1691263.0499999998,2133,5.839835728952772,6.1645569620253164,52,Active Customer,0,Low Churn Risk,0.0,23.3,Low Retention Priority
C0057,Retail,Logistics,East,2019-03-20,2024-12-04,32,49701788.6,1553180.89375,2086,5.711156741957564,5.60306807286673,28,Active Customer,0,Low Churn Risk,0.0,10.82,Low Retention Priority
C0058,Retail,Infrastructure,West,2019-01-23,2024-12-24,40,56831525.0,1420788.125,2162,5.919233401779603,6.75763182238668,8,Active Customer,0,Low Churn Risk,0.0,23.11,Low Retention Priority
C0059,Retail,Manufacturing,South,2019-01-21,2024-12-20,32,56859509.4,1776859.66875,2160,5.9137577002053385,5.411111111111111,12,Active Customer,0,Low Churn Risk,0.0,15.76,Low Retention Priority
C0060,Dealer,Mining,South,2019-07-20,2024-11-24,44,77163010.4,1753704.781818182,1954,5.349760438056126,8.224667349027635,38,Active Customer,0,Low Churn Risk,0.0,36.15,Low Retention Priority
C0061,Dealer,Construction,West,2019-01-29,2024-09-08,29,33890240.0,1168628.9655172413,2049,5.6098562628336754,5.169472913616398,115,At Risk,40,Moderate Churn Risk,33890240.0,26.28,Medium Retention Priority
C0062,Dealer,Construction,South,2019-03-18,2024-10-31,36,78963082.0,2193418.9444444445,2054,5.623545516769336,6.401655306718598,62,At Risk,40,Moderate Churn Risk,78963082.0,55.24,High Retention Priority
C0063,Retail,Rental,North,2019-02-28,2024-12-19,38,72065344.4,1896456.4315789475,2121,5.806981519507187,6.543847241867043,13,Active Customer,0,Low Churn Risk,0.0,31.16,Low Retention Priority
C0064,Corporate,Manufacturing,North,2019-03-21,2024-10-18,32,57893888.0,1809184.0,2038,5.579739904175223,5.735034347399411,75,At Risk,40,Moderate Churn Risk,57893888.0,40.92,Medium Retention Priority
C0065,Corporate,Mining,West,2019-01-07,2024-12-12,36,59751563.6,1659765.6555555556,2166,5.930184804928132,6.070637119113573,20,Active Customer,0,Low Churn Risk,0.0,22.2,Low Retention Priority
C0066,Retail,Manufacturing,Central,2019-01-29,2024-10-11,32,54037060.800000004,1688658.1500000001,2082,5.700205338809035,5.6138328530259365,82,At Risk,40,Moderate Churn Risk,54037060.800000004,37.52,Medium Retention Priority
C0067,Retail,Manufacturing,West,2019-05-29,2024-12-30,31,55575120.6,1792745.8258064517,2042,5.590691307323751,5.5449314397649365,2,Active Customer,0,Low Churn Risk,0.0,13.85,Low Retention Priority
C0068,Retail,Mining,North,2019-03-11,2024-12-06,39,57372766.4,1471096.5743589744,2097,5.7412731006160165,6.792918454935622,26,Active Customer,0,Low Churn Risk,0.0,23.06,Low Retention Priority
C0069,Dealer,Logistics,North,2019-02-18,2024-12-11,47,77108269.8,1640601.485106383,2123,5.812457221081451,8.086081017428167,21,Active Customer,0,Low Churn Risk,0.0,37.16,Low Retention Priority
C0070,Government,Logistics,West,2019-02-04,2024-12-20,41,76883391.4,1875204.668292683,2146,5.87542778918549,6.9782152842497664,12,Active Customer,0,Low Churn Risk,0.0,34.8,Low Retention Priority
C0071,Corporate,Rental,North,2019-01-24,2024-11-26,42,72076738.0,1716112.8095238095,2133,5.839835728952772,7.19198312236287,36,Active Customer,0,Low Churn Risk,0.0,33.76,Low Retention Priority
C0072,Government,Logistics,West,2019-06-15,2024-12-23,26,55369763.0,2129606.269230769,2018,5.5249828884325805,4.70589692765114,9,Active Customer,0,Low Churn Risk,0.0,10.84,Low Retention Priority
C0073,Corporate,Rental,North,2019-03-23,2024-11-12,32,56970903.6,1780340.7375,2061,5.642710472279261,5.67103347889374,50,Active Customer,0,Low Churn Risk,0.0,15.86,Low Retention Priority
C0074,Fleet Owner,Infrastructure,East,2019-01-10,2024-12-31,39,50426138.6,1292977.912820513,2182,5.973990417522245,6.528299725022915,1,Active Customer,0,Low Churn Risk,0.0,18.1,Low Retention Priority
C0075,Retail,Mining,South,2019-04-17,2024-10-20,33,50186853.4,1520813.7393939393,2013,5.51129363449692,5.987704918032787,73,At Risk,40,Moderate Churn Risk,50186853.4,35.98,Medium Retention Priority
C0076,Government,Mining,South,2019-01-12,2024-10-06,45,80026994.2,1778377.648888889,2094,5.73305954825462,7.849212034383954,87,At Risk,40,Moderate Churn Risk,80026994.2,61.15,High Retention Priority
C0077,Corporate,Mining,North,2019-02-05,2024-12-16,34,57865492.6,1701926.2529411765,2141,5.861738535249829,5.800326950023353,16,Active Customer,0,Low Churn Risk,0.0,18.74,Low Retention Priority
C0078,Dealer,Rental,South,2019-01-31,2024-06-22,31,42565724.6,1373087.8903225807,1969,5.390828199863107,5.750507872016252,193,Churned Customer,100,Critical Churn Risk,42565724.6,65.65,High Retention Priority
C0079,Retail,Rental,North,2019-01-25,2024-11-28,31,47175266.2,1521782.7806451614,2134,5.842573579739904,5.305880974695408,34,Active Customer,0,Low Churn Risk,0.0,8.25,Low Retention Priority
C0080,Retail,Mining,South,2019-02-20,2024-11-03,42,56541324.2,1346222.004761905,2083,5.702943189596167,7.36461833893423,59,Active Customer,0,Low Churn Risk,0.0,23.66,Low Retention Priority
C0081,Corporate,Rental,West,2019-01-03,2024-12-23,37,56355210.0,1523113.7837837837,2181,5.971252566735113,6.196354883081155,9,Active Customer,0,Low Churn Risk,0.0,20.19,Low Retention Priority
C0082,Fleet Owner,Manufacturing,West,2019-03-17,2024-12-18,46,77500928.6,1684802.7956521737,2103,5.757700205338809,7.989300998573467,14,Active Customer,0,Low Churn Risk,0.0,37.03,Low Retention Priority
C0083,Dealer,Infrastructure,North,2019-05-23,2024-10-04,45,89672688.2,1992726.4044444445,1961,5.368925393566051,8.381565527791942,89,At Risk,40,Moderate Churn Risk,89672688.2,62.2,High Retention Priority
C0084,Corporate,Logistics,West,2019-04-29,2024-09-22,39,73317161.4,1879927.2153846156,1973,5.401779603011636,7.219842878864673,101,At Risk,40,Moderate Churn Risk,73317161.4,56.5,High Retention Priority
C0085,Retail,Mining,South,2019-01-01,2024-09-20,37,60463527.2,1634149.3837837838,2089,5.71937029431896,6.469243657252274,103,At Risk,40,Moderate Churn Risk,60463527.2,47.94,Medium Retention Priority
C0086,Retail,Construction,West,2019-01-12,2024-11-22,29,59655682.6,2057092.5034482758,2141,5.861738535249829,4.947337692666978,40,Active Customer,0,Low Churn Risk,0.0,15.87,Low Retention Priority
C0087,Government,Logistics,South,2019-01-22,2024-12-17,39,50370513.4,1291551.6256410256,2156,5.90280629705681,6.607026901669759,15,Active Customer,0,Low Churn Risk,0.0,17.95,Low Retention Priority
C0088,Corporate,Infrastructure,West,2019-01-26,2024-08-06,36,57330201.8,1592505.6055555556,2019,5.5277207392197125,6.512630014858841,148,Churn Risk,70,High Churn Risk,57330201.8,62.2,High Retention Priority
C0089,Corporate,Rental,West,2019-01-02,2024-11-14,37,47111014.0,1273270.6486486488,2143,5.867214236824093,6.3062295846943535,48,Active Customer,0,Low Churn Risk,0.0,14.04,Low Retention Priority
C0090,Government,Infrastructure,North,2019-03-16,2024-10-22,43,51915256.6,1207331.5488372094,2047,5.604380561259411,7.67256961406937,71,At Risk,40,Moderate Churn Risk,51915256.6,44.96,Medium Retention Priority
C0091,Retail,Construction,South,2019-01-09,2024-09-07,30,39090471.8,1303015.7266666666,2068,5.661875427789186,5.298597678916828,116,At Risk,40,Moderate Churn Risk,39090471.8,27.69,Medium Retention Priority
C0092,Fleet Owner,Logistics,West,2019-01-17,2024-07-30,36,46760586.8,1298905.1888888888,2021,5.533196440793977,6.506185056902524,155,Churn Risk,70,High Churn Risk,46760586.8,54.44,High Retention Priority
C0093,Dealer,Manufacturing,South,2019-02-13,2024-12-01,36,57944235.8,1609562.1055555556,2118,5.798767967145791,6.208215297450424,31,Active Customer,0,Low Churn Risk,0.0,20.94,Low Retention Priority
C0094,Corporate,Logistics,West,2019-01-18,2024-09-20,31,46343009.2,1494935.7806451614,2072,5.672826830937714,5.464647683397684,103,At Risk,40,Moderate Churn Risk,46343009.2,31.45,Medium Retention Priority
C0095,Fleet Owner,Logistics,West,2019-05-21,2024-12-26,29,55610118.2,1917590.2827586208,2046,5.601642710472279,5.177052785923753,6,Active Customer,0,Low Churn Risk,0.0,12.48,Low Retention Priority
C0096,Corporate,Construction,South,2019-01-02,2024-12-30,34,51986858.4,1529025.2470588235,2189,5.993155373032169,5.673138419369575,2,Active Customer,0,Low Churn Risk,0.0,14.28,Low Retention Priority
C0097,Corporate,Construction,West,2019-03-22,2024-12-16,26,47499351.2,1826898.1230769232,2096,5.738535249828884,4.530772900763359,16,Active Customer,0,Low Churn Risk,0.0,5.49,Low Retention Priority
C0098,Corporate,Mining,East,2019-03-14,2024-12-18,35,56088743.0,1602535.5142857144,2106,5.765913757700205,6.070156695156696,14,Active Customer,0,Low Churn Risk,0.0,17.78,Low Retention Priority
C0099,Fleet Owner,Rental,South,2019-01-10,2024-12-26,44,56469516.0,1283398.0909090908,2177,5.960301163586585,7.3821773082223245,6,Active Customer,0,Low Churn Risk,0.0,24.35,Low Retention Priority
C0100,Government,Construction,North,2019-01-25,2024-09-10,38,48373950.0,1272998.6842105263,2055,5.626283367556468,6.754014598540146,113,At Risk,40,Moderate Churn Risk,48373950.0,39.92,Medium Retention Priority
C0101,Corporate,Logistics,South,2019-02-26,2024-10-10,38,62629058.6,1648133.1210526316,2053,5.620807665982204,6.7605942523136875,83,At Risk,40,Moderate Churn Risk,62629058.6,50.42,Medium Retention Priority
C0102,Government,Infrastructure,East,2019-03-11,2024-10-24,34,71864051.2,2113648.564705882,2054,5.623545516769336,6.046007789678676,69,At Risk,40,Moderate Churn Risk,71864051.2,51.14,High Retention Priority
C0103,Dealer,Infrastructure,South,2019-02-21,2024-08-29,40,75304293.2,1882607.33,2016,5.519507186858316,7.247023809523809,125,Churn Risk,70,High Churn Risk,75304293.2,75.96,Critical Retention Priority
C0104,Fleet Owner,Infrastructure,South,2019-04-06,2024-12-30,34,42120081.4,1238825.9235294117,2095,5.735797399041752,5.927684964200477,2,Active Customer,0,Low Churn Risk,0.0,8.28,Low Retention Priority
C0105,Government,Logistics,North,2019-05-25,2024-11-26,41,57202879.8,1395192.1902439024,2012,5.508555783709788,7.442967196819085,36,Active Customer,0,Low Churn Risk,0.0,24.05,Low Retention Priority
C0106,Dealer,Infrastructure,Central,2019-04-07,2024-11-12,39,58339475.8,1495883.9948717947,2046,5.601642710472279,6.9622434017595305,50,Active Customer,0,Low Churn Risk,0.0,24.06,Low Retention Priority
C0107,Fleet Owner,Construction,North,2019-01-16,2024-12-11,49,85196217.6,1738698.318367347,2156,5.90280629705681,8.301136363636363,21,Active Customer,0,Low Churn Risk,0.0,38.78,Low Retention Priority
C0108,Corporate,Rental,North,2019-01-03,2024-12-29,24,31126705.0,1296946.0416666667,2187,5.987679671457905,4.008230452674898,3,Active Customer,0,Low Churn Risk,0.0,0.36,Low Retention Priority
C0109,Retail,Mining,South,2019-01-14,2024-12-09,44,69451949.0,1578453.3863636365,2156,5.90280629705681,7.454081632653061,23,Active Customer,0,Low Churn Risk,0.0,33.5,Low Retention Priority
C0110,Dealer,Logistics,Central,2019-01-25,2024-06-21,42,90807306.0,2162078.714285714,1974,5.404517453798768,7.771276595744681,194,Churned Customer,100,Critical Churn Risk,90807306.0,97.12,Critical Retention Priority
C0111,Corporate,Construction,South,2019-04-09,2024-12-16,33,55916542.2,1694440.6727272728,2078,5.689253935660506,5.8004090471607315,16,Active Customer,0,Low Churn Risk,0.0,15.88,Low Retention Priority
C0112,Fleet Owner,Mining,South,2019-02-27,2024-12-01,33,46248326.6,1401464.4424242424,2104,5.760438056125941,5.728730988593156,31,Active Customer,0,Low Churn Risk,0.0,9.22,Low Retention Priority
C0113,Corporate,Logistics,South,2019-01-13,2024-12-23,41,78713400.0,1919839.024390244,2171,5.943874058863792,6.8978581298940576,9,Active Customer,0,Low Churn Risk,0.0,35.2,Low Retention Priority
C0114,Retail,Mining,East,2019-02-09,2024-09-27,33,48515792.8,1470175.5393939393,2057,5.631759069130732,5.8596256684491985,96,At Risk,40,Moderate Churn Risk,48515792.8,35.08,Medium Retention Priority
C0115,Fleet Owner,Mining,South,2019-05-07,2024-11-28,29,44357793.6,1529579.0896551725,2032,5.563312799452429,5.212721456692914,34,Active Customer,0,Low Churn Risk,0.0,4.82,Low Retention Priority
C0116,Dealer,Construction,North,2019-01-08,2024-07-28,35,64081942.6,1830912.6457142858,2028,5.552361396303901,6.30362426035503,157,Churn Risk,70,High Churn Risk,64081942.6,66.34,High Retention Priority
C0117,Government,Mining,North East,2019-01-01,2024-08-12,31,38951277.4,1256492.8193548387,2050,5.6125941136208075,5.523292682926829,142,Churn Risk,70,High Churn Risk,38951277.4,46.45,High Retention Priority
C0118,Retail,Rental,South,2019-02-03,2024-12-10,32,41835680.2,1307365.00625,2137,5.8507871321013,5.469349555451568,22,Active Customer,0,Low Churn Risk,0.0,6.26,Low Retention Priority
C0119,Government,Manufacturing,West,2019-01-07,2024-10-26,51,67143205.2,1316533.4352941178,2119,5.801505817932923,8.790821142048136,67,At Risk,40,Moderate Churn Risk,67143205.2,57.82,High Retention Priority
C0120,Fleet Owner,Construction,South,2019-01-02,2024-11-15,34,50313583.0,1479811.2647058824,2144,5.8699520876112254,5.792210820895522,47,Active Customer,0,Low Churn Risk,0.0,13.08,Low Retention Priority
C0121,Government,Construction,West,2019-01-22,2024-12-01,34,47029566.199999996,1383222.5352941174,2140,5.859000684462697,5.8030373831775695,31,Active Customer,0,Low Churn Risk,0.0,10.74,Low Retention Priority
C0122,Dealer,Rental,North East,2019-01-12,2024-11-05,31,48051119.4,1550036.1096774193,2124,5.815195071868583,5.330861581920904,57,Active Customer,0,Low Churn Risk,0.0,8.55,Low Retention Priority
C0123,Corporate,Infrastructure,East,2019-01-16,2024-11-04,36,70019319.0,1944981.0833333333,2119,5.801505817932923,6.205285512033978,58,Active Customer,0,Low Churn Risk,0.0,28.64,Low Retention Priority
C0124,Dealer,Construction,West,2019-01-11,2024-11-04,42,54870405.8,1306438.2333333332,2124,5.815195071868583,7.222457627118644,58,Active Customer,0,Low Churn Risk,0.0,22.62,Low Retention Priority
C0125,Government,Mining,West,2019-02-17,2024-12-09,30,31904862.6,1063495.4200000002,2122,5.809719370294319,5.163760603204524,23,Active Customer,0,Low Churn Risk,0.0,2.69,Low Retention Priority
C0126,Dealer,Manufacturing,South,2019-03-05,2024-04-05,33,64059034.8,1941182.8727272726,1858,5.086926762491444,6.48721743810549,271,Churned Customer,100,Critical Churn Risk,64059034.8,82.43,High Retention Priority
C0127,Government,Construction,East,2019-03-01,2024-06-25,28,48960650.8,1748594.6714285712,1943,5.319644079397673,5.263510036026763,190,Churned Customer,100,Critical Churn Risk,48960650.8,67.61,High Retention Priority
C0128,Retail,Mining,West,2019-01-02,2024-12-18,33,69172996.2,2096151.4000000001,2177,5.960301163586585,5.536632981166743,14,Active Customer,0,Low Churn Risk,0.0,24.98,Low Retention Priority
C0129,Corporate,Mining,North,2019-01-06,2024-10-31,36,76393252.6,2122034.794444444,2125,5.817932922655715,6.187764705882353,62,At Risk,40,Moderate Churn Risk,76393252.6,54.7,High Retention Priority
C0130,Government,Mining,West,2019-02-17,2024-11-16,39,60017312.8,1538905.4564102564,2099,5.746748802190281,6.786445926631729,46,Active Customer,0,Low Churn Risk,0.0,25.16,Low Retention Priority
C0131,Corporate,Rental,South,2019-02-21,2024-06-14,32,59008448.8,1844014.025,1940,5.3114305270362765,6.024742268041237,201,Churned Customer,100,Critical Churn Risk,59008448.8,77.61,High Retention Priority
C0132,Corporate,Construction,Central,2019-02-22,2024-10-01,37,49004629.4,1324449.4432432433,2048,5.607118412046543,6.5987548828125,92,At Risk,40,Moderate Churn Risk,49004629.4,39.49,Medium Retention Priority
C0133,Government,Mining,South,2019-03-27,2024-04-07,29,51247358.0,1767150.2758620689,1838,5.032169746748802,5.762921653971708,269,Churned Customer,100,Critical Churn Risk,51247358.0,69.62,High Retention Priority
