customer_id,first_purchase_date,last_purchase_date,delivered_order_count,total_revenue,average_order_value,customer_lifetime_days,customer_lifetime_years,effective_lifetime_years,orders_per_year,historical_clv,annual_customer_value,estimated_lifetime_years,estimated_lifetime_value,future_value_estimate,clv_to_revenue_ratio,customer_type,industry_segment,region,clv_value_class,customer_lifetime_class,clv_percentile,frequency_percentile,revenue_percentile,clv_priority_score,clv_priority_class,clv_priority_rank
C0046,2019-02-03,2024-12-09,46,87078641.0,1893013.93,2159,5.91,5.91,7.78,87078641.0,14731576.48,5.0,73657882.41,-13420758.59,0.85,Retail,Rental,West,Very High Value,Long-Term Customer,97.2,91.8,97.4,96.18,Critical Value Customer,14
C0107,2019-01-16,2024-12-11,49,85196217.6,1738698.32,2177,5.96,5.96,8.22,85196217.6,14293945.1,5.0,71469725.49,-13726492.11,0.84,Fleet Owner,Construction,North,Very High Value,Long-Term Customer,95.6,97.0,96.4,96.12,Critical Value Customer,15
C0207,2019-02-10,2024-10-13,45,87068691.0,1934859.8,2152,5.89,5.89,7.64,87068691.0,14777806.41,5.0,73889032.03,-13179658.97,0.85,Corporate,Rental,East,Very High Value,Long-Term Customer,97.4,90.0,97.2,95.86,Critical Value Customer,16
C0359,2019-02-12,2024-11-28,46,85617784.0,1861256.17,2150,5.89,5.89,7.81,85617784.0,14545067.72,5.0,72725338.62,-12892445.38,0.85,Fleet Owner,Mining,South,Very High Value,Long-Term Customer,96.4,92.2,96.8,95.68,Critical Value Customer,17
C0200,2019-02-09,2024-11-25,47,84469856.6,1797230.99,2153,5.89,5.89,7.97,84469856.6,14330058.12,5.0,71650290.58,-12819566.02,0.85,Retail,Logistics,East,Very High Value,Long-Term Customer,95.8,94.0,95.8,95.44,Critical Value Customer,18
C0110,2019-01-25,2024-06-21,42,90807306.0,2162078.71,2168,5.94,5.94,7.08,90807306.0,15298601.71,5.0,76493008.57,-14314297.43,0.84,Dealer,Logistics,Central,Very High Value,Long-Term Customer,98.2,81.6,98.6,95.0,Critical Value Customer,19
C0462,2019-01-06,2024-11-13,49,82777824.6,1689343.36,2187,5.99,5.99,8.18,82777824.6,13824691.56,5.0,69123457.78,-13654366.82,0.84,Retail,Logistics,South,Very High Value,Long-Term Customer,94.0,96.6,95.6,95.0,Critical Value Customer,20
C0142,2019-02-06,2024-12-08,45,84828043.0,1885067.62,2156,5.9,5.9,7.62,84828043.0,14370799.03,5.0,71853995.14,-12974047.86,0.85,Retail,Manufacturing,West,Very High Value,Long-Term Customer,96.2,89.8,96.2,94.92,Critical Value Customer,21
C0060,2019-07-20,2024-11-24,44,77163010.4,1753704.78,1992,5.45,5.45,8.07,77163010.4,14148488.73,5.0,70742443.65,-6420566.75,0.92,Dealer,Mining,South,Very High Value,Long-Term Customer,95.0,95.6,91.8,94.16,Critical Value Customer,22
C0490,2019-01-26,2024-12-29,44,84742703.8,1925970.54,2167,5.93,5.93,7.42,84742703.8,14283466.8,5.0,71417334.02,-13325369.78,0.84,Government,Logistics,West,Very High Value,Long-Term Customer,95.4,87.4,96.0,93.98,Critical Value Customer,23
C0435,2019-10-11,2024-11-01,50,73908258.2,1478165.16,1909,5.23,5.23,9.57,73908258.2,14140906.92,5.0,70704534.59,-3203723.61,0.96,Dealer,Manufacturing,South,Very High Value,Long-Term Customer,94.8,100.0,88.4,93.92,Critical Value Customer,24
C0165,2019-02-27,2024-12-24,50,79168592.4,1583371.85,2135,5.85,5.85,8.55,79168592.4,13543947.72,5.0,67719738.58,-11448853.82,0.86,Fleet Owner,Manufacturing,North,Very High Value,Long-Term Customer,92.0,98.4,93.4,93.7,Critical Value Customer,25
C0440,2019-01-29,2024-10-21,44,82426773.6,1873335.76,2164,5.92,5.92,7.43,82426773.6,13912374.8,5.0,69561873.98,-12864899.62,0.84,Retail,Manufacturing,South,Very High Value,Long-Term Customer,94.6,87.8,95.4,93.48,Critical Value Customer,26
C0294,2019-03-26,2024-12-27,45,79772077.0,1772712.82,2108,5.77,5.77,7.8,79772077.0,13821988.2,5.0,69109941.0,-10662136.0,0.87,Government,Infrastructure,South,Very High Value,Long-Term Customer,93.8,92.0,93.8,93.44,Critical Value Customer,27
C0371,2019-01-03,2024-11-02,47,82052808.0,1745804.43,2190,6.0,6.0,7.84,82052808.0,13684834.76,5.0,68424173.79,-13628634.21,0.83,Retail,Rental,South,Very High Value,Long-Term Customer,92.8,92.4,95.0,93.38,Critical Value Customer,28
C0201,2019-02-01,2024-12-13,47,80475593.0,1712246.66,2161,5.92,5.92,7.94,80475593.0,13601902.06,5.0,68009510.28,-12466082.72,0.85,Dealer,Infrastructure,South,Very High Value,Long-Term Customer,92.2,93.6,94.2,93.08,Critical Value Customer,29
C0356,2019-03-16,2024-12-05,45,79690881.0,1770908.47,2118,5.8,5.8,7.76,79690881.0,13742726.29,5.0,68713631.46,-10977249.54,0.86,Dealer,Mining,East,Very High Value,Long-Term Customer,93.4,91.4,93.6,93.06,Critical Value Customer,30
C0403,2019-02-19,2024-12-10,45,80523517.0,1789411.49,2143,5.87,5.87,7.67,80523517.0,13724318.52,5.0,68621592.59,-11901924.41,0.85,Government,Construction,East,Very High Value,Long-Term Customer,93.2,90.2,94.4,92.96,Critical Value Customer,31
C0291,2019-03-13,2024-12-03,46,79064597.0,1718795.59,2121,5.81,5.81,7.92,79064597.0,13615438.03,5.0,68077190.13,-10987406.87,0.86,Retail,Construction,South,Very High Value,Long-Term Customer,92.4,93.0,93.2,92.76,Critical Value Customer,32
C0380,2019-01-29,2024-11-03,50,77887431.8,1557748.64,2164,5.92,5.92,8.44,77887431.8,13146203.54,5.0,65731017.71,-12156414.09,0.84,Fleet Owner,Manufacturing,South,Very High Value,Long-Term Customer,90.6,97.8,92.6,92.64,Critical Value Customer,33
C0206,2019-01-08,2024-12-11,40,89674652.2,2241866.31,2185,5.98,5.98,6.69,89674652.2,14990236.48,5.0,74951182.42,-14723469.78,0.84,Retail,Construction,West,Very High Value,Long-Term Customer,97.6,71.4,98.4,92.6,Critical Value Customer,34
C0244,2019-05-06,2024-12-09,44,77550764.4,1762517.37,2067,5.66,5.66,7.78,77550764.4,13703636.52,5.0,68518182.62,-9032581.78,0.88,Government,Logistics,North,Very High Value,Long-Term Customer,93.0,91.6,92.4,92.54,Critical Value Customer,35
C0221,2019-01-17,2024-09-05,44,82001959.0,1863680.89,2176,5.96,5.96,7.39,82001959.0,13764345.37,5.0,68821726.85,-13180232.15,0.84,Dealer,Logistics,North,Very High Value,Long-Term Customer,93.6,86.3,94.8,92.5,Critical Value Customer,36
C0468,2019-05-10,2024-11-10,49,75254807.6,1535812.4,2063,5.65,5.65,8.68,75254807.6,13323712.3,5.0,66618561.5,-8636246.1,0.89,Fleet Owner,Rental,South,Very High Value,Long-Term Customer,91.4,98.8,89.6,92.34,Critical Value Customer,37
C0197,2019-02-22,2024-10-18,47,77464617.6,1648183.35,2140,5.86,5.86,8.02,77464617.6,13221472.7,5.0,66107363.5,-11357254.1,0.85,Government,Manufacturing,West,Very High Value,Long-Term Customer,91.2,95.2,92.0,92.24,Critical Value Customer,38
C0082,2019-03-17,2024-12-18,46,77500928.6,1684802.8,2117,5.8,5.8,7.94,77500928.6,13371381.28,5.0,66856906.4,-10644022.2,0.86,Fleet Owner,Manufacturing,West,Very High Value,Long-Term Customer,91.6,93.2,92.2,92.1,Critical Value Customer,39
C0375,2019-02-20,2024-11-03,42,81286325.6,1935388.7,2142,5.86,5.86,7.16,81286325.6,13860798.52,5.0,69303992.59,-11982333.01,0.85,Fleet Owner,Mining,West,Very High Value,Long-Term Customer,94.2,82.9,94.6,92.06,Critical Value Customer,40
C0076,2019-01-12,2024-10-06,45,80026994.2,1778377.65,2181,5.97,5.97,7.54,80026994.2,13402044.76,5.0,67010223.82,-13016770.38,0.84,Government,Mining,South,Very High Value,Long-Term Customer,91.8,89.0,94.0,91.9,Critical Value Customer,41
C0069,2019-02-18,2024-12-11,47,77108269.8,1640601.49,2144,5.87,5.87,8.01,77108269.8,13136098.67,5.0,65680493.34,-11427776.46,0.85,Dealer,Logistics,North,Very High Value,Long-Term Customer,90.4,94.6,91.6,91.6,Critical Value Customer,42
C0272,2019-09-01,2024-12-13,39,75550922.6,1937203.14,1949,5.34,5.34,7.31,75550922.6,14158529.75,5.0,70792648.74,-4758273.86,0.94,Government,Construction,North,Very High Value,Long-Term Customer,95.2,84.6,90.2,91.58,Critical Value Customer,43
C0342,2019-12-04,2024-10-09,36,72821567.8,2022821.33,1855,5.08,5.08,7.09,72821567.8,14338586.33,5.0,71692931.64,-1128636.16,0.98,Dealer,Infrastructure,North,Very High Value,Long-Term Customer,96.0,82.0,86.2,90.26,Critical Value Customer,44
C0215,2019-02-28,2024-12-24,49,73940925.4,1508998.48,2134,5.84,5.84,8.39,73940925.4,12655540.3,5.0,63277701.51,-10663223.89,0.86,Corporate,Rental,South,Very High Value,Long-Term Customer,87.4,97.6,88.6,89.8,Critical Value Customer,45
C0411,2019-07-14,2024-12-12,43,72229183.0,1679748.44,1998,5.47,5.47,7.86,72229183.0,13204058.6,5.0,66020293.02,-6208889.98,0.91,Corporate,Mining,South,Very High Value,Long-Term Customer,91.0,92.8,85.6,89.74,Critical Value Customer,46
C0049,2019-01-25,2024-12-25,39,82316206.2,2110671.95,2168,5.94,5.94,6.57,82316206.2,13868078.56,5.0,69340392.79,-12975813.41,0.84,Dealer,Manufacturing,South,Very High Value,Long-Term Customer,94.4,68.4,95.2,89.44,Critical Value Customer,47
C0005,2019-02-28,2024-10-04,45,74996415.4,1666587.01,2134,5.84,5.84,7.7,74996415.4,12836195.28,5.0,64180976.39,-10815439.01,0.86,Dealer,Construction,West,Very High Value,Long-Term Customer,88.8,90.8,89.4,89.38,Critical Value Customer,48
C0478,2019-02-04,2024-12-29,44,75901402.2,1725031.87,2158,5.91,5.91,7.45,75901402.2,12846611.29,5.0,64233056.43,-11668345.77,0.85,Retail,Rental,North,Very High Value,Long-Term Customer,89.0,88.0,90.4,89.22,Critical Value Customer,49
C0013,2019-01-02,2024-10-27,44,76843692.4,1746447.55,2191,6.0,6.0,7.34,76843692.4,12810204.77,5.0,64051023.85,-12792668.55,0.83,Dealer,Construction,West,Very High Value,Long-Term Customer,88.6,85.0,91.0,88.6,Critical Value Customer,50
C0113,2019-01-13,2024-12-23,41,78713400.0,1919839.02,2180,5.97,5.97,6.87,78713400.0,13188105.21,5.0,65940526.03,-12772873.97,0.84,Corporate,Logistics,South,Very High Value,Long-Term Customer,90.8,76.2,92.8,88.48,Critical Value Customer,51
C0070,2019-02-04,2024-12-20,41,76883391.4,1875204.67,2158,5.91,5.91,6.94,76883391.4,13012816.83,5.0,65064084.13,-11819307.27,0.85,Government,Logistics,West,Very High Value,Long-Term Customer,90.2,78.4,91.2,88.14,Critical Value Customer,52
C0257,2019-01-18,2024-12-23,43,76189558.0,1771850.19,2175,5.95,5.95,7.22,76189558.0,12794591.29,5.0,63972956.46,-12216601.54,0.84,Corporate,Logistics,North,Very High Value,Long-Term Customer,88.4,83.6,90.6,88.1,Critical Value Customer,53
C0250,2019-03-08,2024-12-20,43,74416923.4,1730626.13,2126,5.82,5.82,7.39,74416923.4,12784939.45,5.0,63924697.25,-10492226.15,0.86,Government,Infrastructure,East,Very High Value,Long-Term Customer,88.0,86.6,89.0,88.02,Critical Value Customer,54
C0154,2019-01-29,2024-08-21,45,74171590.6,1648257.57,2164,5.92,5.92,7.6,74171590.6,12519026.56,5.0,62595132.78,-11576457.82,0.84,Fleet Owner,Logistics,North,Very High Value,Long-Term Customer,86.6,89.6,88.8,87.86,Critical Value Customer,55
C0237,2019-01-28,2024-10-15,44,74820743.4,1700471.44,2165,5.93,5.93,7.42,74820743.4,12622760.52,5.0,63113802.6,-11706940.8,0.84,Dealer,Infrastructure,South,Very High Value,Long-Term Customer,87.0,87.6,89.2,87.78,Critical Value Customer,56
C0242,2019-01-30,2024-11-18,47,73225487.6,1557989.1,2163,5.92,5.92,7.94,73225487.6,12365052.86,5.0,61825264.32,-11400223.28,0.84,Government,Construction,South,Very High Value,Long-Term Customer,85.4,93.4,86.8,87.42,Critical Value Customer,57
C0045,2019-02-02,2024-12-15,42,75275350.60000001,1792270.25,2160,5.91,5.91,7.1,75275350.6,12728852.69,5.0,63644263.44,-11631087.16,0.85,Corporate,Rental,East,Very High Value,Long-Term Customer,87.6,82.2,89.8,87.18,Critical Value Customer,58
C0306,2019-07-19,2024-12-16,42,69813587.0,1662228.26,1993,5.46,5.46,7.7,69813587.0,12794487.03,5.0,63972435.15,-5841151.85,0.92,Fleet Owner,Manufacturing,East,Very High Value,Long-Term Customer,88.2,90.6,82.2,86.88,Critical Value Customer,59
C0300,2019-05-05,2024-11-18,40,72746205.0,1818655.12,2068,5.66,5.66,7.06,72746205.0,12848429.1,5.0,64242145.49,-8504059.51,0.88,Dealer,Mining,North,Very High Value,Long-Term Customer,89.4,81.2,86.0,86.74,Critical Value Customer,60
C0103,2019-02-21,2024-08-29,40,75304293.2,1882607.33,2141,5.86,5.86,6.82,75304293.2,12846750.63,5.0,64233753.13,-11070540.07,0.85,Dealer,Infrastructure,South,Very High Value,Long-Term Customer,89.2,74.7,90.0,86.54,Critical Value Customer,61
C0489,2019-04-14,2024-08-17,47,70625273.0,1502665.38,2089,5.72,5.72,8.22,70625273.0,12348435.12,5.0,61742175.59,-8883097.41,0.87,Fleet Owner,Rental,South,Very High Value,Long-Term Customer,84.4,96.8,83.0,86.46,Critical Value Customer,62
C0002,2019-01-24,2024-09-07,51,71712838.0,1406134.08,2169,5.94,5.94,8.59,71712838.0,12076124.52,5.0,60380622.59,-11332215.41,0.84,Fleet Owner,Manufacturing,South,Very High Value,Long-Term Customer,82.8,98.6,84.2,86.38,Critical Value Customer,63
C0084,2019-04-29,2024-09-22,39,73317161.4,1879927.22,2074,5.68,5.68,6.87,73317161.4,12911809.64,5.0,64559048.22,-8758113.18,0.88,Corporate,Logistics,West,Very High Value,Long-Term Customer,89.8,76.0,87.0,86.2,Critical Value Customer,64
C0482,2019-12-15,2024-12-03,31,73762403.2,2379432.36,1844,5.05,5.05,6.14,73762403.2,14610476.01,5.0,73052380.07,-710023.13,0.99,Fleet Owner,Logistics,East,Very High Value,Long-Term Customer,96.8,53.4,88.0,85.48,Critical Value Customer,65
C0062,2019-03-18,2024-10-31,36,78963082.0,2193418.94,2116,5.79,5.79,6.21,78963082.0,13630087.76,5.0,68150438.8,-10812643.2,0.86,Dealer,Construction,South,Very High Value,Long-Term Customer,92.6,56.2,93.0,85.44,Critical Value Customer,66
C0042,2019-01-25,2024-10-13,41,73882726.2,1802017.71,2168,5.94,5.94,6.91,73882726.2,12447262.8,5.0,62236313.99,-11646412.21,0.84,Fleet Owner,Rental,South,Very High Value,Long-Term Customer,86.4,77.2,88.2,85.1,Critical Value Customer,67
C0196,2019-01-09,2024-10-28,48,71291851.6,1485246.91,2184,5.98,5.98,8.03,71291851.6,11922778.75,5.0,59613893.77,-11677957.83,0.84,Fleet Owner,Rental,North East,Very High Value,Long-Term Customer,81.4,95.4,84.0,84.98,Critical Value Customer,68
C0209,2019-10-18,2024-11-22,44,65445658.4,1487401.33,1902,5.21,5.21,8.45,65445658.4,12567837.4,5.0,62839186.99,-2606471.41,0.96,Corporate,Infrastructure,East,Very High Value,Long-Term Customer,86.8,98.0,73.0,84.9,Critical Value Customer,69
C0307,2019-01-15,2024-11-24,42,73655534.6,1753703.2,2178,5.96,5.96,7.04,73655534.6,12352012.86,5.0,61760064.31,-11895470.29,0.84,Dealer,Manufacturing,West,Very High Value,Long-Term Customer,84.8,80.6,87.6,84.8,Critical Value Customer,70
C0032,2019-01-23,2024-10-25,44,71991263.0,1636165.07,2170,5.94,5.94,7.41,71991263.0,12117423.42,5.0,60587117.08,-11404145.92,0.84,Government,Logistics,West,Very High Value,Long-Term Customer,83.4,87.0,84.8,84.54,Critical Value Customer,71
C0225,2019-03-17,2024-07-17,48,69254158.0,1442794.96,2117,5.8,5.8,8.28,69254158.0,11948550.41,5.0,59742752.03,-9511405.97,0.86,Fleet Owner,Logistics,North,Very High Value,Long-Term Customer,81.6,97.4,80.0,84.28,Critical Value Customer,72
C0253,2019-03-28,2024-11-27,39,72946151.6,1870414.14,2106,5.77,5.77,6.76,72946151.6,12651273.44,5.0,63256367.22,-9689784.38,0.87,Retail,Rental,West,Very High Value,Long-Term Customer,87.2,73.4,86.4,84.2,Critical Value Customer,73
C0160,2019-02-19,2024-11-23,44,70762190.2,1608231.6,2143,5.87,5.87,7.5,70762190.2,12060611.28,5.0,60303056.39,-10459133.81,0.85,Retail,Rental,West,Very High Value,Long-Term Customer,82.6,88.4,83.4,84.0,Critical Value Customer,74
C0459,2019-03-10,2024-12-14,41,71816909.8,1751631.95,2124,5.82,5.82,7.05,71816909.8,12349871.14,5.0,61749355.71,-10067554.09,0.86,Retail,Logistics,East,Very High Value,Long-Term Customer,84.6,81.0,84.4,83.82,Critical Value Customer,75
C0071,2019-01-24,2024-11-26,42,72076738.0,1716112.81,2169,5.94,5.94,7.07,72076738.0,12137403.67,5.0,60687018.34,-11389719.66,0.84,Corporate,Rental,North,Very High Value,Long-Term Customer,83.8,81.4,85.2,83.74,Critical Value Customer,76
C0255,2019-01-05,2024-11-11,45,71144094.2,1580979.87,2188,5.99,5.99,7.51,71144094.2,11876316.46,5.0,59381582.28,-11762511.92,0.83,Retail,Infrastructure,South,Very High Value,Long-Term Customer,81.0,88.8,83.8,83.4,Critical Value Customer,77
C0241,2019-02-01,2024-10-31,39,73396972.0,1881973.64,2161,5.92,5.92,6.59,73396972.0,12405480.81,5.0,62027404.03,-11369567.97,0.85,Government,Construction,West,Very High Value,Long-Term Customer,85.6,69.2,87.2,82.8,Critical Value Customer,78
C0384,2019-02-05,2024-09-09,39,72157498.2,1850192.26,2157,5.91,5.91,6.6,72157498.2,12218602.79,5.0,61093013.95,-11064484.25,0.85,Retail,Construction,South,Very High Value,Long-Term Customer,84.0,69.4,85.4,81.5,Critical Value Customer,79
C0270,2019-03-27,2024-12-20,43,68114112.8,1584049.13,2107,5.77,5.77,7.45,68114112.8,11807631.56,5.0,59038157.81,-9075954.99,0.87,Corporate,Manufacturing,North,Very High Value,Long-Term Customer,80.2,88.2,78.0,81.14,Critical Value Customer,80
C0422,2019-09-19,2024-11-04,37,65678984.2,1775107.68,1931,5.29,5.29,7.0,65678984.2,12423225.78,5.0,62116128.89,-3562855.31,0.95,Government,Construction,South,Very High Value,Long-Term Customer,86.2,79.4,73.6,81.06,Critical Value Customer,81
C0186,2019-02-17,2024-12-11,40,70676837.0,1766920.92,2145,5.87,5.87,6.81,70676837.0,12034832.03,5.0,60174160.17,-10502676.83,0.85,Fleet Owner,Infrastructure,East,Very High Value,Long-Term Customer,82.2,74.4,83.2,80.94,Critical Value Customer,82
C0394,2019-03-08,2024-11-21,40,69936379.2,1748409.48,2126,5.82,5.82,6.87,69936379.2,12015175.21,5.0,60075876.06,-9860503.14,0.86,Government,Construction,South,Very High Value,Long-Term Customer,81.8,76.4,82.4,80.9,Critical Value Customer,83
C0246,2019-01-26,2024-11-02,35,77080113.6,2202288.96,2167,5.93,5.93,5.9,77080113.6,12991929.62,5.0,64959648.11,-12120465.49,0.84,Retail,Manufacturing,North,Very High Value,Long-Term Customer,90.0,42.2,91.4,80.86,Critical Value Customer,84
C0169,2019-03-25,2024-10-27,40,69450095.6,1736252.39,2109,5.77,5.77,6.93,69450095.6,12027808.16,5.0,60139040.82,-9311054.78,0.87,Fleet Owner,Construction,West,Very High Value,Long-Term Customer,82.0,77.6,81.0,80.82,Critical Value Customer,85
C0385,2019-07-27,2024-09-23,37,67435700.6,1822586.5,1985,5.43,5.43,6.81,67435700.6,12408508.64,5.0,62042543.18,-5393157.42,0.92,Corporate,Manufacturing,West,Very High Value,Long-Term Customer,85.8,74.2,76.8,80.78,Critical Value Customer,86
C0063,2019-02-28,2024-12-19,38,72065344.4,1896456.43,2134,5.84,5.84,6.5,72065344.4,12334520.64,5.0,61672603.19,-10392741.21,0.86,Retail,Rental,North,Very High Value,Long-Term Customer,84.2,65.5,85.0,80.7,Critical Value Customer,87
C0429,2019-02-08,2024-10-21,42,69444114.2,1653431.29,2154,5.9,5.9,7.12,69444114.2,11775516.58,5.0,58877582.9,-10566531.3,0.85,Fleet Owner,Logistics,West,Very High Value,Long-Term Customer,79.8,82.6,80.8,80.66,Critical Value Customer,88
C0109,2019-01-14,2024-12-09,44,69451949.0,1578453.39,2179,5.97,5.97,7.38,69451949.0,11641727.57,5.0,58208637.84,-11243311.16,0.84,Retail,Mining,South,Very High Value,Long-Term Customer,78.0,86.0,81.2,80.56,Critical Value Customer,89
C0282,2019-01-17,2024-12-24,44,69381309.6,1576847.95,2176,5.96,5.96,7.39,69381309.6,11645920.65,5.0,58229603.24,-11151706.36,0.84,Government,Logistics,East,Very High Value,Long-Term Customer,78.2,86.3,80.6,80.54,Critical Value Customer,90
C0331,2019-04-12,2024-12-15,42,67826105.8,1614907.28,2091,5.72,5.72,7.34,67826105.8,11847673.43,5.0,59238367.15,-8587738.65,0.87,Dealer,Logistics,North,Very High Value,Long-Term Customer,80.4,85.2,77.4,80.46,Critical Value Customer,91
C0129,2019-01-06,2024-10-31,36,76393252.6,2122034.79,2187,5.99,5.99,6.01,76393252.6,12758406.73,5.0,63792033.64,-12601218.96,0.84,Corporate,Mining,North,Very High Value,Long-Term Customer,87.8,46.5,90.8,80.44,Critical Value Customer,92
C0373,2019-04-03,2024-09-02,38,69753317.8,1835613.63,2100,5.75,5.75,6.61,69753317.8,12132094.92,5.0,60660474.59,-9092843.21,0.87,Corporate,Manufacturing,South,Very High Value,Long-Term Customer,83.6,69.6,82.0,80.32,Critical Value Customer,93
C0421,2019-04-06,2024-06-21,38,69466242.8,1828059.02,2097,5.74,5.74,6.62,69466242.8,12099449.3,5.0,60497246.5,-8968996.3,0.87,Retail,Construction,South,Very High Value,Long-Term Customer,83.2,70.0,81.4,80.02,Critical Value Customer,94
C0337,2019-04-15,2024-08-25,34,73457151.8,2160504.46,2088,5.72,5.72,5.95,73457151.8,12849724.47,5.0,64248622.35,-9208529.45,0.87,Corporate,Manufacturing,North,Very High Value,Long-Term Customer,89.6,44.3,87.4,79.88,High Priority Customer,95
C0374,2019-03-07,2024-12-10,41,68389697.6,1668041.4,2127,5.82,5.82,7.04,68389697.6,11743929.03,5.0,58719645.15,-9670052.45,0.86,Corporate,Manufacturing,West,Very High Value,Long-Term Customer,79.4,80.4,78.4,79.3,High Priority Customer,96
C0311,2019-02-03,2024-09-17,41,69331648.2,1691015.81,2159,5.91,5.91,6.94,69331648.2,11729219.32,5.0,58646096.58,-10685551.62,0.85,Government,Infrastructure,North,Very High Value,Long-Term Customer,79.0,78.2,80.4,79.26,High Priority Customer,97
C0275,2019-06-17,2024-11-06,45,64270295.0,1428228.78,2025,5.54,5.54,8.12,64270295.0,11592456.91,5.0,57962284.56,-6308010.44,0.9,Fleet Owner,Construction,West,Very High Value,Long-Term Customer,77.4,96.4,70.4,79.1,High Priority Customer,98
C0284,2019-01-09,2024-12-23,41,69641823.4,1698581.06,2184,5.98,5.98,6.86,69641823.4,11646829.67,5.0,58234148.34,-11407675.06,0.84,Corporate,Manufacturing,East,Very High Value,Long-Term Customer,78.4,75.4,81.8,78.82,High Priority Customer,99
C0119,2019-01-07,2024-10-26,51,67143205.2,1316533.44,2186,5.98,5.98,8.52,67143205.2,11218689.71,5.0,56093448.53,-11049756.67,0.84,Government,Manufacturing,West,High Value,Long-Term Customer,72.0,98.2,75.8,78.38,High Priority Customer,100
C0006,2019-06-05,2024-09-02,40,65482805.4,1637070.14,2037,5.58,5.58,7.17,65482805.4,11741578.14,5.0,58707890.7,-6774914.7,0.9,Government,Construction,West,Very High Value,Long-Term Customer,79.2,83.2,73.2,78.2,High Priority Customer,101
