customer_id,delivered_order_count,total_revenue,average_order_value,first_order_date,last_order_date,revenue_share_pct,revenue_rank,cumulative_revenue_share_pct,contribution_class,concentration_group,abc_revenue_class,overall_concentration_flag,action_focus
C0250,43,74416923.4,1730626.13,2019-03-08,2024-12-20,0.25,56,15.87,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0154,45,74171590.6,1648257.57,2019-01-29,2024-08-21,0.25,57,16.13,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0215,49,73940925.4,1508998.48,2019-02-28,2024-12-24,0.25,58,16.38,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0435,50,73908258.2,1478165.16,2019-10-11,2024-11-01,0.25,59,16.63,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0042,41,73882726.2,1802017.71,2019-01-25,2024-10-13,0.25,60,16.88,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0482,31,73762403.2,2379432.36,2019-12-15,2024-12-03,0.25,61,17.14,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0476,34,73746173.2,2169005.09,2019-01-13,2024-09-29,0.25,62,17.39,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0307,42,73655534.6,1753703.2,2019-01-15,2024-11-24,0.25,63,17.64,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0337,34,73457151.8,2160504.46,2019-04-15,2024-08-25,0.25,64,17.89,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0241,39,73396972.0,1881973.64,2019-02-01,2024-10-31,0.25,65,18.14,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0084,39,73317161.4,1879927.22,2019-04-29,2024-09-22,0.25,66,18.39,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0242,47,73225487.6,1557989.1,2019-01-30,2024-11-18,0.25,67,18.64,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0297,34,73065015.6,2148971.05,2019-02-13,2024-07-01,0.25,68,18.89,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0253,39,72946151.6,1870414.14,2019-03-28,2024-11-27,0.25,69,19.14,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0342,36,72821567.8,2022821.33,2019-12-04,2024-10-09,0.25,70,19.39,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0300,40,72746205.0,1818655.12,2019-05-05,2024-11-18,0.25,71,19.64,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0234,29,72295152.4,2492936.29,2019-01-09,2024-12-26,0.25,72,19.89,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0411,43,72229183.0,1679748.44,2019-07-14,2024-12-12,0.25,73,20.13,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0384,39,72157498.2,1850192.26,2019-02-05,2024-09-09,0.25,74,20.38,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0071,42,72076738.0,1716112.81,2019-01-24,2024-11-26,0.25,75,20.63,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0063,38,72065344.4,1896456.43,2019-02-28,2024-12-19,0.25,76,20.87,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0032,44,71991263.0,1636165.07,2019-01-23,2024-10-25,0.25,77,21.12,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0102,34,71864051.2,2113648.56,2019-03-11,2024-10-24,0.25,78,21.36,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0459,41,71816909.8,1751631.95,2019-03-10,2024-12-14,0.25,79,21.61,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0002,51,71712838.0,1406134.08,2019-01-24,2024-09-07,0.25,80,21.86,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0196,48,71291851.6,1485246.91,2019-01-09,2024-10-28,0.24,81,22.1,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0255,45,71144094.2,1580979.87,2019-01-05,2024-11-11,0.24,82,22.34,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0016,35,70872336.2,2024923.89,2019-01-18,2024-12-18,0.24,83,22.58,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0160,44,70762190.2,1608231.6,2019-02-19,2024-11-23,0.24,84,22.83,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0186,40,70676837.0,1766920.92,2019-02-17,2024-12-11,0.24,85,23.07,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0489,47,70625273.0,1502665.38,2019-04-14,2024-08-17,0.24,86,23.31,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0025,38,70349653.0,1851306.66,2019-01-29,2024-08-18,0.24,87,23.55,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0123,36,70019319.0,1944981.08,2019-01-16,2024-11-04,0.24,88,23.79,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0394,40,69936379.2,1748409.48,2019-03-08,2024-11-21,0.24,89,24.03,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0306,42,69813587.0,1662228.26,2019-07-19,2024-12-16,0.24,90,24.27,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0373,38,69753317.8,1835613.63,2019-04-03,2024-09-02,0.24,91,24.51,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0284,41,69641823.4,1698581.06,2019-01-09,2024-12-23,0.24,92,24.74,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0166,32,69504759.6,2172023.74,2019-01-18,2024-12-08,0.24,93,24.98,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0421,38,69466242.8,1828059.02,2019-04-06,2024-06-21,0.24,94,25.22,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0109,44,69451949.0,1578453.39,2019-01-14,2024-12-09,0.24,95,25.46,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0169,40,69450095.6,1736252.39,2019-03-25,2024-10-27,0.24,96,25.69,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0429,42,69444114.2,1653431.29,2019-02-08,2024-10-21,0.24,97,25.93,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0282,44,69381309.6,1576847.95,2019-01-17,2024-12-24,0.24,98,26.17,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0311,41,69331648.2,1691015.81,2019-02-03,2024-09-17,0.24,99,26.41,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0192,40,69269688.4,1731742.21,2019-01-19,2024-08-29,0.24,100,26.64,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0225,48,69254158.0,1442794.96,2019-03-17,2024-07-17,0.24,101,26.88,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0128,33,69172996.2,2096151.4,2019-01-02,2024-12-18,0.24,102,27.12,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0009,34,68836324.8,2024597.79,2019-04-14,2024-11-04,0.24,103,27.35,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0415,33,68592455.6,2078559.26,2019-03-21,2024-10-11,0.23,104,27.58,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0377,37,68519191.2,1851870.03,2019-02-01,2024-12-07,0.23,105,27.82,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0469,40,68502617.4,1712565.44,2019-01-04,2024-12-18,0.23,106,28.05,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0448,36,68495840.4,1902662.23,2019-03-13,2024-12-11,0.23,107,28.29,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0343,40,68419201.6,1710480.04,2019-02-28,2024-11-21,0.23,108,28.52,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0374,41,68389697.6,1668041.4,2019-03-07,2024-12-10,0.23,109,28.76,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0383,41,68192154.0,1663223.27,2019-02-18,2024-11-19,0.23,110,28.99,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0270,43,68114112.8,1584049.13,2019-03-27,2024-12-20,0.23,111,29.22,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0041,38,68044561.6,1790646.36,2019-01-11,2024-06-11,0.23,112,29.45,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0425,41,67882732.6,1655676.4,2019-01-17,2024-12-09,0.23,113,29.69,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0331,42,67826105.8,1614907.28,2019-04-12,2024-12-15,0.23,114,29.92,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0193,38,67795348.0,1784088.11,2019-01-10,2024-11-30,0.23,115,30.15,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0247,39,67759559.6,1737424.61,2019-02-14,2024-11-13,0.23,116,30.38,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0385,37,67435700.6,1822586.5,2019-07-27,2024-09-23,0.23,117,30.61,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0464,38,67405736.8,1773835.18,2019-01-18,2024-09-13,0.23,118,30.84,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0276,44,67350598.6,1530695.42,2019-01-08,2024-12-29,0.23,119,31.07,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0264,36,67321592.8,1870044.24,2019-01-02,2024-11-02,0.23,120,31.3,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0488,37,67251532.8,1817608.99,2019-03-01,2024-11-26,0.23,121,31.53,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0119,51,67143205.2,1316533.44,2019-01-07,2024-10-26,0.23,122,31.76,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0156,33,67117436.4,2033861.71,2019-01-14,2024-09-17,0.23,123,31.99,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0176,42,66901722.8,1592898.16,2019-01-14,2024-08-07,0.23,124,32.22,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0341,36,66838579.4,1856627.21,2019-03-10,2024-10-07,0.23,125,32.45,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0293,36,66815451.4,1855984.76,2019-01-19,2024-09-25,0.23,126,32.68,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0428,43,66337820.6,1542740.01,2019-01-25,2024-08-26,0.23,127,32.9,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0414,40,66316815.6,1657920.39,2019-02-16,2024-12-31,0.23,128,33.13,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0213,30,66248437.6,2208281.25,2019-02-26,2024-08-31,0.23,129,33.36,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0141,36,66220737.2,1839464.92,2019-04-06,2024-11-15,0.23,130,33.58,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0326,42,66177447.4,1575653.51,2019-03-14,2024-12-30,0.23,131,33.81,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0191,29,65787839.8,2268546.2,2019-02-03,2024-12-12,0.22,132,34.03,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0422,37,65678984.2,1775107.68,2019-09-19,2024-11-04,0.22,133,34.26,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0471,37,65501994.2,1770324.17,2019-02-23,2024-11-27,0.22,134,34.48,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0006,40,65482805.4,1637070.14,2019-06-05,2024-09-02,0.22,135,34.71,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0209,44,65445658.4,1487401.33,2019-10-18,2024-11-22,0.22,136,34.93,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0312,37,65437706.6,1768586.66,2019-04-16,2024-11-17,0.22,137,35.15,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0295,38,65390145.6,1720793.31,2019-03-07,2024-10-09,0.22,138,35.38,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0149,38,65235052.4,1716711.91,2019-02-28,2024-12-12,0.22,139,35.6,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0491,27,65215944.4,2415405.35,2019-03-27,2024-07-04,0.22,140,35.82,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0443,40,64951558.8,1623788.97,2019-03-27,2024-11-18,0.22,141,36.05,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0498,28,64864362.8,2316584.39,2019-03-01,2024-08-19,0.22,142,36.27,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0406,32,64818334.4,2025572.95,2019-02-25,2024-10-11,0.22,143,36.49,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0369,40,64656844.2,1616421.1,2019-01-26,2024-12-13,0.22,144,36.71,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0460,32,64634814.4,2019837.95,2019-04-06,2024-11-25,0.22,145,36.93,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0395,44,64514679.8,1466242.72,2019-02-21,2024-12-20,0.22,146,37.15,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0396,38,64506474.4,1697538.8,2019-01-14,2024-12-07,0.22,147,37.37,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0329,36,64307436.8,1786317.69,2019-01-03,2024-12-26,0.22,148,37.59,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0275,45,64270295.0,1428228.78,2019-06-17,2024-11-06,0.22,149,37.81,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0379,41,64194052.6,1565708.6,2019-03-29,2024-12-15,0.22,150,38.03,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0390,32,64132451.0,2004139.09,2019-03-23,2024-11-09,0.22,151,38.25,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0116,35,64081942.6,1830912.65,2019-01-08,2024-07-28,0.22,152,38.47,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0126,33,64059034.8,1941182.87,2019-03-05,2024-04-05,0.22,153,38.69,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0168,34,64028787.0,1883199.62,2019-06-02,2024-12-18,0.22,154,38.91,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0301,46,63821535.6,1387424.69,2019-01-13,2024-12-19,0.22,155,39.12,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0268,32,63709103.6,1990909.49,2019-01-21,2024-10-07,0.22,156,39.34,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0302,36,63607092.0,1766863.67,2019-02-05,2024-12-24,0.22,157,39.56,Moderate Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
