customer_id,customer_type,industry_segment,region,payment_terms,customer_rating,credit_limit,current_balance,credit_utilisation_pct,credit_utilisation_class,payment_count,total_payment_amount,average_payment_amount,payment_methods_used,first_payment_date,last_payment_date,balance_to_payment_ratio,payment_activity_class,payment_behaviour_class,credit_risk_score,credit_risk_class,credit_risk_priority_score,credit_risk_rank,credit_action_focus
C0429,Fleet Owner,Logistics,West,Net 45,3,375146,303392,80.87,Very High Credit Utilisation,47,59284641.53,1261375.35,5,2019-03-13,2024-12-09,0.01,Very High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,91.17,66,Credit review and payment recovery
C0201,Dealer,Infrastructure,South,Net 15,4,468119,467851,99.94,Very High Credit Utilisation,48,60965282.31,1270110.05,5,2019-02-27,2025-01-22,0.01,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,79.99,67,Monitor balance and payment behaviour
C0370,Corporate,Infrastructure,East,Net 30,4,375748,373898,99.51,Very High Credit Utilisation,32,42809073.74,1337783.55,5,2019-03-29,2025-02-05,0.01,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,79.9,68,Monitor balance and payment behaviour
C0264,Retail,Infrastructure,West,Net 60,4,35955,35640,99.12,Very High Credit Utilisation,40,48760751.81,1219018.8,5,2019-01-19,2024-11-08,0.0,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,79.82,69,Monitor balance and payment behaviour
C0424,Retail,Construction,West,Net 45,4,28345,28072,99.04,Very High Credit Utilisation,40,52963446.28,1324086.16,5,2019-04-18,2024-11-20,0.0,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,79.81,70,Monitor balance and payment behaviour
C0164,Government,Construction,North,Net 45,4,1454565,1435105,98.66,Very High Credit Utilisation,40,34116259.92,852906.5,5,2019-03-26,2024-12-05,0.04,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,79.73,71,Monitor balance and payment behaviour
C0489,Fleet Owner,Rental,South,Net 30,5,594359,581546,97.84,Very High Credit Utilisation,53,60622847.42,1143827.31,5,2019-05-26,2024-10-04,0.01,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,79.57,72,Monitor balance and payment behaviour
C0138,Corporate,Mining,South,Advance,5,251506,244794,97.33,Very High Credit Utilisation,35,51782681.57,1479505.19,5,2019-02-05,2025-01-10,0.0,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,79.47,73,Monitor balance and payment behaviour
C0163,Dealer,Logistics,West,Net 45,5,492794,476585,96.71,Very High Credit Utilisation,47,42009636.02,893822.04,5,2019-07-19,2024-09-30,0.01,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,79.34,74,Monitor balance and payment behaviour
C0033,Government,Mining,South,Net 60,5,655166,632856,96.59,Very High Credit Utilisation,28,38831085.82,1386824.49,5,2019-03-31,2024-10-30,0.02,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,79.32,75,Monitor balance and payment behaviour
C0279,Dealer,Rental,West,Advance,4,105022,100986,96.16,Very High Credit Utilisation,26,25788257.43,991856.06,4,2019-07-08,2025-01-02,0.0,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,79.23,76,Monitor balance and payment behaviour
C0212,Retail,Infrastructure,North East,Net 15,4,24433,23440,95.94,Very High Credit Utilisation,31,39553727.28,1275926.69,5,2019-02-08,2024-10-29,0.0,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,79.19,77,Monitor balance and payment behaviour
C0063,Retail,Rental,North,Advance,5,26508,25298,95.44,Very High Credit Utilisation,40,60040956.83,1501023.92,5,2019-06-06,2025-02-14,0.0,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,79.09,78,Monitor balance and payment behaviour
C0254,Dealer,Mining,West,Advance,5,194781,184262,94.6,Very High Credit Utilisation,54,77968812.86,1443866.9,5,2019-08-04,2024-11-05,0.0,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.92,79,Monitor balance and payment behaviour
C0457,Retail,Manufacturing,East,Net 15,4,16374,15438,94.28,Very High Credit Utilisation,37,45843272.95,1239007.38,5,2019-02-22,2024-12-13,0.0,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.86,81,Monitor balance and payment behaviour
C0001,Retail,Construction,East,Advance,4,45896,43284,94.31,Very High Credit Utilisation,36,48289197.49,1341366.6,5,2019-04-07,2025-01-22,0.0,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.86,80,Monitor balance and payment behaviour
C0115,Fleet Owner,Mining,South,Net 30,5,666395,628219,94.27,Very High Credit Utilisation,33,43639784.77,1322417.72,5,2019-06-07,2025-01-30,0.01,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.85,82,Monitor balance and payment behaviour
C0287,Dealer,Manufacturing,South,Net 60,4,208477,196469,94.24,Very High Credit Utilisation,34,39600440.09,1164718.83,5,2019-05-22,2025-01-19,0.0,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.85,83,Monitor balance and payment behaviour
C0188,Corporate,Logistics,West,Net 30,4,261082,245715,94.11,Very High Credit Utilisation,36,45291932.19,1258109.23,5,2019-04-22,2025-02-06,0.01,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.82,84,Monitor balance and payment behaviour
C0167,Retail,Mining,West,Net 30,4,34602,32450,93.78,Very High Credit Utilisation,37,46206840.94,1248833.54,5,2019-02-11,2025-03-10,0.0,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.76,85,Monitor balance and payment behaviour
C0175,Fleet Owner,Rental,East,Advance,5,222980,209069,93.76,Very High Credit Utilisation,43,57743311.72,1342867.71,5,2019-02-24,2025-01-24,0.0,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.75,86,Monitor balance and payment behaviour
C0235,Fleet Owner,Mining,East,Net 30,5,417861,387266,92.68,Very High Credit Utilisation,38,44369835.23,1167627.24,5,2019-05-31,2024-10-19,0.01,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.54,87,Monitor balance and payment behaviour
C0459,Retail,Logistics,East,Net 45,5,16763,15429,92.04,Very High Credit Utilisation,53,61132771.42,1153448.52,5,2019-05-08,2025-02-24,0.0,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.41,88,Monitor balance and payment behaviour
C0360,Dealer,Construction,West,Net 45,5,433677,398778,91.95,Very High Credit Utilisation,29,36091823.49,1244545.64,5,2019-07-18,2024-12-09,0.01,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.39,89,Monitor balance and payment behaviour
C0312,Government,Construction,West,Net 45,4,673691,616166,91.46,Very High Credit Utilisation,38,61406849.04,1615969.71,5,2019-06-14,2025-02-03,0.01,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.29,90,Monitor balance and payment behaviour
C0154,Fleet Owner,Logistics,North,Net 15,5,305293,279000,91.39,Very High Credit Utilisation,48,65512728.74,1364848.52,5,2019-07-09,2024-09-18,0.0,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.28,91,Monitor balance and payment behaviour
C0056,Dealer,Mining,North,Advance,4,209877,191295,91.15,Very High Credit Utilisation,42,53567745.58,1275422.51,5,2019-03-06,2024-12-18,0.0,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.23,92,Monitor balance and payment behaviour
C0338,Corporate,Rental,West,Net 60,4,849500,770295,90.68,Very High Credit Utilisation,29,37608895.18,1296858.45,5,2019-03-31,2025-01-13,0.02,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,78.14,93,Monitor balance and payment behaviour
C0410,Corporate,Mining,South,Net 30,4,320500,286790,89.48,Very High Credit Utilisation,40,48664148.84,1216603.72,5,2019-03-22,2025-01-01,0.01,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,77.9,94,Monitor balance and payment behaviour
C0262,Corporate,Logistics,North,Net 15,4,476523,424625,89.11,Very High Credit Utilisation,27,28436340.68,1053197.8,5,2019-04-04,2025-01-12,0.01,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,77.82,95,Monitor balance and payment behaviour
C0030,Corporate,Construction,South,Net 60,5,501072,443634,88.54,Very High Credit Utilisation,31,49781303.49,1605848.5,5,2019-03-24,2024-10-27,0.01,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,77.71,96,Monitor balance and payment behaviour
C0450,Fleet Owner,Construction,East,Advance,5,139226,122462,87.96,Very High Credit Utilisation,42,40453050.83,963167.88,5,2019-02-02,2024-10-31,0.0,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,77.59,97,Monitor balance and payment behaviour
C0398,Government,Rental,South,Net 30,5,1207145,1061185,87.91,Very High Credit Utilisation,45,46437617.19,1031947.05,5,2019-10-02,2025-01-18,0.02,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,77.58,98,Monitor balance and payment behaviour
C0372,Government,Logistics,South,Net 60,4,778200,681891,87.62,Very High Credit Utilisation,35,45244708.51,1292705.96,5,2019-03-23,2024-08-01,0.02,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,77.52,99,Monitor balance and payment behaviour
C0304,Dealer,Construction,North,Net 60,5,177177,155235,87.62,Very High Credit Utilisation,59,73345352.94,1243141.58,5,2019-04-21,2025-02-17,0.0,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,77.52,100,Monitor balance and payment behaviour
C0388,Fleet Owner,Infrastructure,West,Advance,5,780698,677920,86.84,Very High Credit Utilisation,29,32990888.47,1137616.84,5,2019-04-03,2024-12-17,0.02,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,77.37,101,Monitor balance and payment behaviour
C0153,Retail,Rental,East,Net 30,4,32014,27630,86.31,Very High Credit Utilisation,55,86615336.73,1574824.3,5,2019-02-08,2025-01-07,0.0,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,77.26,102,Monitor balance and payment behaviour
C0434,Corporate,Mining,Central,Net 15,4,437713,377663,86.28,Very High Credit Utilisation,36,47836315.78,1328786.55,5,2019-02-20,2025-01-06,0.01,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,77.26,103,Monitor balance and payment behaviour
C0310,Government,Infrastructure,East,Net 30,4,735405,630621,85.75,Very High Credit Utilisation,43,47125561.92,1095943.3,5,2019-08-02,2025-01-05,0.01,Very High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,77.15,104,Monitor balance and payment behaviour
C0394,Government,Construction,South,Net 45,4,685435,586864,85.62,Very High Credit Utilisation,38,48176013.27,1267789.82,5,2019-04-05,2024-12-12,0.01,High Payment Activity,Moderate Payment Behaviour,60,Medium Credit Risk,77.12,105,Monitor balance and payment behaviour
