customer_id,customer_type,industry_segment,region,branch_id,customer_rating,last_purchase_date,frequency,monetary,recency_days,recency_score,frequency_score,monetary_score,rfm_score,customer_value_segment,monetary_share_pct,customer_value_rank,action_focus
C0356,Dealer,Mining,East,DEL001,2,2024-12-05,45,79690881.0,27,4,5,5,14,Champions,0.27,33,"Retain, reward and expand high-value relationship"
C0291,Retail,Construction,South,HYD001,2,2024-12-03,46,79064597.0,29,4,5,5,14,Champions,0.27,35,"Retain, reward and expand high-value relationship"
C0113,Corporate,Logistics,South,CHN001,2,2024-12-23,41,78713400.0,9,5,4,5,14,Champions,0.27,37,"Retain, reward and expand high-value relationship"
C0244,Government,Logistics,North,KOL001,3,2024-12-09,44,77550764.4,23,4,5,5,14,Champions,0.27,39,"Retain, reward and expand high-value relationship"
C0069,Dealer,Logistics,North,DEL001,2,2024-12-11,47,77108269.8,21,4,5,5,14,Champions,0.26,43,"Retain, reward and expand high-value relationship"
C0070,Government,Logistics,West,AHM001,3,2024-12-20,41,76883391.4,12,5,4,5,14,Champions,0.26,45,"Retain, reward and expand high-value relationship"
C0411,Corporate,Mining,South,HYD001,5,2024-12-12,43,72229183.0,20,4,5,5,14,Champions,0.25,73,"Retain, reward and expand high-value relationship"
C0071,Corporate,Rental,North,KOL001,2,2024-11-26,42,72076738.0,36,4,5,5,14,Champions,0.25,75,"Retain, reward and expand high-value relationship"
C0063,Retail,Rental,North,DEL001,5,2024-12-19,38,72065344.4,13,5,4,5,14,Champions,0.25,76,"Retain, reward and expand high-value relationship"
C0459,Retail,Logistics,East,PUN001,5,2024-12-14,41,71816909.8,18,4,5,5,14,Champions,0.25,79,"Retain, reward and expand high-value relationship"
C0284,Corporate,Manufacturing,East,KOL001,1,2024-12-23,41,69641823.4,9,5,4,5,14,Champions,0.24,92,"Retain, reward and expand high-value relationship"
C0109,Retail,Mining,South,CHN001,1,2024-12-09,44,69451949.0,23,4,5,5,14,Champions,0.24,95,"Retain, reward and expand high-value relationship"
C0270,Corporate,Manufacturing,North,DEL001,2,2024-12-20,43,68114112.8,12,5,5,4,14,Champions,0.23,111,"Retain, reward and expand high-value relationship"
C0331,Dealer,Logistics,North,DEL001,2,2024-12-15,42,67826105.8,17,5,5,4,14,Champions,0.23,114,"Retain, reward and expand high-value relationship"
C0276,Dealer,Manufacturing,Central,KOL001,3,2024-12-29,44,67350598.6,3,5,5,4,14,Champions,0.23,119,"Retain, reward and expand high-value relationship"
C0326,Government,Mining,East,KOL001,4,2024-12-30,42,66177447.4,2,5,5,4,14,Champions,0.23,131,"Retain, reward and expand high-value relationship"
C0395,Corporate,Manufacturing,East,KOL001,1,2024-12-20,44,64514679.8,12,5,5,4,14,Champions,0.22,146,"Retain, reward and expand high-value relationship"
C0379,Retail,Mining,West,CHN001,3,2024-12-15,41,64194052.6,17,5,5,4,14,Champions,0.22,150,"Retain, reward and expand high-value relationship"
C0301,Dealer,Mining,East,KOL001,5,2024-12-19,46,63821535.6,13,5,5,4,14,Champions,0.22,155,"Retain, reward and expand high-value relationship"
C0004,Fleet Owner,Logistics,South,CHN001,3,2024-12-31,46,60843242.8,1,5,5,4,14,Champions,0.21,196,"Retain, reward and expand high-value relationship"
C0495,Fleet Owner,Infrastructure,North,AHM001,2,2024-11-25,48,94540537.6,37,3,5,5,13,Loyal High Value,0.32,5,Strengthen relationship and pursue cross-selling opportunities
C0240,Corporate,Manufacturing,South,HYD001,1,2024-11-10,46,92835709.4,52,3,5,5,13,Loyal High Value,0.32,6,Strengthen relationship and pursue cross-selling opportunities
C0420,Retail,Rental,South,CHN001,3,2024-11-22,46,92482888.8,40,3,5,5,13,Loyal High Value,0.32,7,Strengthen relationship and pursue cross-selling opportunities
C0206,Retail,Construction,West,PUN001,3,2024-12-11,40,89674652.2,21,4,4,5,13,Champions,0.31,9,"Retain, reward and expand high-value relationship"
C0134,Fleet Owner,Infrastructure,West,AHM001,5,2024-11-24,48,85243025.2,38,3,5,5,13,Loyal High Value,0.29,18,Strengthen relationship and pursue cross-selling opportunities
C0462,Retail,Logistics,South,CHN001,5,2024-11-13,49,82777824.6,49,3,5,5,13,Loyal High Value,0.28,23,Strengthen relationship and pursue cross-selling opportunities
C0060,Dealer,Mining,South,HYD001,1,2024-11-24,44,77163010.4,38,3,5,5,13,Loyal High Value,0.26,42,Strengthen relationship and pursue cross-selling opportunities
C0272,Government,Construction,North,DEL001,1,2024-12-13,39,75550922.6,19,4,4,5,13,Champions,0.26,50,"Retain, reward and expand high-value relationship"
C0468,Fleet Owner,Rental,South,HYD001,1,2024-11-10,49,75254807.6,52,3,5,5,13,Loyal High Value,0.26,53,Strengthen relationship and pursue cross-selling opportunities
C0307,Dealer,Manufacturing,West,AHM001,1,2024-11-24,42,73655534.6,38,3,5,5,13,Loyal High Value,0.25,63,Strengthen relationship and pursue cross-selling opportunities
C0242,Government,Construction,South,CHN001,3,2024-11-18,47,73225487.6,44,3,5,5,13,Loyal High Value,0.25,67,Strengthen relationship and pursue cross-selling opportunities
C0253,Retail,Rental,West,PUN001,2,2024-11-27,39,72946151.6,35,4,4,5,13,Champions,0.25,69,"Retain, reward and expand high-value relationship"
C0255,Retail,Infrastructure,South,CHN001,4,2024-11-11,45,71144094.2,51,3,5,5,13,Loyal High Value,0.24,82,Strengthen relationship and pursue cross-selling opportunities
C0016,Government,Rental,East,DEL001,4,2024-12-18,35,70872336.2,14,5,3,5,13,Recent Customers,0.24,83,Build repeat purchasing and increase customer value
C0160,Retail,Rental,West,AHM001,2,2024-11-23,44,70762190.2,39,3,5,5,13,Loyal High Value,0.24,84,Strengthen relationship and pursue cross-selling opportunities
C0186,Fleet Owner,Infrastructure,East,KOL001,3,2024-12-11,40,70676837.0,21,4,4,5,13,Champions,0.24,85,"Retain, reward and expand high-value relationship"
C0469,Government,Manufacturing,North,KOL001,1,2024-12-18,40,68502617.4,14,5,4,4,13,Champions,0.23,106,"Retain, reward and expand high-value relationship"
C0374,Corporate,Manufacturing,West,PUN001,5,2024-12-10,41,68389697.6,22,4,5,4,13,Champions,0.23,109,"Retain, reward and expand high-value relationship"
C0425,Dealer,Manufacturing,South,CHN001,3,2024-12-09,41,67882732.6,23,4,5,4,13,Champions,0.23,113,"Retain, reward and expand high-value relationship"
C0414,Dealer,Construction,South,CHN001,4,2024-12-31,40,66316815.6,1,5,4,4,13,Champions,0.23,128,"Retain, reward and expand high-value relationship"
C0010,Dealer,Construction,South,CHN001,5,2024-11-27,46,63051038.4,35,4,5,4,13,Champions,0.22,164,"Retain, reward and expand high-value relationship"
C0315,Dealer,Rental,West,AHM001,4,2024-12-17,40,61457629.4,15,5,4,4,13,Champions,0.21,187,"Retain, reward and expand high-value relationship"
C0327,Retail,Mining,West,AHM001,1,2024-12-06,43,61017008.6,26,4,5,4,13,Champions,0.21,194,"Retain, reward and expand high-value relationship"
C0273,Dealer,Manufacturing,East,KOL001,1,2024-12-31,37,60830001.0,1,5,4,4,13,Champions,0.21,198,"Retain, reward and expand high-value relationship"
C0099,Fleet Owner,Rental,South,PUN001,4,2024-12-26,44,56469516.0,6,5,5,3,13,Recent Customers,0.19,278,Build repeat purchasing and increase customer value
C0288,Dealer,Infrastructure,North,DEL001,3,2024-10-18,55,97218403.8,75,2,5,5,12,At Risk High Value,0.33,2,Prioritize retention and immediate re-engagement
C0083,Dealer,Infrastructure,North,DEL001,2,2024-10-04,45,89672688.2,89,2,5,5,12,At Risk High Value,0.31,10,Prioritize retention and immediate re-engagement
C0254,Dealer,Mining,West,AHM001,5,2024-09-25,48,89556446.6,98,2,5,5,12,At Risk High Value,0.31,11,Prioritize retention and immediate re-engagement
C0207,Corporate,Rental,East,KOL001,1,2024-10-13,45,87068691.0,80,2,5,5,12,At Risk High Value,0.3,15,Prioritize retention and immediate re-engagement
C0440,Retail,Manufacturing,South,HYD001,5,2024-10-21,44,82426773.6,72,2,5,5,12,At Risk High Value,0.28,24,Prioritize retention and immediate re-engagement
C0371,Retail,Rental,South,HYD001,3,2024-11-02,47,82052808.0,60,2,5,5,12,At Risk High Value,0.28,26,Prioritize retention and immediate re-engagement
C0375,Fleet Owner,Mining,West,PUN001,1,2024-11-03,42,81286325.6,59,2,5,5,12,At Risk High Value,0.28,28,Prioritize retention and immediate re-engagement
C0076,Government,Mining,South,CHN001,2,2024-10-06,45,80026994.2,87,2,5,5,12,At Risk High Value,0.27,31,Prioritize retention and immediate re-engagement
C0380,Fleet Owner,Manufacturing,South,HYD001,5,2024-11-03,50,77887431.8,59,2,5,5,12,At Risk High Value,0.27,38,Prioritize retention and immediate re-engagement
C0197,Government,Manufacturing,West,AHM001,2,2024-10-18,47,77464617.6,75,2,5,5,12,At Risk High Value,0.26,41,Prioritize retention and immediate re-engagement
C0013,Dealer,Construction,West,AHM001,2,2024-10-27,44,76843692.4,66,2,5,5,12,At Risk High Value,0.26,46,Prioritize retention and immediate re-engagement
C0005,Dealer,Construction,West,AHM001,2,2024-10-04,45,74996415.4,89,2,5,5,12,At Risk High Value,0.26,54,Prioritize retention and immediate re-engagement
C0237,Dealer,Infrastructure,South,HYD001,5,2024-10-15,44,74820743.4,78,2,5,5,12,At Risk High Value,0.26,55,Prioritize retention and immediate re-engagement
C0435,Dealer,Manufacturing,South,CHN001,4,2024-11-01,50,73908258.2,61,2,5,5,12,At Risk High Value,0.25,59,Prioritize retention and immediate re-engagement
C0300,Dealer,Mining,North,DEL001,1,2024-11-18,40,72746205.0,44,3,4,5,12,Loyal High Value,0.25,71,Strengthen relationship and pursue cross-selling opportunities
C0032,Government,Logistics,West,AHM001,5,2024-10-25,44,71991263.0,68,2,5,5,12,At Risk High Value,0.25,77,Prioritize retention and immediate re-engagement
C0196,Fleet Owner,Rental,North East,KOL001,3,2024-10-28,48,71291851.6,65,2,5,5,12,At Risk High Value,0.24,81,Prioritize retention and immediate re-engagement
C0394,Government,Construction,South,HYD001,4,2024-11-21,40,69936379.2,41,3,4,5,12,Loyal High Value,0.24,89,Strengthen relationship and pursue cross-selling opportunities
C0429,Fleet Owner,Logistics,West,AHM001,3,2024-10-21,42,69444114.2,72,2,5,5,12,At Risk High Value,0.24,97,Prioritize retention and immediate re-engagement
C0377,Dealer,Logistics,West,CHN001,3,2024-12-07,37,68519191.2,25,4,4,4,12,Champions,0.23,105,"Retain, reward and expand high-value relationship"
C0383,Fleet Owner,Infrastructure,North,PUN001,5,2024-11-19,41,68192154.0,43,3,5,4,12,Loyal High Value,0.23,110,Strengthen relationship and pursue cross-selling opportunities
C0193,Dealer,Infrastructure,West,CHN001,4,2024-11-30,38,67795348.0,32,4,4,4,12,Champions,0.23,115,"Retain, reward and expand high-value relationship"
C0488,Government,Construction,South,CHN001,1,2024-11-26,37,67251532.8,36,4,4,4,12,Champions,0.23,121,"Retain, reward and expand high-value relationship"
C0471,Fleet Owner,Logistics,West,AHM001,5,2024-11-27,37,65501994.2,35,4,4,4,12,Champions,0.22,134,"Retain, reward and expand high-value relationship"
C0209,Corporate,Infrastructure,East,CHN001,5,2024-11-22,44,65445658.4,40,3,5,4,12,Loyal High Value,0.22,136,Strengthen relationship and pursue cross-selling opportunities
C0149,Government,Manufacturing,West,AHM001,3,2024-12-12,38,65235052.4,20,4,4,4,12,Champions,0.22,139,"Retain, reward and expand high-value relationship"
C0369,Government,Manufacturing,West,PUN001,1,2024-12-13,40,64656844.2,19,4,4,4,12,Champions,0.22,144,"Retain, reward and expand high-value relationship"
C0396,Government,Manufacturing,West,AHM001,2,2024-12-07,38,64506474.4,25,4,4,4,12,Champions,0.22,147,"Retain, reward and expand high-value relationship"
C0329,Dealer,Infrastructure,Central,PUN001,1,2024-12-26,36,64307436.8,6,5,3,4,12,Recent Customers,0.22,148,Build repeat purchasing and increase customer value
C0275,Fleet Owner,Construction,West,AHM001,5,2024-11-06,45,64270295.0,56,3,5,4,12,Loyal High Value,0.22,149,Strengthen relationship and pursue cross-selling opportunities
C0302,Fleet Owner,Mining,West,AHM001,1,2024-12-24,36,63607092.0,8,5,3,4,12,Recent Customers,0.22,157,Build repeat purchasing and increase customer value
C0333,Corporate,Mining,South,HYD001,3,2024-12-02,39,63220923.0,30,4,4,4,12,Champions,0.22,163,"Retain, reward and expand high-value relationship"
C0467,Retail,Construction,North,DEL001,5,2024-11-06,48,62880162.4,56,3,5,4,12,Loyal High Value,0.21,166,Strengthen relationship and pursue cross-selling opportunities
C0499,Corporate,Construction,East,PUN001,5,2024-11-29,39,62785837.0,33,4,4,4,12,Champions,0.21,168,"Retain, reward and expand high-value relationship"
C0039,Fleet Owner,Rental,South,HYD001,4,2024-11-28,38,62706510.2,34,4,4,4,12,Champions,0.21,169,"Retain, reward and expand high-value relationship"
C0328,Government,Rental,East,KOL001,4,2024-12-05,37,62646507.6,27,4,4,4,12,Champions,0.21,170,"Retain, reward and expand high-value relationship"
C0413,Fleet Owner,Manufacturing,South,CHN001,1,2024-11-08,41,62380011.4,54,3,5,4,12,Loyal High Value,0.21,173,Strengthen relationship and pursue cross-selling opportunities
C0217,Corporate,Infrastructure,North,DEL001,5,2024-12-18,36,61360958.2,14,5,3,4,12,Recent Customers,0.21,188,Build repeat purchasing and increase customer value
C0481,Corporate,Logistics,South,CHN001,5,2024-12-31,39,60397194.2,1,5,4,3,12,Recent Customers,0.21,206,Build repeat purchasing and increase customer value
C0219,Government,Manufacturing,West,PUN001,2,2024-12-21,39,59976015.0,11,5,4,3,12,Recent Customers,0.21,214,Build repeat purchasing and increase customer value
C0399,Fleet Owner,Rental,South,CHN001,3,2024-12-25,39,59287998.0,7,5,4,3,12,Recent Customers,0.2,223,Build repeat purchasing and increase customer value
C0017,Government,Infrastructure,South,CHN001,1,2024-12-21,39,59194497.0,11,5,4,3,12,Recent Customers,0.2,225,Build repeat purchasing and increase customer value
C0232,Government,Mining,South,CHN001,1,2024-12-29,37,57544368.0,3,5,4,3,12,Recent Customers,0.2,254,Build repeat purchasing and increase customer value
C0058,Retail,Infrastructure,West,PUN001,3,2024-12-24,40,56831525.0,8,5,4,3,12,Recent Customers,0.19,268,Build repeat purchasing and increase customer value
C0354,Corporate,Logistics,South,HYD001,2,2024-12-25,37,56690884.8,7,5,4,3,12,Recent Customers,0.19,272,Build repeat purchasing and increase customer value
C0040,Government,Logistics,North,DEL001,2,2024-12-21,43,53757984.6,11,5,5,2,12,Recent Customers,0.18,316,Build repeat purchasing and increase customer value
C0110,Dealer,Logistics,Central,CHN001,5,2024-06-21,42,90807306.0,194,1,5,5,11,At Risk High Value,0.31,8,Prioritize retention and immediate re-engagement
C0221,Dealer,Logistics,North,DEL001,5,2024-09-05,44,82001959.0,118,1,5,5,11,At Risk High Value,0.28,27,Prioritize retention and immediate re-engagement
C0154,Fleet Owner,Logistics,North,DEL001,5,2024-08-21,45,74171590.6,133,1,5,5,11,At Risk High Value,0.25,57,Prioritize retention and immediate re-engagement
C0042,Fleet Owner,Rental,South,CHN001,4,2024-10-13,41,73882726.2,80,2,4,5,11,At Risk High Value,0.25,60,Prioritize retention and immediate re-engagement
C0482,Fleet Owner,Logistics,East,KOL001,1,2024-12-03,31,73762403.2,29,4,2,5,11,Regular Customers,0.25,61,Maintain engagement and encourage higher purchase frequency
C0241,Government,Construction,West,AHM001,1,2024-10-31,39,73396972.0,62,2,4,5,11,At Risk High Value,0.25,65,Prioritize retention and immediate re-engagement
C0234,Corporate,Infrastructure,West,CHN001,2,2024-12-26,29,72295152.4,6,5,1,5,11,Regular Customers,0.25,72,Maintain engagement and encourage higher purchase frequency
C0002,Fleet Owner,Manufacturing,South,HYD001,2,2024-09-07,51,71712838.0,116,1,5,5,11,At Risk High Value,0.25,80,Prioritize retention and immediate re-engagement
C0489,Fleet Owner,Rental,South,CHN001,5,2024-08-17,47,70625273.0,137,1,5,5,11,At Risk High Value,0.24,86,Prioritize retention and immediate re-engagement
C0123,Corporate,Infrastructure,East,KOL001,3,2024-11-04,36,70019319.0,58,3,3,5,11,Regular Customers,0.24,88,Maintain engagement and encourage higher purchase frequency
C0166,Fleet Owner,Manufacturing,West,AHM001,2,2024-12-08,32,69504759.6,24,4,2,5,11,Regular Customers,0.24,93,Maintain engagement and encourage higher purchase frequency
C0169,Fleet Owner,Construction,West,AHM001,4,2024-10-27,40,69450095.6,66,2,4,5,11,At Risk High Value,0.24,96,Prioritize retention and immediate re-engagement
C0311,Government,Infrastructure,North,DEL001,4,2024-09-17,41,69331648.2,106,1,5,5,11,At Risk High Value,0.24,99,Prioritize retention and immediate re-engagement
C0128,Retail,Mining,West,AHM001,1,2024-12-18,33,69172996.2,14,5,2,4,11,Regular Customers,0.24,102,Maintain engagement and encourage higher purchase frequency
C0448,Fleet Owner,Logistics,East,KOL001,4,2024-12-11,36,68495840.4,21,4,3,4,11,Recent Customers,0.23,107,Build repeat purchasing and increase customer value
C0343,Corporate,Construction,West,PUN001,1,2024-11-21,40,68419201.6,41,3,4,4,11,Loyal High Value,0.23,108,Strengthen relationship and pursue cross-selling opportunities
C0247,Corporate,Logistics,East,AHM001,2,2024-11-13,39,67759559.6,49,3,4,4,11,Loyal High Value,0.23,116,Strengthen relationship and pursue cross-selling opportunities
C0119,Government,Manufacturing,West,DEL001,4,2024-10-26,51,67143205.2,67,2,5,4,11,At Risk High Value,0.23,122,Prioritize retention and immediate re-engagement
C0422,Government,Construction,South,HYD001,5,2024-11-04,37,65678984.2,58,3,4,4,11,Loyal High Value,0.22,133,Strengthen relationship and pursue cross-selling opportunities
C0312,Government,Construction,West,PUN001,4,2024-11-17,37,65437706.6,45,3,4,4,11,Loyal High Value,0.22,137,Strengthen relationship and pursue cross-selling opportunities
C0443,Dealer,Infrastructure,East,KOL001,1,2024-11-18,40,64951558.8,44,3,4,4,11,Loyal High Value,0.22,141,Strengthen relationship and pursue cross-selling opportunities
C0168,Dealer,Infrastructure,West,PUN001,1,2024-12-18,34,64028787.0,14,5,2,4,11,Regular Customers,0.22,154,Maintain engagement and encourage higher purchase frequency
C0340,Government,Mining,South,HYD001,3,2024-12-04,35,63532821.6,28,4,3,4,11,Recent Customers,0.22,159,Build repeat purchasing and increase customer value
C0054,Fleet Owner,Manufacturing,South,CHN001,2,2024-12-14,37,63424926.8,18,4,3,4,11,Recent Customers,0.22,160,Build repeat purchasing and increase customer value
C0455,Retail,Logistics,Central,PUN001,1,2024-11-27,35,63287015.4,35,4,3,4,11,Recent Customers,0.22,162,Build repeat purchasing and increase customer value
C0138,Corporate,Mining,South,HYD001,5,2024-12-25,34,62582651.4,7,5,2,4,11,Regular Customers,0.21,172,Maintain engagement and encourage higher purchase frequency
C0152,Corporate,Manufacturing,South,CHN001,2,2024-11-18,40,62249804.2,44,3,4,4,11,Loyal High Value,0.21,175,Strengthen relationship and pursue cross-selling opportunities
C0216,Government,Mining,East,KOL001,1,2024-11-20,39,62009378.6,42,3,4,4,11,Loyal High Value,0.21,180,Strengthen relationship and pursue cross-selling opportunities
C0269,Government,Mining,South,CHN001,1,2024-11-22,41,61642030.4,40,3,4,4,11,Loyal High Value,0.21,184,Strengthen relationship and pursue cross-selling opportunities
C0447,Fleet Owner,Rental,East,KOL001,2,2024-12-23,33,61334243.8,9,5,2,4,11,Regular Customers,0.21,189,Maintain engagement and encourage higher purchase frequency
C0409,Government,Logistics,West,PUN001,1,2024-10-09,45,60821412.6,84,2,5,4,11,At Risk High Value,0.21,199,Prioritize retention and immediate re-engagement
C0026,Fleet Owner,Mining,North,HYD001,5,2024-12-29,36,60554977.0,3,5,3,3,11,Recent Customers,0.21,201,Build repeat purchasing and increase customer value
C0286,Dealer,Construction,South,CHN001,2,2024-12-29,36,60273490.2,3,5,3,3,11,Recent Customers,0.21,209,Build repeat purchasing and increase customer value
C0410,Corporate,Mining,South,HYD001,4,2024-11-27,39,59804309.8,35,4,4,3,11,Recent Customers,0.2,216,Build repeat purchasing and increase customer value
C0211,Fleet Owner,Manufacturing,South,HYD001,1,2024-11-20,42,59389779.2,42,3,5,3,11,Regular Customers,0.2,222,Maintain engagement and encourage higher purchase frequency
C0280,Corporate,Construction,West,PUN001,4,2024-11-05,42,59078520.8,57,3,5,3,11,Regular Customers,0.2,227,Maintain engagement and encourage higher purchase frequency
C0068,Retail,Mining,North,DEL001,1,2024-12-06,39,57372766.4,26,4,4,3,11,Recent Customers,0.2,255,Build repeat purchasing and increase customer value
C0172,Dealer,Manufacturing,South,CHN001,1,2024-11-27,37,57323600.2,35,4,4,3,11,Recent Customers,0.2,258,Build repeat purchasing and increase customer value
C0105,Government,Logistics,North,DEL001,4,2024-11-26,41,57202879.8,36,4,4,3,11,Recent Customers,0.2,260,Build repeat purchasing and increase customer value
C0222,Fleet Owner,Logistics,North,DEL001,5,2024-12-13,41,57177978.6,19,4,4,3,11,Recent Customers,0.2,262,Build repeat purchasing and increase customer value
C0080,Retail,Mining,South,CHN001,1,2024-11-03,42,56541324.2,59,3,5,3,11,Regular Customers,0.19,277,Maintain engagement and encourage higher purchase frequency
C0081,Corporate,Rental,West,HYD001,1,2024-12-23,37,56355210.0,9,5,3,3,11,Recent Customers,0.19,279,Build repeat purchasing and increase customer value
C0190,Retail,Manufacturing,North,CHN001,1,2024-12-29,35,56351528.4,3,5,3,3,11,Recent Customers,0.19,280,Build repeat purchasing and increase customer value
C0098,Corporate,Mining,East,KOL001,1,2024-12-18,35,56088743.0,14,5,3,3,11,Recent Customers,0.19,283,Build repeat purchasing and increase customer value
C0124,Dealer,Construction,West,PUN001,3,2024-11-04,42,54870405.8,58,3,5,3,11,Regular Customers,0.19,298,Maintain engagement and encourage higher purchase frequency
C0407,Dealer,Logistics,South,HYD001,2,2024-12-25,38,54609453.4,7,5,4,2,11,Recent Customers,0.19,303,Build repeat purchasing and increase customer value
C0188,Corporate,Logistics,West,PUN001,4,2024-12-27,39,54387524.8,5,5,4,2,11,Recent Customers,0.19,307,Build repeat purchasing and increase customer value
C0027,Fleet Owner,Logistics,West,AHM001,1,2024-12-26,39,54309976.4,6,5,4,2,11,Recent Customers,0.19,308,Build repeat purchasing and increase customer value
C0285,Government,Infrastructure,West,PUN001,4,2024-12-05,47,54036327.8,27,4,5,2,11,Recent Customers,0.18,313,Build repeat purchasing and increase customer value
C0427,Corporate,Mining,West,HYD001,3,2024-11-26,41,53149424.2,36,4,5,2,11,Recent Customers,0.18,325,Build repeat purchasing and increase customer value
C0393,Retail,Rental,East,KOL001,3,2024-12-18,39,51240981.8,14,5,4,2,11,Recent Customers,0.18,344,Build repeat purchasing and increase customer value
C0458,Dealer,Manufacturing,West,AHM001,4,2024-12-28,38,50799400.6,4,5,4,2,11,Recent Customers,0.17,347,Build repeat purchasing and increase customer value
C0074,Fleet Owner,Infrastructure,East,KOL001,5,2024-12-31,39,50426138.6,1,5,4,2,11,Recent Customers,0.17,354,Build repeat purchasing and increase customer value
C0087,Government,Logistics,South,HYD001,3,2024-12-17,39,50370513.4,15,5,4,2,11,Recent Customers,0.17,357,Build repeat purchasing and increase customer value
C0496,Government,Infrastructure,East,PUN001,5,2024-12-27,37,48190097.0,5,5,4,2,11,Recent Customers,0.16,389,Build repeat purchasing and increase customer value
C0062,Dealer,Construction,South,HYD001,1,2024-10-31,36,78963082.0,62,2,3,5,10,At Risk High Value,0.27,36,Prioritize retention and immediate re-engagement
C0246,Retail,Manufacturing,North,DEL001,2,2024-11-02,35,77080113.6,60,2,3,5,10,At Risk High Value,0.26,44,Prioritize retention and immediate re-engagement
C0129,Corporate,Mining,North,DEL001,5,2024-10-31,36,76393252.6,62,2,3,5,10,At Risk High Value,0.26,47,Prioritize retention and immediate re-engagement
C0103,Dealer,Infrastructure,South,KOL001,4,2024-08-29,40,75304293.2,125,1,4,5,10,At Risk High Value,0.26,51,Prioritize retention and immediate re-engagement
