customer_id,customer_type,industry_segment,region,first_purchase_date,last_purchase_date,delivered_order_count,total_revenue,customer_lifetime_days,days_since_last_purchase,customer_lifetime_years,orders_per_year,retention_status,retention_score,retention_class,average_order_value
C0403,Government,Construction,East,2019-02-19,2024-12-10,45,80523517.0,2143,22,5.867214236824093,7.6697386840877275,Active Customer,100,High Retention,1789411.4888888889
C0201,Dealer,Infrastructure,South,2019-02-01,2024-12-13,47,80475593.0,2161,19,5.916495550992471,7.943891716797779,Active Customer,100,High Retention,1712246.6595744682
C0294,Government,Infrastructure,South,2019-03-26,2024-12-27,45,79772077.0,2108,5,5.771389459274469,7.797082542694498,Active Customer,100,High Retention,1772712.822222222
C0356,Dealer,Mining,East,2019-03-16,2024-12-05,45,79690881.0,2118,27,5.798767967145791,7.760269121813031,Active Customer,100,High Retention,1770908.4666666666
C0165,Fleet Owner,Manufacturing,North,2019-02-27,2024-12-24,50,79168592.4,2135,8,5.845311430527036,8.553864168618267,Active Customer,100,High Retention,1583371.8480000002
C0291,Retail,Construction,South,2019-03-13,2024-12-03,46,79064597.0,2121,29,5.806981519507187,7.921499292786422,Active Customer,100,High Retention,1718795.5869565217
C0113,Corporate,Logistics,South,2019-01-13,2024-12-23,41,78713400.0,2180,9,5.968514715947981,6.869380733944954,Active Customer,100,High Retention,1919839.024390244
C0244,Government,Logistics,North,2019-05-06,2024-12-09,44,77550764.4,2067,23,5.6591375770020536,7.7750362844702465,Active Customer,100,High Retention,1762517.3727272728
C0082,Fleet Owner,Manufacturing,West,2019-03-17,2024-12-18,46,77500928.6,2117,14,5.796030116358659,7.93646669815777,Active Customer,100,High Retention,1684802.7956521737
C0069,Dealer,Logistics,North,2019-02-18,2024-12-11,47,77108269.8,2144,21,5.8699520876112254,8.006879664179104,Active Customer,100,High Retention,1640601.485106383
C0070,Government,Logistics,West,2019-02-04,2024-12-20,41,76883391.4,2158,12,5.908281998631074,6.9394114921223355,Active Customer,100,High Retention,1875204.668292683
C0257,Corporate,Logistics,North,2019-01-18,2024-12-23,43,76189558.0,2175,9,5.95482546201232,7.22103448275862,Active Customer,100,High Retention,1771850.1860465116
C0478,Retail,Rental,North,2019-02-04,2024-12-29,44,75901402.2,2158,3,5.908281998631074,7.447173308619092,Active Customer,100,High Retention,1725031.8681818182
C0272,Government,Construction,North,2019-09-01,2024-12-13,39,75550922.6,1949,19,5.336071184120465,7.308748075936378,Active Customer,100,High Retention,1937203.1435897434
C0045,Corporate,Rental,East,2019-02-02,2024-12-15,42,75275350.60000001,2160,17,5.9137577002053385,7.102083333333334,Active Customer,100,High Retention,1792270.2523809527
C0250,Government,Infrastructure,East,2019-03-08,2024-12-20,43,74416923.4,2126,12,5.820670773442847,7.3874647224835375,Active Customer,100,High Retention,1730626.1255813956
C0215,Corporate,Rental,South,2019-02-28,2024-12-24,49,73940925.4,2134,8,5.842573579739904,8.386715089034677,Active Customer,100,High Retention,1508998.4775510204
C0482,Fleet Owner,Logistics,East,2019-12-15,2024-12-03,31,73762403.2,1844,29,5.048596851471594,6.140319956616053,Active Customer,100,High Retention,2379432.3612903226
C0234,Corporate,Infrastructure,West,2019-01-09,2024-12-26,29,72295152.4,2184,6,5.979466119096509,4.849931318681318,Active Customer,100,High Retention,2492936.2896551727
C0411,Corporate,Mining,South,2019-07-14,2024-12-12,43,72229183.0,1998,20,5.470225872689938,7.860735735735736,Active Customer,100,High Retention,1679748.441860465
C0063,Retail,Rental,North,2019-02-28,2024-12-19,38,72065344.4,2134,13,5.842573579739904,6.5039831302717905,Active Customer,100,High Retention,1896456.4315789475
C0459,Retail,Logistics,East,2019-03-10,2024-12-14,41,71816909.8,2124,18,5.815195071868583,7.050494350282486,Active Customer,100,High Retention,1751631.9463414634
C0016,Government,Rental,East,2019-01-18,2024-12-18,35,70872336.2,2175,14,5.95482546201232,5.877586206896551,Active Customer,100,High Retention,2024923.8914285714
C0186,Fleet Owner,Infrastructure,East,2019-02-17,2024-12-11,40,70676837.0,2145,21,5.8726899383983575,6.811188811188811,Active Customer,100,High Retention,1766920.925
C0306,Fleet Owner,Manufacturing,East,2019-07-19,2024-12-16,42,69813587.0,1993,16,5.456536618754278,7.697190165579529,Active Customer,100,High Retention,1662228.261904762
C0284,Corporate,Manufacturing,East,2019-01-09,2024-12-23,41,69641823.4,2184,9,5.979466119096509,6.856799450549451,Active Customer,100,High Retention,1698581.0585365854
C0166,Fleet Owner,Manufacturing,West,2019-01-18,2024-12-08,32,69504759.6,2175,24,5.95482546201232,5.373793103448276,Active Customer,100,High Retention,2172023.7375
C0109,Retail,Mining,South,2019-01-14,2024-12-09,44,69451949.0,2179,23,5.965776865160849,7.3754015603487835,Active Customer,100,High Retention,1578453.3863636365
C0282,Government,Logistics,East,2019-01-17,2024-12-24,44,69381309.6,2176,8,5.9575633127994525,7.385569852941177,Active Customer,100,High Retention,1576847.9454545453
C0128,Retail,Mining,West,2019-01-02,2024-12-18,33,69172996.2,2191,14,5.9986310746064335,5.501255134641717,Active Customer,100,High Retention,2096151.4000000001
C0377,Dealer,Logistics,West,2019-02-01,2024-12-07,37,68519191.2,2161,25,5.916495550992471,6.253701989819528,Active Customer,100,High Retention,1851870.0324324325
C0469,Government,Manufacturing,North,2019-01-04,2024-12-18,40,68502617.4,2189,14,5.993155373032169,6.674280493375971,Active Customer,100,High Retention,1712565.435
C0448,Fleet Owner,Logistics,East,2019-03-13,2024-12-11,36,68495840.4,2121,21,5.806981519507187,6.199434229137199,Active Customer,100,High Retention,1902662.2333333334
C0374,Corporate,Manufacturing,West,2019-03-07,2024-12-10,41,68389697.6,2127,22,5.823408624229979,7.040550070521862,Active Customer,100,High Retention,1668041.4048780487
C0270,Corporate,Manufacturing,North,2019-03-27,2024-12-20,43,68114112.8,2107,12,5.768651608487337,7.454081632653062,Active Customer,100,High Retention,1584049.134883721
C0425,Dealer,Manufacturing,South,2019-01-17,2024-12-09,41,67882732.6,2176,23,5.9575633127994525,6.882008272058823,Active Customer,100,High Retention,1655676.4048780487
C0331,Dealer,Logistics,North,2019-04-12,2024-12-15,42,67826105.8,2091,17,5.724845995893224,7.3364418938307026,Active Customer,100,High Retention,1614907.280952381
C0276,Dealer,Manufacturing,Central,2019-01-08,2024-12-29,44,67350598.6,2185,3,5.982203969883641,7.355148741418764,Active Customer,100,High Retention,1530695.4227272726
C0414,Dealer,Construction,South,2019-02-16,2024-12-31,40,66316815.6,2146,1,5.87542778918549,6.808014911463187,Active Customer,100,High Retention,1657920.3900000001
C0326,Government,Mining,East,2019-03-14,2024-12-30,42,66177447.4,2120,2,5.804243668720055,7.236084905660377,Active Customer,100,High Retention,1575653.5095238094
C0191,Corporate,Manufacturing,South,2019-02-03,2024-12-12,29,65787839.8,2159,20,5.9110198494182065,4.906090782769801,Active Customer,100,High Retention,2268546.1999999997
C0149,Government,Manufacturing,West,2019-02-28,2024-12-12,38,65235052.4,2134,20,5.842573579739904,6.5039831302717905,Active Customer,100,High Retention,1716711.9052631578
C0369,Government,Manufacturing,West,2019-01-26,2024-12-13,40,64656844.2,2167,19,5.932922655715264,6.742039686202122,Active Customer,100,High Retention,1616421.105
C0395,Corporate,Manufacturing,East,2019-02-21,2024-12-20,44,64514679.8,2141,12,5.861738535249829,7.506305464736104,Active Customer,100,High Retention,1466242.7227272727
C0396,Government,Manufacturing,West,2019-01-14,2024-12-07,38,64506474.4,2179,25,5.965776865160849,6.369664983937586,Active Customer,100,High Retention,1697538.8
C0329,Dealer,Infrastructure,Central,2019-01-03,2024-12-26,36,64307436.8,2190,6,5.9958932238193015,6.0041095890410965,Active Customer,100,High Retention,1786317.6888888888
C0379,Retail,Mining,West,2019-03-29,2024-12-15,41,64194052.6,2105,17,5.763175906913073,7.114133016627079,Active Customer,100,High Retention,1565708.6
C0168,Dealer,Infrastructure,West,2019-06-02,2024-12-18,34,64028787.0,2040,14,5.585215605749487,6.0874999999999995,Active Customer,100,High Retention,1883199.6176470588
C0301,Dealer,Mining,East,2019-01-13,2024-12-19,46,63821535.6,2180,13,5.968514715947981,7.707110091743119,Active Customer,100,High Retention,1387424.6869565218
C0302,Fleet Owner,Mining,West,2019-02-05,2024-12-24,36,63607092.0,2157,8,5.905544147843942,6.095966620305981,Active Customer,100,High Retention,1766863.6666666667
C0340,Government,Mining,South,2019-01-05,2024-12-04,35,63532821.6,2188,28,5.990417522245037,5.842664533820841,Active Customer,100,High Retention,1815223.4742857143
C0054,Fleet Owner,Manufacturing,South,2019-01-31,2024-12-14,37,63424926.8,2162,18,5.919233401779603,6.250809435707678,Active Customer,100,High Retention,1714187.2108108108
C0333,Corporate,Mining,South,2019-01-09,2024-12-02,39,63220923.0,2184,30,5.979466119096509,6.522321428571429,Active Customer,100,High Retention,1621049.3076923077
C0261,Dealer,Manufacturing,North,2019-05-06,2024-12-06,33,62999554.6,2067,26,5.6591375770020536,5.831277213352685,Active Customer,100,High Retention,1909077.412121212
C0328,Government,Rental,East,2019-01-03,2024-12-05,37,62646507.6,2190,27,5.9958932238193015,6.170890410958904,Active Customer,100,High Retention,1693148.854054054
C0138,Corporate,Mining,South,2019-01-10,2024-12-25,34,62582651.4,2183,7,5.976728268309377,5.688731103985341,Active Customer,100,High Retention,1840666.217647059
C0315,Dealer,Rental,West,2019-01-09,2024-12-17,40,61457629.4,2184,15,5.979466119096509,6.68956043956044,Active Customer,100,High Retention,1536440.7349999999
C0217,Corporate,Infrastructure,North,2019-01-19,2024-12-18,36,61360958.2,2174,14,5.952087611225188,6.048298068077277,Active Customer,100,High Retention,1704471.0611111112
C0447,Fleet Owner,Rental,East,2019-05-16,2024-12-23,33,61334243.8,2057,9,5.631759069130732,5.8596256684491985,Active Customer,100,High Retention,1858613.4484848485
C0146,Retail,Mining,West,2019-01-20,2024-12-31,30,61245406.2,2173,1,5.949349760438056,5.042567878508974,Active Customer,100,High Retention,2041513.54
C0327,Retail,Mining,West,2019-02-01,2024-12-06,43,61017008.6,2161,26,5.916495550992471,7.267815826006479,Active Customer,100,High Retention,1419000.2
C0004,Fleet Owner,Logistics,South,2019-03-21,2024-12-31,46,60843242.8,2113,1,5.7850787132101305,7.951490771415049,Active Customer,100,High Retention,1322679.1913043477
C0273,Dealer,Manufacturing,East,2019-05-04,2024-12-31,37,60830001.0,2069,1,5.664613278576318,6.531778637022716,Active Customer,100,High Retention,1644054.0810810812
C0026,Fleet Owner,Mining,North,2019-01-09,2024-12-29,36,60554977.0,2184,3,5.979466119096509,6.020604395604396,Active Customer,100,High Retention,1682082.6944444445
C0319,Dealer,Mining,South,2019-05-16,2024-12-08,33,60426895.0,2057,24,5.631759069130732,5.8596256684491985,Active Customer,100,High Retention,1831118.0303030303
C0481,Corporate,Logistics,South,2019-01-03,2024-12-31,39,60397194.2,2190,1,5.9958932238193015,6.504452054794521,Active Customer,100,High Retention,1548646.0051282053
C0286,Dealer,Construction,South,2019-01-06,2024-12-29,36,60273490.2,2187,3,5.987679671457905,6.012345679012346,Active Customer,100,High Retention,1674263.6166666667
C0259,Fleet Owner,Logistics,South,2019-02-02,2024-12-13,33,60202150.6,2160,19,5.9137577002053385,5.580208333333333,Active Customer,100,High Retention,1824307.593939394
C0219,Government,Manufacturing,West,2019-01-09,2024-12-21,39,59976015.0,2184,11,5.979466119096509,6.522321428571429,Active Customer,100,High Retention,1537846.5384615385
C0065,Corporate,Mining,West,2019-01-07,2024-12-12,36,59751563.6,2186,20,5.984941820670773,6.015096065873743,Active Customer,100,High Retention,1659765.6555555556
C0399,Fleet Owner,Rental,South,2019-01-03,2024-12-25,39,59287998.0,2190,7,5.9958932238193015,6.504452054794521,Active Customer,100,High Retention,1520205.076923077
C0017,Government,Infrastructure,South,2019-01-31,2024-12-21,39,59194497.0,2162,11,5.919233401779603,6.5886910268270125,Active Customer,100,High Retention,1517807.6153846155
C0055,Dealer,Construction,North,2019-04-01,2024-12-11,32,59056095.2,2102,21,5.754962354551677,5.560418648905804,Active Customer,100,High Retention,1845502.975
C0355,Government,Infrastructure,South,2019-01-03,2024-12-18,32,58903770.4,2190,14,5.9958932238193015,5.336986301369864,Active Customer,100,High Retention,1840742.825
C0023,Corporate,Mining,South,2019-01-05,2024-12-27,32,58217713.2,2188,5,5.990417522245037,5.341864716636198,Active Customer,100,High Retention,1819303.5375
C0077,Corporate,Mining,North,2019-02-05,2024-12-16,34,57865492.6,2157,16,5.905544147843942,5.757301808066759,Active Customer,100,High Retention,1701926.2529411765
C0398,Government,Rental,South,2019-09-10,2024-12-02,35,57843305.6,1940,30,5.3114305270362765,6.589561855670103,Active Customer,100,High Retention,1652665.8742857142
C0436,Fleet Owner,Logistics,East,2019-02-01,2024-12-15,34,57784314.2,2161,17,5.916495550992471,5.746645071726053,Active Customer,100,High Retention,1699538.6529411767
C0232,Government,Mining,South,2019-01-24,2024-12-29,37,57544368.0,2169,3,5.938398357289528,6.230636237897649,Active Customer,100,High Retention,1555253.189189189
C0068,Retail,Mining,North,2019-03-11,2024-12-06,39,57372766.4,2123,26,5.812457221081451,6.709726801695713,Active Customer,100,High Retention,1471096.5743589744
C0426,Dealer,Infrastructure,North East,2019-02-20,2024-12-03,35,57207251.0,2142,29,5.864476386036961,5.9681372549019605,Active Customer,100,High Retention,1634492.8857142858
C0222,Fleet Owner,Logistics,North,2019-01-30,2024-12-13,41,57177978.6,2163,19,5.921971252566735,6.923370319001387,Active Customer,100,High Retention,1394584.843902439
C0445,Government,Mining,East,2019-04-04,2024-12-28,28,57177744.4,2099,4,5.746748802190281,4.8723201524535495,Active Customer,100,High Retention,2042062.3
C0059,Retail,Manufacturing,South,2019-01-21,2024-12-20,32,56859509.4,2172,12,5.946611909650924,5.3812154696132595,Active Customer,100,High Retention,1776859.66875
C0058,Retail,Infrastructure,West,2019-01-23,2024-12-24,40,56831525.0,2170,8,5.94113620807666,6.732718894009216,Active Customer,100,High Retention,1420788.125
C0195,Fleet Owner,Logistics,East,2019-02-15,2024-12-28,31,56797913.6,2147,4,5.878165639972622,5.2737540754541214,Active Customer,100,High Retention,1832190.7612903225
C0354,Corporate,Logistics,South,2019-01-06,2024-12-25,37,56690884.8,2187,7,5.987679671457905,6.179355281207133,Active Customer,100,High Retention,1532186.0756756756
C0052,Government,Manufacturing,North East,2019-02-12,2024-12-11,35,56612172.2,2150,21,5.886379192334018,5.94593023255814,Active Customer,100,High Retention,1617490.6342857145
C0099,Fleet Owner,Rental,South,2019-01-10,2024-12-26,44,56469516.0,2183,6,5.976728268309377,7.361887311039854,Active Customer,100,High Retention,1283398.0909090908
C0081,Corporate,Rental,West,2019-01-03,2024-12-23,37,56355210.0,2190,9,5.9958932238193015,6.170890410958904,Active Customer,100,High Retention,1523113.7837837837
C0190,Retail,Manufacturing,North,2019-05-15,2024-12-29,35,56351528.4,2058,3,5.634496919917864,6.211734693877552,Active Customer,100,High Retention,1610043.6685714286
C0050,Dealer,Mining,East,2019-01-11,2024-12-14,27,56151044.8,2182,18,5.973990417522245,4.5195921173235565,Active Customer,100,High Retention,2079668.3259259257
C0098,Corporate,Mining,East,2019-03-14,2024-12-18,35,56088743.0,2120,14,5.804243668720055,6.030070754716981,Active Customer,100,High Retention,1602535.5142857144
C0111,Corporate,Construction,South,2019-04-09,2024-12-16,33,55916542.2,2094,16,5.73305954825462,5.756088825214899,Active Customer,100,High Retention,1694440.6727272728
C0095,Fleet Owner,Logistics,West,2019-05-21,2024-12-26,29,55610118.2,2052,6,5.618069815195072,5.161915204678363,Active Customer,100,High Retention,1917590.2827586208
C0067,Retail,Manufacturing,West,2019-05-29,2024-12-30,31,55575120.6,2044,2,5.596167008898015,5.539505870841487,Active Customer,100,High Retention,1792745.8258064517
C0157,Dealer,Infrastructure,North,2019-02-15,2024-12-30,34,55572804.4,2147,2,5.878165639972622,5.784117373078715,Active Customer,100,High Retention,1634494.2470588235
C0072,Government,Logistics,West,2019-06-15,2024-12-23,26,55369763.0,2027,9,5.549623545516769,4.685002466699556,Active Customer,100,High Retention,2129606.269230769
C0148,Government,Construction,South,2019-01-28,2024-12-09,35,54884128.4,2165,23,5.927446954141,5.90473441108545,Active Customer,100,High Retention,1568117.9542857143
C0407,Dealer,Logistics,South,2019-02-01,2024-12-25,38,54609453.4,2161,7,5.916495550992471,6.422720962517354,Active Customer,100,High Retention,1437090.8789473684
C0188,Corporate,Logistics,West,2019-03-04,2024-12-27,39,54387524.8,2130,5,5.831622176591376,6.687676056338028,Active Customer,100,High Retention,1394551.917948718
C0027,Fleet Owner,Logistics,West,2019-03-25,2024-12-26,39,54309976.4,2109,6,5.774127310061601,6.754267425320057,Active Customer,100,High Retention,1392563.4974358974
C0285,Government,Infrastructure,West,2019-02-11,2024-12-05,47,54036327.8,2151,27,5.88911704312115,7.980822873082287,Active Customer,100,High Retention,1149709.1021276596
C0370,Corporate,Infrastructure,East,2019-02-18,2024-12-18,36,53881174.6,2144,14,5.8699520876112254,6.132929104477611,Active Customer,100,High Retention,1496699.2944444446
C0040,Government,Logistics,North,2019-02-23,2024-12-21,43,53757984.6,2139,11,5.856262833675565,7.342566619915848,Active Customer,100,High Retention,1250185.688372093
C0320,Retail,Construction,North,2019-04-01,2024-12-30,34,53574056.6,2102,2,5.754962354551677,5.907944814462417,Active Customer,100,High Retention,1575707.5470588235
C0181,Government,Construction,West,2019-04-13,2024-12-15,36,53087081.0,2090,17,5.722108145106092,6.291387559808612,Active Customer,100,High Retention,1474641.138888889
C0096,Corporate,Construction,South,2019-01-02,2024-12-30,34,51986858.4,2191,2,5.9986310746064335,5.667959835691465,Active Customer,100,High Retention,1529025.2470588235
C0393,Retail,Rental,East,2019-03-27,2024-12-18,39,51240981.8,2107,14,5.768651608487337,6.760678690080684,Active Customer,100,High Retention,1313871.3282051282
C0458,Dealer,Manufacturing,West,2019-07-09,2024-12-28,38,50799400.6,2003,4,5.4839151266255985,6.929355966050924,Active Customer,100,High Retention,1336826.3315789474
C0214,Corporate,Rental,West,2019-01-12,2024-12-26,31,50612095.0,2181,6,5.971252566735113,5.191540577716644,Active Customer,100,High Retention,1632648.2258064516
C0074,Fleet Owner,Infrastructure,East,2019-01-10,2024-12-31,39,50426138.6,2183,1,5.976728268309377,6.525309207512597,Active Customer,100,High Retention,1292977.912820513
C0167,Retail,Mining,West,2019-01-03,2024-12-28,31,50383279.4,2190,4,5.9958932238193015,5.170205479452055,Active Customer,100,High Retention,1625267.0774193548
C0087,Government,Logistics,South,2019-01-22,2024-12-17,39,50370513.4,2171,15,5.943874058863792,6.561377245508981,Active Customer,100,High Retention,1291551.6256410256
C0308,Retail,Mining,North,2019-02-19,2024-12-12,33,50359329.6,2143,20,5.867214236824093,5.624475034997666,Active Customer,100,High Retention,1526040.290909091
C0323,Government,Manufacturing,West,2019-01-11,2024-12-22,36,50291498.8,2182,10,5.973990417522245,6.026122823098075,Active Customer,100,High Retention,1396986.0777777778
C0159,Dealer,Construction,South,2019-02-02,2024-12-26,34,49934036.2,2160,6,5.9137577002053385,5.749305555555556,Active Customer,100,High Retention,1468648.1235294119
C0057,Retail,Logistics,East,2019-03-20,2024-12-04,32,49701788.6,2114,28,5.7878165639972625,5.528855250709555,Active Customer,100,High Retention,1553180.89375
C0033,Government,Mining,South,2019-03-05,2024-12-12,30,49354094.2,2129,20,5.8288843258042435,5.146782527007985,Active Customer,100,High Retention,1645136.4733333334
C0036,Fleet Owner,Construction,East,2019-06-26,2024-12-18,31,48929201.8,2016,14,5.519507186858316,5.6164434523809526,Active Customer,100,High Retention,1578361.3483870968
C0194,Fleet Owner,Construction,South,2019-04-15,2024-12-26,33,48202752.8,2088,6,5.716632443531828,5.772629310344827,Active Customer,100,High Retention,1460689.4787878788
C0496,Government,Infrastructure,East,2019-02-17,2024-12-27,37,48190097.0,2145,5,5.8726899383983575,6.30034965034965,Active Customer,100,High Retention,1302435.054054054
C0465,Fleet Owner,Mining,South,2019-03-12,2024-12-12,35,48083241.6,2122,20,5.809719370294319,6.024387370405278,Active Customer,100,High Retention,1373806.902857143
C0439,Dealer,Construction,South,2019-03-21,2024-12-22,36,47576062.0,2113,10,5.7850787132101305,6.22290582110743,Active Customer,100,High Retention,1321557.2777777778
C0097,Corporate,Construction,West,2019-03-22,2024-12-16,26,47499351.2,2112,16,5.782340862422998,4.496448863636363,Active Customer,100,High Retention,1826898.1230769232
C0278,Fleet Owner,Logistics,West,2019-08-12,2024-12-03,38,47107787.2,1969,29,5.390828199863107,7.049009649568309,Active Customer,100,High Retention,1239678.6105263159
C0208,Fleet Owner,Logistics,North,2019-01-20,2024-12-30,30,46904115.8,2173,2,5.949349760438056,5.042567878508974,Active Customer,100,High Retention,1563470.5266666666
C0437,Dealer,Mining,West,2019-02-09,2024-12-21,30,46199550.2,2153,11,5.894592744695414,5.08941012540641,Active Customer,100,High Retention,1539985.0066666668
C0404,Government,Mining,West,2019-02-10,2024-12-26,31,46035794.4,2152,6,5.891854893908282,5.2615009293680295,Active Customer,100,High Retention,1485025.6258064515
C0248,Fleet Owner,Rental,West,2019-01-10,2024-12-04,30,45208412.0,2183,28,5.976728268309377,5.019468621163536,Active Customer,100,High Retention,1506947.0666666667
C0500,Corporate,Infrastructure,East,2019-01-06,2024-12-07,27,44474866.6,2187,25,5.987679671457905,4.5092592592592595,Active Customer,100,High Retention,1647217.2814814816
C0147,Dealer,Rental,North,2019-07-21,2024-12-22,30,44007572.2,1991,10,5.451060917180014,5.503515821195379,Active Customer,100,High Retention,1466919.0733333335
C0317,Corporate,Manufacturing,South,2019-01-17,2024-12-25,32,43291415.2,2176,7,5.9575633127994525,5.3713235294117645,Active Customer,100,High Retention,1352856.725
C0019,Government,Logistics,East,2019-01-19,2024-12-10,37,42528118.4,2174,22,5.952087611225188,6.21630634774609,Active Customer,100,High Retention,1149408.6054054054
C0243,Government,Construction,North,2019-11-20,2024-12-10,28,42431751.6,1869,22,5.117043121149897,5.471910112359551,Active Customer,100,High Retention,1515419.7
C0104,Fleet Owner,Infrastructure,South,2019-04-06,2024-12-30,34,42120081.4,2097,2,5.7412731006160165,5.922031473533619,Active Customer,100,High Retention,1238825.9235294117
C0118,Retail,Rental,South,2019-02-03,2024-12-10,32,41835680.2,2159,22,5.9110198494182065,5.413617415470125,Active Customer,100,High Retention,1307365.00625
C0155,Fleet Owner,Mining,East,2019-11-15,2024-12-17,31,41576324.2,1874,15,5.130732375085558,6.042022411953041,Active Customer,100,High Retention,1341171.748387097
C0014,Fleet Owner,Construction,East,2019-03-05,2024-12-21,27,41523847.6,2129,11,5.8288843258042435,4.632104274307187,Active Customer,100,High Retention,1537920.2814814816
C0322,Government,Construction,West,2019-04-10,2024-12-10,28,40996678.0,2093,22,5.730321697467488,4.88628762541806,Active Customer,100,High Retention,1464167.0714285714
C0452,Fleet Owner,Mining,South,2019-03-05,2024-12-27,35,40090449.2,2129,5,5.8288843258042435,6.004579614842649,Active Customer,100,High Retention,1145441.4057142858
C0204,Retail,Rental,South,2019-05-20,2024-12-08,31,39880662.0,2053,24,5.620807665982204,5.515221626887482,Active Customer,100,High Retention,1286472.9677419355
C0388,Fleet Owner,Infrastructure,West,2019-03-21,2024-12-12,27,39389408.6,2113,20,5.7850787132101305,4.667179365830572,Active Customer,100,High Retention,1458866.9851851852
C0170,Government,Construction,South,2019-03-21,2024-12-20,27,38882680.4,2113,12,5.7850787132101305,4.667179365830572,Active Customer,100,High Retention,1440099.274074074
C0392,Fleet Owner,Logistics,East,2019-02-11,2024-12-12,31,38571708.8,2151,20,5.88911704312115,5.2639470013947,Active Customer,100,High Retention,1244248.6709677419
C0309,Government,Manufacturing,West,2019-03-04,2024-12-17,31,38065991.6,2130,15,5.831622176591376,5.315845070422536,Active Customer,100,High Retention,1227935.2129032258
C0262,Corporate,Logistics,North,2019-02-26,2024-12-04,26,36628894.0,2136,28,5.848049281314168,4.445926966292135,Active Customer,100,High Retention,1408803.6153846155
C0177,Dealer,Construction,West,2019-04-01,2024-12-25,28,35762840.4,2102,7,5.754962354551677,4.865366317792579,Active Customer,100,High Retention,1277244.3
C0145,Retail,Construction,West,2019-04-01,2024-12-29,33,34445949.4,2102,3,5.754962354551677,5.73418173168411,Active Customer,100,High Retention,1043816.6484848484
C0183,Government,Mining,West,2019-02-03,2024-12-05,27,32313901.0,2159,27,5.9110198494182065,4.567739694302918,Active Customer,100,High Retention,1196811.148148148
C0125,Government,Mining,West,2019-02-17,2024-12-09,30,31904862.6,2145,23,5.8726899383983575,5.108391608391608,Active Customer,100,High Retention,1063495.4200000002
C0108,Corporate,Rental,North,2019-01-03,2024-12-29,24,31126705.0,2190,3,5.9958932238193015,4.002739726027397,Active Customer,100,High Retention,1296946.0416666667
C0180,Fleet Owner,Logistics,South,2019-01-04,2024-12-10,27,30093537.8,2189,22,5.993155373032169,4.50513933302878,Active Customer,100,High Retention,1114575.474074074
C0174,Government,Mining,West,2019-01-11,2024-12-03,29,29793255.0,2182,29,5.973990417522245,4.854376718606783,Active Customer,100,High Retention,1027353.6206896552
C0347,Retail,Mining,North,2019-03-04,2024-12-03,24,22536660.4,2130,29,5.831622176591376,4.115492957746479,Active Customer,100,High Retention,939027.5166666666
C0288,Dealer,Infrastructure,North,2019-02-21,2024-10-18,55,97218403.8,2141,75,5.861738535249829,9.38288183092013,Recently Inactive,80,High Retention,1767607.3418181818
C0495,Fleet Owner,Infrastructure,North,2019-01-28,2024-11-25,48,94540537.6,2165,37,5.927446954141,8.097921478060046,Recently Inactive,80,High Retention,1969594.5333333332
C0240,Corporate,Manufacturing,South,2019-02-19,2024-11-10,46,92835709.4,2143,52,5.867214236824093,7.840177321511899,Recently Inactive,80,High Retention,2018167.595652174
