customer_id,customer_type,industry_segment,region,customer_since,customer_tenure_years,delivered_order_count,orders_per_year,total_revenue,average_order_value,total_units_purchased,total_product_revenue,total_gross_profit,gross_margin_pct,annualized_revenue,annualized_gross_profit,estimated_customer_lifetime_value,customer_profitability_class,customer_clv_class,overall_customer_value_class,profitability_rank,clv_rank
C0463,Dealer,Mining,West,2023-09-22,1.28,35,27.37,55370560.0,1582016.0,2617,43452000,12365003.94,22.33,43306417.64,9670915.82,29012747.47,Medium Profitability,High CLV,High Value,264,65
C0049,Dealer,Manufacturing,South,2023-03-10,1.82,39,21.49,82316206.2,2110671.95,3073,64589840,17453109.63,21.2,45348407.71,9615004.97,28845014.9,High Profitability,High CLV,Strategic High Value,30,66
C0106,Dealer,Infrastructure,Central,2023-09-02,1.33,39,29.25,58339475.8,1495883.99,2716,45839560,12776566.96,21.9,43754606.85,9582425.22,28747275.66,Medium Profitability,High CLV,High Value,235,67
C0233,Government,Logistics,East,2023-11-15,1.13,28,24.76,49889164.0,1781755.86,2106,39173800,10832033.67,21.71,44121106.9,9579661.74,28738985.22,Low Profitability,High CLV,High Value,376,68
C0416,Dealer,Manufacturing,South,2023-12-03,1.08,37,34.21,46006682.0,1243423.84,2482,36145900,10345066.89,22.49,42541621.77,9565913.12,28697739.35,Low Profitability,High CLV,High Value,407,69
C0315,Dealer,Rental,West,2023-06-30,1.51,40,26.52,61457629.4,1536440.74,2744,48208830,13862820.38,22.56,40739381.38,9189464.87,27568394.61,Medium Profitability,High CLV,High Value,156,70
C0281,Government,Logistics,South,2023-11-15,1.13,26,22.99,46282268.6,1780087.25,1849,36333020,10054159.02,21.72,40931231.49,8891722.96,26675168.88,Low Profitability,High CLV,High Value,423,71
C0354,Corporate,Logistics,South,2023-07-15,1.47,37,25.21,56690884.8,1532186.08,2595,44585860,12626374.33,22.27,38631241.93,8604073.18,25812219.54,Medium Profitability,High CLV,High Value,246,72
C0184,Retail,Rental,South,2023-06-13,1.56,29,18.65,61479056.4,2119967.46,2326,48287230,13012314.98,21.17,39533847.45,8367514.17,25102542.5,Medium Profitability,High CLV,High Value,218,73
C0053,Fleet Owner,Construction,North,2023-10-28,1.18,27,22.88,45016037.4,1667260.64,1874,35369930,9604355.13,21.34,38148741.67,8139189.59,24417568.76,Low Profitability,High CLV,High Value,446,74
C0460,Dealer,Logistics,South,2023-03-13,1.81,32,17.71,64634814.4,2019837.95,2571,50664330,14113684.95,21.84,35769493.88,7810641.56,23431924.67,Medium Profitability,High CLV,High Value,134,75
C0091,Retail,Construction,South,2023-11-14,1.13,30,26.47,39090471.8,1303015.73,1952,30689510,8752917.29,22.39,34487427.11,7722229.57,23166688.7,Low Profitability,High CLV,High Value,471,76
C0070,Government,Logistics,West,2022-11-10,2.14,41,19.13,76883391.4,1875204.67,2884,60254230,16551919.81,21.53,35864187.37,7721058.38,23163175.14,High Profitability,High CLV,Strategic High Value,46,77
C0095,Fleet Owner,Logistics,West,2023-06-13,1.56,29,18.65,55610118.2,1917590.28,2310,43640740,11990572.06,21.56,35759851.54,7710486.7,23131460.1,Medium Profitability,High CLV,High Value,294,78
C0258,Corporate,Mining,South,2023-02-12,1.89,28,14.84,62250978.4,2223249.23,2296,48830880,13552130.92,21.77,33000246.53,7184202.93,21552608.79,Medium Profitability,High CLV,High Value,174,79
C0216,Government,Mining,East,2023-01-18,1.95,39,19.95,62009378.6,1589984.07,2494,48655520,13593756.95,21.92,31721184.22,6953949.2,20861847.59,Medium Profitability,High CLV,High Value,171,80
C0062,Dealer,Construction,South,2022-07-21,2.45,36,14.69,78963082.0,2193418.94,3044,61918150,17026806.94,21.56,32224877.88,6948649.42,20845948.27,High Profitability,High CLV,Strategic High Value,36,81
C0409,Government,Logistics,West,2023-01-24,1.94,45,23.22,60821412.6,1351586.95,2971,47755320,13332801.24,21.92,31377148.24,6878256.57,20634769.72,Medium Profitability,High CLV,High Value,188,82
C0168,Dealer,Infrastructure,West,2022-12-18,2.04,34,16.67,64028787.0,1883199.62,2844,50309900,13893190.26,21.7,31391294.57,6811392.94,20434178.83,Medium Profitability,High CLV,High Value,150,83
C0500,Corporate,Infrastructure,East,2023-07-16,1.46,27,18.43,44474866.6,1647217.28,1975,34912870,9899740.15,22.26,30363448.65,6758654.37,20275963.12,Low Profitability,High CLV,High Value,433,84
C0382,Retail,Manufacturing,South,2023-07-15,1.47,33,22.49,42929317.0,1300888.39,2412,33715150,9906743.97,23.08,29253606.41,6750817.6,20252452.81,Low Profitability,High CLV,High Value,432,85
C0029,Dealer,Construction,South,2023-01-25,1.94,38,19.63,58176890.6,1530970.81,2565,45653420,12998665.76,22.34,30055317.24,6715364.45,20146093.36,Medium Profitability,High CLV,High Value,219,86
C0495,Fleet Owner,Infrastructure,North,2021-12-15,3.05,48,15.75,94540537.6,1969594.53,3533,74165320,20188775.68,21.35,31025095.56,6625292.29,19875876.87,High Profitability,High CLV,Strategic High Value,6,87
C0306,Fleet Owner,Manufacturing,East,2022-10-11,2.23,42,18.87,69813587.0,1662228.26,2649,54784400,14589774.7,20.9,31364591.21,6554631.25,19663893.76,High Profitability,High CLV,Strategic High Value,118,88
C0429,Fleet Owner,Logistics,West,2022-09-30,2.26,42,18.62,69444114.2,1653431.29,2699,54510440,14614536.66,21.05,30782114.94,6478106.21,19434318.62,High Profitability,High CLV,Strategic High Value,117,89
C0152,Corporate,Manufacturing,South,2022-11-27,2.1,40,19.07,62249804.2,1556245.1,2932,48907690,13577497.08,21.81,29682429.48,6474126.38,19422379.15,Medium Profitability,High CLV,High Value,172,90
C0275,Fleet Owner,Construction,West,2022-10-29,2.18,45,20.67,64270295.0,1428228.78,2734,50445750,14082210.5,21.91,29527956.29,6469845.77,19409537.3,Medium Profitability,High CLV,High Value,137,91
C0139,Government,Mining,West,2023-09-11,1.31,29,22.16,37337910.0,1287514.14,1729,29295750,8418941.63,22.55,28530693.78,6433092.95,19299278.85,Low Profitability,High CLV,High Value,480,92
C0378,Retail,Manufacturing,North,2023-03-23,1.78,35,19.67,50644577.2,1446987.92,2201,39739040,11056126.03,21.83,28458356.65,6212692.36,18638077.07,Medium Profitability,High CLV,High Value,363,93
C0364,Government,Infrastructure,East,2023-01-20,1.95,32,16.42,54408370.8,1700261.59,2358,42733560,12093370.91,22.23,27911035.72,6203797.37,18611392.1,Medium Profitability,High CLV,High Value,286,94
C0490,Government,Logistics,West,2021-12-26,3.02,44,14.58,84742703.8,1925970.54,3654,66510660,18579834.87,21.92,28087361.67,6158153.07,18474459.22,High Profitability,High CLV,Strategic High Value,18,95
C0021,Corporate,Mining,South,2022-11-02,2.17,45,20.78,59956738.4,1332371.96,2391,47093630,13110326.1,21.87,27685459.8,6053788.38,18161365.14,Medium Profitability,High CLV,High Value,208,96
C0239,Government,Logistics,South,2023-05-22,1.62,32,19.81,44962159.0,1405067.47,1858,35255050,9701362.33,21.58,27834624.7,6005801.0,18017403.01,Low Profitability,High CLV,High Value,441,97
C0355,Government,Infrastructure,South,2022-12-05,2.08,32,15.42,58903770.4,1840742.82,2259,46214030,12453288.42,21.14,28383380.13,6000743.53,18002230.59,Medium Profitability,High CLV,High Value,259,98
C0376,Retail,Construction,North,2023-01-27,1.93,29,15.02,52106248.6,1796767.19,2337,40903770,11532496.15,22.13,26995471.35,5974814.49,17924443.48,Medium Profitability,High CLV,High Value,327,99
C0449,Fleet Owner,Logistics,West,2022-12-31,2.0,32,15.97,55700286.8,1740633.96,2249,43705510,11919229.17,21.4,27793073.43,5947402.26,17842206.78,Medium Profitability,High CLV,High Value,301,100
C0160,Retail,Rental,West,2022-06-16,2.55,44,17.28,70762190.2,1608231.6,2817,55534390,14977478.14,21.17,27791279.54,5882283.75,17646851.26,High Profitability,High CLV,Strategic High Value,97,101
C0273,Dealer,Manufacturing,East,2022-10-08,2.23,37,16.56,60830001.0,1644054.08,2548,47764950,13067324.34,21.48,27228134.64,5849068.89,17547206.67,Medium Profitability,High CLV,High Value,213,102
C0232,Government,Mining,South,2022-10-30,2.17,37,17.02,57544368.0,1555253.19,2545,45159600,12713456.96,22.09,26471134.02,5848350.32,17545050.96,Medium Profitability,High CLV,High Value,241,103
C0076,Government,Mining,South,2022-01-31,2.92,45,15.42,80026994.2,1778377.65,3067,62759940,16959688.08,21.19,27420130.99,5811000.07,17433000.2,High Profitability,High CLV,Strategic High Value,37,104
C0325,Corporate,Rental,East,2023-01-20,1.95,30,15.39,52920013.4,1764000.45,1740,41524630,11187905.95,21.14,27147520.92,5739301.47,17217904.42,Medium Profitability,High CLV,High Value,353,105
C0056,Dealer,Mining,North,2022-09-23,2.28,36,15.82,60885469.8,1691263.05,2498,47730860,13024059.95,21.39,26761032.3,5724474.0,17173422.01,Medium Profitability,High CLV,High Value,217,106
C0085,Retail,Mining,South,2022-10-03,2.25,37,16.46,60463527.2,1634149.38,2228,47385290,12747577.3,21.08,26899273.22,5671196.84,17013590.53,Medium Profitability,High CLV,High Value,240,107
C0082,Fleet Owner,Manufacturing,West,2022-01-17,2.96,46,15.56,77500928.6,1684802.8,3206,60929520,16714336.43,21.57,26210383.49,5652695.72,16958087.17,High Profitability,High CLV,Strategic High Value,42,108
C0199,Government,Mining,West,2023-01-13,1.97,33,16.76,48930073.4,1482729.5,2206,38456880,10950660.58,22.38,24856341.18,5562905.11,16688715.34,Medium Profitability,High CLV,High Value,371,109
C0265,Retail,Mining,West,2023-02-10,1.89,29,15.33,47931619.6,1652814.47,1958,37594220,10413209.86,21.73,25335780.11,5504232.85,16512698.56,Low Profitability,High CLV,High Value,401,110
C0009,Corporate,Rental,West,2022-04-07,2.74,34,12.42,68836324.8,2024597.79,2677,54041610,14887516.03,21.63,25142467.63,5437665.23,16312995.69,High Profitability,High CLV,Strategic High Value,102,111
C0338,Corporate,Rental,West,2022-12-13,2.05,33,16.07,52210070.0,1582123.33,2009,40964750,11152339.11,21.36,25426304.09,5431189.15,16293567.44,Medium Profitability,High CLV,High Value,355,112
C0065,Corporate,Mining,West,2022-08-29,2.34,36,15.36,59751563.6,1659765.66,2370,46865770,12708847.35,21.27,25495629.21,5422787.96,16268363.88,Medium Profitability,High CLV,High Value,243,113
C0002,Fleet Owner,Manufacturing,South,2022-01-19,2.95,51,17.28,71712838.0,1406134.08,3253,56261100,15885879.66,22.15,24297879.48,5382483.81,16147451.43,High Profitability,High CLV,Strategic High Value,65,114
C0405,Corporate,Infrastructure,West,2022-12-16,2.05,32,15.65,50787823.0,1587119.47,2039,39790100,10981491.66,21.62,24833001.81,5369464.3,16108392.89,Medium Profitability,High CLV,High Value,369,115
C0023,Corporate,Mining,South,2022-09-15,2.3,32,13.93,58217713.2,1819303.54,2181,45671740,12328149.81,21.18,25344481.22,5366932.92,16100798.75,Medium Profitability,High CLV,High Value,269,116
C0340,Government,Mining,South,2022-06-03,2.58,35,13.56,63532821.6,1815223.47,2588,49824870,13680746.6,21.53,24608020.24,5298931.81,15896795.43,Medium Profitability,High CLV,High Value,164,117
C0443,Dealer,Infrastructure,East,2022-04-25,2.69,40,14.88,64951558.8,1623788.97,2766,50982660,13955354.77,21.49,24158408.2,5190624.57,15571873.72,Medium Profitability,High CLV,High Value,148,118
C0180,Fleet Owner,Logistics,South,2023-08-09,1.4,27,19.3,30093537.8,1114575.47,1892,23677460,7226683.29,24.01,21510107.01,5165452.2,15496356.59,Low Profitability,High CLV,High Value,494,119
C0458,Dealer,Manufacturing,West,2022-10-15,2.21,38,17.16,50799400.6,1336826.33,2631,39941170,11343327.58,22.33,22935081.67,5121323.11,15363969.34,Medium Profitability,High CLV,High Value,340,120
C0069,Dealer,Logistics,North,2021-09-12,3.3,47,14.22,77108269.8,1640601.49,3351,60517360,16818333.21,21.81,23333716.28,5089392.05,15268176.15,High Profitability,High CLV,Strategic High Value,39,121
C0474,Government,Logistics,West,2022-11-30,2.09,30,14.36,48230361.0,1607678.7,2020,37863700,10533234.41,21.84,23087993.91,5042285.54,15126856.62,Low Profitability,High CLV,High Value,395,122
C0156,Government,Manufacturing,South,2022-02-17,2.87,33,11.49,67117436.4,2033861.71,2408,52631480,14329185.48,21.35,23369536.36,4989261.2,14967783.59,Medium Profitability,High CLV,High Value,127,123
C0206,Retail,Construction,West,2021-03-08,3.82,40,10.47,89674652.2,2241866.31,3255,70279540,18985961.31,21.17,23479330.98,4971055.46,14913166.38,High Profitability,High CLV,Strategic High Value,11,124
C0052,Government,Manufacturing,North East,2022-07-04,2.5,35,14.02,56612172.2,1617490.63,2298,44420040,12261488.2,21.66,22672802.52,4910645.36,14731936.07,Medium Profitability,High CLV,High Value,273,125
C0444,Dealer,Manufacturing,South,2022-08-26,2.35,30,12.76,50928809.0,1697626.97,2586,39970050,11528121.06,22.64,21655119.31,4901800.02,14705400.06,Medium Profitability,Medium CLV,Medium Value,328,126
C0084,Corporate,Logistics,West,2021-11-03,3.16,39,12.33,73317161.4,1879927.22,2567,57484480,15344008.68,20.93,23185362.08,4852293.65,14556880.96,High Profitability,Medium CLV,High Value,79,127
C0440,Retail,Manufacturing,South,2021-04-23,3.69,44,11.91,82426773.6,1873335.76,3315,64680520,17828661.15,21.63,22317553.04,4827219.04,14481657.12,High Profitability,Medium CLV,High Value,25,128
C0161,Dealer,Mining,West,2022-03-19,2.79,37,13.26,60837361.2,1644253.01,2835,47774340,13286594.89,21.84,21806522.26,4762442.38,14287327.14,Medium Profitability,Medium CLV,Medium Value,193,129
C0428,Retail,Construction,North,2021-12-17,3.04,43,14.14,66337820.6,1542740.01,2922,52052170,14433018.14,21.76,21809080.98,4744968.38,14234905.15,High Profitability,Medium CLV,High Value,125,130
C0411,Corporate,Mining,South,2021-10-14,3.22,43,13.37,72229183.0,1679748.44,2748,56645350,15120085.2,20.93,22452518.38,4700094.57,14100283.71,High Profitability,Medium CLV,High Value,92,131
C0368,Fleet Owner,Construction,South,2022-08-02,2.42,31,12.82,51837532.8,1672178.48,2145,40673710,11301995.97,21.8,21442422.26,4675032.87,14025098.62,Medium Profitability,Medium CLV,Medium Value,344,132
C0132,Corporate,Construction,Central,2022-09-03,2.33,37,15.88,49004629.4,1324449.44,2285,38534330,10867440.86,22.18,21032833.01,4664315.83,13992947.5,Medium Profitability,Medium CLV,Medium Value,374,133
C0033,Government,Mining,South,2022-09-24,2.27,30,13.2,49354094.2,1645136.47,2086,38713690,10583547.71,21.44,21718774.59,4657398.56,13972195.67,Low Profitability,Medium CLV,Low Value,391,134
