customer_id,total_delivered_orders,total_purchase_value,first_purchase_date,last_purchase_date,purchase_period_days,average_order_value,orders_per_month,purchase_span_years,repeat_purchase_class,customer_loyalty_class,customer_type,industry_segment,region,customer_rating,frequency_score,value_score,loyalty_score,action_focus,loyalty_rank
C0046,46,87078641.0,2019-02-03,2024-12-09,2136,1893013.93,0.66,5.85,Very High Repeat,Highly Loyal,Retail,Rental,West,3,82.14,80.48,81.48,Protect relationship and introduce premium loyalty benefits,18
C0083,45,89672688.2,2019-05-23,2024-10-04,1961,1992726.4,0.7,5.37,Very High Repeat,Highly Loyal,Dealer,Infrastructure,North,2,80.36,82.88,81.36,Protect relationship and introduce premium loyalty benefits,19
C0002,51,71712838.0,2019-01-24,2024-09-07,2053,1406134.08,0.76,5.62,Very High Repeat,Highly Loyal,Fleet Owner,Manufacturing,South,2,91.07,66.28,81.15,Protect relationship and introduce premium loyalty benefits,20
C0359,46,85617784.0,2019-02-12,2024-11-28,2116,1861256.17,0.66,5.79,Very High Repeat,Highly Loyal,Fleet Owner,Mining,South,3,82.14,79.13,80.94,Protect relationship and introduce premium loyalty benefits,21
C0435,50,73908258.2,2019-10-11,2024-11-01,1848,1478165.16,0.82,5.06,Very High Repeat,Highly Loyal,Dealer,Manufacturing,South,4,89.29,68.31,80.89,Protect relationship and introduce premium loyalty benefits,22
C0371,47,82052808.0,2019-01-03,2024-11-02,2130,1745804.43,0.67,5.83,Very High Repeat,Highly Loyal,Retail,Rental,South,3,83.93,75.83,80.69,Protect relationship and introduce premium loyalty benefits,23
C0207,45,87068691.0,2019-02-10,2024-10-13,2072,1934859.8,0.66,5.67,Very High Repeat,Highly Loyal,Corporate,Rental,East,1,80.36,80.47,80.4,Protect relationship and introduce premium loyalty benefits,24
C0468,49,75254807.6,2019-05-10,2024-11-10,2011,1535812.4,0.74,5.51,Very High Repeat,Highly Loyal,Fleet Owner,Rental,South,1,87.5,69.55,80.32,Protect relationship and introduce premium loyalty benefits,25
C0201,47,80475593.0,2019-02-01,2024-12-13,2142,1712246.66,0.67,5.86,Very High Repeat,Highly Loyal,Dealer,Infrastructure,South,4,83.93,74.38,80.11,Protect relationship and introduce premium loyalty benefits,26
C0215,49,73940925.4,2019-02-28,2024-12-24,2126,1508998.48,0.7,5.82,Very High Repeat,Highly Loyal,Corporate,Rental,South,5,87.5,68.34,79.83,Protect relationship and introduce premium loyalty benefits,27
C0142,45,84828043.0,2019-02-06,2024-12-08,2132,1885067.62,0.64,5.84,Very High Repeat,Highly Loyal,Retail,Manufacturing,West,1,80.36,78.4,79.57,Protect relationship and introduce premium loyalty benefits,28
C0119,51,67143205.2,2019-01-07,2024-10-26,2119,1316533.44,0.73,5.8,Very High Repeat,Highly Loyal,Government,Manufacturing,West,4,91.07,62.05,79.46,Protect relationship and introduce premium loyalty benefits,29
C0197,47,77464617.6,2019-02-22,2024-10-18,2065,1648183.35,0.69,5.65,Very High Repeat,Highly Loyal,Government,Manufacturing,West,2,83.93,71.59,78.99,Protect relationship and introduce premium loyalty benefits,30
C0069,47,77108269.8,2019-02-18,2024-12-11,2123,1640601.49,0.67,5.81,Very High Repeat,Highly Loyal,Dealer,Logistics,North,2,83.93,71.26,78.86,Protect relationship and introduce premium loyalty benefits,31
C0110,42,90807306.0,2019-01-25,2024-06-21,1974,2162078.71,0.65,5.4,Very High Repeat,Highly Loyal,Dealer,Logistics,Central,5,75.0,83.93,78.57,Protect relationship and introduce premium loyalty benefits,32
C0291,46,79064597.0,2019-03-13,2024-12-03,2092,1718795.59,0.67,5.73,Very High Repeat,Highly Loyal,Retail,Construction,South,2,82.14,73.07,78.51,Protect relationship and introduce premium loyalty benefits,33
C0490,44,84742703.8,2019-01-26,2024-12-29,2164,1925970.54,0.62,5.92,Very High Repeat,Highly Loyal,Government,Logistics,West,3,78.57,78.32,78.47,Protect relationship and introduce premium loyalty benefits,34
C0403,45,80523517.0,2019-02-19,2024-12-10,2121,1789411.49,0.65,5.81,Very High Repeat,Highly Loyal,Government,Construction,East,4,80.36,74.42,77.98,Protect relationship and introduce premium loyalty benefits,35
C0082,46,77500928.6,2019-03-17,2024-12-18,2103,1684802.8,0.67,5.76,Very High Repeat,Highly Loyal,Fleet Owner,Manufacturing,West,3,82.14,71.63,77.94,Protect relationship and introduce premium loyalty benefits,36
C0076,45,80026994.2,2019-01-12,2024-10-06,2094,1778377.65,0.65,5.73,Very High Repeat,Highly Loyal,Government,Mining,South,2,80.36,73.96,77.8,Protect relationship and introduce premium loyalty benefits,37
C0196,48,71291851.6,2019-01-09,2024-10-28,2119,1485246.91,0.69,5.8,Very High Repeat,Highly Loyal,Fleet Owner,Rental,North East,3,85.71,65.89,77.78,Protect relationship and introduce premium loyalty benefits,38
C0294,45,79772077.0,2019-03-26,2024-12-27,2103,1772712.82,0.65,5.76,Very High Repeat,Highly Loyal,Government,Infrastructure,South,4,80.36,73.73,77.7,Protect relationship and introduce premium loyalty benefits,39
C0356,45,79690881.0,2019-03-16,2024-12-05,2091,1770908.47,0.66,5.72,Very High Repeat,Highly Loyal,Dealer,Mining,East,2,80.36,73.65,77.67,Protect relationship and introduce premium loyalty benefits,40
C0440,44,82426773.6,2019-01-29,2024-10-21,2092,1873335.76,0.64,5.73,Very High Repeat,Highly Loyal,Retail,Manufacturing,South,5,78.57,76.18,77.61,Protect relationship and introduce premium loyalty benefits,41
C0221,44,82001959.0,2019-01-17,2024-09-05,2058,1863680.89,0.65,5.63,Very High Repeat,Highly Loyal,Dealer,Logistics,North,5,78.57,75.79,77.46,Protect relationship and introduce premium loyalty benefits,42
C0242,47,73225487.6,2019-01-30,2024-11-18,2119,1557989.1,0.68,5.8,Very High Repeat,Highly Loyal,Government,Construction,South,3,83.93,67.68,77.43,Protect relationship and introduce premium loyalty benefits,43
C0225,48,69254158.0,2019-03-17,2024-07-17,1949,1442794.96,0.75,5.34,Very High Repeat,Highly Loyal,Fleet Owner,Logistics,North,5,85.71,64.01,77.03,Protect relationship and introduce premium loyalty benefits,44
C0489,47,70625273.0,2019-04-14,2024-08-17,1952,1502665.38,0.73,5.34,Very High Repeat,Highly Loyal,Fleet Owner,Rental,South,5,83.93,65.27,76.47,Protect relationship and introduce premium loyalty benefits,45
C0206,40,89674652.2,2019-01-08,2024-12-11,2164,2241866.31,0.56,5.92,Very High Repeat,Highly Loyal,Retail,Construction,West,3,71.43,82.88,76.01,Protect relationship and introduce premium loyalty benefits,46
C0005,45,74996415.4,2019-02-28,2024-10-04,2045,1666587.01,0.67,5.6,Very High Repeat,Highly Loyal,Dealer,Construction,West,2,80.36,69.31,75.94,Protect relationship and introduce premium loyalty benefits,47
C0244,44,77550764.4,2019-05-06,2024-12-09,2044,1762517.37,0.66,5.6,Very High Repeat,Highly Loyal,Government,Logistics,North,3,78.57,71.67,75.81,Protect relationship and introduce premium loyalty benefits,48
C0060,44,77163010.4,2019-07-20,2024-11-24,1954,1753704.78,0.69,5.35,Very High Repeat,Highly Loyal,Dealer,Mining,South,1,78.57,71.31,75.67,Protect relationship and introduce premium loyalty benefits,49
C0154,45,74171590.6,2019-01-29,2024-08-21,2031,1648257.57,0.67,5.56,Very High Repeat,Highly Loyal,Fleet Owner,Logistics,North,5,80.36,68.55,75.63,Protect relationship and introduce premium loyalty benefits,50
C0013,44,76843692.4,2019-01-02,2024-10-27,2125,1746447.55,0.63,5.82,Very High Repeat,Highly Loyal,Dealer,Construction,West,2,78.57,71.02,75.55,Protect relationship and introduce premium loyalty benefits,51
C0478,44,75901402.2,2019-02-04,2024-12-29,2155,1725031.87,0.62,5.9,Very High Repeat,Highly Loyal,Retail,Rental,North,1,78.57,70.15,75.2,Protect relationship and introduce premium loyalty benefits,52
C0375,42,81286325.6,2019-02-20,2024-11-03,2083,1935388.7,0.61,5.7,Very High Repeat,Highly Loyal,Fleet Owner,Mining,West,1,75.0,75.13,75.05,Protect relationship and introduce premium loyalty benefits,53
C0237,44,74820743.4,2019-01-28,2024-10-15,2087,1700471.44,0.64,5.71,Very High Repeat,Highly Loyal,Dealer,Infrastructure,South,5,78.57,69.15,74.8,Protect relationship and introduce premium loyalty benefits,54
C0467,48,62880162.4,2019-01-02,2024-11-06,2135,1310003.38,0.68,5.85,Very High Repeat,Loyal,Retail,Construction,North,5,85.71,58.11,74.67,Maintain engagement and encourage higher-value purchases,55
C0255,45,71144094.2,2019-01-05,2024-11-11,2137,1580979.87,0.64,5.85,Very High Repeat,Highly Loyal,Retail,Infrastructure,South,4,80.36,65.75,74.52,Protect relationship and introduce premium loyalty benefits,56
C0257,43,76189558.0,2019-01-18,2024-12-23,2166,1771850.19,0.6,5.93,Very High Repeat,Highly Loyal,Corporate,Logistics,North,1,76.79,70.42,74.24,Protect relationship and introduce premium loyalty benefits,57
C0032,44,71991263.0,2019-01-23,2024-10-25,2102,1636165.07,0.64,5.75,Very High Repeat,Highly Loyal,Government,Logistics,West,5,78.57,66.54,73.76,Protect relationship and introduce premium loyalty benefits,58
C0250,43,74416923.4,2019-03-08,2024-12-20,2114,1730626.13,0.62,5.79,Very High Repeat,Highly Loyal,Government,Infrastructure,East,2,76.79,68.78,73.58,Protect relationship and introduce premium loyalty benefits,59
C0160,44,70762190.2,2019-02-19,2024-11-23,2104,1608231.6,0.64,5.76,Very High Repeat,Highly Loyal,Retail,Rental,West,2,78.57,65.4,73.3,Protect relationship and introduce premium loyalty benefits,60
C0113,41,78713400.0,2019-01-13,2024-12-23,2171,1919839.02,0.57,5.94,Very High Repeat,Highly Loyal,Corporate,Logistics,South,2,73.21,72.75,73.03,Protect relationship and introduce premium loyalty benefits,61
C0301,46,63821535.6,2019-01-13,2024-12-19,2167,1387424.69,0.65,5.93,Very High Repeat,Loyal,Dealer,Mining,East,5,82.14,58.98,72.88,Maintain engagement and encourage higher-value purchases,62
C0045,42,75275350.6,2019-02-02,2024-12-15,2143,1792270.25,0.6,5.87,Very High Repeat,Highly Loyal,Corporate,Rental,East,4,75.0,69.57,72.83,Protect relationship and introduce premium loyalty benefits,63
C0109,44,69451949.0,2019-01-14,2024-12-09,2156,1578453.39,0.62,5.9,Very High Repeat,Highly Loyal,Retail,Mining,South,1,78.57,64.19,72.82,Protect relationship and introduce premium loyalty benefits,64
C0282,44,69381309.6,2019-01-17,2024-12-24,2168,1576847.95,0.62,5.94,Very High Repeat,Highly Loyal,Government,Logistics,East,2,78.57,64.12,72.79,Protect relationship and introduce premium loyalty benefits,65
C0411,43,72229183.0,2019-07-14,2024-12-12,1978,1679748.44,0.66,5.42,Very High Repeat,Highly Loyal,Corporate,Mining,South,5,76.79,66.75,72.77,Protect relationship and introduce premium loyalty benefits,66
C0010,46,63051038.4,2019-01-23,2024-11-27,2135,1370674.75,0.66,5.85,Very High Repeat,Loyal,Dealer,Construction,South,5,82.14,58.27,72.59,Maintain engagement and encourage higher-value purchases,67
C0070,41,76883391.4,2019-02-04,2024-12-20,2146,1875204.67,0.58,5.88,Very High Repeat,Highly Loyal,Government,Logistics,West,3,73.21,71.06,72.35,Protect relationship and introduce premium loyalty benefits,68
C0307,42,73655534.6,2019-01-15,2024-11-24,2140,1753703.2,0.6,5.86,Very High Repeat,Highly Loyal,Dealer,Manufacturing,West,1,75.0,68.07,72.23,Protect relationship and introduce premium loyalty benefits,69
C0049,39,82316206.2,2019-01-25,2024-12-25,2161,2110671.95,0.55,5.92,High Repeat,Loyal,Dealer,Manufacturing,South,5,69.64,76.08,72.22,Maintain engagement and encourage higher-value purchases,70
C0276,44,67350598.6,2019-01-08,2024-12-29,2182,1530695.42,0.61,5.97,Very High Repeat,Highly Loyal,Dealer,Manufacturing,Central,3,78.57,62.25,72.04,Protect relationship and introduce premium loyalty benefits,71
C0275,45,64270295.0,2019-06-17,2024-11-06,1969,1428228.78,0.7,5.39,Very High Repeat,Loyal,Fleet Owner,Construction,West,5,80.36,59.4,71.97,Maintain engagement and encourage higher-value purchases,72
C0004,46,60843242.8,2019-03-21,2024-12-31,2112,1322679.19,0.66,5.78,Very High Repeat,Loyal,Fleet Owner,Logistics,South,3,82.14,56.23,71.78,Maintain engagement and encourage higher-value purchases,73
C0071,42,72076738.0,2019-01-24,2024-11-26,2133,1716112.81,0.6,5.84,Very High Repeat,Highly Loyal,Corporate,Rental,North,2,75.0,66.61,71.65,Protect relationship and introduce premium loyalty benefits,74
C0209,44,65445658.4,2019-10-18,2024-11-22,1862,1487401.33,0.72,5.1,Very High Repeat,Loyal,Corporate,Infrastructure,East,5,78.57,60.49,71.34,Maintain engagement and encourage higher-value purchases,75
C0270,43,68114112.8,2019-03-27,2024-12-20,2095,1584049.13,0.62,5.74,Very High Repeat,Highly Loyal,Corporate,Manufacturing,North,2,76.79,62.95,71.25,Protect relationship and introduce premium loyalty benefits,76
C0042,41,73882726.2,2019-01-25,2024-10-13,2088,1802017.71,0.6,5.72,Very High Repeat,Highly Loyal,Fleet Owner,Rental,South,4,73.21,68.28,71.24,Protect relationship and introduce premium loyalty benefits,77
C0395,44,64514679.8,2019-02-21,2024-12-20,2129,1466242.72,0.63,5.83,Very High Repeat,Loyal,Corporate,Manufacturing,East,1,78.57,59.63,70.99,Maintain engagement and encourage higher-value purchases,78
C0306,42,69813587.0,2019-07-19,2024-12-16,1977,1662228.26,0.65,5.41,Very High Repeat,Highly Loyal,Fleet Owner,Manufacturing,East,1,75.0,64.52,70.81,Protect relationship and introduce premium loyalty benefits,79
C0409,45,60821412.6,2019-01-19,2024-10-09,2090,1351586.95,0.66,5.72,Very High Repeat,Loyal,Government,Logistics,West,1,80.36,56.21,70.7,Maintain engagement and encourage higher-value purchases,80
C0103,40,75304293.2,2019-02-21,2024-08-29,2016,1882607.33,0.6,5.52,Very High Repeat,Highly Loyal,Dealer,Infrastructure,South,4,71.43,69.6,70.7,Protect relationship and introduce premium loyalty benefits,81
C0429,42,69444114.2,2019-02-08,2024-10-21,2082,1653431.29,0.61,5.7,Very High Repeat,Highly Loyal,Fleet Owner,Logistics,West,3,75.0,64.18,70.67,Protect relationship and introduce premium loyalty benefits,82
C0428,43,66337820.6,2019-01-25,2024-08-26,2040,1542740.01,0.64,5.59,Very High Repeat,Loyal,Retail,Construction,North,4,76.79,61.31,70.6,Maintain engagement and encourage higher-value purchases,83
C0459,41,71816909.8,2019-03-10,2024-12-14,2106,1751631.95,0.59,5.77,Very High Repeat,Highly Loyal,Retail,Logistics,East,5,73.21,66.37,70.48,Protect relationship and introduce premium loyalty benefits,84
C0021,45,59956738.4,2019-01-16,2024-10-01,2085,1332371.96,0.66,5.71,Very High Repeat,Loyal,Corporate,Mining,South,5,80.36,55.41,70.38,Maintain engagement and encourage higher-value purchases,85
C0285,47,54036327.8,2019-02-11,2024-12-05,2124,1149709.1,0.67,5.82,Very High Repeat,Loyal,Government,Infrastructure,West,4,83.93,49.94,70.33,Maintain engagement and encourage higher-value purchases,86
C0331,42,67826105.8,2019-04-12,2024-12-15,2074,1614907.28,0.62,5.68,Very High Repeat,Highly Loyal,Dealer,Logistics,North,2,75.0,62.69,70.07,Protect relationship and introduce premium loyalty benefits,87
C0300,40,72746205.0,2019-05-05,2024-11-18,2024,1818655.12,0.6,5.54,Very High Repeat,Highly Loyal,Dealer,Mining,North,1,71.43,67.23,69.75,Protect relationship and introduce premium loyalty benefits,88
C0176,42,66901722.8,2019-01-14,2024-08-07,2032,1592898.16,0.63,5.56,Very High Repeat,Highly Loyal,Dealer,Logistics,South,2,75.0,61.83,69.73,Protect relationship and introduce premium loyalty benefits,89
C0272,39,75550922.6,2019-09-01,2024-12-13,1930,1937203.14,0.62,5.28,High Repeat,Loyal,Government,Construction,North,1,69.64,69.82,69.72,Maintain engagement and encourage higher-value purchases,90
C0284,41,69641823.4,2019-01-09,2024-12-23,2175,1698581.06,0.57,5.95,Very High Repeat,Highly Loyal,Corporate,Manufacturing,East,1,73.21,64.36,69.67,Protect relationship and introduce premium loyalty benefits,91
C0024,44,60658309.2,2019-01-22,2024-09-17,2065,1378597.94,0.65,5.65,Very High Repeat,Loyal,Dealer,Rental,South,4,78.57,56.06,69.57,Maintain engagement and encourage higher-value purchases,92
C0311,41,69331648.2,2019-02-03,2024-09-17,2053,1691015.81,0.61,5.62,Very High Repeat,Highly Loyal,Government,Infrastructure,North,4,73.21,64.08,69.56,Protect relationship and introduce premium loyalty benefits,93
C0326,42,66177447.4,2019-03-14,2024-12-30,2118,1575653.51,0.6,5.8,Very High Repeat,Loyal,Government,Mining,East,4,75.0,61.16,69.46,Maintain engagement and encourage higher-value purchases,94
C0374,41,68389697.6,2019-03-07,2024-12-10,2105,1668041.4,0.59,5.76,Very High Repeat,Highly Loyal,Corporate,Manufacturing,West,5,73.21,63.21,69.21,Protect relationship and introduce premium loyalty benefits,95
C0383,41,68192154.0,2019-02-18,2024-11-19,2101,1663223.27,0.59,5.75,Very High Repeat,Highly Loyal,Fleet Owner,Infrastructure,North,5,73.21,63.02,69.14,Protect relationship and introduce premium loyalty benefits,96
C0425,41,67882732.6,2019-01-17,2024-12-09,2153,1655676.4,0.58,5.89,Very High Repeat,Highly Loyal,Dealer,Manufacturing,South,3,73.21,62.74,69.02,Protect relationship and introduce premium loyalty benefits,97
C0186,40,70676837.0,2019-02-17,2024-12-11,2124,1766920.92,0.57,5.82,Very High Repeat,Highly Loyal,Fleet Owner,Infrastructure,East,3,71.43,65.32,68.99,Protect relationship and introduce premium loyalty benefits,98
C0241,39,73396972.0,2019-02-01,2024-10-31,2099,1881973.64,0.57,5.75,High Repeat,Loyal,Government,Construction,West,1,69.64,67.83,68.92,Maintain engagement and encourage higher-value purchases,99
C0084,39,73317161.4,2019-04-29,2024-09-22,1973,1879927.22,0.6,5.4,High Repeat,Loyal,Corporate,Logistics,West,3,69.64,67.76,68.89,Maintain engagement and encourage higher-value purchases,100
C0253,39,72946151.6,2019-03-28,2024-11-27,2071,1870414.14,0.57,5.67,High Repeat,Loyal,Retail,Rental,West,2,69.64,67.42,68.75,Maintain engagement and encourage higher-value purchases,101
C0394,40,69936379.2,2019-03-08,2024-11-21,2085,1748409.48,0.58,5.71,Very High Repeat,Highly Loyal,Government,Construction,South,4,71.43,64.64,68.71,Protect relationship and introduce premium loyalty benefits,102
C0327,43,61017008.6,2019-02-01,2024-12-06,2135,1419000.2,0.61,5.85,Very High Repeat,Loyal,Retail,Mining,West,1,76.79,56.39,68.63,Maintain engagement and encourage higher-value purchases,103
C0169,40,69450095.6,2019-03-25,2024-10-27,2043,1736252.39,0.6,5.59,Very High Repeat,Highly Loyal,Fleet Owner,Construction,West,4,71.43,64.19,68.53,Protect relationship and introduce premium loyalty benefits,104
C0192,40,69269688.4,2019-01-19,2024-08-29,2049,1731742.21,0.59,5.61,Very High Repeat,Highly Loyal,Fleet Owner,Logistics,East,2,71.43,64.02,68.47,Protect relationship and introduce premium loyalty benefits,105
C0384,39,72157498.2,2019-02-05,2024-09-09,2043,1850192.26,0.58,5.59,High Repeat,Loyal,Retail,Construction,South,3,69.64,66.69,68.46,Maintain engagement and encourage higher-value purchases,106
C0469,40,68502617.4,2019-01-04,2024-12-18,2175,1712565.44,0.56,5.95,Very High Repeat,Highly Loyal,Government,Manufacturing,North,1,71.43,63.31,68.18,Protect relationship and introduce premium loyalty benefits,107
C0343,40,68419201.6,2019-02-28,2024-11-21,2093,1710480.04,0.58,5.73,Very High Repeat,Highly Loyal,Corporate,Construction,West,1,71.43,63.23,68.15,Protect relationship and introduce premium loyalty benefits,108
C0099,44,56469516.0,2019-01-10,2024-12-26,2177,1283398.09,0.62,5.96,Very High Repeat,Loyal,Fleet Owner,Rental,South,4,78.57,52.19,68.02,Maintain engagement and encourage higher-value purchases,109
C0062,36,78963082.0,2019-03-18,2024-10-31,2054,2193418.94,0.53,5.62,High Repeat,Loyal,Dealer,Construction,South,1,64.29,72.98,67.76,Maintain engagement and encourage higher-value purchases,110
C0379,41,64194052.6,2019-03-29,2024-12-15,2088,1565708.6,0.6,5.72,Very High Repeat,Loyal,Retail,Mining,West,3,73.21,59.33,67.66,Maintain engagement and encourage higher-value purchases,111
C0414,40,66316815.6,2019-02-16,2024-12-31,2145,1657920.39,0.57,5.87,Very High Repeat,Loyal,Dealer,Construction,South,4,71.43,61.29,67.37,Maintain engagement and encourage higher-value purchases,112
C0063,38,72065344.4,2019-02-28,2024-12-19,2121,1896456.43,0.55,5.81,High Repeat,Loyal,Retail,Rental,North,5,67.86,66.6,67.36,Maintain engagement and encourage higher-value purchases,113
C0006,40,65482805.4,2019-06-05,2024-09-02,1916,1637070.14,0.64,5.25,Very High Repeat,Loyal,Government,Construction,West,3,71.43,60.52,67.07,Maintain engagement and encourage higher-value purchases,114
C0413,41,62380011.4,2019-02-06,2024-11-08,2102,1521463.69,0.59,5.75,Very High Repeat,Loyal,Fleet Owner,Manufacturing,South,1,73.21,57.65,66.99,Maintain engagement and encourage higher-value purchases,115
C0211,42,59389779.2,2019-03-06,2024-11-20,2086,1414042.36,0.61,5.71,Very High Repeat,Loyal,Fleet Owner,Manufacturing,South,1,75.0,54.89,66.96,Maintain engagement and encourage higher-value purchases,116
C0443,40,64951558.8,2019-03-27,2024-11-18,2063,1623788.97,0.59,5.65,Very High Repeat,Loyal,Dealer,Infrastructure,East,1,71.43,60.03,66.87,Maintain engagement and encourage higher-value purchases,117
C0280,42,59078520.8,2019-01-12,2024-11-05,2124,1406631.45,0.6,5.82,Very High Repeat,Loyal,Corporate,Construction,West,4,75.0,54.6,66.84,Maintain engagement and encourage higher-value purchases,118
C0247,39,67759559.6,2019-02-14,2024-11-13,2099,1737424.61,0.57,5.75,High Repeat,Loyal,Corporate,Logistics,East,2,69.64,62.62,66.84,Maintain engagement and encourage higher-value purchases,119
C0129,36,76393252.6,2019-01-06,2024-10-31,2125,2122034.79,0.52,5.82,High Repeat,Loyal,Corporate,Mining,North,5,64.29,70.6,66.81,Maintain engagement and encourage higher-value purchases,120
C0369,40,64656844.2,2019-01-26,2024-12-13,2148,1616421.1,0.57,5.88,Very High Repeat,Loyal,Government,Manufacturing,West,1,71.43,59.76,66.76,Maintain engagement and encourage higher-value purchases,121
C0025,38,70349653.0,2019-01-29,2024-08-18,2028,1851306.66,0.57,5.55,High Repeat,Loyal,Corporate,Infrastructure,West,2,67.86,65.02,66.72,Maintain engagement and encourage higher-value purchases,122
C0269,41,61642030.4,2019-01-12,2024-11-22,2141,1503464.16,0.58,5.86,Very High Repeat,Loyal,Government,Mining,South,1,73.21,56.97,66.72,Maintain engagement and encourage higher-value purchases,123
C0373,38,69753317.8,2019-04-03,2024-09-02,1979,1835613.63,0.58,5.42,High Repeat,Loyal,Corporate,Manufacturing,South,3,67.86,64.47,66.5,Maintain engagement and encourage higher-value purchases,124
C0421,38,69466242.8,2019-04-06,2024-06-21,1903,1828059.02,0.61,5.21,High Repeat,Loyal,Retail,Construction,South,3,67.86,64.2,66.39,Maintain engagement and encourage higher-value purchases,125
C0246,35,77080113.6,2019-01-26,2024-11-02,2107,2202288.96,0.51,5.77,High Repeat,Loyal,Retail,Manufacturing,North,2,62.5,71.24,66.0,Maintain engagement and encourage higher-value purchases,126
C0040,43,53757984.6,2019-02-23,2024-12-21,2128,1250185.69,0.62,5.83,Very High Repeat,Loyal,Government,Logistics,North,2,76.79,49.68,65.94,Maintain engagement and encourage higher-value purchases,127
C0080,42,56541324.2,2019-02-20,2024-11-03,2083,1346222.0,0.61,5.7,Very High Repeat,Loyal,Retail,Mining,South,1,75.0,52.26,65.9,Maintain engagement and encourage higher-value purchases,128
C0152,40,62249804.2,2019-03-10,2024-11-18,2080,1556245.1,0.59,5.69,Very High Repeat,Loyal,Corporate,Manufacturing,South,2,71.43,57.53,65.87,Maintain engagement and encourage higher-value purchases,129
