customer_id,customer_type,industry_segment,region,last_purchase_date,recency_days,delivered_order_count,frequency,total_revenue,monetary,R_score,F_score,M_score,RFM_score,RFM_total_score,customer_segment,customer_priority_score,customer_priority_class,customer_priority_rank
C0273,Dealer,Manufacturing,East,2024-12-31,1,37,37,60830001.0,60830001.0,5,4,4,544,13,Champions,88.0,Critical Priority,50
C0099,Fleet Owner,Rental,South,2024-12-26,6,44,44,56469516.0,56469516.0,5,5,3,553,13,Loyal Customers,88.0,Critical Priority,51
C0206,Retail,Construction,West,2024-12-11,21,40,40,89674652.2,89674652.2,4,4,5,445,13,Champions,86.0,Critical Priority,52
C0272,Government,Construction,North,2024-12-13,19,39,39,75550922.6,75550922.6,4,4,5,445,13,Champions,86.0,Critical Priority,53
C0253,Retail,Rental,West,2024-11-27,35,39,39,72946151.6,72946151.6,4,4,5,445,13,Champions,86.0,Critical Priority,54
C0186,Fleet Owner,Infrastructure,East,2024-12-11,21,40,40,70676837.0,70676837.0,4,4,5,445,13,Champions,86.0,Critical Priority,55
C0374,Corporate,Manufacturing,West,2024-12-10,22,41,41,68389697.6,68389697.6,4,5,4,454,13,Champions,86.0,Critical Priority,56
C0425,Dealer,Manufacturing,South,2024-12-09,23,41,41,67882732.6,67882732.6,4,5,4,454,13,Champions,86.0,Critical Priority,57
C0010,Dealer,Construction,South,2024-11-27,35,46,46,63051038.4,63051038.4,4,5,4,454,13,Champions,86.0,Critical Priority,58
C0327,Retail,Mining,West,2024-12-06,26,43,43,61017008.6,61017008.6,4,5,4,454,13,Champions,86.0,Critical Priority,59
C0495,Fleet Owner,Infrastructure,North,2024-11-25,37,48,48,94540537.6,94540537.6,3,5,5,355,13,Loyal Customers,84.0,Critical Priority,60
C0240,Corporate,Manufacturing,South,2024-11-10,52,46,46,92835709.4,92835709.4,3,5,5,355,13,Loyal Customers,84.0,Critical Priority,61
C0420,Retail,Rental,South,2024-11-22,40,46,46,92482888.8,92482888.8,3,5,5,355,13,Loyal Customers,84.0,Critical Priority,62
C0134,Fleet Owner,Infrastructure,West,2024-11-24,38,48,48,85243025.2,85243025.2,3,5,5,355,13,Loyal Customers,84.0,Critical Priority,63
C0462,Retail,Logistics,South,2024-11-13,49,49,49,82777824.6,82777824.6,3,5,5,355,13,Loyal Customers,84.0,Critical Priority,64
C0060,Dealer,Mining,South,2024-11-24,38,44,44,77163010.4,77163010.4,3,5,5,355,13,Loyal Customers,84.0,Critical Priority,65
C0468,Fleet Owner,Rental,South,2024-11-10,52,49,49,75254807.6,75254807.6,3,5,5,355,13,Loyal Customers,84.0,Critical Priority,66
C0307,Dealer,Manufacturing,West,2024-11-24,38,42,42,73655534.6,73655534.6,3,5,5,355,13,Loyal Customers,84.0,Critical Priority,67
C0242,Government,Construction,South,2024-11-18,44,47,47,73225487.6,73225487.6,3,5,5,355,13,Loyal Customers,84.0,Critical Priority,68
C0255,Retail,Infrastructure,South,2024-11-11,51,45,45,71144094.2,71144094.2,3,5,5,355,13,Loyal Customers,84.0,Critical Priority,69
C0160,Retail,Rental,West,2024-11-23,39,44,44,70762190.2,70762190.2,3,5,5,355,13,Loyal Customers,84.0,Critical Priority,70
C0329,Dealer,Infrastructure,Central,2024-12-26,6,36,36,64307436.8,64307436.8,5,3,4,534,12,Potential Loyalists,82.0,Critical Priority,71
C0302,Fleet Owner,Mining,West,2024-12-24,8,36,36,63607092.0,63607092.0,5,3,4,534,12,Potential Loyalists,82.0,Critical Priority,72
C0217,Corporate,Infrastructure,North,2024-12-18,14,36,36,61360958.2,61360958.2,5,3,4,534,12,Potential Loyalists,82.0,Critical Priority,73
C0481,Corporate,Logistics,South,2024-12-31,1,39,39,60397194.2,60397194.2,5,4,3,543,12,Loyal Customers,82.0,Critical Priority,74
C0219,Government,Manufacturing,West,2024-12-21,11,39,39,59976015.0,59976015.0,5,4,3,543,12,Loyal Customers,82.0,Critical Priority,75
C0399,Fleet Owner,Rental,South,2024-12-25,7,39,39,59287998.0,59287998.0,5,4,3,543,12,Loyal Customers,82.0,Critical Priority,76
C0017,Government,Infrastructure,South,2024-12-21,11,39,39,59194497.0,59194497.0,5,4,3,543,12,Loyal Customers,82.0,Critical Priority,77
C0232,Government,Mining,South,2024-12-29,3,37,37,57544368.0,57544368.0,5,4,3,543,12,Loyal Customers,82.0,Critical Priority,78
C0058,Retail,Infrastructure,West,2024-12-24,8,40,40,56831525.0,56831525.0,5,4,3,543,12,Loyal Customers,82.0,Critical Priority,79
C0354,Corporate,Logistics,South,2024-12-25,7,37,37,56690884.8,56690884.8,5,4,3,543,12,Loyal Customers,82.0,Critical Priority,80
C0040,Government,Logistics,North,2024-12-21,11,43,43,53757984.6,53757984.6,5,5,2,552,12,Regular Customers,82.0,Critical Priority,81
C0377,Dealer,Logistics,West,2024-12-07,25,37,37,68519191.2,68519191.2,4,4,4,444,12,Champions,80.0,Critical Priority,82
C0193,Dealer,Infrastructure,West,2024-11-30,32,38,38,67795348.0,67795348.0,4,4,4,444,12,Champions,80.0,Critical Priority,83
C0488,Government,Construction,South,2024-11-26,36,37,37,67251532.8,67251532.8,4,4,4,444,12,Champions,80.0,Critical Priority,84
C0471,Fleet Owner,Logistics,West,2024-11-27,35,37,37,65501994.2,65501994.2,4,4,4,444,12,Champions,80.0,Critical Priority,85
C0149,Government,Manufacturing,West,2024-12-12,20,38,38,65235052.4,65235052.4,4,4,4,444,12,Champions,80.0,Critical Priority,86
C0369,Government,Manufacturing,West,2024-12-13,19,40,40,64656844.2,64656844.2,4,4,4,444,12,Champions,80.0,Critical Priority,87
C0396,Government,Manufacturing,West,2024-12-07,25,38,38,64506474.4,64506474.4,4,4,4,444,12,Champions,80.0,Critical Priority,88
C0333,Corporate,Mining,South,2024-12-02,30,39,39,63220923.0,63220923.0,4,4,4,444,12,Champions,80.0,Critical Priority,89
C0499,Corporate,Construction,East,2024-11-29,33,39,39,62785837.0,62785837.0,4,4,4,444,12,Champions,80.0,Critical Priority,90
C0039,Fleet Owner,Rental,South,2024-11-28,34,38,38,62706510.2,62706510.2,4,4,4,444,12,Champions,80.0,Critical Priority,91
C0328,Government,Rental,East,2024-12-05,27,37,37,62646507.6,62646507.6,4,4,4,444,12,Champions,80.0,Critical Priority,92
C0300,Dealer,Mining,North,2024-11-18,44,40,40,72746205.0,72746205.0,3,4,5,345,12,Loyal Customers,78.0,High Priority,93
C0394,Government,Construction,South,2024-11-21,41,40,40,69936379.2,69936379.2,3,4,5,345,12,Loyal Customers,78.0,High Priority,94
C0383,Fleet Owner,Infrastructure,North,2024-11-19,43,41,41,68192154.0,68192154.0,3,5,4,354,12,Loyal Customers,78.0,High Priority,95
C0209,Corporate,Infrastructure,East,2024-11-22,40,44,44,65445658.4,65445658.4,3,5,4,354,12,Loyal Customers,78.0,High Priority,96
C0275,Fleet Owner,Construction,West,2024-11-06,56,45,45,64270295.0,64270295.0,3,5,4,354,12,Loyal Customers,78.0,High Priority,97
C0467,Retail,Construction,North,2024-11-06,56,48,48,62880162.4,62880162.4,3,5,4,354,12,Loyal Customers,78.0,High Priority,98
C0413,Fleet Owner,Manufacturing,South,2024-11-08,54,41,41,62380011.4,62380011.4,3,5,4,354,12,Loyal Customers,78.0,High Priority,99
C0288,Dealer,Infrastructure,North,2024-10-18,75,55,55,97218403.8,97218403.8,2,5,5,255,12,At Risk High Value,76.0,High Priority,100
C0083,Dealer,Infrastructure,North,2024-10-04,89,45,45,89672688.2,89672688.2,2,5,5,255,12,At Risk High Value,76.0,High Priority,101
C0254,Dealer,Mining,West,2024-09-25,98,48,48,89556446.6,89556446.6,2,5,5,255,12,At Risk High Value,76.0,High Priority,102
C0207,Corporate,Rental,East,2024-10-13,80,45,45,87068691.0,87068691.0,2,5,5,255,12,At Risk High Value,76.0,High Priority,103
C0440,Retail,Manufacturing,South,2024-10-21,72,44,44,82426773.6,82426773.6,2,5,5,255,12,At Risk High Value,76.0,High Priority,104
C0371,Retail,Rental,South,2024-11-02,60,47,47,82052808.0,82052808.0,2,5,5,255,12,At Risk High Value,76.0,High Priority,105
C0375,Fleet Owner,Mining,West,2024-11-03,59,42,42,81286325.6,81286325.6,2,5,5,255,12,At Risk High Value,76.0,High Priority,106
C0076,Government,Mining,South,2024-10-06,87,45,45,80026994.2,80026994.2,2,5,5,255,12,At Risk High Value,76.0,High Priority,107
C0380,Fleet Owner,Manufacturing,South,2024-11-03,59,50,50,77887431.8,77887431.8,2,5,5,255,12,At Risk High Value,76.0,High Priority,108
C0197,Government,Manufacturing,West,2024-10-18,75,47,47,77464617.6,77464617.6,2,5,5,255,12,At Risk High Value,76.0,High Priority,109
C0013,Dealer,Construction,West,2024-10-27,66,44,44,76843692.4,76843692.4,2,5,5,255,12,At Risk High Value,76.0,High Priority,110
C0005,Dealer,Construction,West,2024-10-04,89,45,45,74996415.4,74996415.4,2,5,5,255,12,At Risk High Value,76.0,High Priority,111
C0237,Dealer,Infrastructure,South,2024-10-15,78,44,44,74820743.4,74820743.4,2,5,5,255,12,At Risk High Value,76.0,High Priority,112
C0435,Dealer,Manufacturing,South,2024-11-01,61,50,50,73908258.2,73908258.2,2,5,5,255,12,At Risk High Value,76.0,High Priority,113
C0032,Government,Logistics,West,2024-10-25,68,44,44,71991263.0,71991263.0,2,5,5,255,12,At Risk High Value,76.0,High Priority,114
C0196,Fleet Owner,Rental,North East,2024-10-28,65,48,48,71291851.6,71291851.6,2,5,5,255,12,At Risk High Value,76.0,High Priority,115
C0429,Fleet Owner,Logistics,West,2024-10-21,72,42,42,69444114.2,69444114.2,2,5,5,255,12,At Risk High Value,76.0,High Priority,116
C0234,Corporate,Infrastructure,West,2024-12-26,6,29,29,72295152.4,72295152.4,5,1,5,515,11,Regular Customers,76.0,High Priority,117
C0128,Retail,Mining,West,2024-12-18,14,33,33,69172996.2,69172996.2,5,2,4,524,11,Potential Loyalists,76.0,High Priority,118
C0168,Dealer,Infrastructure,West,2024-12-18,14,34,34,64028787.0,64028787.0,5,2,4,524,11,Potential Loyalists,76.0,High Priority,119
C0138,Corporate,Mining,South,2024-12-25,7,34,34,62582651.4,62582651.4,5,2,4,524,11,Potential Loyalists,76.0,High Priority,120
C0447,Fleet Owner,Rental,East,2024-12-23,9,33,33,61334243.8,61334243.8,5,2,4,524,11,Potential Loyalists,76.0,High Priority,121
C0026,Fleet Owner,Mining,North,2024-12-29,3,36,36,60554977.0,60554977.0,5,3,3,533,11,Promising Customers,76.0,High Priority,122
C0286,Dealer,Construction,South,2024-12-29,3,36,36,60273490.2,60273490.2,5,3,3,533,11,Promising Customers,76.0,High Priority,123
C0081,Corporate,Rental,West,2024-12-23,9,37,37,56355210.0,56355210.0,5,3,3,533,11,Promising Customers,76.0,High Priority,124
C0190,Retail,Manufacturing,North,2024-12-29,3,35,35,56351528.4,56351528.4,5,3,3,533,11,Promising Customers,76.0,High Priority,125
C0098,Corporate,Mining,East,2024-12-18,14,35,35,56088743.0,56088743.0,5,3,3,533,11,Promising Customers,76.0,High Priority,126
C0407,Dealer,Logistics,South,2024-12-25,7,38,38,54609453.4,54609453.4,5,4,2,542,11,Regular Customers,76.0,High Priority,127
C0188,Corporate,Logistics,West,2024-12-27,5,39,39,54387524.8,54387524.8,5,4,2,542,11,Regular Customers,76.0,High Priority,128
C0027,Fleet Owner,Logistics,West,2024-12-26,6,39,39,54309976.4,54309976.4,5,4,2,542,11,Regular Customers,76.0,High Priority,129
C0393,Retail,Rental,East,2024-12-18,14,39,39,51240981.8,51240981.8,5,4,2,542,11,Regular Customers,76.0,High Priority,130
C0458,Dealer,Manufacturing,West,2024-12-28,4,38,38,50799400.6,50799400.6,5,4,2,542,11,Regular Customers,76.0,High Priority,131
C0074,Fleet Owner,Infrastructure,East,2024-12-31,1,39,39,50426138.6,50426138.6,5,4,2,542,11,Regular Customers,76.0,High Priority,132
C0087,Government,Logistics,South,2024-12-17,15,39,39,50370513.4,50370513.4,5,4,2,542,11,Regular Customers,76.0,High Priority,133
C0496,Government,Infrastructure,East,2024-12-27,5,37,37,48190097.0,48190097.0,5,4,2,542,11,Regular Customers,76.0,High Priority,134
C0482,Fleet Owner,Logistics,East,2024-12-03,29,31,31,73762403.2,73762403.2,4,2,5,425,11,Potential Loyalists,74.0,High Priority,135
C0166,Fleet Owner,Manufacturing,West,2024-12-08,24,32,32,69504759.6,69504759.6,4,2,5,425,11,Potential Loyalists,74.0,High Priority,136
C0448,Fleet Owner,Logistics,East,2024-12-11,21,36,36,68495840.4,68495840.4,4,3,4,434,11,Potential Loyalists,74.0,High Priority,137
C0340,Government,Mining,South,2024-12-04,28,35,35,63532821.6,63532821.6,4,3,4,434,11,Potential Loyalists,74.0,High Priority,138
C0054,Fleet Owner,Manufacturing,South,2024-12-14,18,37,37,63424926.8,63424926.8,4,3,4,434,11,Potential Loyalists,74.0,High Priority,139
C0455,Retail,Logistics,Central,2024-11-27,35,35,35,63287015.4,63287015.4,4,3,4,434,11,Potential Loyalists,74.0,High Priority,140
C0410,Corporate,Mining,South,2024-11-27,35,39,39,59804309.8,59804309.8,4,4,3,443,11,Loyal Customers,74.0,High Priority,141
C0068,Retail,Mining,North,2024-12-06,26,39,39,57372766.4,57372766.4,4,4,3,443,11,Loyal Customers,74.0,High Priority,142
C0172,Dealer,Manufacturing,South,2024-11-27,35,37,37,57323600.2,57323600.2,4,4,3,443,11,Loyal Customers,74.0,High Priority,143
C0105,Government,Logistics,North,2024-11-26,36,41,41,57202879.8,57202879.8,4,4,3,443,11,Loyal Customers,74.0,High Priority,144
C0222,Fleet Owner,Logistics,North,2024-12-13,19,41,41,57177978.6,57177978.6,4,4,3,443,11,Loyal Customers,74.0,High Priority,145
C0285,Government,Infrastructure,West,2024-12-05,27,47,47,54036327.8,54036327.8,4,5,2,452,11,Regular Customers,74.0,High Priority,146
C0427,Corporate,Mining,West,2024-11-26,36,41,41,53149424.199999996,53149424.199999996,4,5,2,452,11,Regular Customers,74.0,High Priority,147
C0123,Corporate,Infrastructure,East,2024-11-04,58,36,36,70019319.0,70019319.0,3,3,5,335,11,Promising Customers,72.0,High Priority,148
C0343,Corporate,Construction,West,2024-11-21,41,40,40,68419201.6,68419201.6,3,4,4,344,11,Loyal Customers,72.0,High Priority,149
C0247,Corporate,Logistics,East,2024-11-13,49,39,39,67759559.60000001,67759559.60000001,3,4,4,344,11,Loyal Customers,72.0,High Priority,150
C0422,Government,Construction,South,2024-11-04,58,37,37,65678984.2,65678984.2,3,4,4,344,11,Loyal Customers,72.0,High Priority,151
C0312,Government,Construction,West,2024-11-17,45,37,37,65437706.6,65437706.6,3,4,4,344,11,Loyal Customers,72.0,High Priority,152
C0443,Dealer,Infrastructure,East,2024-11-18,44,40,40,64951558.8,64951558.8,3,4,4,344,11,Loyal Customers,72.0,High Priority,153
C0152,Corporate,Manufacturing,South,2024-11-18,44,40,40,62249804.2,62249804.2,3,4,4,344,11,Loyal Customers,72.0,High Priority,154
C0216,Government,Mining,East,2024-11-20,42,39,39,62009378.6,62009378.6,3,4,4,344,11,Loyal Customers,72.0,High Priority,155
C0269,Government,Mining,South,2024-11-22,40,41,41,61642030.4,61642030.4,3,4,4,344,11,Loyal Customers,72.0,High Priority,156
C0211,Fleet Owner,Manufacturing,South,2024-11-20,42,42,42,59389779.2,59389779.2,3,5,3,353,11,Loyal Customers,72.0,High Priority,157
C0280,Corporate,Construction,West,2024-11-05,57,42,42,59078520.8,59078520.8,3,5,3,353,11,Loyal Customers,72.0,High Priority,158
C0080,Retail,Mining,South,2024-11-03,59,42,42,56541324.2,56541324.2,3,5,3,353,11,Loyal Customers,72.0,High Priority,159
C0124,Dealer,Construction,West,2024-11-04,58,42,42,54870405.8,54870405.8,3,5,3,353,11,Loyal Customers,72.0,High Priority,160
C0042,Fleet Owner,Rental,South,2024-10-13,80,41,41,73882726.2,73882726.2,2,4,5,245,11,At Risk High Value,70.0,High Priority,161
C0241,Government,Construction,West,2024-10-31,62,39,39,73396972.0,73396972.0,2,4,5,245,11,At Risk High Value,70.0,High Priority,162
C0169,Fleet Owner,Construction,West,2024-10-27,66,40,40,69450095.6,69450095.6,2,4,5,245,11,At Risk High Value,70.0,High Priority,163
C0119,Government,Manufacturing,West,2024-10-26,67,51,51,67143205.2,67143205.2,2,5,4,254,11,At Risk High Value,70.0,High Priority,164
C0409,Government,Logistics,West,2024-10-09,84,45,45,60821412.6,60821412.6,2,5,4,254,11,At Risk High Value,70.0,High Priority,165
C0146,Retail,Mining,West,2024-12-31,1,30,30,61245406.2,61245406.2,5,1,4,514,10,Regular Customers,70.0,High Priority,166
C0355,Government,Infrastructure,South,2024-12-18,14,32,32,58903770.4,58903770.4,5,2,3,523,10,Regular Customers,70.0,High Priority,167
C0023,Corporate,Mining,South,2024-12-27,5,32,32,58217713.2,58217713.2,5,2,3,523,10,Regular Customers,70.0,High Priority,168
C0077,Corporate,Mining,North,2024-12-16,16,34,34,57865492.6,57865492.6,5,2,3,523,10,Regular Customers,70.0,High Priority,169
C0059,Retail,Manufacturing,South,2024-12-20,12,32,32,56859509.4,56859509.4,5,2,3,523,10,Regular Customers,70.0,High Priority,170
C0195,Fleet Owner,Logistics,East,2024-12-28,4,31,31,56797913.6,56797913.6,5,2,3,523,10,Regular Customers,70.0,High Priority,171
C0111,Corporate,Construction,South,2024-12-16,16,33,33,55916542.2,55916542.2,5,2,3,523,10,Regular Customers,70.0,High Priority,172
C0157,Dealer,Infrastructure,North,2024-12-30,2,34,34,55572804.4,55572804.4,5,2,3,523,10,Regular Customers,70.0,High Priority,173
C0370,Corporate,Infrastructure,East,2024-12-18,14,36,36,53881174.6,53881174.6,5,3,2,532,10,Regular Customers,70.0,High Priority,174
C0320,Retail,Construction,North,2024-12-30,2,34,34,53574056.6,53574056.6,5,3,2,532,10,Regular Customers,70.0,High Priority,175
C0181,Government,Construction,West,2024-12-15,17,36,36,53087081.0,53087081.0,5,3,2,532,10,Regular Customers,70.0,High Priority,176
C0323,Government,Manufacturing,West,2024-12-22,10,36,36,50291498.8,50291498.8,5,3,2,532,10,Regular Customers,70.0,High Priority,177
C0439,Dealer,Construction,South,2024-12-22,10,36,36,47576062.0,47576062.0,5,3,2,532,10,Regular Customers,70.0,High Priority,178
C0110,Dealer,Logistics,Central,2024-06-21,194,42,42,90807306.0,90807306.0,1,5,5,155,11,At Risk High Value,68.0,High Priority,179
C0221,Dealer,Logistics,North,2024-09-05,118,44,44,82001959.0,82001959.0,1,5,5,155,11,At Risk High Value,68.0,High Priority,180
C0154,Fleet Owner,Logistics,North,2024-08-21,133,45,45,74171590.6,74171590.6,1,5,5,155,11,At Risk High Value,68.0,High Priority,181
C0002,Fleet Owner,Manufacturing,South,2024-09-07,116,51,51,71712838.0,71712838.0,1,5,5,155,11,At Risk High Value,68.0,High Priority,182
C0489,Fleet Owner,Rental,South,2024-08-17,137,47,47,70625273.0,70625273.0,1,5,5,155,11,At Risk High Value,68.0,High Priority,183
C0311,Government,Infrastructure,North,2024-09-17,106,41,41,69331648.2,69331648.2,1,5,5,155,11,At Risk High Value,68.0,High Priority,184
C0261,Dealer,Manufacturing,North,2024-12-06,26,33,33,62999554.6,62999554.6,4,2,4,424,10,Potential Loyalists,68.0,High Priority,185
C0065,Corporate,Mining,West,2024-12-12,20,36,36,59751563.6,59751563.6,4,3,3,433,10,Promising Customers,68.0,High Priority,186
C0093,Dealer,Manufacturing,South,2024-12-01,31,36,36,57944235.8,57944235.8,4,3,3,433,10,Promising Customers,68.0,High Priority,187
C0398,Government,Rental,South,2024-12-02,30,35,35,57843305.6,57843305.6,4,3,3,433,10,Promising Customers,68.0,High Priority,188
C0038,Fleet Owner,Rental,North,2024-11-29,33,36,36,57808311.2,57808311.2,4,3,3,433,10,Promising Customers,68.0,High Priority,189
C0436,Fleet Owner,Logistics,East,2024-12-15,17,34,34,57784314.2,57784314.2,4,3,3,433,10,Promising Customers,68.0,High Priority,190
C0426,Dealer,Infrastructure,North East,2024-12-03,29,35,35,57207251.0,57207251.0,4,3,3,433,10,Promising Customers,68.0,High Priority,191
C0052,Government,Manufacturing,North East,2024-12-11,21,35,35,56612172.2,56612172.2,4,3,3,433,10,Promising Customers,68.0,High Priority,192
C0287,Dealer,Manufacturing,South,2024-11-27,35,36,36,55179366.6,55179366.6,4,3,3,433,10,Promising Customers,68.0,High Priority,193
C0148,Government,Construction,South,2024-12-09,23,35,35,54884128.4,54884128.4,4,3,3,433,10,Promising Customers,68.0,High Priority,194
C0141,Corporate,Rental,West,2024-11-15,47,36,36,66220737.2,66220737.2,3,3,4,334,10,Promising Customers,66.0,High Priority,195
C0492,Dealer,Rental,East,2024-11-05,57,35,35,61798115.2,61798115.2,3,3,4,334,10,Promising Customers,66.0,High Priority,196
C0189,Government,Manufacturing,South,2024-11-11,51,35,35,61121980.8,61121980.8,3,3,4,334,10,Promising Customers,66.0,High Priority,197
