customer_id,customer_type,industry_segment,region,delivered_order_count,total_revenue,average_order_value,unique_sales_channels,preferred_sales_channel,preferred_channel_orders,preferred_channel_revenue,preferred_channel_revenue_share_pct,channel_diversification_class,channel_preference_class
C0050,Dealer,Mining,East,27,56151044.8,2079668.3259259257,4,Field Sales,10,19554015.6,34.82,Multi-Channel Customer,No Sales
C0051,Retail,Infrastructure,North,36,59420710.4,1650575.288888889,4,Dealer Network,11,21283580.8,35.82,Multi-Channel Customer,Dealer Network Preferred
C0052,Government,Manufacturing,North East,35,56612172.2,1617490.6342857145,4,Counter Sale,8,19836844.4,35.04,Multi-Channel Customer,Counter Sale Preferred
C0053,Fleet Owner,Construction,North,27,45016037.4,1667260.6444444444,4,Online,5,16109499.2,35.79,Multi-Channel Customer,Online Preferred
C0054,Fleet Owner,Manufacturing,South,37,63424926.8,1714187.2108108108,4,Online,13,23461035.8,36.99,Multi-Channel Customer,Online Preferred
C0055,Dealer,Construction,North,32,59056095.2,1845502.975,4,Dealer Network,10,18654453.0,31.59,Multi-Channel Customer,Dealer Network Preferred
C0056,Dealer,Mining,North,36,60885469.8,1691263.0499999998,4,Field Sales,9,21185644.8,34.8,Multi-Channel Customer,No Sales
C0057,Retail,Logistics,East,32,49701788.6,1553180.89375,4,Field Sales,14,18276774.0,36.77,Multi-Channel Customer,No Sales
C0058,Retail,Infrastructure,West,40,56831525.0,1420788.125,4,Dealer Network,11,17891759.2,31.48,Multi-Channel Customer,Dealer Network Preferred
C0059,Retail,Manufacturing,South,32,56859509.4,1776859.66875,4,Online,10,19722731.0,34.69,Multi-Channel Customer,Online Preferred
C0060,Dealer,Mining,South,44,77163010.4,1753704.781818182,4,Dealer Network,12,23361555.6,30.28,Multi-Channel Customer,Dealer Network Preferred
C0061,Dealer,Construction,West,29,33890240.0,1168628.9655172413,4,Counter Sale,10,13951601.0,41.17,Multi-Channel Customer,Counter Sale Preferred
C0062,Dealer,Construction,South,36,78963082.0,2193418.9444444445,4,Dealer Network,10,34651653.199999996,43.88,Multi-Channel Customer,Dealer Network Preferred
C0063,Retail,Rental,North,38,72065344.4,1896456.4315789475,4,Counter Sale,11,28376161.8,39.38,Multi-Channel Customer,Counter Sale Preferred
C0064,Corporate,Manufacturing,North,32,57893888.0,1809184.0,4,Dealer Network,12,21604848.0,37.32,Multi-Channel Customer,Dealer Network Preferred
C0065,Corporate,Mining,West,36,59751563.6,1659765.6555555556,4,Dealer Network,14,25071323.2,41.96,Multi-Channel Customer,Dealer Network Preferred
C0066,Retail,Manufacturing,Central,32,54037060.800000004,1688658.1500000001,4,Counter Sale,10,18266774.6,33.8,Multi-Channel Customer,Counter Sale Preferred
C0067,Retail,Manufacturing,West,31,55575120.6,1792745.8258064517,4,Dealer Network,9,21168760.8,38.09,Multi-Channel Customer,Dealer Network Preferred
C0068,Retail,Mining,North,39,57372766.4,1471096.5743589744,4,Field Sales,14,27773060.0,48.41,Multi-Channel Customer,No Sales
C0069,Dealer,Logistics,North,47,77108269.8,1640601.485106383,4,Dealer Network,16,27235501.0,35.32,Multi-Channel Customer,Dealer Network Preferred
C0070,Government,Logistics,West,41,76883391.4,1875204.668292683,4,Field Sales,12,29710133.8,38.64,Multi-Channel Customer,No Sales
C0071,Corporate,Rental,North,42,72076738.0,1716112.8095238095,4,Field Sales,10,25559639.0,35.46,Multi-Channel Customer,No Sales
C0072,Government,Logistics,West,26,55369763.0,2129606.269230769,4,Dealer Network,6,17905813.6,32.34,Multi-Channel Customer,Dealer Network Preferred
C0073,Corporate,Rental,North,32,56970903.6,1780340.7375,4,Online,10,24226573.8,42.52,Multi-Channel Customer,Online Preferred
C0074,Fleet Owner,Infrastructure,East,39,50426138.6,1292977.912820513,4,Dealer Network,9,16056012.200000001,31.84,Multi-Channel Customer,Dealer Network Preferred
C0075,Retail,Mining,South,33,50186853.4,1520813.7393939393,4,Counter Sale,11,17170588.6,34.21,Multi-Channel Customer,Counter Sale Preferred
C0076,Government,Mining,South,45,80026994.2,1778377.648888889,4,Dealer Network,13,26485648.6,33.1,Multi-Channel Customer,Dealer Network Preferred
C0077,Corporate,Mining,North,34,57865492.6,1701926.2529411765,4,Field Sales,13,21347305.8,36.89,Multi-Channel Customer,No Sales
C0078,Dealer,Rental,South,31,42565724.6,1373087.8903225807,4,Online,5,13303612.8,31.25,Multi-Channel Customer,Online Preferred
C0079,Retail,Rental,North,31,47175266.2,1521782.7806451614,4,Field Sales,8,14164024.8,30.02,Multi-Channel Customer,No Sales
C0080,Retail,Mining,South,42,56541324.2,1346222.004761905,4,Online,15,24603043.8,43.51,Multi-Channel Customer,Online Preferred
C0081,Corporate,Rental,West,37,56355210.0,1523113.7837837837,4,Field Sales,13,22089813.8,39.2,Multi-Channel Customer,No Sales
C0082,Fleet Owner,Manufacturing,West,46,77500928.6,1684802.7956521737,4,Counter Sale,17,23705564.8,30.59,Multi-Channel Customer,Counter Sale Preferred
C0083,Dealer,Infrastructure,North,45,89672688.2,1992726.4044444445,4,Dealer Network,15,31306767.6,34.91,Multi-Channel Customer,Dealer Network Preferred
C0084,Corporate,Logistics,West,39,73317161.4,1879927.2153846156,4,Field Sales,19,30238196.2,41.24,Multi-Channel Customer,No Sales
C0085,Retail,Mining,South,37,60463527.2,1634149.3837837838,4,Counter Sale,13,22473488.0,37.17,Multi-Channel Customer,Counter Sale Preferred
C0086,Retail,Construction,West,29,59655682.6,2057092.5034482758,4,Online,10,25215413.0,42.27,Multi-Channel Customer,Online Preferred
C0087,Government,Logistics,South,39,50370513.4,1291551.6256410256,4,Counter Sale,9,16152971.8,32.07,Multi-Channel Customer,Counter Sale Preferred
C0088,Corporate,Infrastructure,West,36,57330201.8,1592505.6055555556,4,Counter Sale,12,25195052.8,43.95,Multi-Channel Customer,Counter Sale Preferred
C0089,Corporate,Rental,West,37,47111014.0,1273270.6486486488,4,Counter Sale,12,16586365.2,35.21,Multi-Channel Customer,Counter Sale Preferred
C0090,Government,Infrastructure,North,43,51915256.6,1207331.5488372094,4,Dealer Network,14,16328928.2,31.45,Multi-Channel Customer,Dealer Network Preferred
C0091,Retail,Construction,South,30,39090471.8,1303015.7266666666,4,Dealer Network,7,13319515.4,34.07,Multi-Channel Customer,Dealer Network Preferred
C0092,Fleet Owner,Logistics,West,36,46760586.8,1298905.1888888888,4,Counter Sale,13,20128335.2,43.05,Multi-Channel Customer,Counter Sale Preferred
C0093,Dealer,Manufacturing,South,36,57944235.8,1609562.1055555556,4,Field Sales,11,20925068.0,36.11,Multi-Channel Customer,No Sales
C0094,Corporate,Logistics,West,31,46343009.2,1494935.7806451614,4,Online,8,15407584.0,33.25,Multi-Channel Customer,Online Preferred
C0095,Fleet Owner,Logistics,West,29,55610118.2,1917590.2827586208,4,Online,6,16948158.4,30.48,Multi-Channel Customer,Online Preferred
C0096,Corporate,Construction,South,34,51986858.4,1529025.2470588235,4,Field Sales,14,18522105.8,35.63,Multi-Channel Customer,No Sales
C0097,Corporate,Construction,West,26,47499351.2,1826898.1230769232,4,Field Sales,10,21198269.4,44.63,Multi-Channel Customer,No Sales
C0098,Corporate,Mining,East,35,56088743.0,1602535.5142857144,4,Counter Sale,9,18844962.4,33.6,Multi-Channel Customer,Counter Sale Preferred
C0099,Fleet Owner,Rental,South,44,56469516.0,1283398.0909090908,4,Online,13,19545775.2,34.61,Multi-Channel Customer,Online Preferred
C0100,Government,Construction,North,38,48373950.0,1272998.6842105263,4,Counter Sale,15,20939956.4,43.29,Multi-Channel Customer,Counter Sale Preferred
C0101,Corporate,Logistics,South,38,62629058.6,1648133.1210526316,4,Field Sales,14,26206821.8,41.84,Multi-Channel Customer,No Sales
C0102,Government,Infrastructure,East,34,71864051.2,2113648.564705882,4,Field Sales,9,23444620.8,32.62,Multi-Channel Customer,No Sales
C0103,Dealer,Infrastructure,South,40,75304293.2,1882607.33,4,Field Sales,10,22685889.2,30.13,Multi-Channel Customer,No Sales
C0104,Fleet Owner,Infrastructure,South,34,42120081.4,1238825.9235294117,4,Counter Sale,9,16482303.8,39.13,Multi-Channel Customer,Counter Sale Preferred
C0105,Government,Logistics,North,41,57202879.8,1395192.1902439024,4,Counter Sale,15,22796747.4,39.85,Multi-Channel Customer,Counter Sale Preferred
C0106,Dealer,Infrastructure,Central,39,58339475.8,1495883.9948717947,4,Dealer Network,13,21076370.6,36.13,Multi-Channel Customer,Dealer Network Preferred
C0107,Fleet Owner,Construction,North,49,85196217.6,1738698.318367347,4,Field Sales,18,26550606.6,31.16,Multi-Channel Customer,No Sales
C0108,Corporate,Rental,North,24,31126705.0,1296946.0416666667,4,Dealer Network,7,12079796.2,38.81,Multi-Channel Customer,Dealer Network Preferred
C0109,Retail,Mining,South,44,69451949.0,1578453.3863636365,4,Counter Sale,12,23168826.0,33.36,Multi-Channel Customer,Counter Sale Preferred
C0110,Dealer,Logistics,Central,42,90807306.0,2162078.714285714,4,Dealer Network,15,29999886.8,33.04,Multi-Channel Customer,Dealer Network Preferred
C0111,Corporate,Construction,South,33,55916542.2,1694440.6727272728,4,Dealer Network,14,28027032.2,50.12,Multi-Channel Customer,Dealer Network Preferred
C0112,Fleet Owner,Mining,South,33,46248326.6,1401464.4424242424,4,Field Sales,11,16744383.4,36.21,Multi-Channel Customer,No Sales
C0113,Corporate,Logistics,South,41,78713400.0,1919839.024390244,4,Online,13,25338348.4,32.19,Multi-Channel Customer,Online Preferred
C0114,Retail,Mining,East,33,48515792.8,1470175.5393939393,4,Dealer Network,13,15729885.6,32.42,Multi-Channel Customer,Dealer Network Preferred
C0115,Fleet Owner,Mining,South,29,44357793.6,1529579.0896551725,4,Dealer Network,10,17153986.8,38.67,Multi-Channel Customer,Dealer Network Preferred
C0116,Dealer,Construction,North,35,64081942.6,1830912.6457142858,4,Dealer Network,13,27433326.0,42.81,Multi-Channel Customer,Dealer Network Preferred
C0117,Government,Mining,North East,31,38951277.4,1256492.8193548387,4,Dealer Network,9,12509080.2,32.11,Multi-Channel Customer,Dealer Network Preferred
C0118,Retail,Rental,South,32,41835680.2,1307365.00625,4,Dealer Network,11,16812260.0,40.19,Multi-Channel Customer,Dealer Network Preferred
C0119,Government,Manufacturing,West,51,67143205.2,1316533.4352941178,4,Dealer Network,21,27815643.0,41.43,Multi-Channel Customer,Dealer Network Preferred
C0120,Fleet Owner,Construction,South,34,50313583.0,1479811.2647058824,4,Field Sales,14,20046812.8,39.84,Multi-Channel Customer,No Sales
C0121,Government,Construction,West,34,47029566.199999996,1383222.5352941174,4,Dealer Network,11,18528233.0,39.4,Multi-Channel Customer,Dealer Network Preferred
C0122,Dealer,Rental,North East,31,48051119.4,1550036.1096774193,4,Field Sales,11,20926264.6,43.55,Multi-Channel Customer,No Sales
C0123,Corporate,Infrastructure,East,36,70019319.0,1944981.0833333333,4,Dealer Network,10,25484967.8,36.4,Multi-Channel Customer,Dealer Network Preferred
C0124,Dealer,Construction,West,42,54870405.8,1306438.2333333332,4,Field Sales,17,20437698.8,37.25,Multi-Channel Customer,No Sales
C0125,Government,Mining,West,30,31904862.6,1063495.4200000002,4,Counter Sale,11,13021774.2,40.81,Multi-Channel Customer,Counter Sale Preferred
C0126,Dealer,Manufacturing,South,33,64059034.8,1941182.8727272726,4,Counter Sale,7,22713660.400000002,35.46,Multi-Channel Customer,Counter Sale Preferred
C0127,Government,Construction,East,28,48960650.8,1748594.6714285712,4,Online,10,15781834.6,32.23,Multi-Channel Customer,Online Preferred
C0128,Retail,Mining,West,33,69172996.2,2096151.4000000001,4,Counter Sale,13,30319993.0,43.83,Multi-Channel Customer,Counter Sale Preferred
C0129,Corporate,Mining,North,36,76393252.6,2122034.794444444,4,Dealer Network,15,33609002.8,43.99,Multi-Channel Customer,Dealer Network Preferred
C0130,Government,Mining,West,39,60017312.8,1538905.4564102564,4,Online,12,20685110.2,34.47,Multi-Channel Customer,Online Preferred
C0131,Corporate,Rental,South,32,59008448.8,1844014.025,4,Online,10,18946922.8,32.11,Multi-Channel Customer,Online Preferred
C0132,Corporate,Construction,Central,37,49004629.4,1324449.4432432433,4,Dealer Network,12,18480526.6,37.71,Multi-Channel Customer,Dealer Network Preferred
C0133,Government,Mining,South,29,51247358.0,1767150.2758620689,4,Online,9,15414281.2,30.08,Multi-Channel Customer,Online Preferred
C0134,Fleet Owner,Infrastructure,West,48,85243025.2,1775896.3583333334,4,Online,16,34324997.6,40.27,Multi-Channel Customer,Online Preferred
C0135,Retail,Rental,South,35,62791824.6,1794052.1314285714,4,Dealer Network,11,30183363.4,48.07,Multi-Channel Customer,Dealer Network Preferred
C0136,Dealer,Mining,West,37,45774176.2,1237139.8972972974,4,Field Sales,14,23245912.6,50.78,Multi-Channel Customer,No Sales
C0137,Dealer,Infrastructure,South,21,42806442.6,2038402.0285714287,4,Dealer Network,7,20671128.6,48.29,Multi-Channel Customer,Dealer Network Preferred
C0138,Corporate,Mining,South,34,62582651.4,1840666.217647059,4,Counter Sale,7,21286084.6,34.01,Multi-Channel Customer,Counter Sale Preferred
C0139,Government,Mining,West,29,37337910.0,1287514.1379310344,4,Counter Sale,9,13101504.4,35.09,Multi-Channel Customer,Counter Sale Preferred
C0140,Retail,Logistics,West,37,60136648.6,1625314.827027027,4,Counter Sale,11,25578412.4,42.53,Multi-Channel Customer,Counter Sale Preferred
C0141,Corporate,Rental,West,36,66220737.2,1839464.9222222222,4,Field Sales,12,26430358.8,39.91,Multi-Channel Customer,No Sales
C0142,Retail,Manufacturing,West,45,84828043.0,1885067.6222222222,4,Online,12,32019171.6,37.75,Multi-Channel Customer,Online Preferred
C0143,Corporate,Infrastructure,South,27,44644618.2,1653504.3777777778,4,Counter Sale,9,17576397.6,39.37,Multi-Channel Customer,Counter Sale Preferred
C0144,Fleet Owner,Construction,West,25,39589546.2,1583581.8480000002,4,Counter Sale,9,18650562.2,47.11,Multi-Channel Customer,Counter Sale Preferred
C0145,Retail,Construction,West,33,34445949.4,1043816.6484848484,4,Field Sales,8,13098738.600000001,38.03,Multi-Channel Customer,No Sales
C0146,Retail,Mining,West,30,61245406.2,2041513.54,4,Counter Sale,9,20556587.4,33.56,Multi-Channel Customer,Counter Sale Preferred
C0147,Dealer,Rental,North,30,44007572.2,1466919.0733333335,4,Field Sales,7,12390117.0,28.15,Multi-Channel Customer,No Sales
C0148,Government,Construction,South,35,54884128.4,1568117.9542857143,4,Counter Sale,9,18937075.6,34.5,Multi-Channel Customer,Counter Sale Preferred
C0149,Government,Manufacturing,West,38,65235052.4,1716711.9052631578,4,Field Sales,10,25857547.0,39.64,Multi-Channel Customer,No Sales
C0150,Fleet Owner,Manufacturing,West,30,41608958.8,1386965.2933333332,4,Field Sales,12,18127877.4,43.57,Multi-Channel Customer,No Sales
C0151,Government,Infrastructure,East,27,39556960.6,1465072.6148148149,4,Counter Sale,8,13524472.0,34.19,Multi-Channel Customer,Counter Sale Preferred
C0152,Corporate,Manufacturing,South,40,62249804.2,1556245.105,4,Counter Sale,10,22959473.2,36.88,Multi-Channel Customer,Counter Sale Preferred
C0153,Retail,Rental,East,56,108200489.6,1932151.5999999999,4,Online,18,31274025.4,28.9,Multi-Channel Customer,Online Preferred
C0154,Fleet Owner,Logistics,North,45,74171590.6,1648257.5688888887,4,Counter Sale,14,20709718.2,27.92,Multi-Channel Customer,Counter Sale Preferred
C0155,Fleet Owner,Mining,East,31,41576324.2,1341171.748387097,4,Online,8,14956764.6,35.97,Multi-Channel Customer,Online Preferred
C0156,Government,Manufacturing,South,33,67117436.4,2033861.7090909092,4,Online,7,19309669.8,28.77,Multi-Channel Customer,Online Preferred
C0157,Dealer,Infrastructure,North,34,55572804.4,1634494.2470588235,4,Dealer Network,11,22922471.2,41.25,Multi-Channel Customer,Dealer Network Preferred
C0158,Corporate,Infrastructure,East,36,58875735.2,1635437.088888889,4,Online,13,22883027.8,38.87,Multi-Channel Customer,Online Preferred
C0159,Dealer,Construction,South,34,49934036.2,1468648.1235294119,4,Dealer Network,11,12979807.6,25.99,Multi-Channel Customer,Dealer Network Preferred
C0160,Retail,Rental,West,44,70762190.2,1608231.5954545455,4,Online,11,23772403.2,33.59,Multi-Channel Customer,Online Preferred
C0161,Dealer,Mining,West,37,60837361.2,1644253.0054054055,4,Field Sales,13,18832559.2,30.96,Multi-Channel Customer,No Sales
C0162,Retail,Mining,East,28,62233145.6,2222612.342857143,4,Counter Sale,12,24460775.8,39.31,Multi-Channel Customer,Counter Sale Preferred
C0163,Dealer,Logistics,West,38,46377823.0,1220469.0263157894,4,Counter Sale,11,14278137.6,30.79,Multi-Channel Customer,Counter Sale Preferred
C0164,Government,Construction,North,36,45625652.8,1267379.2444444443,4,Counter Sale,12,14263962.0,31.26,Multi-Channel Customer,Counter Sale Preferred
C0165,Fleet Owner,Manufacturing,North,50,79168592.4,1583371.8480000002,4,Dealer Network,21,35052339.4,44.28,Multi-Channel Customer,Dealer Network Preferred
C0166,Fleet Owner,Manufacturing,West,32,69504759.6,2172023.7375,4,Online,11,33302254.8,47.91,Multi-Channel Customer,Online Preferred
C0167,Retail,Mining,West,31,50383279.4,1625267.0774193548,4,Online,12,17765125.599999998,35.26,Multi-Channel Customer,Online Preferred
C0168,Dealer,Infrastructure,West,34,64028787.0,1883199.6176470588,4,Dealer Network,9,19666070.4,30.71,Multi-Channel Customer,Dealer Network Preferred
C0169,Fleet Owner,Construction,West,40,69450095.6,1736252.39,4,Counter Sale,14,21947983.0,31.6,Multi-Channel Customer,Counter Sale Preferred
C0170,Government,Construction,South,27,38882680.4,1440099.274074074,4,Dealer Network,9,10748673.4,27.64,Multi-Channel Customer,Dealer Network Preferred
C0171,Fleet Owner,Construction,South,30,55348450.2,1844948.34,4,Counter Sale,10,23393630.6,42.27,Multi-Channel Customer,Counter Sale Preferred
C0172,Dealer,Manufacturing,South,37,57323600.2,1549286.491891892,4,Counter Sale,13,25538499.6,44.55,Multi-Channel Customer,Counter Sale Preferred
C0173,Retail,Logistics,South,31,57999777.4,1870960.5612903226,4,Dealer Network,9,17663934.4,30.46,Multi-Channel Customer,Dealer Network Preferred
C0174,Government,Mining,West,29,29793255.0,1027353.6206896552,4,Field Sales,14,16208242.8,54.4,Multi-Channel Customer,No Sales
C0175,Fleet Owner,Rental,East,36,59434888.8,1650969.1333333333,4,Field Sales,14,22529137.6,37.91,Multi-Channel Customer,No Sales
C0176,Dealer,Logistics,South,42,66901722.800000004,1592898.161904762,4,Dealer Network,15,25976485.6,38.83,Multi-Channel Customer,Dealer Network Preferred
C0177,Dealer,Construction,West,28,35762840.4,1277244.3,4,Dealer Network,11,13792109.6,38.57,Multi-Channel Customer,Dealer Network Preferred
C0178,Dealer,Logistics,East,54,89493824.6,1657293.048148148,4,Counter Sale,15,24361539.0,27.22,Multi-Channel Customer,Counter Sale Preferred
C0179,Government,Infrastructure,South,32,43222736.0,1350710.5,4,Online,12,17044420.8,39.43,Multi-Channel Customer,Online Preferred
C0180,Fleet Owner,Logistics,South,27,30093537.8,1114575.474074074,4,Field Sales,8,11102091.6,36.89,Multi-Channel Customer,No Sales
C0181,Government,Construction,West,36,53087081.0,1474641.138888889,4,Field Sales,13,17988517.2,33.88,Multi-Channel Customer,No Sales
C0182,Dealer,Infrastructure,East,29,40856091.0,1408830.7241379311,4,Online,10,15439347.6,37.79,Multi-Channel Customer,Online Preferred
C0183,Government,Mining,West,27,32313901.0,1196811.148148148,4,Counter Sale,9,12599184.4,38.99,Multi-Channel Customer,Counter Sale Preferred
C0184,Retail,Rental,South,29,61479056.4,2119967.4620689657,4,Field Sales,8,21222173.0,34.52,Multi-Channel Customer,No Sales
C0185,Dealer,Logistics,West,33,47500335.2,1439404.0969696972,4,Field Sales,11,21376050.0,45.0,Multi-Channel Customer,No Sales
C0186,Fleet Owner,Infrastructure,East,40,70676837.0,1766920.925,4,Dealer Network,11,20968351.0,29.67,Multi-Channel Customer,Dealer Network Preferred
C0187,Retail,Rental,North,30,46901016.0,1563367.2,4,Counter Sale,8,13610612.4,29.02,Multi-Channel Customer,Counter Sale Preferred
C0188,Corporate,Logistics,West,39,54387524.8,1394551.917948718,4,Field Sales,11,17883607.4,32.88,Multi-Channel Customer,No Sales
C0189,Government,Manufacturing,South,35,61121980.8,1746342.3085714285,4,Online,11,20321622.8,33.25,Multi-Channel Customer,Online Preferred
C0190,Retail,Manufacturing,North,35,56351528.4,1610043.6685714286,4,Online,13,24193443.8,42.93,Multi-Channel Customer,Online Preferred
