year_month,delivered_orders,active_customers,total_revenue,average_order_value,orders_per_customer,revenue_per_customer,revenue_share_pct,revenue_mom_change_pct,orders_mom_change_pct,active_customers_mom_change_pct
2022-10,255,200,440043491.2,1725660.75,1.27,2200217.46,1.5,11.02,10.87,3.63
2022-11,237,187,414088203.0,1747207.61,1.27,2214375.42,1.42,-5.9,-7.06,-6.5
2022-12,241,192,389056493.2,1614342.3,1.26,2026335.9,1.33,-6.05,1.69,2.67
2023-01,232,188,371055825.2,1599378.56,1.23,1973701.2,1.27,-4.63,-3.73,-2.08
2023-02,222,177,365609964.4,1646891.73,1.25,2065593.02,1.25,-1.47,-4.31,-5.85
2023-03,267,208,452828501.6,1695986.9,1.28,2177060.1,1.55,23.86,20.27,17.51
2023-04,251,200,436385765.0,1738588.71,1.25,2181928.83,1.49,-3.63,-5.99,-3.85
2023-05,269,202,391653107.8,1455959.51,1.33,1938876.77,1.34,-10.25,7.17,1.0
2023-06,228,177,367229101.8,1610653.96,1.29,2074740.69,1.26,-6.24,-15.24,-12.38
2023-07,265,201,408702830.4,1542274.83,1.32,2033347.41,1.4,11.29,16.23,13.56
2023-08,266,204,439887225.6,1653711.37,1.3,2156309.93,1.5,7.63,0.38,1.49
2023-09,277,215,449981395.0,1624481.57,1.29,2092936.72,1.54,2.29,4.14,5.39
2023-10,243,186,401441776.6,1652023.77,1.31,2158289.12,1.37,-10.79,-12.27,-13.49
2023-11,246,192,393502899.4,1599605.28,1.28,2049494.27,1.35,-1.98,1.23,3.23
2023-12,256,200,395483003.0,1544855.48,1.28,1977415.02,1.35,0.5,4.07,4.17
2024-01,275,212,424948926.0,1545268.82,1.3,2004476.07,1.45,7.45,7.42,6.0
2024-02,226,190,376138821.8,1664331.07,1.19,1979678.01,1.29,-11.49,-17.82,-10.38
2024-03,261,201,396608736.2,1519573.7,1.3,1973177.79,1.36,5.44,15.49,5.79
2024-04,229,185,358460355.0,1565329.06,1.24,1937623.54,1.23,-9.62,-12.26,-7.96
2024-05,209,168,349772346.2,1673551.9,1.24,2081978.25,1.2,-2.42,-8.73,-9.19
2024-06,247,195,394715838.8,1598039.83,1.27,2024183.79,1.35,12.85,18.18,16.07
2024-07,251,195,397715623.0,1584524.39,1.29,2039567.3,1.36,0.76,1.62,0.0
2024-08,260,197,386672349.6,1487201.34,1.32,1962803.81,1.32,-2.78,3.59,1.03
2024-09,266,205,426603552.2,1603772.75,1.3,2080992.94,1.46,10.33,2.31,4.06
2024-10,248,198,433121840.0,1746459.03,1.25,2187484.04,1.48,1.53,-6.77,-3.41
2024-11,261,204,377774969.6,1447413.68,1.28,1851838.09,1.29,-12.78,5.24,3.03
2024-12,223,172,363465427.4,1629889.81,1.3,2113171.09,1.24,-3.79,-14.56,-15.69
