customer_id,delivered_order_count,first_purchase_date,last_purchase_date,total_revenue,average_days_between_orders,minimum_days_between_orders,maximum_days_between_orders,customer_active_days,purchase_period_years,orders_per_year,purchase_frequency_class,purchase_interval_class,repeat_customer_class,average_order_value,customer_type,industry_segment,region,credit_limit,current_balance,customer_rating,purchase_frequency_score,purchase_behaviour_class,purchase_priority_score,purchase_priority_rank
C0409,45,2019-01-19,2024-10-09,60821412.6,47.5,1.0,217.0,2090,5.72,7.86,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1351586.95,Government,Logistics,West,990136,859423,1,5,Moderately Engaged Customer,110,25
C0082,46,2019-03-17,2024-12-18,77500928.6,46.73,0.0,306.0,2103,5.76,7.99,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1684802.8,Fleet Owner,Manufacturing,West,432697,104648,3,5,Moderately Engaged Customer,110,26
C0110,42,2019-01-25,2024-06-21,90807306.0,48.15,3.0,210.0,1974,5.4,7.77,Frequent Customer,Moderate Purchase Gap,Repeat Customer,2162078.71,Dealer,Logistics,Central,107758,68824,5,5,Moderately Engaged Customer,110,27
C0395,44,2019-02-21,2024-12-20,64514679.8,49.51,1.0,222.0,2129,5.83,7.55,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1466242.72,Corporate,Manufacturing,East,680072,209294,1,5,Moderately Engaged Customer,110,28
C0109,44,2019-01-14,2024-12-09,69451949.0,50.14,1.0,225.0,2156,5.9,7.45,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1578453.39,Retail,Mining,South,47756,11043,1,5,Moderately Engaged Customer,110,29
C0375,42,2019-02-20,2024-11-03,81286325.6,50.8,1.0,252.0,2083,5.7,7.36,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1935388.7,Fleet Owner,Mining,West,243350,85892,1,5,Moderately Engaged Customer,110,30
C0374,41,2019-03-07,2024-12-10,68389697.6,52.62,1.0,183.0,2105,5.76,7.11,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1668041.4,Corporate,Manufacturing,West,309830,45731,5,5,Moderately Engaged Customer,110,31
C0142,45,2019-02-06,2024-12-08,84828043.0,48.45,1.0,188.0,2132,5.84,7.71,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1885067.62,Retail,Manufacturing,West,34620,17030,1,5,Moderately Engaged Customer,110,32
C0371,47,2019-01-03,2024-11-02,82052808.0,46.3,2.0,178.0,2130,5.83,8.06,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1745804.43,Retail,Rental,South,20028,141,3,5,Moderately Engaged Customer,110,33
C0379,41,2019-03-29,2024-12-15,64194052.6,52.2,0.0,164.0,2088,5.72,7.17,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1565708.6,Retail,Mining,West,22642,8448,3,5,Moderately Engaged Customer,110,34
C0383,41,2019-02-18,2024-11-19,68192154.0,52.52,3.0,235.0,2101,5.75,7.13,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1663223.27,Fleet Owner,Infrastructure,North,316263,124305,5,5,Moderately Engaged Customer,110,35
C0099,44,2019-01-10,2024-12-26,56469516.0,50.63,3.0,196.0,2177,5.96,7.38,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1283398.09,Fleet Owner,Rental,South,601814,62089,4,5,Moderately Engaged Customer,110,36
C0124,42,2019-01-11,2024-11-04,54870405.8,51.8,0.0,148.0,2124,5.82,7.22,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1306438.23,Dealer,Construction,West,211359,167163,3,5,Moderately Engaged Customer,110,37
C0071,42,2019-01-24,2024-11-26,72076738.0,52.02,0.0,206.0,2133,5.84,7.19,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1716112.81,Corporate,Rental,North,735733,268163,2,5,Moderately Engaged Customer,110,38
C0076,45,2019-01-12,2024-10-06,80026994.2,47.59,5.0,204.0,2094,5.73,7.85,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1778377.65,Government,Mining,South,1094151,760549,2,5,Moderately Engaged Customer,110,39
C0420,46,2019-01-10,2024-11-22,92482888.8,47.62,1.0,187.0,2143,5.87,7.84,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,2010497.58,Retail,Rental,South,44758,199,3,5,Moderately Engaged Customer,110,40
C0459,41,2019-03-10,2024-12-14,71816909.8,52.65,2.0,160.0,2106,5.77,7.11,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1751631.95,Retail,Logistics,East,16763,15429,5,5,Moderately Engaged Customer,110,41
C0021,45,2019-01-16,2024-10-01,59956738.4,47.39,2.0,258.0,2085,5.71,7.88,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1332371.96,Corporate,Mining,South,856624,298508,5,5,Moderately Engaged Customer,110,42
C0024,44,2019-01-22,2024-09-17,60658309.2,48.02,3.0,194.0,2065,5.65,7.78,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1378597.94,Dealer,Rental,South,266822,86814,4,5,Moderately Engaged Customer,110,43
C0467,48,2019-01-02,2024-11-06,62880162.4,45.43,1.0,235.0,2135,5.85,8.21,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1310003.38,Retail,Construction,North,10621,1167,5,5,Moderately Engaged Customer,110,44
C0428,43,2019-01-25,2024-08-26,66337820.6,48.57,1.0,165.0,2040,5.59,7.7,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1542740.01,Retail,Construction,North,39509,3190,4,5,Moderately Engaged Customer,110,45
C0045,42,2019-02-02,2024-12-15,75275350.6,52.27,0.0,182.0,2143,5.87,7.16,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1792270.25,Corporate,Rental,East,495460,268927,4,5,Moderately Engaged Customer,110,46
C0060,44,2019-07-20,2024-11-24,77163010.4,45.44,2.0,198.0,1954,5.35,8.22,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1753704.78,Dealer,Mining,South,350950,129725,1,5,Moderately Engaged Customer,110,47
C0425,41,2019-01-17,2024-12-09,67882732.6,53.82,1.0,278.0,2153,5.89,6.96,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1655676.4,Dealer,Manufacturing,South,197706,90771,3,5,Moderately Engaged Customer,110,48
C0466,47,2019-03-19,2024-12-13,88329161.4,45.57,1.0,219.0,2096,5.74,8.19,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1879343.86,Retail,Manufacturing,South,17753,15154,3,5,Moderately Engaged Customer,110,49
C0429,42,2019-02-08,2024-10-21,69444114.2,50.78,0.0,265.0,2082,5.7,7.37,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1653431.29,Fleet Owner,Logistics,West,375146,303392,3,5,Moderately Engaged Customer,110,50
C0427,41,2019-02-07,2024-11-26,53149424.2,52.98,1.0,240.0,2119,5.8,7.07,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1296327.42,Corporate,Mining,West,334941,5247,3,5,Moderately Engaged Customer,110,51
C0440,44,2019-01-29,2024-10-21,82426773.6,48.65,1.0,166.0,2092,5.73,7.68,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1873335.76,Retail,Manufacturing,South,17475,3995,5,5,Moderately Engaged Customer,110,52
C0478,44,2019-02-04,2024-12-29,75901402.2,50.12,0.0,247.0,2155,5.9,7.46,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1725031.87,Retail,Rental,North,15416,13473,1,5,Moderately Engaged Customer,110,53
C0326,42,2019-03-14,2024-12-30,66177447.4,51.66,2.0,169.0,2118,5.8,7.24,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1575653.51,Government,Mining,East,1143072,798334,4,5,Moderately Engaged Customer,110,54
C0160,44,2019-02-19,2024-11-23,70762190.2,48.93,1.0,207.0,2104,5.76,7.64,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1608231.6,Retail,Rental,West,45628,6888,2,5,Moderately Engaged Customer,110,55
C0154,45,2019-01-29,2024-08-21,74171590.6,46.16,0.0,155.0,2031,5.56,8.09,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1648257.57,Fleet Owner,Logistics,North,305293,279000,5,5,Moderately Engaged Customer,110,56
C0176,42,2019-01-14,2024-08-07,66901722.8,49.56,1.0,193.0,2032,5.56,7.55,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1592898.16,Dealer,Logistics,South,397313,332315,2,5,Moderately Engaged Customer,110,57
C0306,42,2019-07-19,2024-12-16,69813587.0,48.22,2.0,199.0,1977,5.41,7.76,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1662228.26,Fleet Owner,Manufacturing,East,126541,117140,1,5,Moderately Engaged Customer,110,58
C0301,46,2019-01-13,2024-12-19,63821535.6,48.16,0.0,285.0,2167,5.93,7.75,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1387424.69,Dealer,Mining,East,388632,1511,5,5,Moderately Engaged Customer,110,59
C0307,42,2019-01-15,2024-11-24,73655534.6,52.2,1.0,169.0,2140,5.86,7.17,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1753703.2,Dealer,Manufacturing,West,302503,100600,1,5,Moderately Engaged Customer,110,60
C0327,43,2019-02-01,2024-12-06,61017008.6,50.83,1.0,270.0,2135,5.85,7.36,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1419000.2,Retail,Mining,West,37994,22697,1,5,Moderately Engaged Customer,110,61
C0276,44,2019-01-08,2024-12-29,67350598.6,50.74,1.0,186.0,2182,5.97,7.37,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1530695.42,Dealer,Manufacturing,Central,337657,283507,3,5,Moderately Engaged Customer,110,62
C0282,44,2019-01-17,2024-12-24,69381309.6,50.42,0.0,303.0,2168,5.94,7.41,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1576847.95,Government,Logistics,East,1271863,328689,2,5,Moderately Engaged Customer,110,63
C0004,46,2019-03-21,2024-12-31,60843242.8,46.93,0.0,212.0,2112,5.78,7.96,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1322679.19,Fleet Owner,Logistics,South,506336,250255,3,5,Moderately Engaged Customer,110,64
C0270,43,2019-03-27,2024-12-20,68114112.8,49.88,0.0,251.0,2095,5.74,7.5,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1584049.13,Corporate,Manufacturing,North,711134,413227,2,5,Moderately Engaged Customer,110,65
C0221,44,2019-01-17,2024-09-05,82001959.0,47.86,1.0,307.0,2058,5.63,7.81,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1863680.89,Dealer,Logistics,North,244567,24830,5,5,Moderately Engaged Customer,110,66
C0280,42,2019-01-12,2024-11-05,59078520.8,51.8,1.0,192.0,2124,5.82,7.22,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1406631.45,Corporate,Construction,West,252022,26117,4,5,Moderately Engaged Customer,110,67
C0196,48,2019-01-09,2024-10-28,71291851.6,45.09,0.0,253.0,2119,5.8,8.27,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1485246.91,Fleet Owner,Rental,North East,318408,222601,3,5,Moderately Engaged Customer,110,68
C0201,47,2019-02-01,2024-12-13,80475593.0,46.57,0.0,274.0,2142,5.86,8.01,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1712246.66,Dealer,Infrastructure,South,468119,467851,4,5,Moderately Engaged Customer,110,69
C0211,42,2019-03-06,2024-11-20,59389779.2,50.88,1.0,212.0,2086,5.71,7.35,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1414042.36,Fleet Owner,Manufacturing,South,323531,251580,1,5,Moderately Engaged Customer,110,70
C0250,43,2019-03-08,2024-12-20,74416923.4,50.33,2.0,209.0,2114,5.79,7.43,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1730626.13,Government,Infrastructure,East,886619,515833,2,5,Moderately Engaged Customer,110,71
C0490,44,2019-01-26,2024-12-29,84742703.8,50.33,1.0,216.0,2164,5.92,7.43,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1925970.54,Government,Logistics,West,1262928,379981,3,5,Moderately Engaged Customer,110,72
C0495,48,2019-01-28,2024-11-25,94540537.6,45.28,1.0,223.0,2128,5.83,8.24,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1969594.53,Fleet Owner,Infrastructure,North,414484,135441,2,5,Moderately Engaged Customer,110,73
C0013,44,2019-01-02,2024-10-27,76843692.4,49.42,0.0,155.0,2125,5.82,7.56,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1746447.55,Dealer,Construction,West,425862,104029,2,5,Moderately Engaged Customer,110,74
C0005,45,2019-02-28,2024-10-04,74996415.4,46.48,0.0,143.0,2045,5.6,8.04,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1666587.01,Dealer,Construction,West,380783,183927,2,5,Moderately Engaged Customer,110,75
C0010,46,2019-01-23,2024-11-27,63051038.4,47.44,1.0,214.0,2135,5.85,7.87,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1370674.75,Dealer,Construction,South,277717,105625,5,5,Moderately Engaged Customer,110,76
C0483,47,2019-02-20,2024-12-18,96130859.2,46.26,0.0,162.0,2128,5.83,8.07,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,2045337.43,Corporate,Rental,North,511858,312732,1,5,Moderately Engaged Customer,110,77
C0255,45,2019-01-05,2024-11-11,71144094.2,48.57,0.0,189.0,2137,5.85,7.69,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1580979.87,Retail,Infrastructure,South,22302,1943,4,5,Moderately Engaged Customer,110,78
C0257,43,2019-01-18,2024-12-23,76189558.0,51.57,1.0,237.0,2166,5.93,7.25,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1771850.19,Corporate,Logistics,North,443957,112531,1,5,Moderately Engaged Customer,110,79
C0242,47,2019-01-30,2024-11-18,73225487.6,46.07,0.0,272.0,2119,5.8,8.1,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1557989.1,Government,Construction,South,568255,46526,3,5,Moderately Engaged Customer,110,80
C0244,44,2019-05-06,2024-12-09,77550764.4,47.53,1.0,169.0,2044,5.6,7.86,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1762517.37,Government,Logistics,North,1113022,736516,3,5,Moderately Engaged Customer,110,81
C0237,44,2019-01-28,2024-10-15,74820743.4,48.53,4.0,150.0,2087,5.71,7.7,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1700471.44,Dealer,Infrastructure,South,488722,178656,5,5,Moderately Engaged Customer,110,82
C0220,43,2019-01-19,2024-11-06,53467975.0,50.43,0.0,286.0,2118,5.8,7.42,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1243441.28,Government,Infrastructure,Central,1116238,93524,2,5,Moderately Engaged Customer,110,83
C0285,47,2019-02-11,2024-12-05,54036327.8,46.17,1.0,196.0,2124,5.82,8.08,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1149709.1,Government,Infrastructure,West,1359546,764093,4,5,Moderately Engaged Customer,110,84
C0200,47,2019-02-09,2024-11-25,84469856.6,46.0,1.0,177.0,2116,5.79,8.11,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1797230.99,Retail,Logistics,East,12816,11546,2,5,Moderately Engaged Customer,110,85
C0359,46,2019-02-12,2024-11-28,85617784.0,47.02,0.0,115.0,2116,5.79,7.94,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1861256.17,Fleet Owner,Mining,South,413735,90805,3,5,Moderately Engaged Customer,110,86
C0356,45,2019-03-16,2024-12-05,79690881.0,47.52,5.0,145.0,2091,5.72,7.86,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1770908.47,Dealer,Mining,East,277333,232370,2,5,Moderately Engaged Customer,110,87
C0331,42,2019-04-12,2024-12-15,67826105.8,50.59,1.0,178.0,2074,5.68,7.4,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1614907.28,Dealer,Logistics,North,270715,127398,2,5,Moderately Engaged Customer,110,88
C0413,41,2019-02-06,2024-11-08,62380011.4,52.55,2.0,235.0,2102,5.75,7.12,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1521463.69,Fleet Owner,Manufacturing,South,225464,22974,1,5,Moderately Engaged Customer,110,89
C0046,46,2019-02-03,2024-12-09,87078641.0,47.47,0.0,136.0,2136,5.85,7.87,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1893013.93,Retail,Rental,West,14743,2408,3,5,Moderately Engaged Customer,110,90
C0040,43,2019-02-23,2024-12-21,53757984.6,50.67,0.0,223.0,2128,5.83,7.38,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1250185.69,Government,Logistics,North,842290,805196,2,5,Moderately Engaged Customer,110,91
C0090,43,2019-03-16,2024-10-22,51915256.6,48.74,0.0,290.0,2047,5.6,7.67,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1207331.55,Government,Infrastructure,North,1009986,294069,1,5,Moderately Engaged Customer,110,92
C0403,45,2019-02-19,2024-12-10,80523517.0,48.2,3.0,145.0,2121,5.81,7.75,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1789411.49,Government,Construction,East,954046,440000,4,5,Moderately Engaged Customer,110,93
C0032,44,2019-01-23,2024-10-25,71991263.0,48.88,0.0,196.0,2102,5.75,7.65,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1636165.07,Government,Logistics,West,1262598,420821,5,5,Moderately Engaged Customer,110,94
C0294,45,2019-03-26,2024-12-27,79772077.0,47.8,5.0,201.0,2103,5.76,7.82,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1772712.82,Government,Infrastructure,South,826435,405286,4,5,Moderately Engaged Customer,110,95
C0240,46,2019-02-19,2024-11-10,92835709.4,46.47,0.0,287.0,2091,5.72,8.04,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,2018167.6,Corporate,Manufacturing,South,695741,453727,1,5,Moderately Engaged Customer,110,96
C0207,45,2019-02-10,2024-10-13,87068691.0,47.09,0.0,134.0,2072,5.67,7.93,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1934859.8,Corporate,Rental,East,463240,70498,1,5,Moderately Engaged Customer,110,97
C0304,48,2019-01-26,2024-12-25,86460648.4,45.96,1.0,185.0,2160,5.91,8.12,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1801263.51,Dealer,Construction,North,177177,155235,5,5,Moderately Engaged Customer,110,98
C0311,41,2019-02-03,2024-09-17,69331648.2,51.32,3.0,221.0,2053,5.62,7.29,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1691015.81,Government,Infrastructure,North,1148922,76276,4,5,Moderately Engaged Customer,110,99
C0291,46,2019-03-13,2024-12-03,79064597.0,46.49,0.0,187.0,2092,5.73,8.03,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1718795.59,Retail,Construction,South,34183,21689,2,5,Moderately Engaged Customer,110,100
C0087,39,2019-01-22,2024-12-17,50370513.4,56.74,1.0,218.0,2156,5.9,6.61,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1291551.63,Government,Logistics,South,831098,749605,3,4,Moderately Engaged Customer,90,101
C0373,38,2019-04-03,2024-09-02,69753317.8,53.49,3.0,295.0,1979,5.42,7.01,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1835613.63,Corporate,Manufacturing,South,502349,395823,3,4,Moderately Engaged Customer,90,102
C0377,37,2019-02-01,2024-12-07,68519191.2,59.33,2.0,211.0,2136,5.85,6.33,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1851870.03,Dealer,Logistics,West,162271,99916,3,4,Moderately Engaged Customer,90,103
C0393,39,2019-03-27,2024-12-18,51240981.8,55.08,1.0,170.0,2093,5.73,6.81,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1313871.33,Retail,Rental,East,41273,8717,3,4,Moderately Engaged Customer,90,104
C0394,40,2019-03-08,2024-11-21,69936379.2,53.46,1.0,225.0,2085,5.71,7.01,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1748409.48,Government,Construction,South,685435,586864,4,4,Moderately Engaged Customer,90,105
C0396,38,2019-01-14,2024-12-07,64506474.4,58.22,3.0,338.0,2154,5.9,6.44,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1697538.8,Government,Manufacturing,West,753812,37466,2,4,Moderately Engaged Customer,90,106
C0399,39,2019-01-03,2024-12-25,59287998.0,57.45,0.0,207.0,2183,5.98,6.53,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1520205.08,Fleet Owner,Rental,South,384480,12371,3,4,Moderately Engaged Customer,90,107
C0101,38,2019-02-26,2024-10-10,62629058.6,55.49,4.0,253.0,2053,5.62,6.76,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1648133.12,Corporate,Logistics,South,242777,155072,5,4,Moderately Engaged Customer,90,108
C0113,41,2019-01-13,2024-12-23,78713400.0,54.28,0.0,192.0,2171,5.94,6.9,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1919839.02,Corporate,Logistics,South,965190,17579,2,4,Moderately Engaged Customer,90,109
C0407,38,2019-02-01,2024-12-25,54609453.4,58.22,2.0,288.0,2154,5.9,6.44,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1437090.88,Dealer,Logistics,South,379116,62934,2,4,Moderately Engaged Customer,90,110
C0058,40,2019-01-23,2024-12-24,56831525.0,55.44,3.0,282.0,2162,5.92,6.76,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1420788.12,Retail,Infrastructure,West,43362,11601,3,4,Moderately Engaged Customer,90,111
