supplier_id,product_id,purchase_order_count,ordered_quantity,total_procurement_value,average_purchase_value_per_po,average_unit_procurement_cost,unit_procurement_cost,product_name,category,machine_type,brand,unit_cost,unit_price,supplier_name,supplier_type,region,procurement_value_share_pct,supplier_share_of_product_pct,supplier_product_rank,supplier_product_dependency_class,procurement_value_class,unit_cost_variance_pct,supplier_product_cost_performance,supplier_product_priority_score,supplier_product_priority_class
SUP0001,P014,605,110369,6922978661.03,9961120.375582734,9961120.375582734,62725.753255261894,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,68500,83500,Shenzhen OEM Supplies,OEM,South China,1.9972705453301118,13.065345571526619,3.0,Low Product Dependency,High Value Supplier-Product,-8.429557291588473,Below Standard Cost,84.98563725282222,Critical Procurement Priority
SUP0006,P014,583,106746,6715140229.11,10174454.892590908,10174454.892590908,62907.6520816705,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,68500,83500,Qingdao Distributor Supplies,Distributor,East China,1.9373094218619582,12.67310386906917,4.0,Low Product Dependency,High Value Supplier-Product,-8.164011559605111,Below Standard Cost,82.43423814454871,Critical Procurement Priority
SUP0005,P014,588,106005,6642837970.9,10049679.229803327,10049679.229803327,62665.32683269657,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,68500,83500,Tianjin OEM Supplies,OEM,North China,1.9164503122569316,12.53665191170103,5.0,Low Product Dependency,High Value Supplier-Product,-8.517771047158295,Below Standard Cost,81.54666448736215,Critical Procurement Priority
SUP0003,P014,587,102511,6456735347.85,9964097.75902778,9964097.75902778,62985.780529406606,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,68500,83500,Shanghai Distributor Supplies,Distributor,East China,1.862759942023848,12.185430970402615,6.0,Low Product Dependency,High Value Supplier-Product,-8.049955431523204,Below Standard Cost,79.26209150386362,Critical Procurement Priority
SUP0004,P014,565,99483,6249358461.11,9903896.13488114,9903896.13488114,62818.35550908195,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,68500,83500,Ningbo Distributor Supplies,Distributor,East China,1.802931973753549,11.794060316025597,7.0,Low Product Dependency,High Value Supplier-Product,-8.294371519588395,Below Standard Cost,76.71635826763215,Critical Procurement Priority
SUP0002,P014,547,95570,5985581996.78,9732653.653300812,9732653.653300812,62630.344216595164,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,68500,83500,Guangzhou Local Vendor Supplies,Local Vendor,South China,1.7268327990264603,11.29624993282933,8.0,Low Product Dependency,High Value Supplier-Product,-8.568840559715085,Below Standard Cost,73.47827073176126,High Procurement Priority
SUP0004,P021,584,110357,3831616003.44,5744551.7292953525,5744551.7292953525,34720.189960220014,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,35600,46200,Ningbo Distributor Supplies,Distributor,East China,1.1054163474118832,13.367124129697025,1.0,Low Product Dependency,High Value Supplier-Product,-2.4713765162359125,Favourable Cost,71.80397543948406,High Procurement Priority
SUP0003,P021,608,109342,3780290079.31,5534831.741303074,5534831.741303074,34573.08334683836,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,35600,46200,Shanghai Distributor Supplies,Distributor,East China,1.0906088835302243,13.188066521027167,2.0,Low Product Dependency,High Value Supplier-Product,-2.884597340341688,Favourable Cost,70.84213443236575,High Procurement Priority
SUP0001,P021,584,106259,3677328648.12,5521514.486666666,5521514.486666666,34607.22054715365,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,35600,46200,Shenzhen OEM Supplies,OEM,South China,1.0609046414850487,12.828871280676266,3.0,Low Product Dependency,High Value Supplier-Product,-2.788706328220081,Favourable Cost,68.91265087510337,High Procurement Priority
SUP0005,P021,580,105992,3646350188.7400002,5550000.287275495,5550000.287275495,34402.12646935618,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,35600,46200,Tianjin OEM Supplies,OEM,North China,1.0519673953242794,12.72079862634257,4.0,Low Product Dependency,High Value Supplier-Product,-3.36481328832533,Favourable Cost,68.33211865724085,High Procurement Priority
SUP0007,P021,569,103872,3560954124.03,5563990.818796875,5563990.818796875,34282.13689954945,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,35600,46200,Suzhou Local Vendor Supplies,Local Vendor,East China,1.0273307391848525,12.422882604449619,5.0,Low Product Dependency,High Value Supplier-Product,-3.701862641715037,Favourable Cost,66.73180773684581,High Procurement Priority
SUP0008,P021,563,101509,3534966853.61,5602166.170538828,5602166.170538828,34824.17178388123,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,35600,46200,Hangzhou OEM Supplies,OEM,East China,1.0198334446957673,12.332222405414988,6.0,Low Product Dependency,High Value Supplier-Product,-2.1792927419066466,Favourable Cost,66.24480973775049,High Procurement Priority
SUP0006,P021,564,98621,3415561073.44,5421525.513396826,5421525.513396826,34633.20259822959,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,35600,46200,Qingdao Distributor Supplies,Distributor,East China,0.985385028868898,11.915658771715075,7.0,Low Product Dependency,High Value Supplier-Product,-2.7157230386809283,Favourable Cost,64.00716126280895,High Procurement Priority
SUP0002,P021,534,92998,3217408396.36,5353424.95234609,5353424.95234609,34596.53321963913,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,35600,46200,Guangzhou Local Vendor Supplies,Local Vendor,South China,0.9282182333625096,11.2243756606773,8.0,Low Product Dependency,High Value Supplier-Product,-2.818726911126035,Favourable Cost,60.29380638968325,High Procurement Priority
SUP0005,P004,573,107203,3214987611.62,4930962.594509202,4930962.594509202,29989.716814081694,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,32500,39800,Tianjin OEM Supplies,OEM,North China,0.927519840041582,13.105825576337224,1.0,Low Product Dependency,High Value Supplier-Product,-7.723948264364022,Below Standard Cost,67.87695271453688,High Procurement Priority
SUP0007,P004,587,108520,3202566398.01,4779949.84777612,4779949.84777612,29511.301124308884,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,32500,39800,Suzhou Local Vendor Supplies,Local Vendor,East China,0.923936335701152,13.055190774999046,2.0,Low Product Dependency,High Value Supplier-Product,-9.195996540588048,Below Standard Cost,67.61470780702439,High Procurement Priority
SUP0004,P004,571,105672,3154920940.24,4883778.545263157,4883778.545263157,29855.789047619044,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,32500,39800,Ningbo Distributor Supplies,Distributor,East China,0.9101906816868677,12.860965124865444,3.0,Low Product Dependency,High Value Supplier-Product,-8.136033699633716,Below Standard Cost,66.60878527331758,High Procurement Priority
SUP0005,P019,578,104831,3125330928.33,4984578.833062201,4984578.833062201,29813.041260028043,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,31200,39800,Tianjin OEM Supplies,OEM,North China,0.9016540008566226,12.996750418408846,1.0,Low Product Dependency,High Value Supplier-Product,-4.445380576833191,Favourable Cost,67.01904665687145,High Procurement Priority
SUP0001,P004,581,105372,3124543835.83,4770295.932564885,4770295.932564885,29652.50574944008,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,32500,39800,Shenzhen OEM Supplies,OEM,South China,0.9014269256706844,12.737133533579456,4.0,Low Product Dependency,High Value Supplier-Product,-8.761520770953602,Below Standard Cost,65.96744367928167,High Procurement Priority
SUP0006,P019,604,103255,3084661517.82,4590270.115803571,4590270.115803571,29874.20965396349,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,31200,39800,Qingdao Distributor Supplies,Distributor,East China,0.8899209276110268,12.827625871222184,2.0,Low Product Dependency,High Value Supplier-Product,-4.2493280321682985,Favourable Cost,66.1469389719635,High Procurement Priority
SUP0003,P019,572,101943,3069473356.83,4796052.1200468745,4796052.1200468745,30109.70205732615,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,31200,39800,Shanghai Distributor Supplies,Distributor,East China,0.8855391624679654,12.764465603644656,3.0,Low Product Dependency,High Value Supplier-Product,-3.4945446880572106,Favourable Cost,65.82124671941062,High Procurement Priority
SUP0008,P019,561,102311,3056414082.97,4945653.855938511,4945653.855938511,29873.758275942957,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,31200,39800,Hangzhou OEM Supplies,OEM,East China,0.8817715785563177,12.710158355261598,4.0,Low Product Dependency,High Value Supplier-Product,-4.25077475659309,Favourable Cost,65.54120594798556,High Procurement Priority
SUP0003,P004,563,101538,3028758613.4,4784768.741548183,4784768.741548183,29828.818899328333,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,32500,39800,Shanghai Distributor Supplies,Distributor,East China,0.8737930107325631,12.34666720225643,5.0,Low Product Dependency,High Value Supplier-Product,-8.219018771297437,Below Standard Cost,63.94516247666253,High Procurement Priority
SUP0004,P019,570,101603,3009799191.87,4695474.558299532,4695474.558299532,29623.133095184196,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,31200,39800,Ningbo Distributor Supplies,Distributor,East China,0.8683232417165868,12.516309409565554,5.0,Low Product Dependency,High Value Supplier-Product,-5.054060592358345,Below Standard Cost,64.54160442316233,High Procurement Priority
SUP0006,P004,566,100055,2979417360.47,4759452.652507987,4759452.652507987,29777.795817000646,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,32500,39800,Qingdao Distributor Supplies,Distributor,East China,0.8595581219697959,12.145528680825961,6.0,Low Product Dependency,High Value Supplier-Product,-8.376012870767246,Below Standard Cost,62.90343718979025,High Procurement Priority
SUP0002,P004,553,98906,2961178381.14,4807107.761590909,4807107.761590909,29939.319971892503,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,32500,39800,Guangzhou Local Vendor Supplies,Local Vendor,South China,0.8542961996129136,12.071177886774548,7.0,Low Product Dependency,High Value Supplier-Product,-7.879015471099993,Below Standard Cost,62.51836375029417,High Procurement Priority
SUP0008,P010,604,113217,2946045517.99,4269631.185492753,4269631.185492753,26021.229302931537,Turbocharger TB-900,Engine,Excavator,CAT,28900,34900,Hangzhou OEM Supplies,OEM,East China,0.8499303878264144,13.188623037748531,1.0,Low Product Dependency,High Value Supplier-Product,-9.961144280513711,Below Standard Cost,66.9584114286621,High Procurement Priority
SUP0007,P019,546,98060,2908247197.27,4608949.599477021,4608949.599477021,29657.83395135631,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,31200,39800,Suzhou Local Vendor Supplies,Local Vendor,East China,0.8390256203363807,12.09400343347071,6.0,Low Product Dependency,High Value Supplier-Product,-4.942839899498996,Favourable Cost,62.36394131475272,High Procurement Priority
SUP0002,P019,541,97246,2908106814.47,4744056.7935889065,4744056.7935889065,29904.64198496596,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,31200,39800,Guangzhou Local Vendor Supplies,Local Vendor,South China,0.8389851200769926,12.093419648823108,7.0,Low Product Dependency,High Value Supplier-Product,-4.1517885097244855,Favourable Cost,62.36093097068396,High Procurement Priority
SUP0001,P010,601,110349,2901862593.76,4299055.6944592595,4299055.6944592595,26297.13539551786,Turbocharger TB-900,Engine,Excavator,CAT,28900,34900,Shenzhen OEM Supplies,OEM,South China,0.8371836703379049,12.990828424998476,2.0,Low Product Dependency,High Value Supplier-Product,-9.006451918623327,Below Standard Cost,65.95421159514014,High Procurement Priority
SUP0001,P019,549,96866,2884985032.01,4714027.830081699,4714027.830081699,29783.25761371379,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,31200,39800,Shenzhen OEM Supplies,OEM,South China,0.832314515222634,11.997267259603342,8.0,Low Product Dependency,High Value Supplier-Product,-4.540840981686567,Favourable Cost,61.86511153491472,High Procurement Priority
SUP0008,P004,576,96672,2864608085.11,4518309.282507887,4518309.282507887,29632.241860207712,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,32500,39800,Hangzhou OEM Supplies,OEM,East China,0.8264357919389382,11.677511220361895,8.0,Low Product Dependency,High Value Supplier-Product,-8.82387119936089,Below Standard Cost,60.47950755266355,High Procurement Priority
SUP0005,P010,606,109085,2856766506.46,4134249.647554269,4134249.647554269,26188.444849979373,Turbocharger TB-900,Engine,Excavator,CAT,28900,34900,Tianjin OEM Supplies,OEM,North China,0.824173506464234,12.788945836204368,3.0,Low Product Dependency,High Value Supplier-Product,-9.382543771697671,Below Standard Cost,64.92925717783146,High Procurement Priority
SUP0007,P010,598,109165,2835304877.41,4181865.6008997047,4181865.6008997047,25972.654948106076,Turbocharger TB-900,Engine,Excavator,CAT,28900,34900,Suzhou Local Vendor Supplies,Local Vendor,East China,0.8179818537587801,12.692868116566972,4.0,Low Product Dependency,High Value Supplier-Product,-10.12922163285095,Below Standard Cost,64.44147225425034,High Procurement Priority
SUP0003,P010,569,103227,2714161431.03,4260849.970219781,4260849.970219781,26293.13484873144,Turbocharger TB-900,Engine,Excavator,CAT,28900,34900,Shanghai Distributor Supplies,Distributor,East China,0.7830321234387169,12.150542739025083,5.0,Low Product Dependency,High Value Supplier-Product,-9.020294641067682,Below Standard Cost,61.68809567705055,High Procurement Priority
SUP0006,P010,575,103946,2708909137.16,4186876.5643894896,4186876.5643894896,26060.734777288206,Turbocharger TB-900,Engine,Excavator,CAT,28900,34900,Qingdao Distributor Supplies,Distributor,East China,0.7815168433323343,12.127029686184619,6.0,Low Product Dependency,High Value Supplier-Product,-9.824447137411052,Below Standard Cost,61.56872031379015,High Procurement Priority
SUP0002,P010,571,102546,2693404898.15,4175821.5475193798,4175821.5475193798,26265.333588340844,Turbocharger TB-900,Engine,Excavator,CAT,28900,34900,Guangzhou Local Vendor Supplies,Local Vendor,South China,0.7770438900822049,12.057621538027576,7.0,Low Product Dependency,High Value Supplier-Product,-9.116492773907115,Below Standard Cost,61.21633634409909,High Procurement Priority
SUP0004,P010,548,101601,2681324422.27,4310810.968279743,4310810.968279743,26390.728656902982,Turbocharger TB-900,Engine,Excavator,CAT,28900,34900,Ningbo Distributor Supplies,Distributor,East China,0.7735586881438379,12.003540621244376,8.0,Low Product Dependency,High Value Supplier-Product,-8.682599803103862,Below Standard Cost,60.94176846343071,High Procurement Priority
SUP0005,P011,593,108993,2272210076.89,3422003.1278463854,3422003.1278463854,20847.302825777802,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,21500,27600,Tianjin OEM Supplies,OEM,North China,0.6555297194429702,13.168317626408713,1.0,Low Product Dependency,High Value Supplier-Product,-3.035800810335798,Favourable Cost,63.73767668069481,High Procurement Priority
SUP0001,P011,589,106916,2214090877.81,3256015.9967794116,3256015.9967794116,20708.69540396199,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,21500,27600,Shenzhen OEM Supplies,OEM,South China,0.6387624043717737,12.831494864525075,2.0,Low Product Dependency,High Value Supplier-Product,-3.6804864932000525,Favourable Cost,62.10737728295065,High Procurement Priority
SUP0006,P011,601,106964,2200821984.13,3329534.015325265,3329534.015325265,20575.352306663925,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,21500,27600,Qingdao Distributor Supplies,Distributor,East China,0.6349343454084606,12.75459660220928,3.0,Low Product Dependency,High Value Supplier-Product,-4.300686945749188,Favourable Cost,61.73517206130852,High Procurement Priority
SUP0008,P011,577,106537,2200168864.9,3400570.1157650696,3400570.1157650696,20651.68781643936,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,21500,27600,Hangzhou OEM Supplies,OEM,East China,0.6347459213406514,12.75081152900851,4.0,Low Product Dependency,High Value Supplier-Product,-3.945638063072743,Favourable Cost,61.71685143913584,High Procurement Priority
SUP0003,P011,570,103859,2130655725.06,3282982.627211094,3282982.627211094,20514.88773298414,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,21500,27600,Shanghai Distributor Supplies,Distributor,East China,0.6146914688406939,12.347956566814624,5.0,Low Product Dependency,High Value Supplier-Product,-4.581917521003998,Favourable Cost,59.76694105134014,High Procurement Priority
SUP0004,P011,573,101272,2094816171.88,3232741.0059876544,3232741.0059876544,20685.047909392528,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,21500,27600,Ningbo Distributor Supplies,Distributor,East China,0.604351803296563,12.140252787721819,6.0,Low Product Dependency,High Value Supplier-Product,-3.790474840034752,Favourable Cost,58.76160713604741,High Procurement Priority
SUP0002,P011,573,100674,2083982192.46,3211066.5523266564,3211066.5523266564,20700.301889862327,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,21500,27600,Guangzhou Local Vendor Supplies,Local Vendor,South China,0.6012262140027402,12.077465775371357,7.0,Low Product Dependency,High Value Supplier-Product,-3.7195260936635943,Favourable Cost,58.45770359981171,High Procurement Priority
SUP0007,P001,605,111720,2067973120.45,3032218.651686217,3032218.651686217,18510.321522108843,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,18950,24500,Suzhou Local Vendor Supplies,Local Vendor,East China,0.5966076170737004,13.422335903368426,1.0,Low Product Dependency,High Value Supplier-Product,-2.3202030495575565,Favourable Cost,63.81166470293211,High Procurement Priority
SUP0007,P011,551,98527,2058382220.83,3298689.4564583334,3298689.4564583334,20891.554810661037,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,21500,27600,Suzhou Local Vendor Supplies,Local Vendor,East China,0.593840654722354,11.929104247940629,8.0,Low Product Dependency,High Value Supplier-Product,-2.8299776248323916,Favourable Cost,57.73959978917234,High Procurement Priority
SUP0002,P001,602,109681,2021928200.78,2973423.8246764704,2973423.8246764704,18434.625876678732,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,18950,24500,Guangzhou Local Vendor Supplies,Local Vendor,South China,0.5833237162671507,13.123477870668335,2.0,Low Product Dependency,High Value Supplier-Product,-2.7196523658114424,Favourable Cost,62.39085175995919,High Procurement Priority
SUP0003,P001,579,107108,1961889645.6200001,3022942.443174114,3022942.443174114,18316.929133398065,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,18950,24500,Shanghai Distributor Supplies,Distributor,East China,0.5660026694061736,12.733793088723456,3.0,Low Product Dependency,High Value Supplier-Product,-3.340743359376963,Favourable Cost,60.53823573065378,High Procurement Priority
SUP0004,P001,585,105032,1938773884.46,2978147.2879569894,2978147.2879569894,18458.887619582605,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,18950,24500,Ningbo Distributor Supplies,Distributor,East China,0.5593338016892124,12.583758493068729,4.0,Low Product Dependency,High Value Supplier-Product,-2.5916220602501094,Favourable Cost,59.82495025034056,High Procurement Priority
SUP0001,P001,576,104085,1903291016.9,2914687.6215926493,2914687.6215926493,18285.929931306146,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,18950,24500,Shenzhen OEM Supplies,OEM,South China,0.5490970394931416,12.353454258214159,5.0,Low Product Dependency,Medium Value Supplier-Product,-3.5043275392815487,Favourable Cost,58.73005166338767,High Procurement Priority
SUP0005,P001,558,104128,1895965607.31,3004699.8531061807,3004699.8531061807,18208.028650411034,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,18950,24500,Tianjin OEM Supplies,OEM,North China,0.546983668136251,12.305908133376064,6.0,Low Product Dependency,Medium Value Supplier-Product,-3.9154160928177695,Favourable Cost,58.50401072700113,High Procurement Priority
SUP0006,P030,617,111262,1830221473.76,2607153.0965242167,2607153.0965242167,16449.654632848593,Fuel Pump FP-350,Engine,Excavator,Volvo,16400,21900,Qingdao Distributor Supplies,Distributor,East China,0.5280165691609483,13.59045805904963,1.0,Low Product Dependency,Medium Value Supplier-Product,0.3027721515158177,Near Standard Cost,63.382821552411905,High Procurement Priority
SUP0006,P001,563,98895,1812098146.6200001,2904003.440096154,2904003.440096154,18323.455651145156,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,18950,24500,Qingdao Distributor Supplies,Distributor,East China,0.5227880123138992,11.761560038320184,7.0,Low Product Dependency,Medium Value Supplier-Product,-3.3063026324793854,Favourable Cost,55.91610364633654,High Procurement Priority
SUP0008,P001,556,97978,1805034393.45,2944591.1801794455,2944591.1801794455,18422.854043254607,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,18950,24500,Hangzhou OEM Supplies,OEM,East China,0.5207501285016408,11.715712214260654,8.0,Low Product Dependency,Medium Value Supplier-Product,-2.781772858814735,Favourable Cost,55.69813666970086,High Procurement Priority
SUP0005,P030,590,106007,1742076975.04,2615731.193753754,2615731.193753754,16433.60320582603,Fuel Pump FP-350,Engine,Excavator,Volvo,16400,21900,Tianjin OEM Supplies,OEM,North China,0.5025869933026066,12.935933931688638,2.0,Low Product Dependency,Medium Value Supplier-Product,0.20489759650019757,Near Standard Cost,60.33026910818834,High Procurement Priority
SUP0001,P030,554,104663,1724513107.55,2698768.5564162754,2698768.5564162754,16476.817094388658,Fuel Pump FP-350,Engine,Excavator,Volvo,16400,21900,Shenzhen OEM Supplies,OEM,South China,0.497519839853568,12.805512008495285,3.0,Low Product Dependency,Medium Value Supplier-Product,0.4683969170040214,Near Standard Cost,59.722010766315734,High Procurement Priority
SUP0002,P030,574,104974,1715518030.16,2714427.2629113924,2714427.2629113924,16342.313622039745,Fuel Pump FP-350,Engine,Excavator,Volvo,16400,21900,Guangzhou Local Vendor Supplies,Local Vendor,South China,0.49492477145834946,12.738718331468016,4.0,Low Product Dependency,Medium Value Supplier-Product,-0.35174620707473236,Favourable Cost,59.41050016869981,High Procurement Priority
SUP0004,P030,580,103576,1697841527.89,2588173.060807927,2588173.060807927,16392.229163995522,Fuel Pump FP-350,Engine,Excavator,Volvo,16400,21900,Ningbo Distributor Supplies,Distributor,East China,0.4898251230184279,12.607460029576496,5.0,Low Product Dependency,Medium Value Supplier-Product,-0.0473831463687735,Favourable Cost,58.79834114580925,High Procurement Priority
SUP0007,P030,566,99494,1626617487.73,2586037.341383148,2586037.341383148,16348.900312883188,Fuel Pump FP-350,Engine,Excavator,Volvo,16400,21900,Suzhou Local Vendor Supplies,Local Vendor,East China,0.46927707795052465,12.07858014019242,6.0,Low Product Dependency,Medium Value Supplier-Product,-0.31158345802934084,Favourable Cost,56.331765000557944,High Procurement Priority
SUP0008,P030,547,98016,1602418527.03,2631229.108423645,2631229.108423645,16348.54031005142,Fuel Pump FP-350,Engine,Excavator,Volvo,16400,21900,Hangzhou OEM Supplies,OEM,East China,0.462295708542906,11.898888793991405,7.0,Low Product Dependency,Medium Value Supplier-Product,-0.3137785972474383,Favourable Cost,55.4937252169623,High Procurement Priority
SUP0003,P030,525,93600,1527752305.23,2598218.2061734693,2598218.2061734693,16322.140013141026,Fuel Pump FP-350,Engine,Excavator,Volvo,16400,21900,Shanghai Distributor Supplies,Distributor,East China,0.4407545984465132,11.34444870553812,8.0,Low Product Dependency,Medium Value Supplier-Product,-0.47475601743276474,Favourable Cost,52.90794208623569,High Procurement Priority
SUP0008,P022,599,110086,1398175245.93,2026340.936130435,2026340.936130435,12700.754373217304,Control Valve CV-75,Hydraulic,Excavator,CAT,12800,16900,Hangzhou OEM Supplies,OEM,East China,0.4033717815172641,13.224928149562478,1.0,Low Product Dependency,Medium Value Supplier-Product,-0.7753564592398177,Favourable Cost,59.89486833006102,High Procurement Priority
SUP0001,P022,588,108867,1387819475.23,2148327.361037152,2148327.361037152,12747.843471667264,Control Valve CV-75,Hydraulic,Excavator,CAT,12800,16900,Shenzhen OEM Supplies,OEM,South China,0.40038415483140843,13.126975962353107,2.0,Low Product Dependency,Medium Value Supplier-Product,-0.4074728775995018,Favourable Cost,59.45124903102227,High Procurement Priority
SUP0006,P022,585,106105,1335658719.13,2042291.619464832,2042291.619464832,12588.084624946987,Control Valve CV-75,Hydraulic,Excavator,CAT,12800,16900,Qingdao Distributor Supplies,Distributor,East China,0.3853358429873881,12.633602722011897,3.0,Low Product Dependency,Medium Value Supplier-Product,-1.655588867601665,Favourable Cost,57.21679263673253,High Procurement Priority
