product_id,branch_id,opening_stock,total_incoming,total_outgoing,total_adjustments,current_stock,expected_stock,stock_variance,shrinkage_pct,shrinkage_class
P023,HYD001,82,110628,4601,252,105798,106361,-563,-0.5293293594456615,High Shrinkage
P008,AHM001,259,115693,6546,431,109281,109837,-556,-0.50620464870672,High Shrinkage
P027,DEL001,98,112284,5508,457,106775,107331,-556,-0.5180236837446777,High Shrinkage
P014,HYD001,200,115985,4790,466,111315,111861,-546,-0.4881057741303939,High Shrinkage
P021,CHN001,189,108420,7703,501,100867,101407,-540,-0.5325076178173105,High Shrinkage
P006,CHN001,119,118323,7760,537,110681,111219,-538,-0.4837302978807577,High Shrinkage
P008,CHN001,265,115951,7731,428,108381,108913,-532,-0.4884632688476123,High Shrinkage
P010,CHN001,120,121003,7535,367,113425,113955,-530,-0.465095871177219,High Shrinkage
P023,KOL001,141,118592,6722,370,111851,112381,-530,-0.4716099696567925,High Shrinkage
P026,HYD001,203,113813,5486,348,108348,108878,-530,-0.4867833722147724,High Shrinkage
P030,DEL001,184,109238,6133,368,103131,103657,-526,-0.5074428162111579,High Shrinkage
P001,CHN001,187,107266,7965,411,99373,99899,-526,-0.5265317971150862,High Shrinkage
P026,PUN001,112,110278,5251,576,105190,105715,-525,-0.4966182660927966,High Shrinkage
P030,KOL001,199,110216,6940,512,103465,103987,-522,-0.5019858251512208,High Shrinkage
P005,KOL001,215,110698,6583,388,104202,104718,-516,-0.4927519624133386,High Shrinkage
P020,KOL001,182,105855,6416,463,99570,100084,-514,-0.5135686023740058,High Shrinkage
P002,KOL001,288,114510,7104,404,107584,108098,-514,-0.4754944587318914,High Shrinkage
P001,HYD001,226,113622,5012,448,108772,109284,-512,-0.468504081109769,High Shrinkage
P020,HYD001,161,108096,5638,521,102636,103140,-504,-0.4886561954624782,High Shrinkage
P010,HYD001,171,115380,5222,398,110225,110727,-502,-0.453367290724033,High Shrinkage
P019,HYD001,209,104671,4929,559,100008,100510,-502,-0.4994527907670879,High Shrinkage
P016,DEL001,242,110136,6006,313,104189,104685,-496,-0.4738023594593303,High Shrinkage
P004,HYD001,193,114685,4818,377,109943,110437,-494,-0.4473138531470431,High Shrinkage
P009,CHN001,226,119192,7908,440,111456,111950,-494,-0.4412684234033051,High Shrinkage
P005,DEL001,242,116391,5706,429,110862,111356,-494,-0.4436222565465713,High Shrinkage
P030,AHM001,134,109356,6071,309,103248,103728,-480,-0.4627487274409995,High Shrinkage
P028,KOL001,254,111465,6763,373,104851,105329,-478,-0.4538161380056775,High Shrinkage
P025,KOL001,290,117532,7222,451,110579,111051,-472,-0.4250299411981882,High Shrinkage
P008,KOL001,135,106041,6702,453,99461,99927,-466,-0.4663404285128144,High Shrinkage
P023,CHN001,149,115170,8061,473,107267,107731,-464,-0.4307023976385627,High Shrinkage
P016,KOL001,148,104428,6816,529,97829,98289,-460,-0.4680076102107052,High Shrinkage
P004,KOL001,115,117063,7014,332,110042,110496,-454,-0.4108746017955401,High Shrinkage
P014,CHN001,157,121977,7813,429,114302,114750,-448,-0.3904139433551198,High Shrinkage
P027,KOL001,210,107414,6993,292,100477,100923,-446,-0.4419210685373997,High Shrinkage
P024,PUN001,128,115489,5081,461,110555,110997,-442,-0.3982089606025388,High Shrinkage
P009,HYD001,282,105112,5260,377,100071,100511,-440,-0.4377630309120394,High Shrinkage
P014,PUN001,87,118748,5506,495,113386,113824,-438,-0.3848046106269328,High Shrinkage
P015,DEL001,223,106565,5770,385,100967,101403,-436,-0.4299675552005364,High Shrinkage
P017,CHN001,178,114144,7961,337,106266,106698,-432,-0.4048810661868076,High Shrinkage
P016,AHM001,95,117404,6706,532,110893,111325,-432,-0.3880529979788906,High Shrinkage
P023,AHM001,238,120274,6018,494,114558,114988,-430,-0.3739520645632588,High Shrinkage
P025,AHM001,165,103661,6347,461,97512,97940,-428,-0.4370022462732285,High Shrinkage
P012,CHN001,155,115023,7311,445,107886,108312,-426,-0.3933082206957677,High Shrinkage
P026,KOL001,240,107788,6479,287,101412,101836,-424,-0.416355709179465,High Shrinkage
P017,KOL001,208,114860,6900,259,108003,108427,-424,-0.3910465105554889,High Shrinkage
P013,CHN001,156,113969,7540,313,106476,106898,-422,-0.3947688450672604,High Shrinkage
P015,PUN001,134,111363,5398,365,106048,106464,-416,-0.3907424105801022,High Shrinkage
P013,HYD001,233,115993,4956,441,111295,111711,-416,-0.3723894692554896,High Shrinkage
P022,DEL001,187,116009,5441,411,110752,111166,-414,-0.3724160264829174,High Shrinkage
P019,PUN001,116,114361,5144,467,109388,109800,-412,-0.3752276867030965,High Shrinkage
P029,HYD001,192,118027,5453,381,112739,113147,-408,-0.3605928570797281,High Shrinkage
P014,AHM001,108,111527,6248,360,105345,105747,-402,-0.38015262844336,High Shrinkage
P018,DEL001,282,119536,5247,458,114627,115029,-402,-0.3494770883864069,High Shrinkage
P021,AHM001,293,114552,6598,317,108168,108564,-396,-0.3647617994915441,High Shrinkage
P029,DEL001,98,113879,5257,290,108622,109010,-388,-0.3559306485643518,High Shrinkage
P023,PUN001,115,113594,5433,438,108328,108714,-386,-0.3550600658608827,High Shrinkage
P007,KOL001,273,105995,6950,529,99463,99847,-384,-0.3845884202830331,High Shrinkage
P028,AHM001,212,107865,6705,548,101538,101920,-382,-0.3748037676609105,High Shrinkage
P024,HYD001,273,106640,4898,363,101998,102378,-380,-0.3711734943054172,High Shrinkage
P027,PUN001,214,118257,5873,459,112683,113057,-374,-0.3308065842893408,High Shrinkage
P015,AHM001,85,111678,6600,344,105135,105507,-372,-0.3525832409224033,High Shrinkage
P015,HYD001,149,114677,4855,434,110035,110405,-370,-0.3351297495584439,High Shrinkage
P017,AHM001,276,115889,6218,344,109921,110291,-370,-0.335476149459158,High Shrinkage
P007,DEL001,205,124916,5617,301,119439,119805,-366,-0.3054964317015149,High Shrinkage
P007,PUN001,231,116030,5837,404,110464,110828,-364,-0.3284368571119211,High Shrinkage
P027,AHM001,151,114702,6461,307,108337,108699,-362,-0.3330297426839253,High Shrinkage
P002,PUN001,113,106927,5389,334,101623,101985,-362,-0.3549541599254792,High Shrinkage
P007,AHM001,146,112655,6579,360,106222,106582,-360,-0.3377681034320992,High Shrinkage
P014,KOL001,268,112315,6610,377,105994,106350,-356,-0.3347437705688763,High Shrinkage
P004,DEL001,172,115584,5507,250,110145,110499,-354,-0.3203648901800016,High Shrinkage
P022,PUN001,299,116717,5720,411,111353,111707,-354,-0.3169004628179075,High Shrinkage
P002,HYD001,219,125818,4958,284,121013,121363,-350,-0.2883910252712935,High Shrinkage
P022,HYD001,140,117860,4965,312,112997,113347,-350,-0.3087862934175585,High Shrinkage
P002,AHM001,102,116731,6483,277,110279,110627,-348,-0.3145705840346389,High Shrinkage
P022,CHN001,138,116585,7718,404,109061,109409,-348,-0.318072553446243,High Shrinkage
P021,HYD001,153,104630,5504,527,99466,99806,-340,-0.3406608821112959,High Shrinkage
P010,PUN001,159,119944,5541,341,114565,114903,-338,-0.2941611620236199,High Shrinkage
P005,AHM001,106,114428,6514,452,108136,108472,-336,-0.3097573567372225,High Shrinkage
P009,KOL001,104,117102,6703,380,110547,110883,-336,-0.3030221043802927,High Shrinkage
P020,CHN001,300,120279,7303,320,113260,113596,-336,-0.2957850628543258,High Shrinkage
P027,HYD001,123,109373,4711,293,104746,105078,-332,-0.315955766192733,High Shrinkage
P006,KOL001,105,116183,7281,501,109176,109508,-332,-0.3031741973189173,High Shrinkage
P017,PUN001,206,110322,5743,392,104847,105177,-330,-0.3137568099489432,High Shrinkage
P028,HYD001,129,107685,5567,329,102248,102576,-328,-0.3197629075027297,High Shrinkage
P001,AHM001,236,112918,6385,271,106714,107040,-326,-0.304559043348281,High Shrinkage
P009,AHM001,183,102193,6625,300,95731,96051,-320,-0.3331563440255697,High Shrinkage
P026,DEL001,96,109044,5527,385,103678,103998,-320,-0.3076982249658647,High Shrinkage
P007,CHN001,230,116327,7940,391,108692,109008,-316,-0.2898869807720534,High Shrinkage
P011,DEL001,243,117882,5920,407,112300,112612,-312,-0.2770575071928391,High Shrinkage
P011,AHM001,211,107747,6575,220,101291,101603,-312,-0.307077546922827,High Shrinkage
P001,KOL001,263,110844,7210,219,103808,104116,-308,-0.2958238887394829,High Shrinkage
P021,KOL001,280,107611,7105,347,100829,101133,-304,-0.3005942669553954,High Shrinkage
P007,HYD001,298,117343,5175,381,112543,112847,-304,-0.2693912997244056,High Shrinkage
P010,DEL001,133,112443,5710,333,106895,107199,-304,-0.2835847349322288,High Shrinkage
P028,PUN001,279,110777,5601,250,105401,105705,-304,-0.2875928290998533,High Shrinkage
P003,HYD001,272,111236,4818,270,106658,106960,-302,-0.2823485415108451,High Shrinkage
P029,AHM001,140,104224,6745,277,97606,97896,-290,-0.296232736781891,High Shrinkage
P002,DEL001,166,114021,5640,371,108628,108918,-290,-0.2662553480600084,High Shrinkage
P030,PUN001,147,117905,5743,367,112388,112676,-288,-0.2556001278000639,High Shrinkage
P030,CHN001,125,113447,8099,262,105447,105735,-288,-0.2723790608596964,High Shrinkage
P003,AHM001,238,109087,6798,260,102501,102787,-286,-0.2782453033943981,High Shrinkage
P015,KOL001,292,103314,7138,363,96547,96831,-284,-0.2932945027935268,High Shrinkage
P017,HYD001,88,121847,4963,370,117058,117342,-284,-0.2420275775084795,High Shrinkage
P011,HYD001,148,112611,5153,443,107771,108049,-278,-0.2572906736758322,High Shrinkage
P012,PUN001,177,118076,5678,304,112603,112879,-276,-0.2445096076329521,High Shrinkage
P024,CHN001,119,114753,7694,307,107215,107485,-270,-0.2511978415592873,High Shrinkage
P021,PUN001,159,110918,5747,325,105385,105655,-270,-0.2555487198902087,High Shrinkage
P019,CHN001,287,107706,7574,262,100413,100681,-268,-0.2661872647272077,High Shrinkage
P011,CHN001,155,118274,7721,217,110667,110925,-258,-0.2325895875591616,High Shrinkage
P008,PUN001,86,104148,5096,267,99151,99405,-254,-0.2555203460590513,High Shrinkage
P025,PUN001,191,115354,5502,292,110083,110335,-252,-0.2283953414600988,High Shrinkage
P023,DEL001,186,119423,5898,259,113718,113970,-252,-0.2211108186364832,High Shrinkage
P019,DEL001,125,124525,6407,207,118200,118450,-250,-0.2110595187842971,High Shrinkage
P018,CHN001,283,121127,8079,233,113318,113564,-246,-0.2166179423056602,High Shrinkage
P016,PUN001,217,108562,5824,295,103006,103250,-244,-0.236319612590799,High Shrinkage
P009,DEL001,147,107659,5211,459,102816,103054,-238,-0.23094688221709,High Shrinkage
P017,DEL001,243,118103,5418,277,112971,113205,-234,-0.2067046508546442,High Shrinkage
P005,PUN001,262,113357,5181,284,108488,108722,-234,-0.2152278287743051,High Shrinkage
P020,DEL001,91,110504,6196,193,104360,104592,-232,-0.2218142878996481,High Shrinkage
P003,PUN001,218,123172,5382,363,118139,118371,-232,-0.1959939512211606,High Shrinkage
P010,KOL001,179,108509,7866,399,100989,101221,-232,-0.2292014502919354,High Shrinkage
P024,DEL001,280,120774,4796,386,116412,116644,-232,-0.1988957854668907,High Shrinkage
P029,PUN001,115,115135,5803,212,109429,109659,-230,-0.2097411065211245,High Shrinkage
P004,AHM001,273,106281,6699,284,99909,100139,-230,-0.229680743766165,High Shrinkage
P027,CHN001,84,105925,7971,161,97973,98199,-226,-0.2301449098259656,High Shrinkage
P014,DEL001,203,116968,5894,258,111321,111535,-214,-0.1918680234903841,High Shrinkage
P024,AHM001,268,113884,6293,165,107810,108024,-214,-0.1981041250092572,High Shrinkage
P006,HYD001,275,114717,5646,432,109564,109778,-214,-0.1949388766419501,High Shrinkage
P026,CHN001,113,116230,7584,346,108895,109105,-210,-0.1924751386279272,High Shrinkage
P001,PUN001,198,114283,5241,353,109389,109593,-204,-0.1861432755741699,High Shrinkage
P009,PUN001,186,116504,5484,314,111320,111520,-200,-0.1793400286944046,High Shrinkage
P018,AHM001,262,107337,6203,214,101420,101610,-190,-0.1869894695403995,High Shrinkage
P020,PUN001,80,108105,5604,343,102734,102924,-190,-0.1846022307722203,High Shrinkage
P018,KOL001,161,103536,7193,291,96607,96795,-188,-0.1942249083113797,High Shrinkage
P016,HYD001,103,110929,5041,235,106040,106226,-186,-0.1750983751623896,High Shrinkage
P018,PUN001,155,116597,5196,154,111530,111710,-180,-0.1611315012084862,High Shrinkage
P019,AHM001,217,111789,6604,161,105387,105563,-176,-0.1667250835993672,High Shrinkage
P029,CHN001,97,108913,7667,403,101572,101746,-174,-0.1710140939201541,High Shrinkage
P025,DEL001,180,115027,5304,201,109936,110104,-168,-0.1525830124246167,High Shrinkage
P019,KOL001,92,95724,7135,334,88853,89015,-162,-0.1819917991349772,High Shrinkage
P003,DEL001,113,110409,5681,205,104884,105046,-162,-0.1542181520476743,High Shrinkage
P004,CHN001,171,111231,7520,254,103984,104136,-152,-0.1459629714988092,High Shrinkage
P022,KOL001,265,106033,6906,448,99690,99840,-150,-0.1502403846153846,High Shrinkage
P018,HYD001,210,117593,4954,254,112953,113103,-150,-0.1326224768573778,High Shrinkage
P001,DEL001,196,121433,5859,298,115928,116068,-140,-0.1206189475135265,High Shrinkage
P016,CHN001,180,119217,7680,424,112003,112141,-138,-0.1230593627665171,High Shrinkage
P003,CHN001,191,115420,7934,293,107840,107970,-130,-0.12040381587478,High Shrinkage
P024,KOL001,155,119031,7162,304,112198,112328,-130,-0.11573249768535,High Shrinkage
P006,PUN001,210,116157,5467,242,111016,111142,-126,-0.1133684835615698,High Shrinkage
P006,AHM001,170,113118,6049,242,107359,107481,-122,-0.1135084340488086,High Shrinkage
P008,DEL001,298,112248,5914,157,106667,106789,-122,-0.1142439764395209,High Shrinkage
P008,HYD001,270,106704,5323,220,101753,101871,-118,-0.1158327688939933,High Shrinkage
P012,AHM001,103,113779,7040,135,106861,106977,-116,-0.1084345233087486,High Shrinkage
P022,AHM001,156,109862,6555,110,103495,103573,-78,-0.0753092022052079,Medium Shrinkage
