product_id,product_name,category,brand,total_units_sold,number_of_orders,sales_revenue,revenue_share_pct,average_selling_price,avg_quantity_per_order,unit_cost,unit_price,margin_percentage,total_current_stock,stock_to_sales_ratio,inventory_turnover,days_inventory_outstanding,stock_movement_class,stock_health_score,stock_health_class,cumulative_revenue_pct,abc_class,priority_score,priority_class
P010,Turbocharger TB-900,Engine,CAT,42292,3542,1475990800,6.428814879141209,34900.0,11.940146809712028,28900,34900,20.8,661248,15.6352974557836,0.127743763384672,2857.282346543081,Normal,100,Healthy,65.05467562773957,A,5,Medium
P011,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,42093,3595,1161766800,5.060183091881243,27600.0,11.708762169680112,21500,27600,28.4,650389,15.451238923336422,0.1292123794380015,2824.806737462286,Normal,100,Healthy,70.11485871962081,A,5,Medium
P001,Hydraulic Pump HP-300,Hydraulic,CAT,41304,3499,1011948000,4.4076334075505,24500.0,11.804515575878822,18950,24500,29.2,643984,15.591322874297887,0.128016860636303,2851.1869310478405,Normal,100,Healthy,74.5224921271713,A,5,Medium
P030,Fuel Pump FP-350,Engine,Volvo,41595,3509,910930500,3.9676423133962224,21900.0,11.853804502707325,16400,21900,33.5,632290,15.2011059021517,0.1313717842022231,2778.3743839403774,Normal,100,Healthy,78.49013444056753,A,5,Medium
P013,Seal Kit SK-15,Seals,CAT,39927,3421,57894150,0.2521633420311516,1450.0,11.671148786904414,950,1450,52.6,634580,15.893505647807247,0.125677538763716,2904.2580208881204,Slow-Moving,80,Watch,99.10323187976935,C,5,Medium
P026,Grease Cartridge GC-5,Lubricants,Generic,40407,3428,12526170,0.0545588956751303,310.0,11.787339556592766,180,310,72.2,631316,15.623926547380403,0.1278008928698507,2856.005085752469,Slow-Moving,80,Watch,100.0,C,5,Medium
P022,Control Valve CV-75,Hydraulic,CAT,41297,3493,697919300,3.039852267561436,16900.0,11.82278843401088,12800,16900,32.0,647348,15.67542436496598,0.1273551230238091,2866.001707145798,Normal,100,Healthy,81.52998670812896,B,4,Medium
P006,Alternator ALT-500,Electrical,CAT,41843,3539,468641600,2.0412119716901644,11200.0,11.823396439672225,8650,11200,29.5,647154,15.466242860215567,0.1291123851370949,2826.994479363334,Normal,100,Healthy,88.47439618986715,B,4,Medium
P016,Radiator RD-250,Cooling,JCB,41770,3544,426054000,1.855717728401579,10200.0,11.78611738148984,7800,10200,30.8,633960,15.177400047881257,0.1315704509839435,2774.1791357433567,Normal,100,Healthy,92.33585394231822,B,4,Medium
P012,Brake Pad BP-40,Brakes,JCB,41549,3517,101795050,0.4433777853242197,2450.0,11.81376172874609,1800,2450,36.1,663107,15.95963801776216,0.1251259194567206,2917.0614816241064,Normal,70,Watch,98.18016264317455,C,4,Medium
P002,Engine Oil Filter OF-90,Filters,JCB,40917,3464,29460240,0.1283168087870676,720.0,11.812066974595844,450,720,37.3,655012,16.00830950460689,0.1247152020750815,2926.668071950534,Normal,70,Watch,99.66358973697996,C,4,Medium
P017,Fan Belt FB-30,Belts,Tata Hitachi,40920,3532,21278400,0.0926800455154045,520.0,11.58550396375991,320,520,62.5,659066,16.106207233626588,0.1239502321037765,2944.730266373412,Normal,70,Watch,99.85999482730672,C,4,Medium
P025,Cabin Glass CG-20,Cabin,JCB,41091,3480,322564350,1.4049589555439728,7850.0,11.807758620689656,5600,7850,40.2,651781,15.861891898469253,0.1258549135515092,2900.16487795381,Normal,100,Healthy,97.00211439159276,C,3,Low
P029,Pressure Sensor PS-90,Sensors,CAT,42702,3506,168672900,0.7346704662575791,3950.0,12.17969195664575,2750,3950,43.6,634978,14.869982670600908,0.1343315979049027,2717.156690553136,Normal,100,Healthy,97.73678485785032,C,3,Low
P028,Light Assembly LA-18,Electrical,Generic,41292,3498,92907000,0.4046650588718929,2250.0,11.804459691252143,1450,2250,55.2,624246,15.117843650101715,0.1320399650170198,2764.3145766734474,Normal,100,Healthy,98.58482770204644,C,3,Low
P007,Hydraulic Hose HH-60,Hydraulic,JCB,42156,3534,61126200,0.2662408356917681,1450.0,11.928692699490664,980,1450,48.0,656823,15.580771420438372,0.1280936363387754,2849.478010247652,Normal,100,Healthy,98.8510685377382,C,3,Low
P003,Air Filter AF-120,Filters,Komatsu,41712,3554,52140000,0.2271006078075979,1250.0,11.73663477771525,820,1250,52.4,650115,15.585802646720367,0.1280725105583368,2849.9480365362488,Normal,100,Healthy,99.33033248757695,C,3,Low
P020,Pivot Pin PP-12,Pins & Bushes,JCB,40915,3452,47052250,0.2049404406159387,1150.0,11.852549246813442,750,1150,53.3,625266,15.282072589514849,0.1306725091101877,2793.2424538677747,Normal,100,Healthy,99.5352729281929,C,3,Low
P008,Bucket Tooth BT-10,Attachments,Komatsu,41059,3478,23814220,0.1037250448113512,580.0,11.80534790109258,340,580,70.6,624694,15.214544923159355,0.1311774468975586,2782.490501473489,Normal,100,Healthy,99.76731478179131,C,3,Low
P027,O-Ring Set OR-50,Seals,Generic,40870,3476,19617600,0.0854462770181498,480.0,11.75776754890679,260,480,84.6,630991,15.438977244922926,0.1293618475923091,2821.5428798629805,Normal,100,Healthy,99.94544110432489,C,3,Low
