month,total_units_sold,total_revenue,order_count,active_products,year,month_number,units_mom_change_pct,revenue_mom_change_pct,units_yoy_change_pct,revenue_yoy_change_pct,demand_level
2021-10,19685,332410430,276,30,2021,10,20.19172060080596,7.47601911487028,21.160829691635374,9.89110576108525,High Demand
2021-11,17716,312614770,274,30,2021,11,-10.002540005080007,-5.955186183538219,-1.763335921038034,1.3899102086545323,Normal Demand
2021-12,18812,355599240,277,30,2021,12,6.186498080830893,13.749980527151685,5.371646221923476,0.7783386190589159,High Demand
2022-01,18717,333523760,265,30,2022,1,-0.5049968105464542,-6.207966023774403,2.8237103774103156,-5.043256050313749,High Demand
2022-02,15212,294680780,223,30,2022,2,-18.726291606560885,-11.646240735592572,-11.696755093748191,-7.287673587782296,Low Demand
2022-03,16703,320681320,250,30,2022,3,9.80147252169341,8.82329007002085,0.5477967734168088,2.947239435936977,Normal Demand
2022-04,16233,300876230,235,30,2022,4,-2.813865772615698,-6.175941274034924,0.7822685788787531,-4.363176424528303,Low Demand
2022-05,18829,348014730,273,30,2022,5,15.992114827819881,15.667073467385585,13.40038544928932,11.628446073666066,High Demand
2022-06,15361,291320170,235,30,2022,6,-18.418397153327316,-16.290850677498625,-2.876833586241778,0.8121337983727939,Low Demand
2022-07,16843,312276680,245,30,2022,7,9.647809387409678,7.193635099141948,-1.277768008909208,0.6544672808584062,Normal Demand
2022-08,17551,328631970,259,30,2022,8,4.203526687644721,5.237435597176199,-2.753767730496459,-2.3093360210812985,Normal Demand
2022-09,16048,310884900,230,30,2022,9,-8.563614608854198,-5.400287135789005,-2.014898033947976,0.5163148909754112,Low Demand
2022-10,17541,345214090,255,30,2022,10,9.30333998005981,11.042411516287864,-10.89154178308357,3.851762413110804,Normal Demand
2022-11,16786,324925600,237,30,2022,11,-4.304201584858336,-5.877074716156572,-5.249491984646648,3.9380193072771297,Normal Demand
2022-12,16418,305257990,241,30,2022,12,-2.192303109734306,-6.052957969455164,-12.725919625770787,-14.15673723037203,Normal Demand
2023-01,15630,291302890,232,30,2023,1,-4.799610183944447,-4.571575669485339,-16.49302772880269,-12.659029149827283,Low Demand
2023-02,15194,286862830,222,30,2023,2,-2.7895073576455487,-1.5242073293539882,-0.11832763607677599,-2.6530233834727857,Low Demand
2023-03,18548,355357120,267,30,2023,3,22.074503093326303,23.877018155332298,11.045919894629709,10.813164920239204,High Demand
2023-04,17500,342398000,251,30,2023,4,-5.650204873840847,-3.6467877722556996,7.8050884001724885,13.800282594607083,Normal Demand
2023-05,16681,307293710,269,30,2023,5,-4.679999999999995,-10.252481030847138,-11.407934569015875,-11.700947255881955,Normal Demand
2023-06,16004,288234760,228,30,2023,6,-4.058509681673761,-6.202193334839167,4.18592539548206,-1.05911307136749,Low Demand
2023-07,17955,320794780,265,30,2023,7,12.1907023244189,11.296354402224074,6.602149260820522,2.727741309405496,High Demand
2023-08,17830,345132920,266,30,2023,8,-0.696184906711228,7.58682544647391,1.5896530112244234,5.021103089878931,Normal Demand
2023-09,19129,352928750,277,30,2023,9,7.2854739203589425,2.2587906131933178,19.198654037886342,13.523927987496332,High Demand
2023-10,16631,315070370,243,30,2023,10,-13.058706675727949,-10.72691867692842,-5.1878456188358735,-8.731891563290484,Normal Demand
2023-11,16506,308801580,246,30,2023,11,-0.7516084420660207,-1.9896475825384674,-1.6680567139282787,-4.962372924755698,Normal Demand
2023-12,17030,310497600,256,30,2023,12,3.1746031746031855,0.549226464450081,3.727616031185277,1.7164530238831688,Normal Demand
2024-01,17745,333406950,275,30,2024,1,4.198473282442738,7.3782695904895945,13.531669865643003,14.45370487055586,Normal Demand
2024-02,16222,295192760,226,30,2024,2,-8.582699351930124,-11.461725677884038,6.765828616559166,2.9038024898520254,Low Demand
2024-03,17799,311586590,261,30,2024,3,9.721366046110225,5.553601653373885,-4.0381712313996125,-12.317335867647738,Normal Demand
2024-04,14911,281183750,229,30,2024,4,-16.225630653407496,-9.757428906038612,-14.794285714285715,-17.878098002908892,Low Demand
2024-05,15200,274428340,209,30,2024,5,1.9381664542954757,-2.4024894752986303,-8.87836460643846,-10.695100137259562,Low Demand
2024-06,16988,309957660,247,30,2024,6,11.763157894736853,12.9466657853194,6.148462884278927,7.536530292182664,Normal Demand
2024-07,16665,312211600,251,30,2024,7,-1.9013421238521344,0.7271767376228144,-7.184628237259815,-2.6755983996996413,Normal Demand
2024-08,17544,303595220,260,30,2024,8,5.274527452745281,-2.7597885536604028,-1.60403813796971,-12.035276148099694,Normal Demand
2024-09,17650,334740540,266,30,2024,9,0.6041951664386591,10.25883082085417,-7.731716242354536,-5.153507613080544,Normal Demand
2024-10,17197,339856250,248,30,2024,10,-2.5665722379603406,1.5282612616924096,3.4032830256749413,7.866775920566571,Normal Demand
2024-11,16501,296573470,261,30,2024,11,-4.04721753794266,-12.735613954429258,-0.03029201502483536,-3.9598599204058504,Normal Demand
2024-12,15436,285262430,223,30,2024,12,-6.454154293679171,-3.8139082366335786,-9.359953024075162,-8.127331741050492,Low Demand
